"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
3.37379985140439e-57,5.9016444141153,0.602,0.008,2.59290013779833e-52,"Ctsj-202",2.59290013779833e-52,"Up"
1.00867005318643e-56,3.56720027165639,0.693,0.038,7.752032826759e-52,"Col1a1-201",7.752032826759e-52,"Up"
2.45151172378073e-53,4.03815538512746,0.657,0.038,1.88408482019444e-48,"Col3a1-201",1.88408482019444e-48,"Up"
2.99935947235413e-51,3.36796155744722,0.596,0.022,2.30512772888304e-46,"Col1a2-201",2.30512772888304e-46,"Up"
1.6423769158159e-46,3.282722815942,0.693,0.087,1.26223235488116e-41,"Psg21-201",1.26223235488116e-41,"Up"
6.156480303009e-43,2.97918506518911,0.572,0.038,4.73150137207454e-38,"Psg23-201",4.73150137207454e-38,"Up"
1.80352611731319e-41,7.80784548612893,0.44,0.003,1.38608196219988e-36,"Col6a2-201",1.38608196219988e-36,"Up"
2.32484824582823e-41,3.09546907416992,0.675,0.087,1.78673887084883e-36,"Afp-201",1.78673887084883e-36,"Up"
6.26898789281997e-41,-3.078754595244,0.422,0.843,4.81796795514786e-36,"Hnrnpab-203",4.81796795514786e-36,"Down"
6.37751832350436e-41,-3.84589135595806,0.398,0.816,4.90137793234604e-36,"Set-201",4.90137793234604e-36,"Down"
1.69242859115712e-40,9.53936058649958,0.422,0,1.30069906944789e-35,"Psg16-204",1.30069906944789e-35,"Up"
5.326592075678e-40,-2.96559941497658,0.428,0.843,4.09369907384157e-35,"Hnrnpab-202",4.09369907384157e-35,"Down"
1.73988416072439e-39,2.87839737238522,0.554,0.043,1.33717057288313e-34,"Ceacam11-201",1.33717057288313e-34,"Up"
1.00775143601453e-38,3.70612719390352,0.705,0.152,7.74497288634603e-34,"Lyz2-201",7.74497288634603e-34,"Up"
3.97283273130528e-38,4.00663193626673,0.458,0.016,3.05328086731736e-33,"Serpine1-201",3.05328086731736e-33,"Up"
5.47965616389452e-38,2.74616488761256,0.789,0.255,4.21133494819949e-33,"C1qa-201",4.21133494819949e-33,"Up"
1.05080982835221e-37,-2.66276028160493,0.476,0.851,8.0758938548181e-33,"Hnrnpab-201",8.0758938548181e-33,"Down"
1.80593087033705e-36,3.04302643052845,0.596,0.087,1.38793011108884e-31,"Abca1-201",1.38793011108884e-31,"Up"
6.51394999727593e-36,2.89281556259657,0.578,0.07,5.00623113090644e-31,"Psg27-201",5.00623113090644e-31,"Up"
2.44863417821761e-35,3.75481025179168,0.404,0.008,1.88187331132736e-30,"Col6a3-201",1.88187331132736e-30,"Up"
1.76405230255998e-34,2.97330667239922,0.596,0.092,1.35574475660945e-29,"Ctss-202",1.35574475660945e-29,"Up"
2.56470272540248e-34,8.72563705556364,0.361,0,1.97107663258082e-29,"Psg16-202",1.97107663258082e-29,"Up"
4.53863086043735e-34,2.81774724493475,0.428,0.019,3.48811936148052e-29,"Psg16-201",3.48811936148052e-29,"Up"
9.92997431957814e-34,-1.77925359986653,0.837,0.984,7.63158246356858e-29,"Tpt1-201",7.63158246356858e-29,"Down"
1.38330522664276e-33,3.56632770512244,0.476,0.041,1.06312539888402e-28,"Ctsh-201",1.06312539888402e-28,"Up"
1.48408929638508e-33,4.48582174782987,0.392,0.011,1.14058198784379e-28,"Fosb-201",1.14058198784379e-28,"Up"
1.71567256654182e-33,3.86084159544843,0.41,0.016,1.31856299429005e-28,"Klf4-201",1.31856299429005e-28,"Up"
2.22785139847806e-33,3.21133521243937,0.524,0.06,1.71219291378633e-28,"Prl3b1-201",1.71219291378633e-28,"Up"
2.60539823310496e-33,3.19336694725038,0.633,0.152,2.00235275807049e-28,"Ahnak-202",2.00235275807049e-28,"Up"
3.37899834776511e-33,4.08299644409008,0.361,0.003,2.5968953901914e-28,"Ctsq-201",2.5968953901914e-28,"Up"
3.82154859266598e-33,3.43929211195359,0.476,0.041,2.93701295540751e-28,"Lgals3bp-201",2.93701295540751e-28,"Up"
4.04185232730819e-33,4.42889207052943,0.38,0.008,3.10632518762943e-28,"Cts3-202",3.10632518762943e-28,"Up"
1.58585073277611e-32,4.90127692441132,0.373,0.008,1.21878972216775e-27,"Ctsj-201",1.21878972216775e-27,"Up"
1.78330378152999e-32,2.76334878168803,0.952,0.615,1.37054028825706e-27,"Apoe-206",1.37054028825706e-27,"Up"
2.19878629176484e-32,4.00694498826231,0.434,0.03,1.68985521667295e-27,"Msr1-202",1.68985521667295e-27,"Up"
