"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
2.47196988337955e-85,4.95738164948426,0.907,0.37,1.89980773417252e-80,"Ftl1-203",1.89980773417252e-80,"Up"
2.1811550930294e-83,5.20023786464823,0.684,0.069,1.67630493519681e-78,"Ftl1-206",1.67630493519681e-78,"Up"
1.32074281173707e-64,4.85829634444678,0.764,0.276,1.0150436805324e-59,"Ftl1-202",1.0150436805324e-59,"Up"
3.74240416284453e-51,-1.58576078693379,0.797,0.995,2.87618729531253e-46,"Ppia-202",2.87618729531253e-46,"Down"
1.03007159725342e-49,3.00436161795685,0.669,0.211,7.91651225353147e-45,"Ctla2a-201",7.91651225353147e-45,"Up"
6.27535688347228e-44,3.58444927440148,0.591,0.181,4.82286277922378e-39,"Ctla2a-204",4.82286277922378e-39,"Up"
2.2224029101243e-43,3.56531711632448,0.588,0.181,1.70800553254693e-38,"Ctla2a-202",1.70800553254693e-38,"Up"
2.81474006997669e-43,3.33840409005417,0.594,0.185,2.16324033337989e-38,"Ctla2a-209",2.16324033337989e-38,"Up"
9.82181993623019e-43,-1.48794792124991,0.69,0.949,7.54846149379035e-38,"Dab2-202",7.54846149379035e-38,"Down"
1.32216771535106e-41,1.34495410963814,0.901,0.935,1.01613877595591e-36,"Ftl1-ps1-202",1.01613877595591e-36,"Up"
1.89748270303396e-41,3.14968107647094,0.579,0.178,1.45829135658972e-36,"Ctla2a-203",1.45829135658972e-36,"Up"
2.01581006898011e-41,-1.42066169028958,0.37,0.87,1.54923067041398e-36,"Colec12-204",1.54923067041398e-36,"Down"
1.39014025411713e-36,-2.45890515160221,0.152,0.572,1.06837839089918e-31,"Alas2-201",1.06837839089918e-31,"Down"
2.98490494582892e-34,-1.01074364810628,0.546,0.901,2.29401884706736e-29,"C3ar1-201",2.29401884706736e-29,"Down"
1.77278579922285e-32,2.88752904588178,0.564,0.245,1.36245679813473e-27,"Ifi27l2a-201",1.36245679813473e-27,"Up"
2.0369665500087e-32,-1.14087750708562,0.433,0.813,1.56549027234368e-27,"Marcks-201",1.56549027234368e-27,"Down"
6.23302500872865e-32,-1.37259544010779,0.281,0.669,4.79032904020832e-27,"Atxn10-201",4.79032904020832e-27,"Down"
6.41265500442089e-32,-2.10379860225998,0.191,0.576,4.92838187709763e-27,"Irf2bpl-201",4.92838187709763e-27,"Down"
9.93041059618631e-31,-1.47261118976446,0.275,0.699,7.63191775959303e-26,"Colec12-201",7.63191775959303e-26,"Down"
1.8425909283153e-30,-1.08938510383245,0.367,0.785,1.41610483204744e-25,"Lrrfip1-203",1.41610483204744e-25,"Down"
2.45868673600755e-30,1.96446650321668,0.797,0.725,1.88959910409124e-25,"H2-D1-202",1.88959910409124e-25,"Up"
2.99770867922164e-30,1.38350345665226,0.848,0.914,2.303859028329e-25,"C1qa-201",2.303859028329e-25,"Up"
7.24154899104496e-30,-2.20522285090905,0.087,0.454,5.56542006157769e-25,"Zc3h12c-202",5.56542006157769e-25,"Down"
1.71611835252991e-29,-1.55823456681553,0.206,0.602,1.31890559865334e-24,"Mcm6-201",1.31890559865334e-24,"Down"
1.22757580354503e-28,-1.32295072905168,0.236,0.616,9.43441108056494e-24,"Ralb-201",9.43441108056494e-24,"Down"
3.06816180911584e-28,1.2726341557564,0.863,0.914,2.35800507677789e-23,"B2m-201",2.35800507677789e-23,"Up"
6.53075528649285e-28,-1.49654400210766,0.197,0.577,5.01914666788121e-23,"Mcm6-203",5.01914666788121e-23,"Down"
1.71019189775089e-27,-2.15707540955251,0.078,0.421,1.31435088109747e-22,"Zc3h12c-201",1.31435088109747e-22,"Down"
1.97545284393999e-27,-1.37778990894338,0.394,0.718,1.51821452868164e-22,"Ddb1-201",1.51821452868164e-22,"Down"
4.35792778985618e-27,-1.41038959784233,0.331,0.701,3.34924182361607e-22,"Septin9-204",3.34924182361607e-22,"Down"
4.74878691897556e-27,-1.23572661105494,0.304,0.683,3.64963269870948e-22,"Mki67-201",3.64963269870948e-22,"Down"
6.14873055630702e-26,2.84103295409934,0.463,0.176,4.7255453817442e-21,"Klf4-201",4.7255453817442e-21,"Up"
1.02534024951099e-25,4.07442289710083,0.385,0.109,7.88014995359173e-21,"Ctla2a-206",7.88014995359173e-21,"Up"
1.52771395023054e-25,-2.01111664321835,0.212,0.556,1.17410927931018e-20,"Dnmt1-201",1.17410927931018e-20,"Down"
1.72899392053194e-24,-1.10321270212242,0.451,0.783,1.32880098768562e-19,"Bach1-201",1.32880098768562e-19,"Down"
2.60892453479653e-24,-1.4605374212671,0.155,0.493,2.00506286197253e-19,"Icam1-201",2.00506286197253e-19,"Down"
6.641359014866e-24,-1.05448414995787,0.585,0.857,5.10415005728512e-19,"Actr3-202",5.10415005728512e-19,"Down"
6.78695860498045e-24,2.83814407912218,0.651,0.463,5.21604916627168e-19,"H2-K1-201",5.21604916627168e-19,"Up"
7.62054198390518e-24,-1.05643307809298,0.4,0.736,5.85669133631049e-19,"Hmgb2-201",5.85669133631049e-19,"Down"
9.97420199495605e-24,3.26258870316121,0.424,0.151,7.66557320120352e-19,"Klf2-201",7.66557320120352e-19,"Up"
1.4440020526913e-23,-1.44347178215448,0.194,0.526,1.10977333757537e-18,"Cd180-201",1.10977333757537e-18,"Down"
1.62203108294754e-23,-1.2375688342777,0.307,0.634,1.2465957684885e-18,"Ipo5-201",1.2465957684885e-18,"Down"
2.2716206363613e-23,-1.13065155897297,0.433,0.752,1.74583132386912e-18,"Vcp-201",1.74583132386912e-18,"Down"
2.49667637170438e-23,-1.24935925178232,0.328,0.671,1.91879565870968e-18,"Septin9-203",1.91879565870968e-18,"Down"
2.55876884145306e-23,-1.10831924383613,0.346,0.695,1.96651620541033e-18,"Septin9-202",1.96651620541033e-18,"Down"
2.59007364817205e-23,-1.43979586713253,0.301,0.625,1.99057520156615e-18,"Evi2a-201",1.99057520156615e-18,"Down"
2.92219932661264e-23,-1.15300664461486,0.278,0.607,2.24582707047488e-18,"Pa2g4-202",2.24582707047488e-18,"Down"
3.96810401647517e-23,-1.26067049272662,0.278,0.627,3.04964666082183e-18,"Pdia6-204",3.04964666082183e-18,"Down"
4.15181407044193e-23,-2.46752421218785,0.131,0.438,3.19083518569744e-18,"Alas2-202",3.19083518569744e-18,"Down"
5.79933956205163e-23,-1.18196573002563,0.436,0.741,4.45702442701916e-18,"Tpd52-205",4.45702442701916e-18,"Down"
7.39304609870335e-23,-1.2544029315345,0.197,0.533,5.68185164869747e-18,"Igf2bp1-201",5.68185164869747e-18,"Down"
8.31699441256345e-23,-1.35404789373169,0.251,0.583,6.39194288583151e-18,"Scaf11-201",6.39194288583151e-18,"Down"
1.48583574741666e-22,-2.47728107338695,0.14,0.449,1.1419242053196e-17,"Cxcl10-201",1.1419242053196e-17,"Down"
1.79779606725784e-22,-1.16736289915494,0.269,0.593,1.38167818953034e-17,"Adam17-201",1.38167818953034e-17,"Down"
1.88360716122969e-22,-1.31513487341264,0.361,0.688,1.44762744769147e-17,"Plau-201",1.44762744769147e-17,"Down"
2.51560013464596e-22,-1.33990742879916,0.642,0.88,1.93333932748081e-17,"Hmgb1-201",1.93333932748081e-17,"Down"
3.98488034004883e-22,-1.08630188908201,0.278,0.599,3.06253993654113e-17,"Pa2g4-201",3.06253993654113e-17,"Down"
6.83474445817843e-22,-1.16965964717154,0.645,0.93,5.25277450588845e-17,"Rab7-205",5.25277450588845e-17,"Down"
8.45875903859906e-22,-1.28984010770902,0.358,0.685,6.50089467152492e-17,"Cyfip1-201",6.50089467152492e-17,"Down"
1.32428618168289e-21,-1.236293486169,0.37,0.678,1.01776690207057e-16,"Ptpn6-202",1.01776690207057e-16,"Down"
1.48099718626577e-21,-1.61956062293184,0.14,0.46,1.13820557753269e-16,"Uhrf1-201",1.13820557753269e-16,"Down"
3.08072502511617e-21,3.821108319836,0.346,0.106,2.36766041080278e-16,"Ctla2a-205",2.36766041080278e-16,"Up"
4.1797863046975e-21,-1.51664946032116,0.239,0.544,3.21233296661222e-16,"Arid3a-201",3.21233296661222e-16,"Down"
4.5158141182396e-21,-1.36322502939355,0.242,0.549,3.47058378243186e-16,"Adam17-202",3.47058378243186e-16,"Down"
6.93180000957108e-21,-1.43061407198697,0.319,0.643,5.32736557935576e-16,"Cdv3-201",5.32736557935576e-16,"Down"
1.32365104410025e-20,-1.04895460102335,0.346,0.676,1.0172787734328e-15,"Hif1a-201",1.0172787734328e-15,"Down"
1.47962366329561e-20,-1.02542154900075,0.355,0.676,1.13714997018921e-15,"Prelid1-201",1.13714997018921e-15,"Down"
1.50572991586456e-20,-1.2320179036353,0.287,0.606,1.15721366953855e-15,"Mfsd1-201",1.15721366953855e-15,"Down"
3.20392859779051e-20,-1.19940654144101,0.221,0.528,2.46234728454592e-15,"Scaf11-202",2.46234728454592e-15,"Down"
4.90428115299305e-20,-1.47736964797289,0.134,0.435,3.76913623732128e-15,"Uhrf1-204",3.76913623732128e-15,"Down"
6.70939979020685e-20,-1.6163058794581,0.14,0.438,5.15644211476557e-15,"Tent5c-201",5.15644211476557e-15,"Down"
9.89059899708667e-20,-1.19608181651392,0.424,0.731,7.60132095322099e-15,"Tcp1-209",7.60132095322099e-15,"Down"
1.31728442081428e-19,-1.25112040833996,0.343,0.636,1.01238576877261e-14,"Hadha-205",1.01238576877261e-14,"Down"
1.51642441805099e-19,-1.13695792252258,0.287,0.609,1.16543282224891e-14,"Odc1-201",1.16543282224891e-14,"Down"
1.74496127075703e-19,2.31351954011872,0.678,0.609,1.34107253502761e-14,"Jun-201",1.34107253502761e-14,"Up"
2.26287645233519e-19,-1.03751285869238,0.242,0.562,1.73911106867769e-14,"Hnrnpm-201",1.73911106867769e-14,"Down"
2.68020109402396e-19,-1.38662466577915,0.233,0.521,2.05984174880117e-14,"Arid3a-202",2.05984174880117e-14,"Down"
2.78189604323394e-19,1.03237194508692,0.875,0.949,2.13799838506701e-14,"Ubb-201",2.13799838506701e-14,"Up"
4.7267338991965e-19,-1.7856277392657,0.146,0.43,3.63268407088848e-14,"Itga6-201",3.63268407088848e-14,"Down"
4.8499166115093e-19,-1.24232435569156,0.173,0.474,3.72735491260935e-14,"Mcm4-201",3.72735491260935e-14,"Down"
5.06696958135182e-19,-1.35989227479958,0.158,0.454,3.89416880205213e-14,"Csf1-201",3.89416880205213e-14,"Down"
5.69095781940527e-19,-1.13141037031975,0.206,0.509,4.37372872252573e-14,"Hnrnpm-205",4.37372872252573e-14,"Down"
6.4035204508311e-19,-1.19741875225335,0.31,0.62,4.92136160728173e-14,"Aff1-201",4.92136160728173e-14,"Down"
7.97580275317278e-19,-1.20445492082611,0.358,0.66,6.12972344792341e-14,"Coro1c-201",6.12972344792341e-14,"Down"
9.04117704057507e-19,-1.05740161144148,0.263,0.555,6.94850620276357e-14,"Adam17-207",6.94850620276357e-14,"Down"
9.817166041036e-19,-1.24601214192707,0.415,0.724,7.54488478917781e-14,"Eif5-202",7.54488478917781e-14,"Down"
1.16957035110175e-18,-1.17440151989891,0.155,0.451,8.98861597635741e-14,"Fscn1-201",8.98861597635741e-14,"Down"
2.47986430423827e-18,-1.06049412511518,0.522,0.785,1.90587491237928e-13,"Fus-203",1.90587491237928e-13,"Down"
2.89589663246796e-18,-1.1785595723102,0.242,0.525,2.22561239791693e-13,"Adam17-203",2.22561239791693e-13,"Down"
3.05845392800652e-18,-1.27752240698069,0.299,0.586,2.35054418183013e-13,"Anapc5-201",2.35054418183013e-13,"Down"
3.4292359506979e-18,-1.77141856955836,0.107,0.377,2.63550499754937e-13,"Uhrf1-203",2.63550499754937e-13,"Down"
3.81959676225408e-18,-1.50290072109301,0.331,0.613,2.93551289566275e-13,"Dgkz-214",2.93551289566275e-13,"Down"
5.39812811671007e-18,-1.19781740590091,0.299,0.579,4.14867738281635e-13,"Mapk6-202",4.14867738281635e-13,"Down"
6.42813822438682e-18,-1.28700294153208,0.316,0.597,4.94028135097025e-13,"Igsf6-201",4.94028135097025e-13,"Down"
8.46666106215622e-18,-1.0093694805677,0.242,0.535,6.50696769270954e-13,"Parp1-201",6.50696769270954e-13,"Down"
9.37222898596577e-18,-1.14147079178108,0.299,0.577,7.20293286487413e-13,"Mapk6-201",7.20293286487413e-13,"Down"
1.11817292539534e-17,-1.12022520916221,0.343,0.636,8.59360620083332e-13,"Cyfip1-203",8.59360620083332e-13,"Down"
1.38270940175718e-17,-1.51561723277529,0.158,0.426,1.06266748362647e-12,"Bcor-204",1.06266748362647e-12,"Down"
1.45998792196513e-17,-1.37115885387434,0.227,0.514,1.12205911754708e-12,"Tmpo-202",1.12205911754708e-12,"Down"
1.53366552385535e-17,-1.0036747241294,0.349,0.627,1.17868330170379e-12,"Clint1-202",1.17868330170379e-12,"Down"
1.78694804030552e-17,-1.28787431343645,0.224,0.495,1.3733410468964e-12,"Rapgef2-206",1.3733410468964e-12,"Down"
2.22952067202542e-17,-1.37733992923391,0.173,0.465,1.71347581727842e-12,"Bin2-207",1.71347581727842e-12,"Down"
3.52193179611589e-17,-1.7317492619595,0.146,0.405,2.7067454625869e-12,"Bcor-202",2.7067454625869e-12,"Down"
8.19041140878046e-17,-1.22061495101582,0.245,0.521,6.29465878410413e-12,"Gbp7-201",6.29465878410413e-12,"Down"
1.71946189340735e-16,-1.10051241059085,0.328,0.606,1.32147524355928e-11,"Cyfip1-202",1.32147524355928e-11,"Down"
1.76306604775287e-16,-1.14186556982525,0.137,0.4,1.35498678033999e-11,"Lig1-201",1.35498678033999e-11,"Down"
2.0690558947686e-16,-1.60145747238613,0.143,0.396,1.59015221736546e-11,"Ccdc86-201",1.59015221736546e-11,"Down"
2.14749367340408e-16,-1.81680466028167,0.113,0.354,1.65043478775797e-11,"Bcor-201",1.65043478775797e-11,"Down"
3.08733584941381e-16,-1.12661898825626,0.215,0.475,2.37274109370849e-11,"Ppig-202",2.37274109370849e-11,"Down"
3.40604547300911e-16,-1.04368904432666,0.164,0.43,2.61768218782643e-11,"Mcm2-201",2.61768218782643e-11,"Down"
4.63520358861921e-16,-1.14496850135865,0.299,0.563,3.5623393659974e-11,"Evi2a-202",3.5623393659974e-11,"Down"
5.26742074353656e-16,-1.49258920558807,0.206,0.468,4.04822353823759e-11,"Twf2-201",4.04822353823759e-11,"Down"
5.49320216622822e-16,-1.23953304166353,0.287,0.556,4.22174559283304e-11,"Ube2f-204",4.22174559283304e-11,"Down"
6.78322041508325e-16,-1.05076476151897,0.236,0.498,5.21317621780808e-11,"Plcg2-201",5.21317621780808e-11,"Down"
7.05441891851143e-16,-1.04448657484232,0.334,0.621,5.42160311563277e-11,"Riok3-204",5.42160311563277e-11,"Down"
7.12210150220138e-16,-1.55509366488174,0.11,0.356,5.47361988850185e-11,"Uhrf1-202",5.47361988850185e-11,"Down"
8.68286170012168e-16,2.73752243131402,0.6,0.495,6.67312653101151e-11,"Dusp1-202",6.67312653101151e-11,"Up"
