"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
4.68428877437188e-124,-2.94947537612269,0.463,0.981,8.23123223432627e-120,"Ifi207",8.23123223432627e-120,"Down"
1.14399279525923e-108,-2.80192848259333,0.453,0.954,2.01022413982952e-104,"Dab2",2.01022413982952e-104,"Down"
1.22932925633875e-96,-2.5663116680027,0.474,0.963,2.16017736923844e-92,"Mrc1",2.16017736923844e-92,"Down"
1.01124190259678e-89,-2.58435499203385,0.287,0.894,1.77695427124305e-85,"C3ar1",1.77695427124305e-85,"Down"
8.08276036669241e-89,1.81782092256209,0.957,0.887,1.42030265163519e-84,"Tpt1",1.42030265163519e-84,"Up"
5.89429993966201e-88,-2.19426936158907,0.572,0.97,1.03574638539741e-83,"Selenop",1.03574638539741e-83,"Down"
1.06825218178208e-86,-1.93971551000828,0.488,0.965,1.87713273382747e-82,"Ctsb",1.87713273382747e-82,"Down"
3.77482298682136e-81,-2.14199533762512,0.463,0.94,6.63311895244249e-77,"Ctsc",6.63311895244249e-77,"Down"
1.01305873998076e-80,-2.55600453121845,0.26,0.861,1.78014681789419e-76,"C1qa",1.78014681789419e-76,"Down"
3.00411957963327e-78,-1.61821877160352,0.659,0.97,5.27883892533158e-74,"C1qb",5.27883892533158e-74,"Down"
6.60307958898267e-76,-1.35683771877251,0.691,0.991,1.16029314537604e-71,"Eef1a1",1.16029314537604e-71,"Down"
4.79816840389633e-74,-2.06513965624769,0.314,0.882,8.43134151932663e-70,"Sirpa",8.43134151932663e-70,"Down"
5.39711182580565e-70,-2.17186918910915,0.304,0.849,9.4838049003057e-66,"Fcrls",9.4838049003057e-66,"Down"
9.57559498456722e-67,-2.19502304566944,0.266,0.813,1.68262355068815e-62,"Jmjd1c",1.68262355068815e-62,"Down"
6.17023471163615e-66,4.16904942027755,0.575,0.085,1.0842336435287e-61,"Cntnap5b",1.0842336435287e-61,"Up"
1.73163919679463e-65,-2.33048614188286,0.217,0.782,3.04283639660752e-61,"Fcgr3",3.04283639660752e-61,"Down"
4.81834482718593e-64,-2.43159675853445,0.198,0.761,8.46679553033111e-60,"Plek",8.46679553033111e-60,"Down"
2.0013785415823e-60,-1.7815134756431,0.355,0.85,3.51682237326841e-56,"Tmsb4x",3.51682237326841e-56,"Down"
1.74624671377608e-59,-2.59571712877216,0.19,0.718,3.06850472544733e-55,"Slfn2",3.06850472544733e-55,"Down"
1.95109493115466e-59,-2.58553477166912,0.173,0.704,3.42846401302497e-55,"Cd86",3.42846401302497e-55,"Down"
4.45026381719854e-59,-2.36244001553112,0.206,0.731,7.82000357958127e-55,"Lcp1",7.82000357958127e-55,"Down"
2.5263684446808e-57,-2.46149824424831,0.16,0.695,4.43933463099311e-53,"Adgre1",4.43933463099311e-53,"Down"
3.51649335116565e-56,-1.70204063275407,0.42,0.873,6.17918211666828e-52,"Snx2",6.17918211666828e-52,"Down"
2.40167736216124e-54,-1.88340347747223,0.352,0.813,4.22022746078973e-50,"Colec12",4.22022746078973e-50,"Down"
6.5452541232555e-54,-2.14166252832219,0.257,0.743,1.15013205453846e-49,"Stab1",1.15013205453846e-49,"Down"
