"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
2.04810407944675e-60,4.56569433518459,0.946,0.325,3.59892848840383e-56,"Jarid2",3.59892848840383e-56,"Up"
5.35493218302846e-59,4.35645146673506,0.886,0.252,9.4096868320176e-55,"D130009I18Rik",9.4096868320176e-55,"Up"
2.49087569980733e-50,4.46333161932586,0.783,0.19,4.37696677970145e-46,"Tmtc2",4.37696677970145e-46,"Up"
9.29084902839385e-44,-3.40419620294919,0.253,0.816,1.63258799126937e-39,"Hnrnpab",1.63258799126937e-39,"Down"
8.84645085937056e-42,-1.81825353159677,0.675,0.957,1.5544983450086e-37,"Tpt1",1.5544983450086e-37,"Down"
1.19598914200868e-39,4.93533945304654,0.518,0.043,2.10159212033766e-35,"Il31ra",2.10159212033766e-35,"Up"
9.67035318681683e-38,-3.53278904948111,0.163,0.737,1.69927446198745e-33,"Set",1.69927446198745e-33,"Down"
5.44645228228527e-37,3.20528945697921,0.735,0.26,9.57050595043167e-33,"C1qa",9.57050595043167e-33,"Up"
5.77594047520732e-33,2.43686749217734,0.91,0.637,1.01494826030343e-28,"Apoe",1.01494826030343e-28,"Up"
5.73891666225048e-32,2.74285450552674,0.675,0.195,1.00844243589065e-27,"Arhgap21",1.00844243589065e-27,"Up"
5.62956536080435e-30,1.5142621493402,1,0.835,9.89227225200541e-26,"Peak1",9.89227225200541e-26,"Up"
5.02826803394073e-29,-2.01009844749947,0.265,0.808,8.83567258924064e-25,"H19",8.83567258924064e-25,"Down"
1.34551557988128e-28,2.94796706137429,0.584,0.157,2.36433997696738e-24,"Abca1",2.36433997696738e-24,"Up"
2.82110952498182e-28,-1.75205850575466,0.584,0.87,4.95725365729805e-24,"Ptma",4.95725365729805e-24,"Down"
4.48228019183548e-27,2.43551474062948,0.958,0.604,7.87626275309331e-23,"Itga9",7.87626275309331e-23,"Up"
1.38139346097388e-26,5.91564994152787,0.452,0.079,2.42738458962331e-22,"Zfp791",2.42738458962331e-22,"Up"
2.97604278200191e-26,4.76124681738899,0.349,0.024,5.22950237653376e-22,"Sspn",5.22950237653376e-22,"Up"
1.91855397129752e-25,3.33779261672539,0.434,0.065,3.371283038364e-21,"Pmp22",3.371283038364e-21,"Up"
3.06487983215953e-25,3.45986609990572,0.398,0.049,5.38560684107073e-21,"Ifi204",5.38560684107073e-21,"Up"
6.16493282319436e-25,4.28994109846341,0.337,0.024,1.08330199569171e-20,"Msr1",1.08330199569171e-20,"Up"
7.65508278792168e-25,-3.37623579516114,0.193,0.626,1.3451511474936e-20,"Prdx2",1.3451511474936e-20,"Down"
3.19049950777469e-24,3.80186760931279,0.5,0.119,5.60634573506168e-20,"Lyz2",5.60634573506168e-20,"Up"
3.24581365556303e-24,3.03247695067256,0.5,0.117,5.70354375555536e-20,"Fnip2",5.70354375555536e-20,"Up"
1.14232984985482e-23,-3.12678606921965,0.084,0.55,2.00730201216489e-19,"Gpx1",2.00730201216489e-19,"Down"
1.56267802576332e-23,1.24284461554635,0.994,0.875,2.7459378268713e-19,"Zc3h7a",2.7459378268713e-19,"Up"
3.12828229314261e-23,-2.68676621338347,0.151,0.599,5.49701764551019e-19,"Smdt1",5.49701764551019e-19,"Down"
5.12657895446937e-23,2.21690510859163,0.717,0.374,9.00842453879358e-19,"B2m",9.00842453879358e-19,"Up"
5.2096240298618e-23,-1.63020559384738,0.512,0.805,9.15435134527316e-19,"Ppia",9.15435134527316e-19,"Down"
8.41883423529016e-23,-2.32703179716037,0.271,0.664,1.47935755182519e-18,"Hnrnpa2b1",1.47935755182519e-18,"Down"
1.38220556336517e-22,3.35121743882797,0.458,0.098,2.42881161594528e-18,"Zdhhc14",2.42881161594528e-18,"Up"
2.52842377924467e-22,-5.07987432582051,0.06,0.485,4.44294626488873e-18,"Peg10",4.44294626488873e-18,"Down"
4.47226171431427e-22,-1.71472674257944,0.337,0.729,7.85865828439303e-18,"Ftl1-ps1",7.85865828439303e-18,"Down"
4.91727176968088e-22,2.63552046141541,0.47,0.108,8.64062995368324e-18,"Myo5a",8.64062995368324e-18,"Up"
6.24247680336897e-22,2.30771580019138,0.53,0.152,1.09692802388800e-17,"Sdc3",1.09692802388800e-17,"Up"
1.14422291407369e-21,-2.93097843347417,0.114,0.539,2.01062850461029e-17,"Otx2os1",2.01062850461029e-17,"Down"
4.37476111918877e-21,-2.36959367028123,0.199,0.61,7.6873302386385e-17,"Atp5g1",7.6873302386385e-17,"Down"
4.44803279491497e-21,-2.87546842185641,0.163,0.575,7.81608322722459e-17,"Cntnap5b",7.81608322722459e-17,"Down"
6.11493502360616e-21,4.02895452127847,0.386,0.07,1.07451638234808e-16,"Slc9a9",1.07451638234808e-16,"Up"
1.35416110140912e-20,1.8047869151645,0.825,0.659,2.37953188739611e-16,"C1qb",2.37953188739611e-16,"Up"
1.41042585544636e-20,2.38690282835049,0.554,0.192,2.47840031319034e-16,"Cd44",2.47840031319034e-16,"Up"
2.221485202549e-20,2.21073621527814,0.578,0.217,3.90359379791911e-16,"Fcgr3",3.90359379791911e-16,"Up"
2.99335447679817e-20,3.11496286929481,0.416,0.089,5.25992248662975e-16,"Ctss",5.25992248662975e-16,"Up"
2.15344324616245e-19,1.8366617068077,0.614,0.255,3.78403047215667e-15,"Laptm5",3.78403047215667e-15,"Up"
3.09673966394602e-19,-5.89195654464498,0.012,0.388,5.44159093748594e-15,"Hsd3b6",5.44159093748594e-15,"Down"
3.62665303291463e-19,2.35790669301345,0.464,0.125,6.37275470943758e-15,"Syk",6.37275470943758e-15,"Up"
4.33670832524082e-19,2.54757551655461,0.488,0.152,7.62046386911317e-15,"Ahnak",7.62046386911317e-15,"Up"
6.22808039913177e-19,3.72774990540091,0.53,0.203,1.09439828773543e-14,"F13a1",1.09439828773543e-14,"Up"
1.44656100744987e-18,-2.93502526653687,0.108,0.491,2.54189700229092e-14,"Cnbp",2.54189700229092e-14,"Down"
2.61871214089573e-18,-2.8432622878529,0.096,0.485,4.60160097398198e-14,"Grik3",4.60160097398198e-14,"Down"
2.61883111505657e-18,-1.19781578849875,0.578,0.851,4.6018100353774e-14,"Sqstm1",4.6018100353774e-14,"Down"
3.16171884777511e-18,-3.16432881505811,0.066,0.447,5.55577235931042e-14,"Cox6c",5.55577235931042e-14,"Down"
3.33173788175912e-18,2.29539552855551,0.554,0.206,5.85452980582713e-14,"Dnah7b",5.85452980582713e-14,"Up"
3.36099650756929e-18,2.63552046141541,0.422,0.106,5.90594306310075e-14,"Rbm47",5.90594306310075e-14,"Up"
1.20211064960662e-17,-3.43252492600769,0.018,0.382,2.11234883348875e-13,"H3c2",2.11234883348875e-13,"Down"
1.27535974282186e-17,2.39859816198287,0.41,0.1,2.24106214008658e-13,"Eea1",2.24106214008658e-13,"Up"
2.5250707553996e-17,-3.16949052017389,0.072,0.436,4.43705433138818e-13,"Txnl1",4.43705433138818e-13,"Down"
3.07727301549738e-17,2.36435666482041,0.5,0.165,5.407384142832e-13,"Mtss1",5.407384142832e-13,"Up"
6.15300938383462e-17,2.00357418879899,0.44,0.119,1.08120680892742e-12,"Dock2",1.08120680892742e-12,"Up"
6.47414471171479e-17,3.23990041596381,0.398,0.106,1.13763670874252e-12,"Eps8",1.13763670874252e-12,"Up"
1.01978337962183e-16,-4.49963912186622,0.018,0.36,1.79196335467149e-12,"H2ac15",1.79196335467149e-12,"Down"
1.03033936475789e-16,2.88940316887968,0.349,0.073,1.81051233175257e-12,"Mertk",1.81051233175257e-12,"Up"
1.28763886236932e-16,2.83927968945384,0.392,0.1,2.26263900895537e-12,"Cdk14",2.26263900895537e-12,"Up"
3.53476938486424e-16,-2.89452590425712,0.09,0.442,6.21129676308344e-12,"Ubxn1",6.21129676308344e-12,"Down"
