"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.68524079829002e-160,7.64081895935715,0.943,0.051,2.96130513075523e-156,"Zfp791",2.96130513075523e-156,"Up"
6.99157556408252e-135,4.90916019781477,0.952,0.215,1.22855965812058e-130,"D130009I18Rik",1.22855965812058e-130,"Up"
4.22238999562939e-132,3.36668590897789,0.997,0.945,7.41958370031997e-128,"Peak1",7.41958370031997e-128,"Up"
3.42769916893835e-129,5.07926615992975,0.964,0.426,6.02315297965847e-125,"Itga9",6.02315297965847e-125,"Up"
3.57546258741416e-127,4.6529994491802,0.97,0.335,6.28280285860415e-123,"Jarid2",6.28280285860415e-123,"Up"
5.22015670327729e-123,2.75127547652238,0.997,0.986,9.17285935899886e-119,"Zc3h7a",9.17285935899886e-119,"Up"
9.06667003438666e-114,5.06595592731345,0.839,0.12,1.59319525844242e-109,"Tmtc2",1.59319525844242e-109,"Up"
9.20169709304362e-87,3.9633636953292,0.74,0.13,1.61692221318963e-82,"Dnah7b",1.61692221318963e-82,"Up"
9.44975547066324e-86,4.04047710528303,0.734,0.132,1.66051103130494e-81,"Il31ra",1.66051103130494e-81,"Up"
7.67314366593657e-85,4.5117515811512,0.669,0.074,1.34832480497837e-80,"Tlcd4",1.34832480497837e-80,"Up"
4.59389144182764e-68,2.35517880076853,0.872,0.437,8.07238604157953e-64,"Camk1d",8.07238604157953e-64,"Up"
9.46390051536335e-66,5.15404725693831,0.493,0.025,1.66299659855965e-61,"Mphosph8",1.66299659855965e-61,"Up"
1.33570566405957e-56,4.90962852927186,0.427,0.018,2.34710199288548e-52,"Pcdh15",2.34710199288548e-52,"Up"
1.84174814976896e-54,3.0190278704442,0.63,0.158,3.23631984877401e-50,"Arhgap21",3.23631984877401e-50,"Up"
1.6754592427619e-52,4.25205546074263,0.427,0.028,2.94411698138122e-48,"Sspn",2.94411698138122e-48,"Up"
7.17513809174606e-52,5.63209455374295,0.385,0.012,1.26081526548162e-47,"Gnb1l",1.26081526548162e-47,"Up"
2.00520193216239e-51,-1.27687861987612,0.63,0.949,3.52354083519576e-47,"Ppia",3.52354083519576e-47,"Down"
3.03529973152989e-49,-1.79898512031493,0.343,0.813,5.33362868824433e-45,"Colec12",5.33362868824433e-45,"Down"
2.24440026167901e-44,-1.1869847379554,0.758,0.954,3.94386013982236e-40,"Dab2",3.94386013982236e-40,"Down"
1.03181636363583e-39,-1.10163002667503,0.615,0.963,1.81310771418089e-35,"Mrc1",1.81310771418089e-35,"Down"
9.09465328552383e-36,-1.11879150046003,0.552,0.894,1.59811247533225e-31,"C3ar1",1.59811247533225e-31,"Down"
1.47363381323214e-35,-1.68711037321003,0.2,0.636,2.58946933661151e-31,"Lrrfip1",2.58946933661151e-31,"Down"
5.98783018885328e-34,-1.15801059392499,0.43,0.813,1.0521815207853e-29,"Jmjd1c",1.0521815207853e-29,"Down"
7.5956342234291e-34,-1.04521528955958,0.645,0.926,1.33470484574096e-29,"Sqstm1",1.33470484574096e-29,"Down"
7.65561909045197e-33,1.67519308369155,0.722,0.419,1.34524538657422e-28,"Nmbr",1.34524538657422e-28,"Up"
2.2935690350649e-31,-2.07363946406765,0.128,0.518,4.03025950841604e-27,"Cd180",4.03025950841604e-27,"Down"
2.58903401992312e-31,2.60476048782115,0.472,0.146,4.54945057980891e-27,"Ifi27l2a",4.54945057980891e-27,"Up"
6.49629189934549e-30,-1.45975035506248,0.272,0.66,1.14152841255299e-25,"Bach1",1.14152841255299e-25,"Down"
8.85849203350883e-30,1.41736908085073,0.764,0.511,1.55661422012817e-25,"H2-D1",1.55661422012817e-25,"Up"
3.77589459124914e-29,-2.54702287198008,0.075,0.431,6.63500197574298e-25,"Zc3h12c",6.63500197574298e-25,"Down"
5.33276643063172e-28,-1.38754465797289,0.373,0.718,9.37073717190606e-24,"Slfn2",9.37073717190606e-24,"Down"
5.6806307007668e-28,-2.92858566670784,0.063,0.396,9.98200426738742e-24,"Irf2bpl",9.98200426738742e-24,"Down"
8.42654640834033e-27,-1.23195639190825,0.4,0.738,1.48071273487356e-22,"Rnf213",1.48071273487356e-22,"Down"
3.03541708056571e-26,-1.16616661956927,0.43,0.743,5.33383489397007e-22,"Prdx1",5.33383489397007e-22,"Down"
3.97990099747455e-26,-1.05583689252212,0.361,0.746,6.99348203276228e-22,"Ap2m1",6.99348203276228e-22,"Down"
2.52554397091257e-25,2.34214840973576,0.472,0.171,4.43788586568757e-21,"Lars2",4.43788586568757e-21,"Up"
2.97444255747774e-25,2.17053537972688,0.528,0.236,5.22669046199989e-21,"Dusp1",5.22669046199989e-21,"Up"
3.57843219377766e-25,2.17676733343839,0.561,0.266,6.2880210509061e-21,"Jun",6.2880210509061e-21,"Up"
5.01486831598221e-24,-1.90284983462498,0.122,0.451,8.81212660484395e-20,"Ftl1-ps1",8.81212660484395e-20,"Down"
8.54816738087641e-23,-1.09071297742659,0.355,0.692,1.5020839721676e-18,"Epb41l2",1.5020839721676e-18,"Down"
1.35606074665796e-22,2.30921762946204,0.343,0.088,2.38286994402737e-18,"Atf2",2.38286994402737e-18,"Up"
2.19465945456633e-22,-1.44413086328701,0.29,0.609,3.85645559356396e-18,"Plau",3.85645559356396e-18,"Down"
1.30445691976317e-21,-1.19454878841113,0.346,0.651,2.29219169940784e-17,"Marcks",2.29219169940784e-17,"Down"
1.84251185391032e-21,-1.32835529507277,0.233,0.562,3.23766182969121e-17,"Hpgds",3.23766182969121e-17,"Down"
3.18490579535833e-21,-1.52261507791966,0.191,0.505,5.59651646360365e-17,"Septin9",5.59651646360365e-17,"Down"
7.90108403952143e-21,1.22644981158938,0.863,0.861,1.38837848742471e-16,"C1qa",1.38837848742471e-16,"Up"
9.247111216434e-21,-1.10838988329354,0.331,0.653,1.62490238295178e-16,"Calr",1.62490238295178e-16,"Down"
1.51425678358948e-20,-1.26885848567388,0.224,0.544,2.66085202012343e-16,"Cdk6",2.66085202012343e-16,"Down"
5.21260549021521e-20,-1.72270579060764,0.131,0.424,9.15959036740617e-16,"Cpd",9.15959036740617e-16,"Down"
6.80351856229188e-20,-1.03100305353321,0.391,0.692,1.19551428176593e-15,"Eif3a",1.19551428176593e-15,"Down"
8.83311062496771e-20,-1.07709336813747,0.352,0.651,1.55215419901933e-15,"Hnrnpf",1.55215419901933e-15,"Down"
1.09668865443444e-19,-1.2085228224464,0.236,0.556,1.9271013035722e-15,"Wdr1",1.9271013035722e-15,"Down"
1.36342274800698e-19,-1.0535302859834,0.373,0.664,2.39580645279787e-15,"Fus",2.39580645279787e-15,"Down"
3.93578904683358e-19,-1.43725120056685,0.188,0.482,6.91596851309596e-15,"Pomp",6.91596851309596e-15,"Down"
6.08770872980079e-19,-1.15580800564848,0.254,0.556,1.06973217800059e-14,"Aff1",1.06973217800059e-14,"Down"
7.4020368366874e-19,-1.96175253064304,0.11,0.384,1.30068591294271e-14,"Gbp7",1.30068591294271e-14,"Down"
8.33438328677516e-19,-1.00609672371142,0.343,0.657,1.46451783115213e-14,"Gna13",1.46451783115213e-14,"Down"
9.53846800029186e-19,-1.77513837836056,0.11,0.38,1.67609959701129e-14,"Csf1",1.67609959701129e-14,"Down"
2.22095483562368e-18,-1.28428256359729,0.269,0.553,3.90266183715794e-14,"Pdia6",3.90266183715794e-14,"Down"
5.19237030047625e-18,-1.57065261836498,0.143,0.423,9.12403309199687e-14,"Ipo5",9.12403309199687e-14,"Down"
9.88069033895711e-18,-1.79207173507515,0.104,0.368,1.73623490636154e-13,"Ralb",1.73623490636154e-13,"Down"
1.98632788869349e-17,-1.1901141276858,0.272,0.551,3.4903753660122e-13,"Cyfip1",3.4903753660122e-13,"Down"
9.14393143871985e-17,-1.26135377895349,0.242,0.516,1.60677163241185e-12,"Dync1h1",1.60677163241185e-12,"Down"
9.7948304345423e-17,-1.84768571028615,0.099,0.349,1.72114760395777e-12,"Cfap77",1.72114760395777e-12,"Down"
9.85105043179009e-17,-1.90372258442198,0.107,0.363,1.73102658187416e-12,"Cxcl10",1.73102658187416e-12,"Down"
1.02267723369941e-16,-1.7677375539699,0.131,0.387,1.7970484350566e-12,"Mcm6",1.7970484350566e-12,"Down"
1.46784707150231e-16,1.27331914855048,0.603,0.379,2.57930087404386e-12,"6030443J06Rik",2.57930087404386e-12,"Up"
1.57694532466107e-16,-1.05048537898859,0.26,0.556,2.77100832449443e-12,"Cx3cr1",2.77100832449443e-12,"Down"
1.9394393711628e-16,1.78557657611392,0.475,0.234,3.40798286300727e-12,"Gphn",3.40798286300727e-12,"Up"
2.46743658994077e-16,1.21138553030797,0.528,0.278,4.33577957584392e-12,"Myo3a",4.33577957584392e-12,"Up"
4.11484736538924e-16,-1.36165258134573,0.191,0.456,7.23060979046196e-12,"Mfsd1",7.23060979046196e-12,"Down"
4.23457482548018e-16,-1.48443075310985,0.188,0.451,7.44099488333377e-12,"Hmgb2",7.44099488333377e-12,"Down"
5.53763815215288e-16,1.05992068540696,0.716,0.526,9.73073776096304e-12,"H2-K1",9.73073776096304e-12,"Up"
6.42940822236105e-16,-1.44082617152273,0.188,0.447,1.12977561283328e-11,"Evi2a",1.12977561283328e-11,"Down"
7.39707610088241e-16,-1.51421205545363,0.137,0.391,1.29981421244706e-11,"Mfsd11",1.29981421244706e-11,"Down"
4.19297587976435e-15,-1.07191177941833,0.233,0.502,7.36789721592192e-11,"Elmo1",7.36789721592192e-11,"Down"
4.24340629951461e-15,-1.4109095519798,0.152,0.401,7.45651354950708e-11,"Ranbp2",7.45651354950708e-11,"Down"
4.63781051731595e-15,1.37149572588128,0.504,0.276,8.14956064102759e-11,"Uso1",8.14956064102759e-11,"Up"
3.22176108914536e-14,-1.32299284474588,0.197,0.438,5.66127858584622e-10,"Mki67",5.66127858584622e-10,"Down"
6.16803581971459e-14,-1.15062404376145,0.278,0.518,1.08384725424025e-09,"Parp14",1.08384725424025e-09,"Down"
6.2002786838361e-14,-1.02300217893739,0.251,0.502,1.08951297032368e-09,"Ptpn6",1.08951297032368e-09,"Down"
7.38652921835546e-14,-1.28335805536899,0.164,0.405,1.29796091424942e-09,"Adam17",1.29796091424942e-09,"Down"
7.41963512601779e-14,-1.13986646177946,0.23,0.477,1.30377828434385e-09,"Dgkz",1.30377828434385e-09,"Down"
7.71162505369871e-14,-1.47809718051292,0.125,0.354,1.35508675443594e-09,"Camk2d",1.35508675443594e-09,"Down"
1.0097374972182e-13,-1.22152690200588,0.158,0.401,1.77431073011182e-09,"Fbxo11",1.77431073011182e-09,"Down"
1.04663108753749e-13,-1.46813770773905,0.14,0.371,1.83914014702088e-09,"Itgav",1.83914014702088e-09,"Down"
1.51715420345942e-13,1.61612451191265,0.507,0.296,2.66594336631889e-09,"Fos",2.66594336631889e-09,"Up"
1.74285325612578e-13,1.20343528390047,0.522,0.306,3.06254174166422e-09,"Cst3",3.06254174166422e-09,"Up"
1.91708714838328e-13,-1.17073700815499,0.197,0.444,3.3687055371391e-09,"Hivep2",3.3687055371391e-09,"Down"
3.13953164371525e-13,-1.07226021440152,0.248,0.488,5.51678500433644e-09,"Thrap3",5.51678500433644e-09,"Down"
3.98330982145498e-13,-1.09841250225749,0.212,0.454,6.9994720182607e-09,"Rapgef2",6.9994720182607e-09,"Down"
4.44739281964102e-13,-1.56019826072782,0.125,0.342,7.8149586626732e-09,"Dnmt1",7.8149586626732e-09,"Down"
4.87368551118949e-13,-1.05983894711776,0.245,0.486,8.56404018026216e-09,"Ywhah",8.56404018026216e-09,"Down"
5.0548897466634e-13,-1.4629010593729,0.122,0.342,8.88245226283693e-09,"Psma5",8.88245226283693e-09,"Down"
5.45802873512263e-13,-1.03391166733427,0.233,0.481,9.59084809335749e-09,"Tlr2",9.59084809335749e-09,"Down"
7.610732292903e-13,-1.05579211405506,0.248,0.489,1.33735787850891e-08,"Atp5g1",1.33735787850891e-08,"Down"
7.61594295706705e-13,-1.42895372744956,0.119,0.336,1.33827349641582e-08,"Hif1a",1.33827349641582e-08,"Down"
7.96805141629219e-13,1.52260696536854,0.612,0.449,1.40014599487086e-08,"Lyz2",1.40014599487086e-08,"Up"
1.05365249703942e-12,1.22513035499979,0.582,0.403,1.85147816779767e-08,"Btrc",1.85147816779767e-08,"Up"
3.1247788472039e-12,-1.29611424041274,0.146,0.363,5.49086139030669e-08,"Dpysl2",5.49086139030669e-08,"Down"
4.01242878416408e-12,-1.24883940755064,0.191,0.408,7.05063985953312e-08,"Itpkb",7.05063985953312e-08,"Down"
4.07823286924633e-12,-1.13338359367262,0.224,0.447,7.16627079783966e-08,"Eif4g1",7.16627079783966e-08,"Down"
5.08611854112141e-12,-1.08215096392317,0.206,0.435,8.93732750045854e-08,"Rbm3",8.93732750045854e-08,"Down"
9.47183714168889e-12,-1.08528930547157,0.221,0.442,1.66439122253757e-07,"Rab2a",1.66439122253757e-07,"Down"
1.36627963220954e-11,-1.23827016584045,0.158,0.371,2.40082656971861e-07,"Ddb1",2.40082656971861e-07,"Down"
1.41614460675325e-11,-1.19044164074984,0.191,0.407,2.48844930298682e-07,"Swap70",2.48844930298682e-07,"Down"
1.75311617576509e-11,-1.25087020262009,0.134,0.34,3.08057574405442e-07,"Pa2g4",3.08057574405442e-07,"Down"
1.85477197261291e-11,-1.41160176872601,0.137,0.338,3.2592053102754e-07,"Ube2f",3.2592053102754e-07,"Down"
2.04210067913636e-11,-1.11469548072192,0.176,0.393,3.58837931337841e-07,"Raly",3.58837931337841e-07,"Down"
2.16734146048862e-11,-1.21518655272741,0.17,0.379,3.8084524143706e-07,"Lcp2",3.8084524143706e-07,"Down"
2.84506468624944e-11,-1.01804884354563,0.2,0.417,4.99934766667751e-07,"Cnbp",4.99934766667751e-07,"Down"
5.55208702538173e-11,1.20833741243926,0.337,0.155,9.75612732100078e-07,"Fcgr2b",9.75612732100078e-07,"Up"
9.28311017721334e-11,-1.33052867369244,0.152,0.347,1.63122812033993e-06,"Rab5if",1.63122812033993e-06,"Down"
9.8474322480801e-11,-1.16185705032128,0.158,0.359,1.73039079463264e-06,"Prelid1",1.73039079463264e-06,"Down"
1.64329901038098e-10,-1.42589716901622,0.149,0.338,2.88760502104146e-06,"Igsf6",2.88760502104146e-06,"Down"
2.02872801077182e-10,1.43330797718668,0.394,0.22,3.56488086052823e-06,"Lilr4b",3.56488086052823e-06,"Up"
3.94630384684964e-10,-1.18936056535951,0.152,0.345,6.93444511968418e-06,"Slc15a3",6.93444511968418e-06,"Down"
9.16270397001175e-10,-1.15201443249003,0.149,0.336,1.61007034161046e-05,"Psme2",1.61007034161046e-05,"Down"
1.00172737972825e-09,-1.02625976303113,0.197,0.393,1.76023535165848e-05,"Mapk6",1.76023535165848e-05,"Down"
2.17110957676452e-09,-1.06180501495349,0.173,0.361,3.81507374829062e-05,"Slfn5",3.81507374829062e-05,"Down"
2.37154255654532e-09,1.23782885917467,0.376,0.204,4.16727458036144e-05,"Mndal",4.16727458036144e-05,"Up"
4.23054602925164e-09,1.4971091774338,0.394,0.239,7.43391548260098e-05,"Timp2",7.43391548260098e-05,"Up"
4.46129297421831e-09,-1.03608131522719,0.173,0.357,7.83938401429641e-05,"Cct2",7.83938401429641e-05,"Down"
5.71926499672205e-09,-1.12175615711403,0.158,0.335,0.0001004989245224,"Hadha",0.0001004989245224,"Down"
6.04436416654285e-09,1.20533648563516,0.352,0.192,0.000106211567134491,"Trf",0.000106211567134491,"Up"
6.94820563680749e-09,-1.16940830769565,0.164,0.338,0.000122093869449981,"Riok3",0.000122093869449981,"Down"
1.39374274131477e-08,-1.01671239598282,0.185,0.364,0.000244908474503831,"Txnrd1",0.000244908474503831,"Down"
1.57902380803444e-08,-1.13135496192394,0.176,0.347,0.000277466063547812,"Snx24",0.000277466063547812,"Down"
