"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
7.93258183789598e-204,-1.3599969321311,0.785,0.959,2.32424647850352e-201,"Hand1",2.32424647850352e-201,"Down"
1.13456630572202e-134,-1.02095761458851,0.865,0.972,3.32427927576552e-132,"Nr6a1",3.32427927576552e-132,"Down"
6.82599663222987e-94,1.27740028145219,0.731,0.433,2.00001701324335e-91,"Cebpg",2.00001701324335e-91,"Up"
4.04419462879021e-79,1.10006981427362,0.498,0.149,1.18494902623553e-76,"Hsf1",1.18494902623553e-76,"Up"
1.38023205134401e-70,1.19589905650218,0.553,0.216,4.04407991043794e-68,"Bcl11a",4.04407991043794e-68,"Up"
1.12880373274192e-58,1.30273168122842,0.423,0.165,3.30739493693382e-56,"Snd1",3.30739493693382e-56,"Up"
1.45394122237403e-52,-1.3672563216202,0.285,0.504,4.2600477815559e-50,"Creb3",4.2600477815559e-50,"Down"
5.2407404342346e-42,-1.02869318186245,0.465,0.649,1.53553694723074e-39,"Grhl2",1.53553694723074e-39,"Down"
1.69586397901815e-33,1.04747865590959,0.367,0.175,4.96888145852318e-31,"Zscan21",4.96888145852318e-31,"Up"
3.81941269938712e-33,1.07811113016957,0.402,0.217,1.11908792092043e-30,"Mlx",1.11908792092043e-30,"Up"
