"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
4.174891008485e-120,3.06267352450091,0.958,0.285,1.2232430654861e-117,"Creb3",1.2232430654861e-117,"Up"
5.6789427763175e-94,3.19414599696943,0.982,0.575,1.66393023346103e-91,"Max",1.66393023346103e-91,"Up"
5.58894235559919e-84,2.36755508522905,0.94,0.407,1.63756011019056e-81,"Patz1",1.63756011019056e-81,"Up"
1.97701115144038e-83,1.87795718029554,0.994,0.774,5.79264267372031e-81,"Atf2",5.79264267372031e-81,"Up"
3.44866601947527e-34,2.06257183879105,0.789,0.423,1.01045914370625e-31,"Snd1",1.01045914370625e-31,"Up"
1.29056824112148e-29,1.78524166441109,0.777,0.431,3.78136494648594e-27,"Zfp654",3.78136494648594e-27,"Up"
1.30560169916475e-29,1.17378858551409,0.976,0.764,3.82541297855272e-27,"Sox17",3.82541297855272e-27,"Up"
4.98565222889907e-27,1.14738246700491,0.976,0.785,1.46079610306743e-24,"Hand1",1.46079610306743e-24,"Up"
8.91278201318198e-27,1.07102515338589,1,0.998,2.61144512986232e-24,"Erg",2.61144512986232e-24,"Up"
1.0818545020179e-20,1.04888860186468,0.976,0.857,3.16983369091246e-18,"Tead4",3.16983369091246e-18,"Up"
2.12312415934819e-20,1.24625217748192,0.898,0.701,6.22075378689019e-18,"Creb3l2",6.22075378689019e-18,"Up"
3.16229653054386e-18,1.32655948393674,0.958,0.849,9.26552883449351e-16,"Nfatc1",9.26552883449351e-16,"Up"
2.47472991572013e-17,1.28986708281582,0.398,0.136,7.25095865305998e-15,"Gmeb1",7.25095865305998e-15,"Up"
4.65963643913886e-16,2.18251893098733,0.476,0.23,1.36527347666769e-13,"Zkscan6",1.36527347666769e-13,"Up"
3.06007602406499e-15,1.15269312249754,0.867,0.708,8.96602275051041e-13,"Pax8",8.96602275051041e-13,"Up"
4.79362842613363e-15,1.2023398677161,0.735,0.481,1.40453312885715e-12,"Prdm1",1.40453312885715e-12,"Up"
6.96655142020343e-14,1.37920557312668,0.729,0.515,2.04119956611961e-11,"Hoxa10",2.04119956611961e-11,"Up"
6.17674797618464e-13,1.48815933803009,0.488,0.256,1.8097871570221e-10,"Plag1",1.8097871570221e-10,"Up"
1.60726583493627e-12,1.69570845034365,0.717,0.478,4.70928889636327e-10,"Nfia",4.70928889636327e-10,"Up"
4.36511901796673e-12,1.19809027547038,0.849,0.722,1.27897987226425e-09,"Fosl1",1.27897987226425e-09,"Up"
7.17058997991886e-12,1.0385471249677,0.97,0.92,2.10098286411623e-09,"Zeb1",2.10098286411623e-09,"Up"
6.99127157083641e-11,1.40536176805243,0.566,0.362,2.04844257025507e-08,"Ltf",2.04844257025507e-08,"Up"
1.78381039588774e-10,1.17296550383745,0.681,0.473,5.22656445995107e-08,"Zbtb16",5.22656445995107e-08,"Up"
5.11575502364385e-10,1.20973481241741,0.735,0.549,1.49891622192765e-07,"Sp2",1.49891622192765e-07,"Up"
6.61541248240371e-10,1.5730300715717,0.584,0.399,1.93831585734429e-07,"Zbtb18",1.93831585734429e-07,"Up"
7.66235951897355e-08,1.74013634531242,0.602,0.46,2.24507133905925e-05,"Tcf21",2.24507133905925e-05,"Up"
5.16582881896704e-07,1.22826491097371,0.657,0.509,0.000151358784395734,"Ebf2",0.000151358784395734,"Up"
1.02471857547408e-06,1.15262798297477,0.47,0.285,0.000300242542613905,"Nfatc2",0.000300242542613905,"Up"
2.75730848381934e-06,1.28795874958956,0.446,0.263,0.000807891385759068,"Gata6",0.000807891385759068,"Up"
5.01969194922155e-06,1.31667293644878,0.633,0.486,0.00147076974112191,"Rfx2",0.00147076974112191,"Up"
2.17391018100307e-05,1.09749214974515,0.452,0.307,0.00636955683033899,"Zbtb40",0.00636955683033899,"Up"
