"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.29247717137082e-107,2.24871677659373,1,0.882,3.7869581121165e-105,"Atf2",3.7869581121165e-105,"Up"
1.29794481957565e-106,2.77520729474498,0.943,0.336,3.80297832135665e-104,"Patz1",3.80297832135665e-104,"Up"
9.22760729870107e-76,1.66440263310786,0.995,0.749,2.70368893851941e-73,"Zfp507",2.70368893851941e-73,"Up"
7.99341243122714e-66,3.10596822907227,0.454,0.053,2.34206984234955e-63,"Zkscan6",2.34206984234955e-63,"Up"
2.32551498378686e-58,2.69563251168443,0.897,0.536,6.8137589024955e-56,"Max",6.8137589024955e-56,"Up"
2.8018676544239e-55,2.75195369420588,0.629,0.165,8.20947222746202e-53,"Snd1",8.20947222746202e-53,"Up"
3.09441043280877e-50,1.12037163204193,1,0.985,9.06662256812969e-48,"Pou2f1",9.06662256812969e-48,"Up"
4.78585095067775e-49,-1.40952594621332,0.665,0.972,1.40225432854858e-46,"Nr6a1",1.40225432854858e-46,"Down"
3.43605548742355e-48,1.41088206461674,0.881,0.504,1.0067642578151e-45,"Creb3",1.0067642578151e-45,"Up"
1.25029966805196e-47,2.50589921743179,0.639,0.179,3.66337802739224e-45,"Nfia",3.66337802739224e-45,"Up"
1.80855703166528e-42,2.04305761040198,0.639,0.198,5.29907210277927e-40,"Zfp654",5.29907210277927e-40,"Up"
5.48218791199778e-42,1.91759777392662,0.902,0.719,1.60628105821535e-39,"Nfatc1",1.60628105821535e-39,"Up"
2.81104910643414e-37,1.98327289365676,0.68,0.234,8.23637388185202e-35,"Sp2",8.23637388185202e-35,"Up"
4.10185103335356e-37,1.73534447710136,0.428,0.084,1.20184235277259e-34,"Plag1",1.20184235277259e-34,"Up"
2.5578742651867e-36,2.22199669822893,0.655,0.231,7.49457159699703e-34,"Tcf21",7.49457159699703e-34,"Up"
1.27478025213007e-35,1.10010227492675,0.995,0.996,3.73510613874111e-33,"Fli1",3.73510613874111e-33,"Up"
1.76978125203168e-35,1.88613802500456,0.505,0.13,5.18545906845282e-33,"Zbtb18",5.18545906845282e-33,"Up"
3.46455353693487e-35,1.90017266288568,0.557,0.149,1.01511418632192e-32,"Hsf1",1.01511418632192e-32,"Up"
4.40948290860517e-35,1.56614064796139,0.876,0.556,1.29197849222131e-32,"Sox17",1.29197849222131e-32,"Up"
2.23783660794913e-30,1.70276887066946,0.459,0.115,6.55686126129096e-28,"Zbtb40",6.55686126129096e-28,"Up"
1.76094477770235e-28,1.15460547317567,0.99,0.933,5.15956819866789e-26,"Bhlhe41",5.15956819866789e-26,"Up"
2.35839925995037e-27,1.6362129481429,0.814,0.469,6.9101098316546e-25,"Fosl1",6.9101098316546e-25,"Up"
9.05217348928739e-25,1.87651904435299,0.582,0.225,2.6522868323612e-22,"Rfx2",2.6522868323612e-22,"Up"
1.56149932201456e-24,1.04887960765993,0.479,0.137,4.57519301350266e-22,"Egr2",4.57519301350266e-22,"Up"
3.32861969795758e-23,1.02612016895156,0.995,0.984,9.75285571501571e-21,"Rara",9.75285571501571e-21,"Up"
1.25246948909191e-22,2.12958438428846,0.423,0.139,3.6697356030393e-20,"Gata6",3.6697356030393e-20,"Up"
2.32622895754372e-22,1.35650641988887,0.598,0.224,6.81585084560311e-20,"Ebf2",6.81585084560311e-20,"Up"
2.76506431731266e-22,1.45218257263061,0.572,0.216,8.10163844972608e-20,"Bcl11a",8.10163844972608e-20,"Up"
3.42504084675787e-18,1.0984634356488,0.572,0.215,1.00353696810006e-15,"Zbtb16",1.00353696810006e-15,"Up"
3.60484564081159e-18,1.17204489332174,0.763,0.413,1.0562197727578e-15,"Zbtb7b",1.0562197727578e-15,"Up"
7.97816906097277e-18,1.01404336796768,0.948,0.9,2.33760353486502e-15,"Atf5",2.33760353486502e-15,"Up"
7.77896655618929e-13,1.15517460084991,0.706,0.448,2.27923720096346e-10,"Xbp1",2.27923720096346e-10,"Up"
2.37183523194461e-12,1.19284132010034,0.763,0.499,6.94947722959772e-10,"Smad4",6.94947722959772e-10,"Up"
4.19723223607744e-11,1.62280378955547,0.366,0.175,1.22978904517069e-08,"Zscan21",1.22978904517069e-08,"Up"
6.6864798379022e-11,1.8994145640838,0.392,0.201,1.95913859250534e-08,"Vdr",1.95913859250534e-08,"Up"
1.69021263911707e-07,1.03778634813804,0.691,0.507,4.95232303261301e-05,"Hoxa10",4.95232303261301e-05,"Up"
2.91173145345762e-07,1.33732272736004,0.387,0.217,8.53137315863081e-05,"Mlx",8.53137315863081e-05,"Up"
6.26188703743385e-07,1.18395263330301,0.5,0.329,0.000183473290196812,"Elk4",0.000183473290196812,"Up"
6.09073521990583e-06,1.25792886854803,0.34,0.215,0.00178458541943241,"Nr1h3",0.00178458541943241,"Up"
9.63761900399108e-06,1.39032314640188,0.541,0.439,0.00282382236816939,"Nfya",0.00282382236816939,"Up"
1.77029549983981e-05,1.11118476625331,0.546,0.433,0.00518696581453065,"Cebpg",0.00518696581453065,"Up"
