"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
0,2.15001750450184,0.956,0.934,0,"Set-201",4.2314264533571e-299,"Up"
5.50579859650389e-304,-1.53561862678334,0.779,0.99,4.2314264533571e-299,"Eef1a1-201",4.2314264533571e-299,"Down"
5.63083869208699e-299,-2.24031736742292,0.122,0.772,4.32752476841653e-294,"Baiap2l1-201",4.32752476841653e-294,"Down"
1.73873055555086e-262,-2.18869320597267,0.148,0.749,1.33628398116306e-257,"Nup62cl-201",1.33628398116306e-257,"Down"
9.95065115434209e-258,-2.00260548917819,0.183,0.792,7.64747343815807e-253,"Usp9x-201",7.64747343815807e-253,"Down"
5.89044588169805e-237,-1.9680868673806,0.148,0.733,4.52704327792022e-232,"Nsd1-201",4.52704327792022e-232,"Down"
1.74987928625641e-233,-2.49957667141013,0.094,0.619,1.3448522266595e-228,"Ogt-201",1.3448522266595e-228,"Down"
2.21744433856695e-221,-1.86717312915396,0.128,0.673,1.70419467196224e-216,"Eif2s3x-201",1.70419467196224e-216,"Down"
5.83855064123342e-213,1.85524442887382,0.868,0.792,4.48715970981353e-208,"Hnrnpab-202",4.48715970981353e-208,"Up"
4.95828014484542e-212,-1.79801169014944,0.212,0.76,3.8106366225195e-207,"Brd4-203",3.8106366225195e-207,"Down"
6.43602859332483e-211,-1.78165085665703,0.302,0.824,4.94634541511387e-206,"Trip12-206",4.94634541511387e-206,"Down"
1.43173516701679e-210,-1.61267819177294,0.325,0.871,1.10034574525908e-205,"Hdlbp-202",1.10034574525908e-205,"Down"
5.41698357066474e-210,-1.5749777617783,0.357,0.887,4.16316855339868e-205,"Trip12-201",4.16316855339868e-205,"Down"
2.21394148816877e-209,1.79282052150257,0.871,0.797,1.70150259131723e-204,"Hnrnpab-203",1.70150259131723e-204,"Up"
1.04110872492817e-207,-1.50768232522883,0.433,0.917,8.00133699456294e-203,"Pabpc1-201",8.00133699456294e-203,"Down"
3.92245149518324e-207,-1.5735316576508,0.539,0.947,3.01456087210813e-202,"Igf2-205",3.01456087210813e-202,"Down"
5.25031053259074e-207,-2.17061544086244,0.116,0.628,4.03507365671729e-202,"Etl4-202",4.03507365671729e-202,"Down"
1.92896236962786e-205,-1.55486161697891,0.126,0.661,1.4824847395538e-200,"Rere-202",1.4824847395538e-200,"Down"
5.13399245076127e-204,-2.35851633722456,0.254,0.777,3.94567855810806e-199,"Wnk1-202",3.94567855810806e-199,"Down"
1.29678844177328e-202,-1.67819826335554,0.135,0.658,9.96633789040437e-198,"ENSMUST00000249998.1",9.96633789040437e-198,"Down"
2.02519984319351e-199,-1.51118341399291,0.148,0.694,1.55644708748794e-194,"Nup153-201",1.55644708748794e-194,"Down"
4.19074806373308e-197,-1.95793749859107,0.174,0.717,3.22075751690142e-192,"Gigyf2-201",3.22075751690142e-192,"Down"
1.30656645701214e-196,-1.48295078565531,0.172,0.722,1.00414858487211e-191,"Crebbp-201",1.00414858487211e-191,"Down"
2.00060951210091e-195,-2.56068441181455,0.092,0.556,1.53754843443004e-190,"Arhgef6-201",1.53754843443004e-190,"Down"
2.80635458188317e-195,-1.62588231325543,0.313,0.828,2.15679575036049e-190,"Huwe1-201",2.15679575036049e-190,"Down"
7.79695594389894e-194,-1.97909067245719,0.162,0.68,5.99227252112409e-189,"Zmiz1-208",5.99227252112409e-189,"Down"
4.10962182425549e-193,-1.53696517045026,0.13,0.64,3.15840875681331e-188,"Septin2-201",3.15840875681331e-188,"Down"
6.68235468413726e-193,-2.01468125859359,0.105,0.59,5.13565686894685e-188,"Ankrd13a-201",5.13565686894685e-188,"Down"
6.99762161962908e-193,-1.71189319454528,0.172,0.69,5.37795211954973e-188,"Ubap2l-208",5.37795211954973e-188,"Down"
1.38372726074643e-192,-1.43787855920507,0.173,0.729,1.06344974897406e-187,"Gpbp1-201",1.06344974897406e-187,"Down"
1.75542795304154e-192,-2.02894215423114,0.053,0.49,1.34911659903054e-187,"Med13-201",1.34911659903054e-187,"Down"
2.73706559437694e-191,-1.80992750189027,0.102,0.591,2.10354439190246e-186,"Abce1-201",2.10354439190246e-186,"Down"
3.57942083986019e-191,-1.44299569959277,0.167,0.713,2.75092809226615e-186,"Magea9-201",2.75092809226615e-186,"Down"
7.3561772747821e-191,-2.15841253550912,0.255,0.793,5.65351648276104e-186,"Gnas-202",5.65351648276104e-186,"Down"
1.02538826971276e-190,-1.35032137369728,0.161,0.704,7.88051900805046e-186,"Cdc42-202",7.88051900805046e-186,"Down"
1.23064914339252e-190,-1.75399063314198,0.17,0.685,9.45803092662887e-186,"Sfmbt2-201",9.45803092662887e-186,"Down"
3.5177547778616e-190,-2.22818690422102,0.065,0.51,2.70353525697775e-185,"Eif3e-204",2.70353525697775e-185,"Down"
6.29461069931093e-190,-1.68342079042933,0.17,0.683,4.83766010684843e-185,"Ubap2l-202",4.83766010684843e-185,"Down"
8.07521864329613e-189,1.64439090228335,0.879,0.799,6.2061285361188e-184,"Hnrnpab-201",6.2061285361188e-184,"Up"
2.68701919380858e-188,-1.37614729514239,0.157,0.682,2.06508173120964e-183,"Setd2-201",2.06508173120964e-183,"Down"
2.79334685746872e-188,-1.27159725395713,0.152,0.686,2.14679879383901e-183,"Bzw1-201",2.14679879383901e-183,"Down"
2.4875693624702e-186,-2.14991539262198,0.075,0.525,1.91179655783285e-181,"Baz2a-208",1.91179655783285e-181,"Down"
4.51175012122448e-186,-1.40739312499427,0.172,0.716,3.46746043816586e-181,"Gpbp1-202",3.46746043816586e-181,"Down"
1.79495288733924e-185,-1.62559237524013,0.076,0.533,1.3794930920357e-180,"Slf2-201",1.3794930920357e-180,"Down"
3.02575074194629e-185,-2.05633962834771,0.07,0.511,2.3254104752154e-180,"Baz2a-202",2.3254104752154e-180,"Down"
5.03982563716575e-185,-1.44582133944778,0.175,0.708,3.87330759518737e-180,"Xpo1-202",3.87330759518737e-180,"Down"
7.27418789861372e-185,-1.68295985202995,0.109,0.596,5.59050436760059e-180,"Pds5a-209",5.59050436760059e-180,"Down"
1.58346894837061e-184,-1.99328132651739,0.074,0.52,1.21695922558075e-179,"Baz2a-201",1.21695922558075e-179,"Down"
4.70528445584758e-184,-1.57353208798365,0.17,0.698,3.6161993156971e-179,"Srrm1-203",3.6161993156971e-179,"Down"
1.42747578926522e-181,-2.10376703924797,0.064,0.493,1.09707224308189e-176,"Baz2a-203",1.09707224308189e-176,"Down"
1.67658052205734e-181,-1.47757819955313,0.333,0.865,1.28851919442195e-176,"Cul4b-203",1.28851919442195e-176,"Down"
2.11113994720149e-181,-1.46394644146457,0.097,0.572,1.62249549502223e-176,"Phf3-201",1.62249549502223e-176,"Down"
4.10392522371293e-181,-1.48513541868649,0.155,0.675,3.15403069143234e-176,"Cct4-204",3.15403069143234e-176,"Down"
7.59304645751605e-181,-2.05216237141639,0.068,0.502,5.83555992445938e-176,"Baz2a-209",5.83555992445938e-176,"Down"
1.00251231888795e-180,-1.43452592835059,0.097,0.572,7.70470817558146e-176,"Phf3-205",7.70470817558146e-176,"Down"
5.45313830900672e-180,-1.96071120444859,0.074,0.518,4.19095491600402e-175,"Errfi1-202",4.19095491600402e-175,"Down"
5.5420864424579e-180,-1.45029074493544,0.118,0.607,4.25931511448659e-175,"Tnpo1-201",4.25931511448659e-175,"Down"
8.07805857204345e-180,-1.2745709279473,0.113,0.597,6.20831113495827e-175,"Api5-201",6.20831113495827e-175,"Down"
3.34723101259958e-179,-1.19704102726798,0.149,0.674,2.57248092242328e-174,"Ppig-201",2.57248092242328e-174,"Down"
7.90105983041723e-178,-1.56084112424423,0.17,0.692,6.07228052206886e-173,"Brd3-201",6.07228052206886e-173,"Down"
1.01007710660951e-177,-1.01434613125113,0.147,0.676,7.76284659513673e-173,"Eif3e-201",7.76284659513673e-173,"Down"
1.09767239542368e-177,-1.29042881454875,0.218,0.765,8.43605142778914e-173,"Coro1c-201",8.43605142778914e-173,"Down"
1.75556544397511e-177,-1.43918839097881,0.133,0.62,1.34922226631263e-172,"Ranbp2-201",1.34922226631263e-172,"Down"
1.11809769514019e-176,-1.29399482618832,0.125,0.624,8.59302802623041e-172,"Ssb-206",8.59302802623041e-172,"Down"
3.95790508403174e-176,-2.50355312807673,0.044,0.438,3.04180837328175e-171,"Dock9-201",3.04180837328175e-171,"Down"
6.87423356448825e-176,-1.22412298103059,0.104,0.582,5.2831234636518e-171,"Gtpbp4-204",5.2831234636518e-171,"Down"
1.07045492947353e-175,-1.64978081961274,0.09,0.548,8.22687431497583e-171,"Pgk1-201",8.22687431497583e-171,"Down"
1.89715413242275e-175,-1.73977172323528,0.061,0.48,1.45803883693218e-170,"Ppp1r10-202",1.45803883693218e-170,"Down"
4.57171509546274e-175,-1.58039676679331,0.094,0.552,3.51354591946693e-170,"Bod1l-201",3.51354591946693e-170,"Down"
5.21588465837169e-175,-1.73070686652757,0.06,0.478,4.00861599534498e-170,"Ppp1r10-201",4.00861599534498e-170,"Down"
8.87601333822082e-175,-1.45008506325938,0.126,0.614,6.82157129095623e-170,"Zfp207-201",6.82157129095623e-170,"Down"
2.9387280693233e-174,-1.79808374466336,0.151,0.639,2.25853007039773e-169,"Bbx-208",2.25853007039773e-169,"Down"
2.97445840643973e-174,-1.59368564659882,0.086,0.531,2.28599026368519e-169,"Ergic2-208",2.28599026368519e-169,"Down"
7.13261691998743e-174,-1.78713597826734,0.084,0.53,5.48170140768714e-169,"Pacsin2-206",5.48170140768714e-169,"Down"
8.28371784499092e-174,-1.5295039588458,0.088,0.536,6.36636851258932e-169,"Fxr1-204",6.36636851258932e-169,"Down"
2.0135196507539e-173,-2.41892245877241,0.043,0.429,1.54747039239041e-168,"Dock9-206",1.54747039239041e-168,"Down"
2.39517587920046e-173,-1.44506079014623,0.071,0.503,1.84078847020072e-168,"Psmc6-201",1.84078847020072e-168,"Down"
4.25011933068779e-173,-1.43565979432085,0.091,0.546,3.2663867104068e-168,"Usp34-208",3.2663867104068e-168,"Down"
6.57288701376629e-173,-1.49099398763442,0.07,0.503,5.05152658555995e-168,"Nipbl-201",5.05152658555995e-168,"Down"
2.17781582875422e-172,-1.26226151961383,0.134,0.629,1.67373857703077e-167,"Tnpo1-202",1.67373857703077e-167,"Down"
3.26750386111197e-172,-2.00562660376426,0.252,0.764,2.51120741741899e-167,"Gnas-208",2.51120741741899e-167,"Down"
6.1270002620288e-172,-1.49466657799899,0.089,0.538,4.70884478137961e-167,"Aco2-201",4.70884478137961e-167,"Down"
6.99730664220784e-172,-1.5269208023074,0.323,0.811,5.37771004680241e-167,"Hdlbp-201",5.37771004680241e-167,"Down"
8.26630675442272e-171,-1.70534003806232,0.064,0.48,6.35298739304404e-166,"Celf1-208",6.35298739304404e-166,"Down"
1.06412911423298e-170,-1.50472782031789,0.086,0.53,8.17825789452616e-166,"Usp34-205",8.17825789452616e-166,"Down"
6.00142391085519e-170,-1.04449130508833,0.162,0.686,4.61233433244864e-165,"Ppig-202",4.61233433244864e-165,"Down"
8.06314729740865e-170,-1.57632532474123,0.067,0.487,6.19685122395044e-165,"Celf1-207",6.19685122395044e-165,"Down"
2.88339739626769e-169,-1.92104787187121,0.109,0.557,2.21600623492757e-164,"Etl4-209",2.21600623492757e-164,"Down"
1.25619413041966e-168,-2.06068490704508,0.084,0.516,9.65435436992728e-164,"Pik3c2a-201",9.65435436992728e-164,"Down"
5.63669813885632e-168,-1.35816017608931,0.138,0.628,4.33202798763664e-163,"Sp3-201",4.33202798763664e-163,"Down"
9.94579217456199e-168,-1.57996900147868,0.06,0.47,7.64373911783787e-163,"Ckap5-202",7.64373911783787e-163,"Down"
1.82193064076942e-167,-1.3122384947961,0.185,0.704,1.40022657465693e-162,"Trrap-203",1.40022657465693e-162,"Down"
