"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
0,9.70857085535363,0.922,0.024,0,"Ctsj-202",4.00973483633734e-297,"Up"
0,12.6274443147168,0.819,0.003,0,"Ctsq-201",4.00973483633734e-297,"Up"
0,17.5552471866306,0.747,0,0,"Cts6-201",4.00973483633734e-297,"Up"
5.2173404589707e-302,8.41791037719704,0.639,0.005,4.00973483633734e-297,"Ctsr-201",4.00973483633734e-297,"Up"
4.42905070360401e-296,7.68077457626006,0.705,0.013,3.40390262774782e-291,"Fnd3c2-201",3.40390262774782e-291,"Up"
8.54617151999042e-255,9.14305642811967,0.53,0.003,6.56807465997343e-250,"Lepr-203",6.56807465997343e-250,"Up"
2.30342826205101e-251,9.22503681798701,0.735,0.029,1.77027675651668e-246,"Prl2b1-202",1.77027675651668e-246,"Up"
8.93241647419241e-236,8.27859196004791,0.849,0.059,6.86491935707583e-231,"Prl3b1-201",6.86491935707583e-231,"Up"
7.02925936226383e-235,9.45357715276895,0.482,0.002,5.40226699027424e-230,"Lepr-202",5.40226699027424e-230,"Up"
4.78519356427218e-231,7.09883447781898,0.602,0.013,3.67761266188574e-226,"Ctsj-201",3.67761266188574e-226,"Up"
2.95497233468687e-225,9.01158650534685,0.464,0.002,2.27101443810024e-220,"Lepr-201",2.27101443810024e-220,"Up"
3.43637301865732e-222,6.90968686144691,0.663,0.026,2.64099011975889e-217,"Cited1-201",2.64099011975889e-217,"Up"
2.42393759143515e-165,4.86973575963006,0.729,0.066,1.86289299652157e-160,"Tfpi-201",1.86289299652157e-160,"Up"
1.64075565772596e-163,5.02549185873639,0.729,0.068,1.26098635318871e-158,"Tfpi-206",1.26098635318871e-158,"Up"
7.5873484478704e-160,5.47017608252858,0.56,0.03,5.83118077612632e-155,"Prl7d1-203",5.83118077612632e-155,"Up"
1.29843981023266e-153,6.00207936457903,0.464,0.017,9.97902931756209e-149,"Muc1-201",9.97902931756209e-149,"Up"
1.22176003472443e-137,5.44968669192147,0.428,0.017,9.38971457087112e-133,"Ghrh-201",9.38971457087112e-133,"Up"
1.02774071144494e-126,5.31551769845398,0.44,0.022,7.89859846373894e-122,"Prl7d1-201",7.89859846373894e-122,"Up"
1.16265154904348e-103,4.97671787182909,0.386,0.022,8.93544221501876e-99,"Prl2c5-201",8.93544221501876e-99,"Up"
9.57357366851982e-96,3.50461883083435,0.458,0.039,7.35767430720423e-91,"Col1a1-201",7.35767430720423e-91,"Up"
6.64194877141501e-94,4.47110804584057,0.88,0.255,5.10460330878329e-89,"Gnas-202",5.10460330878329e-89,"Up"
5.21961745276981e-92,3.75963352034853,0.458,0.042,4.01148479715171e-87,"Rhox12-201",4.01148479715171e-87,"Up"
1.59768404412942e-90,4.62911859482824,0.331,0.018,1.22788409527522e-85,"Serpine1-201",1.22788409527522e-85,"Up"
2.8854307444387e-90,3.85592918427045,0.53,0.064,2.21756894433092e-85,"Psg21-201",2.21756894433092e-85,"Up"
1.24776887645172e-87,-4.56869323224896,0.277,0.956,9.58960292308203e-83,"Set-201",9.58960292308203e-83,"Down"
1.00173531727003e-86,3.73208897937016,0.422,0.037,7.69873660734712e-82,"Col1a2-201",7.69873660734712e-82,"Up"
1.18709937000353e-86,3.72638797980307,0.428,0.039,9.12333349822514e-82,"Psg23-201",9.12333349822514e-82,"Up"
1.21737903554432e-84,-2.4722555404568,0.729,0.99,9.35604483977233e-80,"Ptma-201",9.35604483977233e-80,"Down"
4.78987250884121e-81,3.28509720403199,0.669,0.13,3.68120861794483e-76,"Npc2-201",3.68120861794483e-76,"Up"
8.67097449459295e-80,4.17496140222388,0.837,0.252,6.66399073807447e-75,"Gnas-208",6.66399073807447e-75,"Up"
8.63960448625791e-79,3.87095013320887,0.392,0.036,6.63988163186865e-74,"Col3a1-201",6.63988163186865e-74,"Up"
2.61615317994945e-78,4.71935091562534,0.404,0.041,2.01061836491835e-73,"Tfpi-202",2.01061836491835e-73,"Up"
4.79548684686956e-77,3.54084123264172,0.602,0.105,3.68552346129313e-72,"Afp-201",3.68552346129313e-72,"Up"
3.60500876302074e-76,4.35941963722965,0.572,0.101,2.77059343473196e-71,"Hsd17b2-201",2.77059343473196e-71,"Up"
4.17379460482318e-76,3.50129694158452,0.422,0.044,3.2077281055908e-71,"Tsc22d3-203",3.2077281055908e-71,"Up"
1.10086633641052e-75,4.48781505560487,0.41,0.044,8.46059814184938e-71,"Tfpi-204",8.46059814184938e-71,"Up"
4.58089111475882e-75,4.64199019243716,0.392,0.04,3.52059805733675e-70,"Tfpi-205",3.52059805733675e-70,"Up"
1.9276934996042e-70,3.47455845270137,0.464,0.063,1.48150956218582e-65,"Psg21-202",1.48150956218582e-65,"Up"
7.84869663169589e-69,3.45823402281912,0.536,0.092,6.03203730932356e-64,"Arhgef6-201",6.03203730932356e-64,"Up"
3.21196185318561e-68,3.69144382958662,0.392,0.043,2.46852116264727e-63,"Tpbpb-201",2.46852116264727e-63,"Up"
4.0552578927935e-66,3.65400104688062,0.831,0.313,3.11662790092752e-61,"Sparc-201",3.11662790092752e-61,"Up"
6.55914283221904e-64,-3.48092401937007,0.295,0.871,5.04096363227362e-59,"Hnrnpab-203",5.04096363227362e-59,"Down"
7.66027259875396e-63,-3.42808781419157,0.301,0.868,5.88722590304637e-58,"Hnrnpab-202",5.88722590304637e-58,"Down"
4.2329048692695e-62,3.88620606742617,0.355,0.04,3.25315670822839e-57,"Pdia5-201",3.25315670822839e-57,"Up"
4.33736955728415e-61,-3.1326626154456,0.337,0.879,3.33344199955516e-56,"Hnrnpab-201",3.33344199955516e-56,"Down"
1.09961021404114e-59,3.87752720989459,0.398,0.055,8.4509443389918e-55,"Prl3b1-202",8.4509443389918e-55,"Up"
1.16759276388397e-57,3.18030057580413,0.699,0.207,8.97341742755386e-53,"Sparc-202",8.97341742755386e-53,"Up"
1.74771691215524e-56,3.26487569404101,0.38,0.05,1.34319035566779e-51,"Arhgap18-201",1.34319035566779e-51,"Up"
5.97214617990656e-55,3.37999889974052,0.542,0.121,4.58983322510539e-50,"Tmsb4x-201",4.58983322510539e-50,"Up"
8.20506575297136e-55,2.82681156771058,0.627,0.167,6.30592123378861e-50,"Epas1-201",6.30592123378861e-50,"Up"
9.24312996153494e-55,3.38659830670529,0.422,0.067,7.10371510063807e-50,"Ftl1-206",7.10371510063807e-50,"Up"
1.07456129934458e-54,3.47659479355079,0.578,0.148,8.25843340998283e-50,"Nup62cl-201",8.25843340998283e-50,"Up"
7.00545725698242e-54,3.80203535532647,0.669,0.205,5.38397412028127e-49,"Gnas-207",5.38397412028127e-49,"Up"
2.4206464559792e-52,3.80989960092767,0.614,0.175,1.86036362727825e-47,"Ddrgk1-201",1.86036362727825e-47,"Up"
7.19316417589165e-52,3.51582199770728,0.657,0.2,5.52823439573977e-47,"Gnas-206",5.52823439573977e-47,"Up"
2.45244901154684e-51,4.52403119496623,0.669,0.22,1.88480516333421e-46,"Fn1-214",1.88480516333421e-46,"Up"
5.6216021745346e-51,3.38573475675781,0.337,0.044,4.32042613521682e-46,"Spp1-204",4.32042613521682e-46,"Up"
9.82891894583785e-51,2.23264216354458,0.964,0.705,7.55391736663422e-46,"Rhox9-201",7.55391736663422e-46,"Up"
1.68638983412763e-50,2.9307445949786,0.392,0.061,1.29605804312045e-45,"Ceacam11-201",1.29605804312045e-45,"Up"
4.67054362575673e-50,3.82272037406686,0.572,0.149,3.58949959813908e-45,"Gnas-211",3.58949959813908e-45,"Up"
1.40434436854061e-48,3.10479500833294,0.349,0.05,1.0792948209982e-43,"Spp1-205",1.0792948209982e-43,"Up"
3.05769521715689e-48,3.51281048234121,0.331,0.046,2.34996108219376e-43,"Tubb3-201",2.34996108219376e-43,"Up"
5.86142772663007e-48,2.56735803135103,0.367,0.056,4.50474166502427e-43,"Spp1-201",4.50474166502427e-43,"Up"
2.30341573705976e-47,-4.13049371545359,0.265,0.767,1.77026713055991e-42,"Hnrnpa2b1-201",1.77026713055991e-42,"Down"
7.02591556575322e-47,-1.4890606925699,0.916,0.993,5.39969714890398e-42,"Peg10-202",5.39969714890398e-42,"Down"
9.1879121252399e-46,3.59349855516699,0.355,0.057,7.06127798473188e-41,"Crip2-201",7.06127798473188e-41,"Up"
2.28508864280311e-45,2.9861375315006,0.38,0.064,1.7561820255399e-40,"Prl8a9-201",1.7561820255399e-40,"Up"
1.150718183703e-44,-2.32458292943005,0.663,0.902,8.84372952903103e-40,"Ppia-202",8.84372952903103e-40,"Down"
8.31911277621148e-44,-2.67116572194712,0.307,0.785,6.39357093302957e-39,"Anp32b-201",6.39357093302957e-39,"Down"
1.19026127098924e-43,3.39774745189699,0.416,0.085,9.14763397206071e-39,"Tmsb4x-203",9.14763397206071e-39,"Up"
1.68739604511041e-43,3.69336976066593,0.627,0.215,1.29683135650915e-38,"Fn1-211",1.29683135650915e-38,"Up"
3.39361098009392e-43,2.35112909613208,0.512,0.124,2.60812578264138e-38,"Ftl1-203",2.60812578264138e-38,"Up"
7.82505564957138e-43,3.12535818135969,0.434,0.093,6.01386826892159e-38,"Pakap-202",6.01386826892159e-38,"Up"
1.3775753812813e-41,3.59704791107866,0.639,0.223,1.05872178352993e-36,"Fn1-201",1.05872178352993e-36,"Up"
1.75459557081798e-41,3.07285826748693,0.428,0.093,1.34847687999645e-36,"Pakap-207",1.34847687999645e-36,"Up"
1.49094485430214e-40,3.01112960071373,0.428,0.094,1.14585075832536e-35,"Pakap-206",1.14585075832536e-35,"Up"
3.68016621682833e-40,-3.29744062932277,0.271,0.729,2.82835494428125e-35,"Smdt1-201",2.82835494428125e-35,"Down"
3.95625892429723e-40,2.91198970735794,0.53,0.15,3.04054323367939e-35,"Adgrf5-201",3.04054323367939e-35,"Up"
6.24320351656801e-39,3.4639067413457,0.512,0.145,4.79815163062318e-34,"Gnas-203",4.79815163062318e-34,"Up"
1.59235185762537e-38,2.51336164919634,0.422,0.096,1.2237860966594e-33,"Pakap-204",1.2237860966594e-33,"Up"
2.67265035855339e-38,-3.69619915559137,0.259,0.7,2.05403870656262e-33,"Atp5a1-201",2.05403870656262e-33,"Down"
5.92725122323697e-38,2.54696444404248,0.422,0.097,4.55532965510654e-33,"Pakap-205",4.55532965510654e-33,"Up"
2.4398334961142e-37,2.31254453441705,0.892,0.539,1.87510963510361e-32,"Igf2-205",1.87510963510361e-32,"Up"
3.64194231896633e-37,3.50009466826082,0.506,0.149,2.79897834981838e-32,"Gnas-223",2.79897834981838e-32,"Up"
9.61599269479744e-37,2.51087170097721,0.512,0.144,7.39027502565962e-32,"Ldhb-205",7.39027502565962e-32,"Up"
1.49651187061206e-36,-2.98095106492741,0.283,0.717,1.15012923304019e-31,"Txnl1-206",1.15012923304019e-31,"Down"
2.05653933445505e-36,3.50833869899129,0.584,0.21,1.58053274010209e-31,"Fn1-213",1.58053274010209e-31,"Up"
8.97426585275835e-36,-4.27594624681926,0.193,0.653,6.8970822784789e-31,"Cox6c-201",6.8970822784789e-31,"Down"
1.19062522053421e-35,-2.66633852977537,0.41,0.77,9.15043106989362e-31,"Ubxn1-204",9.15043106989362e-31,"Down"
4.78302700687061e-35,3.03003914918666,0.404,0.098,3.67594757586034e-30,"Adgrf5-206",3.67594757586034e-30,"Up"
5.27014219324519e-35,2.05306853697742,0.47,0.121,4.05031508119666e-30,"Ftl1-202",4.05031508119666e-30,"Up"
1.19564386252957e-34,3.58424617930381,0.596,0.222,9.18900134108474e-30,"Fn1-203",9.18900134108474e-30,"Up"
1.69349433624475e-34,2.80014811988869,0.367,0.079,1.30151813717754e-29,"Pdlim1-201",1.30151813717754e-29,"Up"
2.25044501788141e-34,2.14190098159003,0.47,0.124,1.72955701404258e-29,"Vim-201",1.72955701404258e-29,"Up"
5.61670199701589e-34,2.40142346170819,0.536,0.172,4.31666015278659e-29,"Gpbp1-202",4.31666015278659e-29,"Up"
1.80038215943591e-33,2.4926750383257,0.669,0.296,1.38366570481288e-28,"Ubc-203",1.38366570481288e-28,"Up"
2.545746559586e-33,2.68531967931488,0.386,0.091,1.95650806090422e-28,"Pakap-201",1.95650806090422e-28,"Up"
2.58646410056796e-33,2.61189547546383,0.38,0.085,1.9878011198505e-28,"Septin5-205",1.9878011198505e-28,"Up"
3.11343288290043e-33,-2.15419502506474,0.343,0.764,2.3927977078243e-28,"Ankrd17-203",2.3927977078243e-28,"Down"
4.4614728585739e-33,2.94323544970051,0.5,0.157,3.42882035072838e-28,"App-206",3.42882035072838e-28,"Up"
1.2575441143135e-32,-1.59171439723737,0.584,0.872,9.66472953614494e-28,"Ncl-201",9.66472953614494e-28,"Down"
2.50288806871974e-32,3.4601518546821,0.56,0.205,1.92356959633387e-27,"Fn1-217",1.92356959633387e-27,"Up"
2.52542164397584e-32,2.31876995367128,0.53,0.173,1.94088755026119e-27,"Gpbp1-201",1.94088755026119e-27,"Up"
3.71217922881355e-32,-7.20384598054757,0.012,0.516,2.85295822451236e-27,"H3c2-201",2.85295822451236e-27,"Down"
3.75963299309489e-32,-7.51895942968242,0.006,0.512,2.88942834051314e-27,"Ccna2-201",2.88942834051314e-27,"Down"
6.48404303867423e-32,2.5638694721297,0.386,0.094,4.98324643694269e-27,"Pakap-211",4.98324643694269e-27,"Up"
1.25560305152638e-31,2.74303952388685,0.367,0.085,9.64981169220083e-27,"Serpinb6b-202",9.64981169220083e-27,"Up"
2.50948941286511e-31,-3.64947242004655,0.247,0.66,1.92864299336335e-26,"Hnrnpa2b1-209",1.92864299336335e-26,"Down"
7.82528075286568e-31,-3.54963999323785,0.343,0.707,6.01404126980739e-26,"Prdx2-201",6.01404126980739e-26,"Down"
1.09350139524128e-30,2.32269335746486,0.476,0.141,8.40399562298737e-26,"Ldhb-206",8.40399562298737e-26,"Up"
3.31620325670506e-30,-3.34693674691001,0.175,0.615,2.54863485090811e-25,"H2az1-201",2.54863485090811e-25,"Down"
4.10005630952213e-30,3.44324061020448,0.41,0.114,3.15105727612013e-25,"Gnas-228",3.15105727612013e-25,"Up"
4.10005630952213e-30,3.44324061020448,0.41,0.114,3.15105727612013e-25,"Gnas-225",3.15105727612013e-25,"Up"
1.207273297256e-29,-4.92047018316248,0.06,0.532,9.27837819873126e-25,"Ddx39a-201",9.27837819873126e-25,"Down"
1.52504316702124e-29,2.01943032056195,0.759,0.433,1.1720566755825e-24,"Pabpc1-201",1.1720566755825e-24,"Up"
1.63394388199437e-29,-2.62140053922797,0.361,0.708,1.25575123106795e-24,"Cdv3-201",1.25575123106795e-24,"Down"
3.99243913867346e-29,-2.61939607832767,0.416,0.726,3.0683491756361e-24,"Atp5g1-202",3.0683491756361e-24,"Down"
5.6677375496287e-29,2.98583747746508,0.476,0.157,4.35588301639164e-24,"App-202",4.35588301639164e-24,"Up"
7.42467698563025e-29,2.0458359556632,0.699,0.344,5.70616125053627e-24,"Ubc-202",5.70616125053627e-24,"Up"
1.50669149770441e-28,2.53182809349172,0.367,0.091,1.15795268364575e-23,"Ctla2a-202",1.15795268364575e-23,"Up"
2.0619057477677e-28,-5.64458132773974,0.042,0.496,1.58465704338939e-23,"Gna13-202",1.58465704338939e-23,"Down"
3.71383994246204e-28,2.45354558662429,0.367,0.092,2.85423454937977e-23,"Ctla2a-204",2.85423454937977e-23,"Up"
3.92536027503868e-28,-2.37382778880773,0.301,0.666,3.01679638577822e-23,"Fus-203",3.01679638577822e-23,"Down"
4.45899580011982e-28,2.85010575590139,0.355,0.09,3.42691663222409e-23,"Tinagl1-203",3.42691663222409e-23,"Up"
4.55337283889316e-28,-2.17100444259369,0.458,0.756,3.49944916160295e-23,"Peg3-201",3.49944916160295e-23,"Down"
6.07725524006551e-28,3.78671000560519,0.355,0.095,4.67061374219995e-23,"Tpm2-202",4.67061374219995e-23,"Up"
8.97545980257422e-28,-1.46168582665174,0.38,0.767,6.89799987667039e-23,"Ankrd17-201",6.89799987667039e-23,"Down"
1.04139015319947e-27,2.22757203791542,0.38,0.098,8.00349988339923e-23,"Ctla2a-209",8.00349988339923e-23,"Up"
1.94420161012541e-27,-2.54656912106066,0.229,0.632,1.49419670544579e-22,"Eif3i-201",1.49419670544579e-22,"Down"
2.61231809564646e-27,-1.83975497121171,0.319,0.719,2.00767094922813e-22,"Ankrd17-202",2.00767094922813e-22,"Down"
4.04200508603661e-27,2.09206564417519,0.476,0.158,3.10644258882257e-22,"Cdh5-201",3.10644258882257e-22,"Up"
6.3122692791724e-27,-2.50776894888046,0.343,0.669,4.85123143181515e-22,"Mdh2-201",4.85123143181515e-22,"Down"
9.14618710598043e-27,-2.65209653108733,0.301,0.662,7.0292106384302e-22,"Pgam1-201",7.0292106384302e-22,"Down"
9.56669678861613e-27,-1.80831124045207,0.476,0.768,7.35238914992304e-22,"Ywhaz-204",7.35238914992304e-22,"Down"
2.09768535285618e-26,2.46287553074737,0.392,0.113,1.61215510108409e-21,"Cul4b-201",1.61215510108409e-21,"Up"
4.05257087131512e-26,2.82415093214434,0.524,0.201,3.11456281744053e-21,"Fn1-216",3.11456281744053e-21,"Up"
4.22399202534105e-26,-1.39488686160282,0.645,0.848,3.24630683115561e-21,"Hnrnpu-201",3.24630683115561e-21,"Down"
4.2606487712259e-26,2.65378813356781,0.458,0.162,3.27447900663795e-21,"Zmiz1-208",3.27447900663795e-21,"Up"
6.52623481310186e-26,2.56560512348,0.343,0.09,5.01567250326131e-21,"Pakap-213",5.01567250326131e-21,"Up"
2.41626134198627e-25,-4.34618024848119,0.054,0.48,1.85699349177013e-20,"Mki67-201",1.85699349177013e-20,"Down"
2.65478890832985e-25,2.27792118819428,0.355,0.094,2.04031146760782e-20,"Ctla2a-203",2.04031146760782e-20,"Up"
3.01881121577814e-25,-2.46691901406444,0.259,0.63,2.32007717177413e-20,"Calm3-201",2.32007717177413e-20,"Down"
3.01898352609754e-25,2.24422876608558,0.434,0.134,2.32020959914701e-20,"Septin5-201",2.32020959914701e-20,"Up"
1.77550214141442e-24,2.6590901317229,0.464,0.174,1.36454441576264e-19,"Alpl-201",1.36454441576264e-19,"Up"
2.58559017495744e-24,2.11546693763596,0.464,0.167,1.98712947306179e-19,"Magea9-201",1.98712947306179e-19,"Up"
4.26930617526838e-24,2.13758821497668,0.343,0.092,3.28113256794076e-19,"Vim-206",3.28113256794076e-19,"Up"
5.33618154375137e-24,-1.74776745556738,0.548,0.779,4.10106896363468e-19,"Calm1-202",4.10106896363468e-19,"Down"
1.01810368991748e-23,1.9114008936053,0.56,0.236,7.82453409849179e-19,"Foxo4-201",7.82453409849179e-19,"Up"
1.23655351874996e-23,1.97355213064495,0.428,0.139,9.50340841300092e-19,"Sri-202",9.50340841300092e-19,"Up"
2.53543678446625e-23,-2.0262973052534,0.235,0.626,1.94858458633369e-18,"Rab2a-201",1.94858458633369e-18,"Down"
2.60753957513033e-23,2.62156371809214,0.518,0.226,2.00399846507067e-18,"Nid1-201",2.00399846507067e-18,"Up"
6.99876608007371e-23,-4.29526013383898,0.078,0.467,5.37883168317985e-18,"Myc-205",5.37883168317985e-18,"Down"
9.85514900470055e-23,-3.13823034825515,0.157,0.532,7.57407621607256e-18,"Ube2j2-201",7.57407621607256e-18,"Down"
1.20994574245049e-22,2.1446826348558,0.614,0.313,9.298917009029e-18,"Calr-201",9.298917009029e-18,"Up"
1.52451708168963e-22,1.47401666929308,0.524,0.194,1.17165235796175e-17,"Itm2b-201",1.17165235796175e-17,"Up"
1.55546477175478e-22,2.34302724852253,0.349,0.102,1.19543689568442e-17,"Cul4b-204",1.19543689568442e-17,"Up"
1.69880047409912e-22,-1.43911936181969,0.542,0.791,1.30559611636414e-17,"Ywhaz-201",1.30559611636414e-17,"Down"
2.20873099909303e-22,2.05405474681303,0.566,0.265,1.69749812204296e-17,"Cyb5r3-203",1.69749812204296e-17,"Up"
3.24280227062851e-22,-1.5960617051646,0.566,0.762,2.49222325706883e-17,"Rhoa-201",2.49222325706883e-17,"Down"
3.54057265529875e-22,1.88490082631007,0.337,0.095,2.7210717085033e-17,"Tmbim6-201",2.7210717085033e-17,"Up"
4.0761706315679e-22,2.10996151823506,0.452,0.167,3.1327001771852e-17,"Ctsl-201",3.1327001771852e-17,"Up"
5.20798876575363e-22,2.3643034939433,0.386,0.123,4.0025476860323e-17,"Nxf7-201",4.0025476860323e-17,"Up"
5.98721450608261e-22,-2.22987014695902,0.169,0.554,4.60141383650473e-17,"Gna13-201",4.60141383650473e-17,"Down"
9.56505748062312e-22,-2.24440519910079,0.295,0.61,7.35112927615809e-17,"Slc25a3-201",7.35112927615809e-17,"Down"
1.12007143014535e-21,-2.07088970407254,0.301,0.622,8.60819696923906e-17,"Ywhah-201",8.60819696923906e-17,"Down"
1.12238272438209e-21,-3.32648137768598,0.151,0.51,8.62596018996608e-17,"Rab5if-201",8.62596018996608e-17,"Down"
1.8582026051081e-21,-1.3824673133166,0.416,0.718,1.42810303012978e-16,"Srrm2-210",1.42810303012978e-16,"Down"
2.13978498944817e-21,2.01737611033059,0.458,0.174,1.64451035579049e-16,"Ctsl-205",1.64451035579049e-16,"Up"
2.30212219774928e-21,-4.17382689928817,0.036,0.419,1.76927299385823e-16,"Ddx39a-203",1.76927299385823e-16,"Down"
2.41668865200387e-21,1.72057501075727,0.361,0.106,1.85732189661105e-16,"Ppia-206",1.85732189661105e-16,"Up"
3.31196799356426e-21,1.85237978088663,0.331,0.094,2.54537988177388e-16,"Ppfibp1-201",2.54537988177388e-16,"Up"
3.33465498860765e-21,-3.34112716865634,0.108,0.485,2.56281574494453e-16,"Ankrd17-213",2.56281574494453e-16,"Down"
3.77825036381781e-21,-3.32947488612306,0.048,0.44,2.90373653460854e-16,"Clic4-202",2.90373653460854e-16,"Down"
4.55428097580125e-21,2.12865071048615,0.331,0.095,3.50014710114229e-16,"Cst3-201",3.50014710114229e-16,"Up"
5.11397857284378e-21,1.90909671513533,0.337,0.098,3.93029709237336e-16,"Ahnak-202",3.93029709237336e-16,"Up"
5.63936734323899e-21,-4.07217655107176,0.042,0.419,4.33407937797289e-16,"Ddx39a-205",4.33407937797289e-16,"Down"
7.46383732152568e-21,1.86393821191343,0.584,0.289,5.73625753508534e-16,"Cyb5r3-201",5.73625753508534e-16,"Up"
8.53000826489044e-21,1.50913566169854,0.367,0.111,6.5556525518989e-16,"Ppia-201",6.5556525518989e-16,"Up"
1.05604099139261e-20,-1.74926479959086,0.349,0.673,8.11609743524879e-16,"Pkm-201",8.11609743524879e-16,"Down"
1.31187615033284e-20,2.1228610297752,0.38,0.121,1.0082292965768e-15,"Serpinb9e-201",1.0082292965768e-15,"Up"
1.5998553071419e-20,-3.51875817025689,0.06,0.433,1.22955279775084e-15,"Ddx39a-206",1.22955279775084e-15,"Down"
1.64429086805836e-20,1.48275138820594,0.795,0.496,1.26370330373757e-15,"Lars2-201",1.26370330373757e-15,"Up"
2.4054686188954e-20,1.49496404002061,0.789,0.494,1.84869885236587e-15,"Lars2-209",1.84869885236587e-15,"Up"
2.56232424572866e-20,-5.80924538067406,0.018,0.381,1.96924867581231e-15,"Cdca8-202",1.96924867581231e-15,"Down"
3.34417651610274e-20,-6.90593374541687,0.024,0.381,2.5701334196856e-15,"H2ac15-201",2.5701334196856e-15,"Down"
3.62494182777333e-20,-2.64648728737884,0.349,0.616,2.78591279231691e-15,"Atp5g1-201",2.78591279231691e-15,"Down"
4.07008017136348e-20,1.75606640548448,0.47,0.187,3.12801941489969e-15,"Myl12a-209",3.12801941489969e-15,"Up"
4.07008017136348e-20,1.75606640545912,0.47,0.187,3.12801941489969e-15,"Myl12a-208",3.12801941489969e-15,"Up"
4.07008017136348e-20,1.75606640545257,0.47,0.187,3.12801941489969e-15,"Myl12a-210",3.12801941489969e-15,"Up"
4.17572845906335e-20,1.50904252886274,0.367,0.113,3.20921434992854e-15,"Ppia-205",3.20921434992854e-15,"Up"
4.99429307412723e-20,2.35295661548142,0.367,0.12,3.83831399918974e-15,"Cald1-204",3.83831399918974e-15,"Up"
5.32084986146962e-20,2.40016606186525,0.38,0.136,4.08928595253386e-15,"Zmiz1-201",4.08928595253386e-15,"Up"
6.46874971074127e-20,1.58043687653298,0.337,0.1,4.9714929026931e-15,"Smtn-203",4.9714929026931e-15,"Up"
7.27205214623193e-20,-3.93179971370039,0.108,0.456,5.58886295646509e-15,"Bcl7c-201",5.58886295646509e-15,"Down"
9.13195196508468e-20,-2.8725759856743,0.127,0.477,7.01827036324618e-15,"C1qbp-201",7.01827036324618e-15,"Down"
1.13485043185321e-19,-2.02474573836087,0.343,0.628,8.72177950896465e-15,"Fthl17a-201",8.72177950896465e-15,"Down"
1.57584294917363e-19,1.42885888263449,0.729,0.367,1.2110983401579e-14,"Tpbpa-201",1.2110983401579e-14,"Up"
1.76255468399305e-19,-2.40487562098653,0.205,0.543,1.35459377683602e-14,"Nupl1-201",1.35459377683602e-14,"Down"
2.60659464371108e-19,1.35113443769245,0.355,0.111,2.00327224747771e-14,"Smtn-202",2.00327224747771e-14,"Up"
3.22362383870158e-19,1.14480853673078,0.873,0.777,2.47748386499571e-14,"Peg10-203",2.47748386499571e-14,"Up"
3.29005285045768e-19,1.67515952533487,0.47,0.191,2.52853721769074e-14,"Myl12a-201",2.52853721769074e-14,"Up"
3.72661522712259e-19,1.49271198181079,0.831,0.583,2.86405286665279e-14,"Ubb-201",2.86405286665279e-14,"Up"
4.39756548024791e-19,-5.74846720434088,0.042,0.385,3.37970497418973e-14,"Hsd3b6-201",3.37970497418973e-14,"Down"
5.35246062762825e-19,-2.78346184233524,0.181,0.518,4.11358009075741e-14,"Plp2-201",4.11358009075741e-14,"Down"
6.81718567369734e-19,-1.99614441412461,0.217,0.567,5.23927987766335e-14,"Hmgn5-201",5.23927987766335e-14,"Down"
7.3511102485978e-19,1.85711199455106,0.367,0.121,5.64962227045735e-14,"Hand1-203",5.64962227045735e-14,"Up"
1.37470297756632e-18,-1.60687009591787,0.271,0.609,1.05651422637882e-13,"Junb-201",1.05651422637882e-13,"Down"
1.5971176479726e-18,-3.14556106590988,0.157,0.48,1.22744879717286e-13,"Mrpl17-202",1.22744879717286e-13,"Down"
