"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.1629187492614e-154,8.3734550009262,0.526,0.003,8.93749575557355e-150,"Cts6-201",8.93749575557355e-150,"Up"
3.59215666069407e-125,7.03771976278845,0.758,0.101,2.76071608000982e-120,"Ctsj-202",2.76071608000982e-120,"Up"
7.80355175790733e-119,8.31639133632507,0.696,0.085,5.9973416680221e-114,"Prl3b1-201",5.9973416680221e-114,"Up"
4.91876947044976e-94,7.44582116670543,0.593,0.076,3.78027108881946e-89,"Ctsq-201",3.78027108881946e-89,"Up"
1.78968335524417e-92,5.49937136540467,0.649,0.078,1.37544324583935e-87,"Ctsj-201",1.37544324583935e-87,"Up"
1.98372527551512e-76,4.35244171963167,0.598,0.095,1.52457222324439e-71,"Ftl1-206",1.52457222324439e-71,"Up"
1.64723348903949e-63,5.64655356802716,0.567,0.123,1.26596482566641e-58,"Prl2b1-202",1.26596482566641e-58,"Up"
5.74928350908021e-55,5.09389585817937,0.727,0.323,4.4185543480685e-50,"Tfpi-206",4.4185543480685e-50,"Up"
1.09011590325787e-54,5.03787802468675,0.722,0.313,8.37797676289806e-50,"Tfpi-201",8.37797676289806e-50,"Up"
1.61447083921682e-52,3.53591316131533,0.716,0.234,1.2407854187717e-47,"Ftl1-203",1.2407854187717e-47,"Up"
8.44635607180722e-52,-1.34568260530422,0.84,0.995,6.49136249542672e-47,"Ptma-201",6.49136249542672e-47,"Down"
1.15311783410562e-51,-1.81401028465007,0.412,0.925,8.86217180223534e-47,"Srrm2-210",8.86217180223534e-47,"Down"
2.86570623110427e-51,-2.2883555371495,0.392,0.907,2.20240986685287e-46,"Peg3-201",2.20240986685287e-46,"Down"
7.2431073482935e-50,5.07655305003155,0.412,0.069,5.56661772145749e-45,"Prl7d1-201",5.56661772145749e-45,"Up"
1.90771061725617e-46,5.2200254094097,0.335,0.038,1.46615191778606e-41,"Ctsq-202",1.46615191778606e-41,"Up"
2.15456289711583e-46,-2.01526800423584,0.227,0.828,1.6558677689494e-41,"Huwe1-201",1.6558677689494e-41,"Down"
3.72500365543419e-46,4.57633228322784,0.418,0.078,2.8628143093474e-41,"Prl7d1-203",2.8628143093474e-41,"Up"
3.30024465560438e-45,-1.83645418900602,0.201,0.798,2.53637002761819e-40,"Mki67-201",2.53637002761819e-40,"Down"
3.37464124717674e-45,-1.37208833415962,0.624,0.982,2.59354678410521e-40,"Hnrnpu-201",2.59354678410521e-40,"Down"
1.33381821484842e-44,-2.10445977659789,0.356,0.861,1.0250926508396e-39,"Tcp1-209",1.0250926508396e-39,"Down"
1.98044580670072e-44,-1.59487627272854,0.32,0.9,1.52205182028177e-39,"Ankrd17-201",1.52205182028177e-39,"Down"
9.08967722183151e-44,-1.85113120842881,0.258,0.823,6.98578053206639e-39,"Thrap3-201",6.98578053206639e-39,"Down"
1.35467127947662e-43,-1.78162008318316,0.284,0.846,1.04111906512896e-38,"Eif3b-201",1.04111906512896e-38,"Down"
2.07928473785682e-42,-3.20353501949255,0.103,0.677,1.59801349243248e-37,"Ccna2-201",1.59801349243248e-37,"Down"
3.07251348964453e-42,-2.79542134028122,0.165,0.726,2.36134951733141e-37,"Plec-201",2.36134951733141e-37,"Down"
3.10366169097668e-42,-2.17906754425871,0.139,0.729,2.38528815598321e-37,"Epcam-201",2.38528815598321e-37,"Down"
3.20759470794527e-42,-2.27853313178725,0.278,0.792,2.46516483684426e-37,"Prrc2c-210",2.46516483684426e-37,"Down"
4.76941399104609e-42,-3.34795138723559,0.129,0.685,3.66548542867856e-37,"Dnmt1-201",3.66548542867856e-37,"Down"
9.01899233687745e-42,-2.42328232356295,0.149,0.722,6.9314563705838e-37,"Crebbp-201",6.9314563705838e-37,"Down"
1.76454757200444e-41,-2.18116828165732,0.175,0.725,1.35612539098829e-36,"Tle3-204",1.35612539098829e-36,"Down"
2.63009972022459e-41,-1.90386870515681,0.18,0.752,2.02133683898141e-36,"Supt16-201",2.02133683898141e-36,"Down"
2.86073907966413e-41,-2.42515391986917,0.387,0.85,2.19859241228507e-36,"Morf4l2-204",2.19859241228507e-36,"Down"
3.2488320950028e-41,-2.00858501917859,0.155,0.729,2.49685741829345e-36,"Ankrd11-202",2.49685741829345e-36,"Down"
5.67097727652795e-41,-1.77820672116696,0.222,0.793,4.35837287610279e-36,"Ldoc1-201",4.35837287610279e-36,"Down"
1.01153708479317e-40,-2.00043339777479,0.144,0.726,7.7740671114694e-36,"Epcam-204",7.7740671114694e-36,"Down"
1.22777014819151e-40,-2.28223514707529,0.18,0.745,9.43590469691103e-36,"Ssrp1-201",9.43590469691103e-36,"Down"
2.05747278906477e-40,-1.49066073251323,0.309,0.861,1.58125013730784e-35,"Ankrd17-203",1.58125013730784e-35,"Down"
3.5499880300316e-40,-2.1396371288621,0.211,0.751,2.72830780060049e-35,"Ppm1g-201",2.72830780060049e-35,"Down"
4.67434788635432e-40,-3.19249546045935,0.098,0.646,3.59242332457875e-35,"Mdn1-201",3.59242332457875e-35,"Down"
6.73179399413527e-40,-2.33185929497947,0.273,0.767,5.17365295625272e-35,"Prrc2c-202",5.17365295625272e-35,"Down"
2.57403641735376e-39,-1.53307152364512,0.268,0.857,1.97824994819306e-34,"Hmgn5-201",1.97824994819306e-34,"Down"
2.90147717566812e-39,-1.56570118679379,0.253,0.837,2.22990126858798e-34,"Tcf20-201",2.22990126858798e-34,"Down"
2.93337121949285e-39,-2.48910178603968,0.17,0.71,2.25441311702903e-34,"Plec-206",2.25441311702903e-34,"Down"
3.63428812812774e-39,-1.65602200036075,0.201,0.758,2.7930957979913e-34,"Ubr4-201",2.7930957979913e-34,"Down"
4.01720434857612e-39,-1.57268239394693,0.284,0.832,3.08738223005469e-34,"H2az1-201",3.08738223005469e-34,"Down"
6.54512975423748e-39,2.42139720051021,0.655,0.231,5.03019402132167e-34,"Ftl1-202",5.03019402132167e-34,"Up"
1.63991375658835e-38,-1.57659744839035,0.242,0.821,1.26033931848841e-33,"Tcf20-202",1.26033931848841e-33,"Down"
1.72689629552509e-38,-2.18328528173756,0.17,0.724,1.32718887896285e-33,"Ep400-201",1.32718887896285e-33,"Down"
8.037134889826e-38,-1.87981015333798,0.155,0.703,6.17685964822687e-33,"Ankrd11-203",6.17685964822687e-33,"Down"
1.02792417014227e-37,-1.42577809678474,0.351,0.878,7.90000841721138e-33,"Cct2-201",7.90000841721138e-33,"Down"
1.79363802026006e-37,-3.30394632025033,0.072,0.603,1.37848256409066e-32,"Kif20a-205",1.37848256409066e-32,"Down"
1.94937721591105e-37,-1.65583895517709,0.206,0.751,1.49817436551628e-32,"Numa1-201",1.49817436551628e-32,"Down"
2.06239668282505e-37,-1.1164741244685,0.186,0.769,1.58503434661836e-32,"Kmt2d-201",1.58503434661836e-32,"Down"
3.36188714812417e-37,-1.70787946990222,0.552,0.924,2.58374474881935e-32,"Hmgb1-201",2.58374474881935e-32,"Down"
5.24668822317855e-37,-1.95540397708346,0.32,0.812,4.03228976704164e-32,"Tra2b-204",4.03228976704164e-32,"Down"
5.91651294323486e-37,-2.4493991135917,0.165,0.69,4.54707685739372e-32,"Sik1-201",4.54707685739372e-32,"Down"
8.3746827295265e-37,-1.23207255394711,0.773,0.979,6.4362786649503e-32,"Ppia-202",6.4362786649503e-32,"Down"
1.2548403251654e-36,-2.21995140904832,0.175,0.695,9.64394983502617e-32,"Smarca4-202",9.64394983502617e-32,"Down"
1.51809756896417e-36,-1.08541887687222,0.655,0.963,1.16671870565172e-31,"Rack1-201",1.16671870565172e-31,"Down"
1.55982785793402e-36,-1.28056729166326,0.253,0.784,1.19879010193661e-31,"Smarce1-201",1.19879010193661e-31,"Down"
1.63273805335207e-36,3.11642997718574,0.608,0.246,1.2548245035232e-31,"Ctla2a-201",1.2548245035232e-31,"Up"
1.88582019976722e-36,-1.00712984160737,0.469,0.944,1.4493282563291e-31,"Eif3a-201",1.4493282563291e-31,"Down"
2.2034805438101e-36,-1.9776321093573,0.206,0.743,1.69346293713982e-31,"Srsf1-205",1.69346293713982e-31,"Down"
3.88210505090415e-36,-1.08199289438779,0.186,0.759,2.98355301582188e-31,"Kmt2d-202",2.98355301582188e-31,"Down"
4.32366716652002e-36,-1.64156784252004,0.247,0.784,3.3229111641573e-31,"Nup50-201",3.3229111641573e-31,"Down"
5.863212777948e-36,-1.40154981148113,0.325,0.843,4.50611354836416e-31,"Noct-202",4.50611354836416e-31,"Down"
6.62174876367126e-36,-1.72518378008963,0.201,0.733,5.08907879483191e-31,"Nsd1-201",5.08907879483191e-31,"Down"
1.05988617774114e-35,-1.81499769567316,0.139,0.66,8.14564923041179e-31,"Irx3-202",8.14564923041179e-31,"Down"
1.21378018834488e-35,-1.64654071311779,0.206,0.743,9.32838625950573e-31,"Smc1a-201",9.32838625950573e-31,"Down"
1.60088763955711e-35,-1.79096204421992,0.17,0.705,1.23034618650522e-30,"Ep400-204",1.23034618650522e-30,"Down"
2.69648998513213e-35,-1.32351356906325,0.691,0.975,2.07236041317344e-30,"Ncl-201",2.07236041317344e-30,"Down"
3.76044779860166e-35,-1.68268123743622,0.201,0.739,2.89005455113732e-30,"Safb-207",2.89005455113732e-30,"Down"
4.3218693796807e-35,-1.87754763927818,0.211,0.737,3.3215294930598e-30,"Chd4-203",3.3215294930598e-30,"Down"
4.62653058080876e-35,-1.31994177757954,0.371,0.862,3.55567381257477e-30,"Ddx3x-201",3.55567381257477e-30,"Down"
4.90721795929252e-35,-2.36210002200398,0.124,0.628,3.77139329043467e-30,"Mcm6-201",3.77139329043467e-30,"Down"
5.12501100038237e-35,-1.86379112503478,0.16,0.704,3.93877595423386e-30,"Ncoa6-203",3.93877595423386e-30,"Down"
5.33619113327617e-35,-1.43936633823167,0.299,0.849,4.10107633356806e-30,"Mrfap1-201",4.10107633356806e-30,"Down"
5.57468064882654e-35,-3.22657976938538,0.088,0.589,4.28436506584915e-30,"Mdn1-211",4.28436506584915e-30,"Down"
7.04432597889996e-35,-1.82842879224788,0.423,0.861,5.41384628782378e-30,"Hnrnpf-201",5.41384628782378e-30,"Down"
9.95604777709117e-35,-1.84970252515571,0.16,0.702,7.65162095860565e-30,"Ncoa6-201",7.65162095860565e-30,"Down"
1.5011058144339e-34,-2.00962482190586,0.165,0.68,1.15365986262503e-29,"Hexim1-201",1.15365986262503e-29,"Down"
2.6203268182255e-34,-1.71971200009196,0.423,0.842,2.01382597287903e-29,"Fus-203",2.01382597287903e-29,"Down"
2.63753137868067e-34,-1.78291208337608,0.17,0.707,2.02704836577124e-29,"Prpf8-201",2.02704836577124e-29,"Down"
3.21627173759403e-34,-1.58704721144614,0.294,0.795,2.47183348121052e-29,"Scaf11-201",2.47183348121052e-29,"Down"
4.8811708817963e-34,-1.22744540458265,0.201,0.752,3.75137506949573e-29,"Dync1h1-201",3.75137506949573e-29,"Down"
6.340051879894e-34,-1.5655110178432,0.278,0.808,4.87258347177374e-29,"Psmd3-201",4.87258347177374e-29,"Down"
1.15007351787193e-33,4.26598580234824,0.526,0.198,8.83877501425297e-29,"Ctla2a-204",8.83877501425297e-29,"Up"
1.33448786724291e-33,-1.33701306813614,0.299,0.804,1.02560730549087e-28,"Dsp-201",1.02560730549087e-28,"Down"
1.57997132934844e-33,1.70445370785189,0.892,0.94,1.21427116545745e-28,"Rhox9-201",1.21427116545745e-28,"Up"
2.04225771621211e-33,-1.90838215008839,0.216,0.724,1.56955674521765e-28,"Tjp1-202",1.56955674521765e-28,"Down"
2.08712165557879e-33,-1.86745905469523,0.191,0.696,1.60403647717852e-28,"Srpk1-204",1.60403647717852e-28,"Down"
2.19886448292917e-33,-1.16202821140942,0.335,0.866,1.68991530971038e-28,"Hmgb2-201",1.68991530971038e-28,"Down"
