"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.36464996434132e-236,1.6034408476909,0.934,0.834,2.39796291734057e-232,"Set",2.39796291734057e-232,"Up"
4.40918804504963e-234,-1.91599384500085,0.314,0.826,7.74782523276121e-230,"Cul4b",7.74782523276121e-230,"Down"
4.9100956966089e-232,-1.268323784788,0.737,0.964,8.62802015808116e-228,"Eef1a1",8.62802015808116e-228,"Down"
1.31666259381068e-202,-2.39482975765065,0.161,0.638,2.31363950984412e-198,"Nup62cl",2.31363950984412e-198,"Down"
2.04194027277304e-199,1.58002017870849,0.886,0.7,3.58809744731679e-195,"Hnrnpab",3.58809744731679e-195,"Up"
1.13189232818055e-198,-1.55961132613083,0.396,0.849,1.98896119907886e-194,"Trip12",1.98896119907886e-194,"Down"
1.04782278217732e-197,1.32560304915109,0.936,0.888,1.84123419284199e-193,"Tpt1",1.84123419284199e-193,"Up"
1.07878214727824e-196,-1.51135876633927,0.421,0.857,1.89563598919733e-192,"Nxf7",1.89563598919733e-192,"Down"
1.36820563267498e-194,-1.61658536063751,0.396,0.831,2.40421093773647e-190,"Slc38a4",2.40421093773647e-190,"Down"
2.97553893781682e-194,-1.79178454346324,0.347,0.797,5.22861702153172e-190,"Sfmbt2",5.22861702153172e-190,"Down"
2.2782499122233e-190,-1.30981922808521,0.681,0.932,4.00334074575878e-186,"Nrk",4.00334074575878e-186,"Down"
1.15375034058032e-189,-2.78179171515395,0.094,0.529,2.02737009846774e-185,"Baiap2l1",2.02737009846774e-185,"Down"
1.07542125934472e-170,-1.5212321218321,0.396,0.815,1.88973023692053e-166,"Morf4l2",1.88973023692053e-166,"Down"
1.19959152616868e-169,-1.64167165014563,0.325,0.765,2.10792222978361e-165,"Mbnl3",2.10792222978361e-165,"Down"
1.58515128103144e-169,-1.60367137275726,0.299,0.756,2.78542783102845e-165,"Tmtc1",2.78542783102845e-165,"Down"
2.78612405869068e-168,-1.34531506732946,0.462,0.857,4.89577719593127e-164,"Rlim",4.89577719593127e-164,"Down"
3.47415197312037e-168,-1.2731060126451,0.481,0.884,6.10477984716712e-164,"Prrc2c",6.10477984716712e-164,"Down"
4.81416598838614e-160,-2.80620613055307,0.129,0.522,8.45945247479212e-156,"Arhgef6",8.45945247479212e-156,"Down"
3.72984741723259e-154,-1.55466207323057,0.299,0.743,6.5540878815611e-150,"Hdlbp",6.5540878815611e-150,"Down"
