"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
0,10.1181756672434,0.886,0.01,0,"Ctsj",4.42403096206863e-312,"Up"
0,8.16928849644687,0.843,0.018,0,"Prl3b1",4.42403096206863e-312,"Up"
0,15.5252053302568,0.807,0,0,"Ctsq",4.42403096206863e-312,"Up"
0,14.5090285861002,0.711,0,0,"Cts6",4.42403096206863e-312,"Up"
2.51765932282531e-316,10.2444521986021,0.669,0.005,4.42403096206863e-312,"Prl2b1",4.42403096206863e-312,"Up"
2.13190324011708e-303,8.83090997847691,0.62,0.003,3.74618037353373e-299,"Ctsr",3.74618037353373e-299,"Up"
7.94723514082648e-296,7.398727990075,0.723,0.015,1.39648815894603e-291,"Fnd3c2",1.39648815894603e-291,"Up"
1.19514912721868e-235,6.43819396610012,0.639,0.018,2.10011604634867e-231,"Cited1",2.10011604634867e-231,"Up"
8.98300437988952e-219,7.2586445457694,0.554,0.012,1.57849352963419e-214,"Lepr",1.57849352963419e-214,"Up"
8.6291494115772e-205,7.6073449202874,0.741,0.048,1.51631413460235e-200,"Zfp791",1.51631413460235e-200,"Up"
3.65796137881822e-202,6.43992574463032,0.62,0.026,6.42776973485938e-198,"Il31ra",6.42776973485938e-198,"Up"
7.06704811527847e-202,5.28930156700244,0.747,0.05,1.24182169481673e-197,"Tfpi",1.24182169481673e-197,"Up"
1.19299354327583e-183,5.96758050304618,0.554,0.021,2.09632825424429e-179,"Prl7d1",2.09632825424429e-179,"Up"
3.82606811104474e-181,5.76851415161251,0.807,0.083,6.72316688472781e-177,"Tmtc2",6.72316688472781e-177,"Up"
3.10981433937804e-165,5.54768232828406,0.88,0.128,5.46456575715509e-161,"D130009I18Rik",5.46456575715509e-161,"Up"
1.28891629495115e-159,6.56155450286561,0.416,0.01,2.26488371348816e-155,"Sspn",2.26488371348816e-155,"Up"
9.97882734045694e-143,5.56308521392793,0.44,0.017,1.75347954026509e-138,"Ghrh",1.75347954026509e-138,"Up"
1.4170382934837e-135,5.72247728660235,0.41,0.015,2.49001968930956e-131,"Muc1",2.49001968930956e-131,"Up"
8.21853807851313e-131,4.61270859081572,0.386,0.013,1.44416151115633e-126,"Afp",1.44416151115633e-126,"Up"
2.35016482924804e-121,3.49554495414589,0.783,0.111,4.12970963795465e-117,"Sparc",4.12970963795465e-117,"Up"
2.64629404566124e-118,5.15978094259209,0.928,0.266,4.65006789703593e-114,"Jarid2",4.65006789703593e-114,"Up"
6.19283668031149e-118,5.50872474161562,0.349,0.012,1.08820526146433e-113,"Prl2c5",1.08820526146433e-113,"Up"
2.66587958882214e-104,4.13532420702844,0.452,0.034,4.68448361347826e-100,"Rhox12",4.68448361347826e-100,"Up"
7.0323467977389e-102,4.66294566031049,0.41,0.027,1.23572397929868e-97,"Gnb1l",1.23572397929868e-97,"Up"
4.46358772373538e-88,3.45113780901726,0.602,0.091,7.8434163481478e-84,"Npc2",7.8434163481478e-84,"Up"
3.70322500675946e-85,4.16542299593569,0.494,0.06,6.50730698187773e-81,"Tlcd4",6.50730698187773e-81,"Up"
3.75234444953916e-83,3.85172627589779,0.94,0.436,6.59361966673022e-79,"Itga9",6.59361966673022e-79,"Up"
2.20546870378382e-82,-3.96849619046521,0.235,0.934,3.87544960628894e-78,"Set",3.87544960628894e-78,"Down"
6.27605273540657e-82,-2.57277158203649,0.627,0.981,1.10282798666564e-77,"Ptma",1.10282798666564e-77,"Down"
1.87589037957502e-81,4.61361794794692,0.554,0.085,3.29631457498922e-77,"Hsd17b2",3.29631457498922e-77,"Up"
9.65869921823599e-81,3.42726064098672,0.633,0.117,1.69722662662843e-76,"Arhgap21",1.69722662662843e-76,"Up"
8.11690254294323e-79,3.60846102631069,0.596,0.105,1.42630211484598e-74,"Dnah7b",1.42630211484598e-74,"Up"
3.16263297679793e-74,3.05819149323466,0.627,0.121,5.55737866682932e-70,"Epas1",5.55737866682932e-70,"Up"
5.54118164494916e-74,2.48786112550631,0.982,0.627,9.73696438650467e-70,"Peak1",9.73696438650467e-70,"Up"
2.36342191759822e-71,-3.58770060450311,0.223,0.886,4.1530049936036e-67,"Hnrnpab",4.1530049936036e-67,"Down"
2.8151435472456e-69,3.47562237267759,0.392,0.043,4.94677024121997e-65,"Tsc22d3",4.94677024121997e-65,"Up"
3.91022706920141e-69,3.83085344764714,0.572,0.111,6.87105100600072e-65,"Ddrgk1",6.87105100600072e-65,"Up"
8.9111257225e-62,3.60681755352136,0.651,0.168,1.5658630119577e-57,"Fn1",1.5658630119577e-57,"Up"
2.66368130284371e-60,3.13661526863511,0.578,0.129,4.68062078535696e-56,"Arhgef6",4.68062078535696e-56,"Up"
3.26640486977971e-56,1.88014541242661,0.982,0.677,5.73972663717691e-52,"Zc3h7a",5.73972663717691e-52,"Up"
2.1363967389423e-48,2.50851974054375,0.729,0.273,3.75407634966942e-44,"Camk1d",3.75407634966942e-44,"Up"
2.8153819303555e-46,2.62405969466857,0.566,0.161,4.94718912802069e-42,"Nup62cl",4.94718912802069e-42,"Up"
1.30569383581409e-45,-1.24663637201251,0.922,0.994,2.29436520829252e-41,"Peg10",2.29436520829252e-41,"Down"
1.46926966421844e-45,-2.38343122196881,0.319,0.82,2.58180065396465e-41,"Hnrnpa2b1",2.58180065396465e-41,"Down"
6.06979117706172e-45,3.85189625469514,0.367,0.065,1.06658370563328e-40,"Mphosph8",1.06658370563328e-40,"Up"
2.27836298732413e-43,1.68130628974064,0.982,0.987,4.00353944132596e-39,"H19",4.00353944132596e-39,"Up"
4.80239007744629e-42,-2.94381543068923,0.145,0.708,8.43875984408862e-38,"Fus",8.43875984408862e-38,"Down"
4.26060505880405e-41,-2.37889486093997,0.289,0.783,7.48673520933047e-37,"Atp5g1",7.48673520933047e-37,"Down"
4.68645266159071e-41,1.78498773209105,0.952,0.706,8.2350346169472e-37,"Rhox9",8.2350346169472e-37,"Up"
7.86161159146304e-41,-2.62630181757506,0.217,0.738,1.38144238885188e-36,"Anp32b",1.38144238885188e-36,"Down"
3.25225330924806e-40,2.71064240234178,0.446,0.103,5.71485951501069e-36,"Tmsb4x",5.71485951501069e-36,"Up"
2.80440068996135e-38,-1.70422886172133,0.536,0.859,4.92789289240008e-34,"Ppia",4.92789289240008e-34,"Down"
3.05006701359896e-37,-1.67206517389409,0.476,0.862,5.35957775629608e-33,"Ncl",5.35957775629608e-33,"Down"
1.40808636776097e-36,-3.30853894075368,0.114,0.636,2.47428936542958e-32,"Atp5a1",2.47428936542958e-32,"Down"
4.32701810910963e-36,-2.45039929753188,0.235,0.708,7.60343622132743e-32,"Cnbp",7.60343622132743e-32,"Down"
2.70846775439178e-35,2.23590685835336,0.476,0.128,4.75931953801723e-31,"Ldhb",4.75931953801723e-31,"Up"
3.01084242711798e-35,-2.59593407766339,0.187,0.682,5.29065231293171e-31,"Txnl1",5.29065231293171e-31,"Down"
4.28479322180158e-35,-3.43151780255977,0.09,0.607,7.52923864934974e-31,"Cox6c",7.52923864934974e-31,"Down"
3.66415633490952e-33,2.68687307895684,0.367,0.081,6.438655511703e-29,"Atf2",6.438655511703e-29,"Up"
3.87397223611173e-33,-2.01346543243079,0.343,0.749,6.80734401329553e-29,"Peg3",6.80734401329553e-29,"Down"
1.11306117617983e-30,-3.01132810605338,0.108,0.585,1.95587109878319e-26,"Eif3i",1.95587109878319e-26,"Down"
3.83518479003544e-30,-1.89940784726316,0.355,0.743,6.73918671305027e-26,"Ubxn1",6.73918671305027e-26,"Down"
3.91141137655602e-30,2.51673489760415,0.512,0.18,6.87313207088424e-26,"Adgrf5",6.87313207088424e-26,"Up"
9.77020980739846e-30,-2.90084517784107,0.114,0.588,1.71682126735606e-25,"Smdt1",1.71682126735606e-25,"Down"
1.09709711634221e-28,-2.72957725994613,0.139,0.59,1.92781905283653e-24,"Pgam1",1.92781905283653e-24,"Down"
5.07104516732579e-28,-5.78787698132981,0.006,0.457,8.91084056802487e-24,"Ccna2",8.91084056802487e-24,"Down"
1.60972656684927e-27,-2.38296098238157,0.187,0.613,2.82861152326753e-23,"Otx2os1",2.82861152326753e-23,"Down"
2.27124668034274e-27,-1.74548226641906,0.355,0.732,3.99103466669825e-23,"Ankrd17",3.99103466669825e-23,"Down"
2.33657348150506e-27,-3.99740684936043,0.024,0.48,4.10582692170069e-23,"Myc",4.10582692170069e-23,"Down"
7.17999655356161e-27,-4.25935283941956,0.03,0.471,1.26166899439185e-22,"Ddx39",1.26166899439185e-22,"Down"
2.403508409833e-26,-3.18964386760816,0.09,0.523,4.22344497775854e-22,"H2az1",4.22344497775854e-22,"Down"
5.24806070345464e-26,2.01484964770073,0.416,0.125,9.2218922681105e-22,"Gpbp1",9.2218922681105e-22,"Up"
6.56399472997494e-26,1.86974246104073,0.482,0.165,1.1534251539512e-21,"Foxo4",1.1534251539512e-21,"Up"
9.98280943584374e-26,2.05615558527162,0.422,0.134,1.75417927406646e-21,"Zmiz1",1.75417927406646e-21,"Up"
6.93099564759784e-25,2.03952325787091,0.458,0.159,1.21791455519589e-20,"Tpm2",1.21791455519589e-20,"Up"
8.06494664266302e-25,-1.26385665449725,0.512,0.809,1.41717242404875e-20,"Hnrnpu",1.41717242404875e-20,"Down"
1.15750632569268e-24,-2.81251238123204,0.127,0.538,2.03397011550718e-20,"Cfap77",2.03397011550718e-20,"Down"
1.16441220299305e-24,-1.34881392417323,0.458,0.781,2.04610512309938e-20,"Ywhaz",2.04610512309938e-20,"Down"
3.05894668740744e-24,-6.06515145599627,0.006,0.417,5.37518111911236e-20,"H3c2",5.37518111911236e-20,"Down"
4.58033434849858e-24,2.34767505423862,0.398,0.128,8.04856351718171e-20,"Nid1",8.04856351718171e-20,"Up"
8.19798767861196e-24,-1.01951610972207,0.717,0.888,1.44055039488569e-19,"Gapdh",1.44055039488569e-19,"Down"
1.00241032087899e-23,-2.47557002373365,0.12,0.535,1.76143541584855e-19,"Hnrnpa1",1.76143541584855e-19,"Down"
1.27790503656101e-23,-2.02542122553003,0.181,0.589,2.24553473024501e-19,"Pkm",2.24553473024501e-19,"Down"
2.93888212448369e-23,2.18885446816321,0.488,0.199,5.16420366914273e-19,"Alpl",5.16420366914273e-19,"Up"
6.19138405552283e-23,-1.85584574313332,0.313,0.652,1.08795000623647e-18,"Cdv3",1.08795000623647e-18,"Down"
1.22061010127855e-22,-2.64185637455001,0.108,0.508,2.14485606996667e-18,"Ube2j2",2.14485606996667e-18,"Down"
2.48074132487651e-22,-1.97889136182758,0.205,0.593,4.359158656073e-18,"Mdh2",4.359158656073e-18,"Down"
3.46882373982151e-22,1.76642157505214,0.422,0.141,6.09541707561436e-18,"Lars2",6.09541707561436e-18,"Up"
5.2457724962249e-22,-4.98209379386593,0.012,0.393,9.2178714303664e-18,"Mki67",9.2178714303664e-18,"Down"
9.84116342895693e-22,1.89741091394751,0.416,0.147,1.72928923773631e-17,"3830417A13Rik",1.72928923773631e-17,"Up"
1.07916561573703e-21,-2.08738484253428,0.169,0.556,1.8963098199731e-17,"Slc25a3",1.8963098199731e-17,"Down"
2.64103042793089e-21,1.85831109425857,0.404,0.137,4.64081866796016e-17,"Cdh5",4.64081866796016e-17,"Up"
3.41003942416883e-21,1.91217426661925,0.343,0.102,5.99212127614947e-17,"Fmr1",5.99212127614947e-17,"Up"
4.16830874234974e-20,-2.25155446885916,0.139,0.508,7.32455212205696e-16,"Ywhah",7.32455212205696e-16,"Down"
1.06386561199717e-19,1.99472876224861,0.422,0.162,1.86942465340142e-15,"App",1.86942465340142e-15,"Up"
1.25209420234668e-19,1.88100800293644,0.343,0.108,2.20017993236359e-15,"1700025G04Rik",2.20017993236359e-15,"Up"
1.26768503445291e-19,-2.90352726643823,0.054,0.418,2.22757614254065e-15,"C1qbp",2.22757614254065e-15,"Down"
1.51387029100959e-19,-3.00283664515974,0.066,0.424,2.66017287536206e-15,"Ssrp1",2.66017287536206e-15,"Down"
2.06686437616431e-19,1.98314078797339,0.512,0.238,3.63189408179593e-15,"Calr",3.63189408179593e-15,"Up"
3.10844255469644e-19,-2.75730610525817,0.151,0.496,5.46215525711259e-15,"Prdx2",5.46215525711259e-15,"Down"
3.32923659663643e-19,-1.23925163336305,0.343,0.697,5.85013454760954e-15,"Srrm2",5.85013454760954e-15,"Down"
7.07059058017758e-19,1.76251329750512,0.572,0.296,1.2424441767488e-14,"Trap1a",1.2424441767488e-14,"Up"
8.73467648071215e-19,1.43739959704996,0.602,0.314,1.53485735119074e-14,"Cul4b",1.53485735119074e-14,"Up"
8.78421334936567e-19,-2.78477339448631,0.072,0.424,1.54356196975054e-14,"Sae1",1.54356196975054e-14,"Down"
9.18841629250319e-19,1.91442803788938,0.331,0.104,1.61458851091866e-14,"Itm2b",1.61458851091866e-14,"Up"
1.03670046205213e-18,-2.44139745161433,0.145,0.486,1.82169005191801e-14,"Mrfap1",1.82169005191801e-14,"Down"
1.08318118827077e-18,1.7862083516279,0.524,0.247,1.90336598402939e-14,"Cyb5r3",1.90336598402939e-14,"Up"
1.23861010365937e-18,-3.23433614294894,0.042,0.388,2.17648567415025e-14,"Dnmt1",2.17648567415025e-14,"Down"
2.36868891241223e-18,-2.10001374399406,0.145,0.498,4.16226015689076e-14,"Basp1",4.16226015689076e-14,"Down"
2.54254251095568e-18,-2.84668647382042,0.06,0.407,4.46775570025132e-14,"Mrpl17",4.46775570025132e-14,"Down"
