"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
2.2565455113197e-275,9.0137772688662,0.969,0.024,3.96520177249098e-271,"Zfp791",3.96520177249098e-271,"Up"
6.02262119769357e-167,5.93696652056668,0.83,0.074,1.05829499685871e-162,"Tmtc2",1.05829499685871e-162,"Up"
8.19956391104031e-166,7.32426500319013,0.68,0.027,1.440827370448e-161,"Prl3b1",1.440827370448e-161,"Up"
4.40168486335148e-160,13.3423782865382,0.521,0,7.73464064188123e-156,"Cts6",7.73464064188123e-156,"Up"
3.11522552341866e-150,6.54209677567367,0.732,0.054,5.47407428975127e-146,"Ctsj",5.47407428975127e-146,"Up"
9.97653507386964e-150,5.96493414024097,0.582,0.015,1.75307674318037e-145,"Gnb1l",1.75307674318037e-145,"Up"
3.62114597170562e-145,5.28345551118427,0.892,0.143,6.36307770148112e-141,"D130009I18Rik",6.36307770148112e-141,"Up"
5.34915588089648e-135,5.87617657351752,0.969,0.303,9.39953671391129e-131,"Itga9",9.39953671391129e-131,"Up"
3.42396541440308e-111,3.78989516473914,1,0.83,6.01659202618908e-107,"Peak1",6.01659202618908e-107,"Up"
1.61773395896214e-110,4.13000614971454,0.716,0.097,2.84268211268827e-106,"Il31ra",2.84268211268827e-106,"Up"
1.21182862632248e-104,5.3717833328028,0.546,0.041,2.12942526217386e-100,"Prl2b1",2.12942526217386e-100,"Up"
1.88127798354942e-104,6.72585348930829,0.572,0.053,3.30578167269305e-100,"Ctsq",3.30578167269305e-100,"Up"
2.02264892250641e-104,5.62439036718626,0.428,0.013,3.55419868662826e-100,"Sspn",3.55419868662826e-100,"Up"
2.27190476404534e-103,4.59619963859877,0.938,0.399,3.99219105138047e-99,"Jarid2",3.99219105138047e-99,"Up"
9.99804637647139e-101,3.00353180792592,1,0.916,1.75685670927355e-96,"Zc3h7a",1.75685670927355e-96,"Up"
2.04381415126279e-95,4.32862475951959,0.557,0.054,3.59139022659897e-91,"Tlcd4",3.59139022659897e-91,"Up"
3.04310419671662e-84,3.735421679575,0.619,0.095,5.34734269447044e-80,"Dnah7b",5.34734269447044e-80,"Up"
6.15249642269688e-84,3.34056365906363,0.768,0.185,1.0811166713963e-79,"Camk1d",1.0811166713963e-79,"Up"
2.59447063433222e-76,4.17156148337321,0.464,0.045,4.55900379864858e-72,"Prl7d1",4.55900379864858e-72,"Up"
1.64415713978497e-74,3.77545634137726,0.505,0.061,2.88911292603015e-70,"Mphosph8",2.88911292603015e-70,"Up"
7.09688650355668e-65,4.09968881832763,0.753,0.262,1.24706489640498e-60,"Tfpi",1.24706489640498e-60,"Up"
2.21666529630525e-61,-2.28090814250653,0.253,0.884,3.89512425866759e-57,"Prrc2c",3.89512425866759e-57,"Down"
8.45497827006055e-61,-1.66228993364935,0.768,0.985,1.48570878161504e-56,"Ptma",1.48570878161504e-56,"Down"
7.24267841943053e-54,-1.89529213255285,0.325,0.877,1.27268345186233e-49,"Srrm2",1.27268345186233e-49,"Down"
1.01554679396591e-52,-1.45288824285489,0.588,0.962,1.7845188263569e-48,"Hnrnpu",1.7845188263569e-48,"Down"
1.63106305735704e-45,-2.72077268293026,0.124,0.693,2.8661040043878e-41,"Tle3",2.8661040043878e-41,"Down"
3.6679176477681e-41,-1.58217865067453,0.345,0.857,6.4452648906581e-37,"Rlim",6.4452648906581e-37,"Down"
4.43841092478457e-40,-1.71794720651582,0.32,0.815,7.79917567703144e-36,"Morf4l2",7.79917567703144e-36,"Down"
7.50560507383613e-40,2.35137187277984,0.598,0.198,1.31888492357448e-35,"Sparc",1.31888492357448e-35,"Up"
9.07326143800257e-40,-1.24886792813183,0.562,0.923,1.59435349988581e-35,"Rad23b",1.59435349988581e-35,"Down"
1.19556456690344e-39,2.93167168610922,0.526,0.153,2.10084605696273e-35,"Arhgap21",2.10084605696273e-35,"Up"
1.39145038528405e-39,-1.5555976859135,0.294,0.82,2.44505661702114e-35,"Ankrd17",2.44505661702114e-35,"Down"
4.53471872833045e-37,-2.63013089205939,0.124,0.645,7.96840774942227e-33,"Plec",7.96840774942227e-33,"Down"
7.45858584453165e-37,-1.83184591229123,0.402,0.816,1.3106227046011e-32,"Atp5g1",1.3106227046011e-32,"Down"
1.2981312536028e-36,3.92247172011925,0.361,0.07,2.28107623883085e-32,"Ctsr",2.28107623883085e-32,"Up"
1.56167898873088e-36,-1.62547287047217,0.294,0.797,2.7441823189979e-32,"Sfmbt2",2.7441823189979e-32,"Down"
3.1750925950891e-36,-1.7315899028381,0.371,0.806,5.57927270809057e-32,"Peg3",5.57927270809057e-32,"Down"
3.95435088617097e-36,-2.10805974585745,0.149,0.674,6.94858537717963e-32,"Huwe1",6.94858537717963e-32,"Down"
1.95295081259079e-35,-1.72990770264319,0.273,0.757,3.43172516788453e-31,"Hnrnpa1",3.43172516788453e-31,"Down"
4.63930396930234e-35,-1.54627657052383,0.34,0.815,8.15218493485807e-31,"Fus",8.15218493485807e-31,"Down"
1.46816891885497e-34,2.63515106202404,0.448,0.122,2.57986642421195e-30,"Tmsb4x",2.57986642421195e-30,"Up"
5.25651549207893e-34,-1.30755406557239,0.655,0.928,9.2367490226811e-30,"Ncl",9.2367490226811e-30,"Down"
1.09660671838428e-33,2.55727617132772,0.479,0.14,1.92695732554486e-29,"Cited1",1.92695732554486e-29,"Up"
1.31999507197993e-33,-2.61730519254581,0.119,0.603,2.31949534048313e-29,"Dnmt1",2.31949534048313e-29,"Down"
1.46962244376214e-33,2.52752882793367,0.448,0.123,2.58242055817882e-29,"Npc2",2.58242055817882e-29,"Up"
3.32834442047244e-33,-1.59318625139995,0.299,0.758,5.84856681565416e-29,"Eif4g1",5.84856681565416e-29,"Down"
1.46823459226768e-32,-2.09580548366,0.186,0.66,2.57998182553277e-28,"Ldoc1",2.57998182553277e-28,"Down"
1.62872545536349e-32,-1.42148724334752,0.402,0.819,2.86199637016472e-28,"Mdh2",2.86199637016472e-28,"Down"
3.2402349179294e-32,-1.21250836255424,0.407,0.848,5.69374079778555e-28,"Eif3a",5.69374079778555e-28,"Down"
2.14991201296076e-31,-1.53445304290747,0.268,0.742,3.77782538917465e-27,"Kpnb1",3.77782538917465e-27,"Down"
1.08276219853794e-29,-1.15622357478347,0.464,0.86,1.90262973527086e-25,"Caprin1",1.90262973527086e-25,"Down"
1.13111164278253e-29,-1.76690437529102,0.253,0.68,1.98758937869746e-25,"Ddx3x",1.98758937869746e-25,"Down"
1.396958830479e-29,-1.21777437015545,0.495,0.881,2.4547360569177e-25,"Hnrnpa2b1",2.4547360569177e-25,"Down"
2.3493377800104e-29,-2.0114678188353,0.186,0.622,4.12825634703427e-25,"Chd4",4.12825634703427e-25,"Down"
5.69153386280817e-29,-1.64905990378965,0.253,0.699,1.00011633037265e-24,"Atp1a1",1.00011633037265e-24,"Down"
7.75189361598313e-29,-1.40332501102556,0.387,0.795,1.36216274620056e-24,"Anp32b",1.36216274620056e-24,"Down"
1.10699660106987e-28,-1.77364070678689,0.232,0.686,1.94521442739998e-24,"Hmgn5",1.94521442739998e-24,"Down"
1.35412707071487e-28,-1.38100962055633,0.278,0.733,2.37947208866017e-24,"Cct2",2.37947208866017e-24,"Down"
6.08196234431512e-28,-1.7679270555925,0.18,0.622,1.06872242314305e-23,"Eif3b",1.06872242314305e-23,"Down"
8.01759287853313e-28,-1.47665896902976,0.284,0.706,1.40885142061584e-23,"Flnb",1.40885142061584e-23,"Down"
9.48933239816405e-28,-2.30290970723697,0.108,0.546,1.66746548900539e-23,"Epcam",1.66746548900539e-23,"Down"
1.18772737486293e-27,-1.29826943817641,0.361,0.772,2.08707454310914e-23,"Eif3c",2.08707454310914e-23,"Down"
3.63475024951658e-27,-1.13774736640088,0.454,0.849,6.38698313845054e-23,"Trip12",6.38698313845054e-23,"Down"
3.72186121786923e-27,3.29893705358488,0.335,0.083,6.54005453203981e-23,"Lepr",6.54005453203981e-23,"Up"
9.99164449613227e-27,-3.42000375217219,0.077,0.487,1.75573177086036e-22,"Myc",1.75573177086036e-22,"Down"
1.51827405666423e-26,-1.85077417771563,0.17,0.592,2.66791117237038e-22,"Thrap3",2.66791117237038e-22,"Down"
1.8959492871162e-26,-1.66644164747529,0.227,0.653,3.3315620873206e-22,"Hmgb2",3.3315620873206e-22,"Down"
6.76365938753508e-26,-1.61801924337408,0.222,0.641,1.18851022757766e-21,"Gata2",1.18851022757766e-21,"Down"
1.90477422174061e-25,-1.61249468779478,0.268,0.668,3.34706926244261e-21,"Tfap2c",3.34706926244261e-21,"Down"
1.91895018342834e-25,1.94752120915528,0.562,0.235,3.37197926232028e-21,"Fnd3c2",3.37197926232028e-21,"Up"
2.00310239020871e-25,-1.75753603677273,0.196,0.609,3.51985152007474e-21,"Eif3i",3.51985152007474e-21,"Down"
2.67942242643727e-25,-1.47364171577427,0.273,0.68,4.70828108773558e-21,"Dsp",4.70828108773558e-21,"Down"
3.75020204437854e-25,-1.5895926569232,0.237,0.638,6.58985503238197e-21,"Tpr",6.58985503238197e-21,"Down"
8.35246109785287e-25,-1.90113044190881,0.191,0.594,1.46769446411471e-20,"Uaca",1.46769446411471e-20,"Down"
1.59658244029015e-24,-2.08612910578795,0.134,0.534,2.80551466407786e-20,"Nolc1",2.80551466407786e-20,"Down"
2.55224826183732e-24,-1.0018921093034,0.526,0.868,4.48481064570053e-20,"Klhl13",4.48481064570053e-20,"Down"
3.54878704521005e-24,-1.20859774612114,0.314,0.726,6.2359285958431e-20,"Stip1",6.2359285958431e-20,"Down"
4.44072173747222e-24,-2.90924219329245,0.062,0.451,7.80323623708619e-20,"Mdn1",7.80323623708619e-20,"Down"
7.48215846922904e-24,-1.45263475641216,0.247,0.663,1.31476488621293e-19,"Tcf20",1.31476488621293e-19,"Down"
9.99763746254109e-24,-2.47638622206971,0.088,0.478,1.75678485491772e-19,"Sik1",1.75678485491772e-19,"Down"
1.17617467767903e-23,-1.19987793780769,0.387,0.765,2.06677414361759e-19,"Mbnl3",2.06677414361759e-19,"Down"
5.26579175910847e-23,-1.49695127689363,0.278,0.663,9.2530492791054e-19,"Mrfap1",9.2530492791054e-19,"Down"
7.98853370720184e-23,-1.55385949890698,0.216,0.597,1.40374514302951e-18,"Tra2b",1.40374514302951e-18,"Down"
2.06518395261992e-22,-1.09296273389118,0.376,0.762,3.62894124154372e-18,"Cdv3",3.62894124154372e-18,"Down"
2.45853636924249e-22,-1.26502909219585,0.387,0.725,4.3201401080329e-18,"Las1l",4.3201401080329e-18,"Down"
2.81853421157345e-22,-1.88851466472035,0.155,0.529,4.95272831657686e-18,"Immt",4.95272831657686e-18,"Down"
3.69942077782745e-22,-1.87987689951711,0.139,0.52,6.50062219079839e-18,"Ppm1g",6.50062219079839e-18,"Down"
4.81031836388348e-22,-1.29966803249336,0.325,0.7,8.45269142901605e-18,"Hnrnpab",8.45269142901605e-18,"Down"
6.4140370580678e-22,-1.02323568631196,0.438,0.797,1.12707459184367e-17,"Ybx1",1.12707459184367e-17,"Down"
6.48246901686518e-22,-1.29262444569597,0.294,0.665,1.13909945564355e-17,"Hnrnph1",1.13909945564355e-17,"Down"
7.12042141042449e-22,-1.97450514923574,0.119,0.504,1.25120045023979e-17,"Mki67",1.25120045023979e-17,"Down"
7.78329998506297e-22,-1.54612821379164,0.191,0.577,1.36768147337527e-17,"Cct5",1.36768147337527e-17,"Down"
8.26917931635665e-22,-1.19459956605591,0.376,0.735,1.45306018947019e-17,"Igf2bp1",1.45306018947019e-17,"Down"
1.22285345401852e-21,-1.28596523122134,0.278,0.661,2.14879808940135e-17,"Hnrnpf",2.14879808940135e-17,"Down"
2.17834318765759e-21,-1.98503920900571,0.108,0.48,3.82778464935191e-17,"Ubr4",3.82778464935191e-17,"Down"
4.62197541947506e-21,2.01841008519602,0.387,0.131,8.12173520710158e-17,"Atf2",8.12173520710158e-17,"Up"
5.25490966473245e-21,-1.83879338631214,0.144,0.509,9.23392726286787e-17,"Taf15",9.23392726286787e-17,"Down"
1.22669475558309e-20,-2.13272180009172,0.113,0.469,2.1555480245106e-16,"Supt16",2.1555480245106e-16,"Down"
1.25251862547877e-20,-1.33492801329281,0.242,0.618,2.20092572869129e-16,"Jade1",2.20092572869129e-16,"Down"
1.49320494371052e-20,-1.00245939728277,0.381,0.766,2.62385972708812e-16,"Pkm",2.62385972708812e-16,"Down"
1.56058094333735e-20,-1.59289421209107,0.191,0.563,2.7422528336324e-16,"Pa2g4",2.7422528336324e-16,"Down"
2.23915162652657e-20,-1.81551869318622,0.129,0.492,3.9346372381325e-16,"Ep400",3.9346372381325e-16,"Down"
4.31491376564193e-20,-1.37661115665881,0.263,0.621,7.58216646898599e-16,"Tcp1",7.58216646898599e-16,"Down"
4.42367088526881e-20,-1.65857610056408,0.175,0.533,7.77327447959436e-16,"Psmd3",7.77327447959436e-16,"Down"
4.78071037768835e-20,-1.34792607412803,0.253,0.613,8.40066427567397e-16,"Kat7",8.40066427567397e-16,"Down"
5.02230352406181e-20,-1.66562847974636,0.191,0.544,8.82519175248142e-16,"Zfand5",8.82519175248142e-16,"Down"
1.28675975648568e-19,-1.47162625547358,0.273,0.613,2.26109424409664e-15,"Etl4",2.26109424409664e-15,"Down"
1.31638670765838e-19,-1.86110354803723,0.144,0.495,2.3131547226973e-15,"Helz",2.3131547226973e-15,"Down"
2.2437139817383e-19,-1.2709661172037,0.237,0.607,3.94265420871054e-15,"Sf1",3.94265420871054e-15,"Down"
2.59486148484639e-19,-1.0962065509107,0.412,0.739,4.55969060117208e-15,"Hmgb1",4.55969060117208e-15,"Down"
3.11369877055603e-19,-1.65074996083852,0.201,0.54,5.47139147962105e-15,"Scaf11",5.47139147962105e-15,"Down"
3.14926255944311e-19,-2.14316354681337,0.098,0.437,5.53388416945343e-15,"Ssrp1",5.53388416945343e-15,"Down"
4.74830382914888e-19,-2.5106063009531,0.067,0.398,8.34371948858042e-15,"Smarca4",8.34371948858042e-15,"Down"
5.26070084144857e-19,-1.60410768878427,0.17,0.523,9.24410351859342e-15,"Strap",9.24410351859342e-15,"Down"
6.46999091674665e-19,-2.06812827358372,0.093,0.432,1.13690680389072e-14,"Irx3",1.13690680389072e-14,"Down"
1.175947099639e-18,-1.55385949890698,0.196,0.543,2.06637424348565e-14,"Map4k4",2.06637424348565e-14,"Down"
2.32243704532047e-18,-2.27361426519067,0.077,0.407,4.08098637603712e-14,"Ccna2",4.08098637603712e-14,"Down"
2.59940277846875e-18,-1.24714822963106,0.49,0.762,4.56767056232529e-14,"Ezr",4.56767056232529e-14,"Down"
3.81409207667756e-18,-1.35820865122475,0.237,0.571,6.7021225971378e-14,"Snx9",6.7021225971378e-14,"Down"
4.40369656217253e-18,-1.65607111040572,0.16,0.496,7.73817559904956e-14,"Dnttip2",7.73817559904956e-14,"Down"
7.1668461544035e-18,-1.89820327214141,0.129,0.455,1.25935820625178e-13,"Rest",1.25935820625178e-13,"Down"
9.79917070103365e-18,-1.3221845512103,0.196,0.546,1.72191027558563e-13,"Hnrnpc",1.72191027558563e-13,"Down"
1.10560303860043e-17,-1.99423984630029,0.119,0.441,1.94276565942867e-13,"Nsd1",1.94276565942867e-13,"Down"
