"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
7.15273198874633e-17,2.47499504726025,0.977,0.149,2.09575047270268e-14,"Plag1",2.09575047270268e-14,"Up"
7.19497416094982e-16,2.09149211232159,1,0.681,2.1081274291583e-13,"Atf2",2.1081274291583e-13,"Up"
8.55530577887484e-16,-1.83139142203511,0.568,1,2.50670459321033e-13,"Sfpq",2.50670459321033e-13,"Down"
2.93137426152586e-15,1.4331365545944,1,0.723,8.58892658627077e-13,"Zbtb25",8.58892658627077e-13,"Up"
3.14589027468715e-15,1.18194125590279,1,0.468,9.21745850483334e-13,"Tcf21",9.21745850483334e-13,"Up"
3.21375277669747e-15,-1.27122593280494,1,1,9.41629563572359e-13,"Myc",9.41629563572359e-13,"Down"
4.05339132073103e-15,1.06304165490017,1,0.83,1.18764365697419e-12,"Tead4",1.18764365697419e-12,"Up"
6.93565649531265e-15,1.97812090689265,0.955,0.277,2.03214735312661e-12,"Egr2",2.03214735312661e-12,"Up"
8.22623794279283e-15,1.94056143971104,0.955,0.34,2.4102877172383e-12,"Snd1",2.4102877172383e-12,"Up"
1.28648924538665e-14,2.32497522104851,0.932,0.17,3.76941348898287e-12,"Zkscan6",3.76941348898287e-12,"Up"
1.3018380993169e-14,1.43712606070512,0.977,0.447,3.81438563099852e-12,"Hsf1",3.81438563099852e-12,"Up"
1.40601951386824e-14,1.92007977022454,0.955,0.404,4.11963717563395e-12,"Zbtb18",4.11963717563395e-12,"Up"
1.62841800889528e-14,1.65390688815297,0.977,0.66,4.77126476606318e-12,"Zfp639",4.77126476606318e-12,"Up"
2.25979652792928e-14,1.06589608877275,0.977,0.511,6.62120382683278e-12,"Rfx2",6.62120382683278e-12,"Up"
3.34756718093582e-14,1.27851073933625,0.977,0.489,9.80837184014196e-12,"Zbtb16",9.80837184014196e-12,"Up"
3.88278881084908e-14,1.0684626489395,0.977,0.404,1.13765712157878e-11,"Hoxa10",1.13765712157878e-11,"Up"
6.4331542096615e-14,1.68828198093336,0.932,0.191,1.88491418343082e-11,"Zbtb40",1.88491418343082e-11,"Up"
7.69113750738233e-14,-1.37111856604871,0.295,1,2.25350328966302e-11,"Zfp42",2.25350328966302e-11,"Down"
3.74512921698965e-13,1.25499138867475,1,0.851,1.09732286057797e-10,"Fosl1",1.09732286057797e-10,"Up"
1.03152132216325e-12,1.40838326233145,0.909,0.468,3.02235747393833e-10,"Patz1",3.02235747393833e-10,"Up"
1.61900082038579e-12,1.37946918466857,0.977,0.638,4.74367240373035e-10,"Bcl11a",4.74367240373035e-10,"Up"
3.95125331759489e-12,1.92875945229459,0.932,0.383,1.1577172220553e-09,"Prdm1",1.1577172220553e-09,"Up"
1.08816965035554e-11,-1.28198637983083,0.955,1,3.18833707554175e-09,"Ctcf",3.18833707554175e-09,"Down"
1.2496879147988e-11,1.64344290039682,0.932,0.085,3.66158559036047e-09,"Nr1d2",3.66158559036047e-09,"Up"
1.94671516740104e-11,1.68265831975522,0.955,0.298,5.70387544048506e-09,"Zfp654",5.70387544048506e-09,"Up"
9.8848389603914e-11,1.15928718744538,0.977,0.489,2.89625781539468e-08,"Elf2",2.89625781539468e-08,"Up"
