"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.90007243465171e-22,3.33040499648448,0.932,0.014,5.56721223352952e-20,"Zkscan6",5.56721223352952e-20,"Up"
8.98108955148847e-21,3.04689060173038,0.932,0.042,2.63145923858612e-18,"Prdm1",2.63145923858612e-18,"Up"
1.22671531879627e-20,1.65571368266033,0.955,0.056,3.59427588407307e-18,"Zfp317",3.59427588407307e-18,"Up"
2.23423385916915e-20,2.10053248912812,0.977,0.125,6.54630520736562e-18,"Hsf1",6.54630520736562e-18,"Up"
1.04190129554078e-19,1.71967380164448,0.977,0.208,3.05277079593447e-17,"Rfx2",3.05277079593447e-17,"Up"
1.7202620173705e-19,-2.70627178416169,0.568,1,5.04036771089558e-17,"Sfpq",5.04036771089558e-17,"Down"
1.82859147805562e-19,2.49036324765866,0.977,0.181,5.35777303070297e-17,"Plag1",5.35777303070297e-17,"Up"
2.06087008582211e-19,-1.27917694429681,1,1,6.03834935145877e-17,"Ybx1",6.03834935145877e-17,"Down"
4.24825306629792e-19,-1.49246216395269,1,1,1.24473814842529e-16,"Sox11",1.24473814842529e-16,"Down"
6.63155050397358e-19,1.79080071431876,1,0.444,1.94304429766426e-16,"Tead4",1.94304429766426e-16,"Up"
6.77621576361392e-19,2.36023522966815,0.932,0.083,1.98543121873888e-16,"Zbtb40",1.98543121873888e-16,"Up"
8.8823011622255e-19,2.61214591797556,0.955,0.194,2.60251424053207e-16,"Snd1",2.60251424053207e-16,"Up"
1.01310130376121e-18,2.10370193104013,0.977,0.361,2.96838682002035e-16,"Bcl11a",2.96838682002035e-16,"Up"
1.24158958080857e-18,1.41496582601887,1,0.986,3.63785747176911e-16,"Irf9",3.63785747176911e-16,"Up"
1.45630888172016e-18,2.39194859960688,0.932,0.042,4.26698502344006e-16,"Nr1d2",4.26698502344006e-16,"Up"
1.53432689688398e-18,2.30495899321875,0.977,0.417,4.49557780787005e-16,"Zfp639",4.49557780787005e-16,"Up"
1.68320282888309e-18,1.22959511073515,1,1,4.93178428862745e-16,"Stat6",4.93178428862745e-16,"Up"
3.9593629376249e-18,-1.815148071292,1,1,1.1600933407241e-15,"Hmga2",1.1600933407241e-15,"Down"
3.99456340761147e-18,1.88156022231111,0.977,0.292,1.17040707843016e-15,"Elf2",1.17040707843016e-15,"Up"
5.06265959950948e-18,1.57524204743623,0.977,0.236,1.48335926265628e-15,"Hoxa10",1.48335926265628e-15,"Up"
6.25177150380634e-18,1.59510136674526,1,0.833,1.83176905061526e-15,"Bhlhe41",1.83176905061526e-15,"Up"
7.43502679679897e-18,1.8539931827403,0.955,0.417,2.1784628514621e-15,"Zbtb7b",2.1784628514621e-15,"Up"
3.05187646259933e-17,1.75002155606983,1,0.597,8.94199803541602e-15,"Fosl1",8.94199803541602e-15,"Up"
3.33194682997179e-17,1.4704868571698,1,0.833,9.76260421181735e-15,"Zbtb25",9.76260421181735e-15,"Up"
5.96292396472376e-17,2.09909057634958,0.955,0.444,1.74713672166406e-14,"Zbtb18",1.74713672166406e-14,"Up"
9.98121054201898e-17,1.10911919241253,1,0.917,2.92449468881156e-14,"Stat2",2.92449468881156e-14,"Up"
1.06149241052554e-16,1.24763166009489,1,0.833,3.11017276283982e-14,"Thra",3.11017276283982e-14,"Up"
1.47760942382779e-16,2.20768688863779,0.932,0.097,4.32939561181541e-14,"Gmeb1",4.32939561181541e-14,"Up"
1.65567132616307e-16,-1.01384283415821,1,1,4.85111698565778e-14,"Klf12",4.85111698565778e-14,"Down"
1.7356404997969e-16,-1.41821702477822,0.955,1,5.08542666440492e-14,"Ctcf",5.08542666440492e-14,"Down"
1.96422951426706e-16,-1.59750649906985,0.477,0.986,5.75519247680249e-14,"Sox4",5.75519247680249e-14,"Down"
2.00805633367493e-16,1.20704805033359,0.909,0.069,5.88360505766755e-14,"Rfx1",5.88360505766755e-14,"Up"
2.46240598942874e-16,1.54005068434683,0.977,0.375,7.2148495490262e-14,"Zbtb16",7.2148495490262e-14,"Up"
5.51344803442385e-16,1.16213989796867,1,0.972,1.61544027408619e-13,"Nfyb",1.61544027408619e-13,"Up"
5.73959841689856e-16,-2.06840911753671,0.341,1,1.68170233615128e-13,"Gli3",1.68170233615128e-13,"Down"
6.67468129414236e-16,1.50031237330023,0.955,0.125,1.95568161918371e-13,"Zfp217",1.95568161918371e-13,"Up"
1.00245564881198e-15,1.26364226787492,0.932,0.111,2.93719505101911e-13,"Crebzf",2.93719505101911e-13,"Up"
2.73847049712681e-15,1.4311164944239,0.955,0.319,8.02371855658156e-13,"Sp2",8.02371855658156e-13,"Up"
2.00764239296194e-14,-1.03414389234299,1,1,5.88239221137848e-12,"Rbfox2",5.88239221137848e-12,"Down"
2.61774918499802e-14,1.25808233715964,0.977,0.764,7.6700051120442e-12,"Zfp384",7.6700051120442e-12,"Up"
2.76759116280296e-14,1.09233962727938,1,0.889,8.10904210701267e-12,"Nfic",8.10904210701267e-12,"Up"
3.04047640384821e-14,1.32815076373178,0.977,0.514,8.90859586327524e-12,"Pax8",8.90859586327524e-12,"Up"
3.2733459551366e-14,1.16184907048772,1,0.667,9.59090364855025e-12,"Tcf21",9.59090364855025e-12,"Up"
5.1543728934119e-14,-1.14422983449884,1,0.958,1.51023125776969e-11,"Foxp4",1.51023125776969e-11,"Down"
2.88649451047534e-13,1.22359742225768,0.955,0.375,8.45742891569276e-11,"Smad4",8.45742891569276e-11,"Up"
6.20465839525596e-13,1.41690031328169,0.955,0.222,1.81796490981e-10,"Ash2l",1.81796490981e-10,"Up"
2.82934621598485e-12,1.15260724898229,0.955,0.181,8.2899844128356e-10,"Rxrb",8.2899844128356e-10,"Up"
3.25256408577409e-12,-1.42090125604028,0.023,0.736,9.5300127713181e-10,"Zfp334",9.5300127713181e-10,"Down"
3.98674832194747e-12,1.17632201545237,1,0.417,1.16811725833061e-09,"Ovol2",1.16811725833061e-09,"Up"
7.67428732489213e-12,1.52404368512276,0.955,0.264,2.24856618619339e-09,"Egr2",2.24856618619339e-09,"Up"
7.71306190893586e-12,1.37853582757472,0.955,0.292,2.25992713931821e-09,"Max",2.25992713931821e-09,"Up"
1.15852451754717e-11,-1.05400946778013,1,0.986,3.3944768364132e-09,"Ebf2",3.3944768364132e-09,"Down"
2.04173471209206e-11,1.691408085603,0.955,0.264,5.98228270642974e-09,"Zfp654",5.98228270642974e-09,"Up"
2.46745081836512e-11,1.21495282153648,0.977,0.375,7.2296308978098e-09,"Nfatc2",7.2296308978098e-09,"Up"
2.53194720750828e-11,1.41222905459406,0.932,0.167,7.41860531799926e-09,"Hand1",7.41860531799926e-09,"Up"
1.02974344822205e-10,1.07564061626164,0.932,0.181,3.01714830329061e-08,"Cebpg",3.01714830329061e-08,"Up"
9.83273458984377e-09,1.00930199818147,0.977,0.556,2.88099123482422e-06,"Zfp672",2.88099123482422e-06,"Up"
