"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
4.36623039760233e-17,-5.67582250445617,0.091,0.979,3.3556227097733e-12,"Hnrnpab-201",3.3556227097733e-12,"Down"
4.36623039760233e-17,-5.67582250445617,0.091,0.979,3.3556227097733e-12,"Hnrnpab-202",3.3556227097733e-12,"Down"
4.36623039760233e-17,-5.67582250445617,0.091,0.979,3.3556227097733e-12,"Hnrnpab-203",3.3556227097733e-12,"Down"
7.16784870231853e-16,-5.45215392689098,0.409,0.979,5.50877844167989e-11,"Ptma-201",5.50877844167989e-11,"Down"
3.33132741254681e-15,-4.06754528536154,0.705,1,2.56025836963872e-10,"Tpt1-201",2.56025836963872e-10,"Down"
2.0362710596081e-14,-7.30763189666591,0.114,0.894,1.56495576015121e-09,"Ppia-202",1.56495576015121e-09,"Down"
3.52853419707894e-14,-6.69963656706808,0.159,0.894,2.71181967182305e-09,"Set-201",2.71181967182305e-09,"Down"
4.69866214484114e-14,6.07444190386722,0.886,0.085,3.61110980479621e-09,"Ftl1-202",3.61110980479621e-09,"Up"
3.97790222949441e-13,4.44192493167003,0.886,0.085,3.05717697945564e-08,"Ftl1-206",3.05717697945564e-08,"Up"
6.74403107405662e-13,3.66444784137936,0.932,0.128,5.18305764165547e-08,"Ftl1-203",5.18305764165547e-08,"Up"
1.49213153686222e-12,-7.0436810945777,0.045,0.787,1.14676277134009e-07,"Tmed2-201",1.14676277134009e-07,"Down"
4.76646798218525e-12,-3.94914939620057,0.182,0.872,3.66322130302865e-07,"Serpinh1-201",3.66322130302865e-07,"Down"
6.23806821179426e-12,-4.06221575787783,0.25,0.851,4.79420494349236e-07,"Junb-201",4.79420494349236e-07,"Down"
7.57431891209968e-12,-4.94935327039471,0.136,0.809,5.82116705670509e-07,"Hnrnpu-201",5.82116705670509e-07,"Down"
8.41655435453532e-12,-4.4848378960117,0.159,0.83,6.46845868363458e-07,"Rack1-201",6.46845868363458e-07,"Down"
1.05080189521656e-11,-5.38809455857328,0.114,0.787,8.07583288549735e-07,"Anp32b-201",8.07583288549735e-07,"Down"
1.98042360618288e-11,-3.96383342478521,0.205,0.851,1.52203475829579e-06,"Ywhaz-201",1.52203475829579e-06,"Down"
3.03650023410187e-11,-5.37991084493436,0.091,0.766,2.33367188991665e-06,"Cdv3-201",2.33367188991665e-06,"Down"
3.61799716580112e-11,-3.38375833584257,0.614,0.936,2.78057554180479e-06,"Actb-201",2.78057554180479e-06,"Down"
6.31690718101457e-11,4.80855730522081,0.75,0.064,4.85479584489694e-06,"Epb41-201",4.85479584489694e-06,"Up"
6.87018982369146e-11,-5.73548425493029,0.25,0.809,5.28001568709983e-06,"Peg10-202",5.28001568709983e-06,"Down"
7.56275220878118e-11,4.67940946068761,0.75,0.064,5.81227758253669e-06,"Epb41-202",5.81227758253669e-06,"Up"
7.81976057821055e-11,-4.34340296828077,0.136,0.787,6.00979879477793e-06,"Pdia3-201",6.00979879477793e-06,"Down"
1.05690512585197e-10,-4.85263288915311,0.205,0.787,8.1227386542227e-06,"Ncl-201",8.1227386542227e-06,"Down"
1.30947420397004e-10,-6.23788420866388,0.114,0.745,1.00638330471913e-05,"Fus-203",1.00638330471913e-05,"Down"
2.60373414412657e-10,2.5712727680954,0.955,0.404,2.00107383912704e-05,"Alas2-201",2.00107383912704e-05,"Up"
3.7189122867764e-10,4.66446106356972,0.659,0.021,2.85813284887914e-05,"Epb41-206",2.85813284887914e-05,"Up"
5.92756556359333e-10,-6.76448123284538,0.091,0.702,4.55557123824401e-05,"Hnrnpa2b1-201",4.55557123824401e-05,"Down"
6.6996558488027e-10,-3.83241098146816,0.159,0.766,5.14895350603883e-05,"Sqstm1-202",5.14895350603883e-05,"Down"
7.39763667374029e-10,-6.41269098191689,0.068,0.681,5.68537968923636e-05,"Smdt1-201",5.68537968923636e-05,"Down"
9.19972230286421e-10,-7.89138257440142,0,0.617,7.07035457864326e-05,"Gna13-202",7.07035457864326e-05,"Down"
9.19972230286421e-10,-8.83925525785483,0,0.617,7.07035457864326e-05,"H2az1-201",7.07035457864326e-05,"Down"
9.23350845289652e-10,-4.61456087143524,0.045,0.681,7.09632058638909e-05,"Gna13-201",7.09632058638909e-05,"Down"
9.84007611435936e-10,-5.07108809420014,0.091,0.702,7.56249209692974e-05,"Grb10-201",7.56249209692974e-05,"Down"
9.94514486067806e-10,2.95169091589195,0.886,0.255,7.64324163122551e-05,"Alas2-202",7.64324163122551e-05,"Up"
1.38721352359053e-09,-4.63912835007365,0.182,0.745,0.000106612908142026,"Ywhaz-204",0.000106612908142026,"Down"
1.6171286653724e-09,-6.55908379448713,0.091,0.681,0.00012428280644853,"Hmgb1-201",0.00012428280644853,"Down"
3.26435582579274e-09,3.11016689850064,0.75,0.106,0.000250878802635476,"Epb41-208",0.000250878802635476,"Up"
3.45821980726455e-09,-3.56166185942576,0.455,0.872,0.00026577802506751,"Actg1-202",0.00026577802506751,"Down"
3.58797928798561e-09,-5.4271042325566,0.114,0.681,0.000275750560198846,"Myl6-201",0.000275750560198846,"Down"
4.02928748321025e-09,-4.6389438067042,0.182,0.723,0.000309666860234641,"Rhoa-201",0.000309666860234641,"Down"
4.26966582402168e-09,2.98101905396744,0.75,0.106,0.000328140897239362,"Epb41-203",0.000328140897239362,"Up"
4.69878556851974e-09,-4.6225549921838,0.114,0.681,0.000361120466083016,"Ywhah-201",0.000361120466083016,"Down"
5.3655771495142e-09,-4.77516324772839,0.091,0.66,0.000412366066248764,"Ywhag-201",0.000412366066248764,"Down"
5.53248441377255e-09,-6.36160431153522,0.068,0.638,0.000425193557136076,"Atp5g1-201",0.000425193557136076,"Down"
