"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.2919672224796e-19,-5.39711104932822,0.409,1,9.92928489164468e-15,"Ptma-201",9.92928489164468e-15,"Down"
5.51745627125437e-19,-6.02401120091938,0.114,0.972,4.24038584270984e-14,"Eif4g2-213",4.24038584270984e-14,"Down"
8.31255069346648e-19,-4.41227079482401,0.455,1,6.38852770995673e-14,"Actg1-202",6.38852770995673e-14,"Down"
9.90807795125184e-19,-6.29263441032869,0.068,0.958,7.61475422865509e-14,"Tubb5-201",7.61475422865509e-14,"Down"
1.26851340074357e-18,-4.35018310270789,0.523,1,9.74903289007462e-14,"Eef1a1-201",9.74903289007462e-14,"Down"
1.52342016999431e-18,-5.42494798672254,0.136,0.972,1.17080933744743e-13,"Hnrnpu-201",1.17080933744743e-13,"Down"
2.13296615684579e-18,-6.64980304203183,0.136,0.958,1.63926981018227e-13,"Npm1-201",1.63926981018227e-13,"Down"
2.23383436452218e-18,-6.8245551674994,0.114,0.958,1.71679106250988e-13,"Ppia-202",1.71679106250988e-13,"Down"
3.33946792046508e-18,-3.74448908265049,0.614,1,2.56651467559423e-13,"Actb-201",2.56651467559423e-13,"Down"
3.38168605787586e-18,-5.34602247173579,0.159,0.958,2.59896100291991e-13,"Set-201",2.59896100291991e-13,"Down"
6.8647297331397e-18,-5.16904582565804,0.045,0.944,5.27581938910719e-13,"Eif3b-201",5.27581938910719e-13,"Down"
8.24184480647858e-18,-5.08889016527794,0.205,0.958,6.33418740757105e-13,"Ncl-201",6.33418740757105e-13,"Down"
8.67257563732605e-18,-6.30728796959014,0.136,0.944,6.66522128031056e-13,"Pkm-201",6.66522128031056e-13,"Down"
9.59805071376148e-18,-5.21192642619329,0.068,0.958,7.37648589555425e-13,"Septin11-201",7.37648589555425e-13,"Down"
9.75362599118035e-18,-4.84940413775936,0.114,0.944,7.49605171926174e-13,"Srrm2-210",7.49605171926174e-13,"Down"
