"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.91028191859283e-36,3.41926073117174,0.625,0.081,1.46812806571534e-31,"Col6a1-201",1.46812806571534e-31,"Up"
1.95512704743503e-30,4.26938463625182,0.417,0.039,1.50259334103572e-25,"Ftl1-206",1.50259334103572e-25,"Up"
6.05005610677667e-26,3.2524258552052,0.528,0.087,4.64971012030214e-21,"Bgn-201",4.64971012030214e-21,"Up"
1.72778411442326e-25,3.40561213286872,0.375,0.037,1.32787120329885e-20,"Ehd2-201",1.32787120329885e-20,"Up"
1.0665873752665e-23,2.1763147527327,0.667,0.15,8.19715061387317e-19,"Prtg-201",8.19715061387317e-19,"Up"
2.46865153390923e-23,1.66284146126015,0.917,0.581,1.8972574498706e-18,"Ftl1-ps1-202",1.8972574498706e-18,"Up"
3.89788192915977e-21,2.40066493331598,0.417,0.058,2.99567817783645e-16,"Sox13-205",2.99567817783645e-16,"Up"
1.09824405786497e-20,3.0084519470241,0.375,0.051,8.44044488231545e-16,"Lox-201",8.44044488231545e-16,"Up"
2.55970771504363e-20,2.45552618601391,0.667,0.201,1.96723776731963e-15,"Ftl1-203",1.96723776731963e-15,"Up"
1.25698893782911e-19,2.94176092878298,0.347,0.045,9.66046278279181e-15,"Slc16a3-208",9.66046278279181e-15,"Up"
5.16628924806853e-19,1.94217795748825,0.361,0.048,3.97049993871059e-14,"Sox13-203",3.97049993871059e-14,"Up"
1.13350609847604e-18,3.37944659946671,0.333,0.045,8.71144776922772e-14,"Lox-202",8.71144776922772e-14,"Up"
2.09790966115015e-18,1.91945037789958,0.444,0.081,1.61232749098034e-13,"Piezo1-209",1.61232749098034e-13,"Up"
3.22554348113979e-18,2.61983223634115,0.458,0.09,2.47895918699517e-13,"Cox6b1-201",2.47895918699517e-13,"Up"
5.09467916778472e-18,2.01269964158216,0.431,0.078,3.91546472760927e-13,"Piezo1-201",3.91546472760927e-13,"Up"
6.81551478492198e-18,2.8133117329518,0.569,0.139,5.23799573280394e-13,"Col6a2-201",5.23799573280394e-13,"Up"
8.67153071699134e-18,3.56283699354749,0.389,0.07,6.66441821723653e-13,"Tagln-201",6.66441821723653e-13,"Up"
1.07316725895535e-17,1.82720420747949,0.347,0.048,8.24771965197544e-13,"Mogs-201",8.24771965197544e-13,"Up"
1.3390243515913e-17,1.81747529544084,0.361,0.053,1.02909377517198e-12,"Mrpl52-205",1.02909377517198e-12,"Up"
4.67806649015675e-17,1.71510408492731,0.347,0.05,3.59528122034507e-12,"Sox13-201",3.59528122034507e-12,"Up"
1.74294041487896e-16,2.0360205090347,0.542,0.128,1.33951942645107e-11,"Arhgef25-210",1.33951942645107e-11,"Up"
3.4448815323484e-16,-1.067601362578,0.917,0.992,2.64752925287104e-11,"Hmgb1-201",2.64752925287104e-11,"Down"
6.3031930569129e-16,2.49765182756125,0.514,0.125,4.84425599195984e-11,"Col6a2-202",4.84425599195984e-11,"Up"
7.02006321227949e-16,1.96056646641919,0.403,0.078,5.39519938116528e-11,"Cd151-201",5.39519938116528e-11,"Up"
8.4656116302714e-16,2.1882814355385,0.347,0.056,6.50616116232878e-11,"Fbxl20-201",6.50616116232878e-11,"Up"
8.71953148066958e-16,1.52062911401048,0.361,0.059,6.7013087241538e-11,"Mrpl52-204",6.7013087241538e-11,"Up"
9.62192461769225e-16,1.44627983993291,0.444,0.089,7.3948339456812e-11,"Prdx4-201",7.3948339456812e-11,"Up"
1.10011746637255e-15,1.96002939146872,0.403,0.076,8.45484277605957e-11,"Plekha1-203",8.45484277605957e-11,"Up"
1.20162351611704e-15,1.79918634938347,0.444,0.089,9.2349573707659e-11,"Bag2-201",9.2349573707659e-11,"Up"
2.6179822010214e-15,2.26769680184661,0.347,0.059,2.01202404077299e-10,"Htra2-201",2.01202404077299e-10,"Up"
5.40288149621236e-15,1.33941759349079,0.361,0.062,4.15233054509905e-10,"Mrpl52-201",4.15233054509905e-10,"Up"
7.64063777517089e-15,2.28055429235842,0.5,0.125,5.87213575572983e-10,"Col6a2-203",5.87213575572983e-10,"Up"
7.81446371648461e-15,2.67765325466597,0.375,0.075,6.00572794466709e-10,"Aebp1-201",6.00572794466709e-10,"Up"
8.28940651015645e-15,1.88855713791919,0.431,0.093,6.37074047931564e-10,"Ndufb5-204",6.37074047931564e-10,"Up"
1.0075820725378e-14,1.74610410802585,0.389,0.076,7.74367126028198e-10,"Epb41l5-202",7.74367126028198e-10,"Up"
1.94911900877548e-14,1.88640286866125,0.403,0.086,1.49797592300431e-09,"Cd151-203",1.49797592300431e-09,"Up"
2.46252592382214e-14,2.07410750899162,0.347,0.062,1.89254967349427e-09,"Plekha1-202",1.89254967349427e-09,"Up"
2.56314264976421e-14,1.65253321659912,0.694,0.263,1.96987765204979e-09,"Gng5-201",1.96987765204979e-09,"Up"
2.69963452910341e-14,1.30200993299389,0.514,0.126,2.07477712099714e-09,"Arhgef25-202",2.07477712099714e-09,"Up"
3.30385380350958e-14,1.8368122024366,0.792,0.302,2.53914380214925e-09,"Ctla2a-201",2.53914380214925e-09,"Up"
3.93524655619002e-14,1.19374905911061,0.639,0.188,3.02439438829428e-09,"Krtcap2-204",3.02439438829428e-09,"Up"
5.70321769216969e-14,1.99152224523495,0.458,0.112,4.3831509251401e-09,"Bax-201",4.3831509251401e-09,"Up"
6.45255485523626e-14,1.69699984102631,0.417,0.089,4.95904650844328e-09,"Ssr4-203",4.95904650844328e-09,"Up"
6.86882127498088e-14,2.94508816879603,0.431,0.104,5.27896390267381e-09,"Dcn-201",5.27896390267381e-09,"Up"
7.38135497895029e-14,1.33613888435685,0.361,0.067,5.67286655552245e-09,"Mrpl30-205",5.67286655552245e-09,"Up"
8.13491793339868e-14,1.70284147739811,0.5,0.137,6.25200982853422e-09,"Btbd2-201",6.25200982853422e-09,"Up"
9.46845653096508e-14,1.35116590916417,0.5,0.134,7.2768875823079e-09,"Zc3h7a-201",7.2768875823079e-09,"Up"
9.78300595876552e-14,1.66867791789414,0.347,0.065,7.51863139954965e-09,"Epb41l5-203",7.51863139954965e-09,"Up"
1.40506519507648e-13,1.22921959888909,0.514,0.131,1.07984880502408e-08,"Arhgef25-201",1.07984880502408e-08,"Up"
1.4684563121725e-13,1.37324836914407,0.417,0.092,1.12856741415705e-08,"Cox7c-203",1.12856741415705e-08,"Up"
1.55419292940185e-13,1.47751623674196,0.417,0.095,1.1944594339625e-08,"Cd151-202",1.1944594339625e-08,"Up"
2.26364740910761e-13,1.1565318769113,0.653,0.22,1.73970357979557e-08,"Cetn3-201",1.73970357979557e-08,"Up"
2.56250927476759e-13,1.48288818395395,0.444,0.106,1.96939087802988e-08,"Casp2-201",1.96939087802988e-08,"Up"
2.76793491780924e-13,1.70801468750304,0.403,0.087,2.12726870173311e-08,"Ssr4-201",2.12726870173311e-08,"Up"
3.2863444580766e-13,1.36411264350324,0.486,0.123,2.52568716981019e-08,"Arhgef25-212",2.52568716981019e-08,"Up"
3.42897788870581e-13,1.2578667796948,0.361,0.07,2.63530666658596e-08,"Mrpl30-207",2.63530666658596e-08,"Up"
4.65106098861814e-13,1.87778568372316,0.361,0.075,3.57452641219259e-08,"Ndufb5-203",3.57452641219259e-08,"Up"
4.65106098861814e-13,2.03241762438888,0.361,0.075,3.57452641219259e-08,"Twf2-209",3.57452641219259e-08,"Up"
5.56618349812631e-13,1.61193733584575,0.472,0.123,4.27783466564999e-08,"Pgls-205",4.27783466564999e-08,"Up"
6.13050775098335e-13,1.56304352166903,0.444,0.112,4.71154042694074e-08,"Polr2j-201",4.71154042694074e-08,"Up"
