"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
9.29046766898597e-17,-5.37244831704266,0.136,0.979,1.63252097879421e-12,"Ptma",1.63252097879421e-12,"Down"
6.73521571260858e-16,-6.29716018973842,0.023,0.915,1.18351210501958e-11,"Hnrnpab",1.18351210501958e-11,"Down"
8.77342275910521e-16,6.51019473231918,0.909,0.043,1.54166584722997e-11,"Zfp791",1.54166584722997e-11,"Up"
2.53623846887727e-15,-2.84649878072885,0.568,1,4.45667823751113e-11,"Tpt1",4.45667823751113e-11,"Down"
8.52236482490267e-15,-6.47469837529061,0.023,0.872,1.4975499470319e-10,"Ppia",1.4975499470319e-10,"Down"
1.30019276287469e-13,-5.33110752166176,0.068,0.851,2.28469872292341e-09,"Serpinh1",2.28469872292341e-09,"Down"
1.74098695255138e-13,-5.7956136972049,0.045,0.83,3.05926227302328e-09,"Set",3.05926227302328e-09,"Down"
2.51324478049418e-13,6.27506632305527,0.795,0.021,4.41627372828437e-09,"Tmtc2",4.41627372828437e-09,"Up"
2.77616766799712e-13,-4.36427438559696,0.068,0.851,4.87828182620454e-09,"Ywhaz",4.87828182620454e-09,"Down"
3.04163789844788e-13,4.21617263400171,0.909,0.298,5.34476611515261e-09,"Jarid2",5.34476611515261e-09,"Up"
3.44594418263986e-13,-6.77520748654306,0,0.787,6.05521311773476e-09,"Hnrnpa2b1",6.05521311773476e-09,"Down"
8.02029706790332e-13,-5.50475560914679,0.023,0.787,1.40932660077197e-08,"Fus",1.40932660077197e-08,"Down"
9.43334228095539e-13,-6.51955261107487,0,0.766,1.65762690560948e-08,"Ncl",1.65762690560948e-08,"Down"
2.31514595997461e-12,6.54636834487267,0.75,0.021,4.06817448086739e-08,"Il31ra",4.06817448086739e-08,"Up"
2.63284848390419e-12,-1.70002297507116,0.091,0.936,4.62644135591644e-08,"Malat1",4.62644135591644e-08,"Down"
2.6957478037163e-12,3.85004473520381,0.886,0.191,4.73696804069028e-08,"D130009I18Rik",4.73696804069028e-08,"Up"
4.36036742765625e-12,-4.65973026912313,0.068,0.787,7.66203764387756e-08,"Junb",7.66203764387756e-08,"Down"
7.45168929771575e-12,3.1709247406583,0.909,0.404,1.30941084339461e-07,"Itga9",1.30941084339461e-07,"Up"
1.35070551577484e-11,4.23811518688238,0.795,0.106,2.37345973231956e-07,"Dnah7b",2.37345973231956e-07,"Up"
2.23161121914878e-11,-3.44916328318347,0.182,0.851,3.92138723428823e-07,"Actg1",3.92138723428823e-07,"Down"
2.23568868997476e-11,-4.60528248510075,0.045,0.745,3.92855216602365e-07,"Rack1",3.92855216602365e-07,"Down"
2.64757523273025e-11,-3.51955261107487,0.182,0.83,4.6523191989536e-07,"Gapdh",4.6523191989536e-07,"Down"
4.56738713460684e-11,-5.76282376208723,0,0.681,8.02581267293114e-07,"Ybx1",8.02581267293114e-07,"Down"
6.41447336620363e-11,-4.83558010452255,0.023,0.702,1.1271512599093e-06,"Otx2os1",1.1271512599093e-06,"Down"
6.57479626666927e-11,-4.31423370309736,0.068,0.745,1.15532319997912e-06,"Pdia3",1.15532319997912e-06,"Down"
6.58847850100675e-11,-4.88212269045958,0.023,0.702,1.15772744219691e-06,"Cdv3",1.15772744219691e-06,"Down"
1.14258580443989e-10,-3.23362453288808,0.364,0.872,2.00775177556178e-06,"Actb",2.00775177556178e-06,"Down"
1.67966262260605e-10,-4.97093195741743,0.023,0.681,2.95150316044336e-06,"Srrm2",2.95150316044336e-06,"Down"
2.11200185299981e-10,-2.64180836112587,0.273,0.872,3.71120965609127e-06,"Eef1a1",3.71120965609127e-06,"Down"
2.41038893500452e-10,-3.87446911791614,0.045,0.702,4.23553543658995e-06,"Myl6",4.23553543658995e-06,"Down"
3.08379302482441e-10,-5.57726810893116,0,0.638,5.41884110322145e-06,"Anp32b",5.41884110322145e-06,"Down"
3.10255223890774e-10,-5.60528248510075,0,0.638,5.45180479420868e-06,"Ywhag",5.45180479420868e-06,"Down"
4.70003032121765e-10,-5.13366145745554,0.023,0.66,8.25889328044365e-06,"Atp5g1",8.25889328044365e-06,"Down"
5.28410469049098e-10,-4.0586481030387,0.091,0.723,9.28522876213075e-06,"Hnrnpu",9.28522876213075e-06,"Down"
5.65547684681488e-10,-4.46962738574319,0.045,0.681,9.9378039152231e-06,"Cnbp",9.9378039152231e-06,"Down"
6.77757016928801e-10,-5.4594316186373,0,0.617,1.19095463014729e-05,"Txnl1",1.19095463014729e-05,"Down"
1.71336580472707e-09,-5.26239477157774,0,0.596,3.0107263920664e-05,"Mdh2",3.0107263920664e-05,"Down"
2.14509133170156e-09,-3.62730879143075,0.091,0.702,3.76935448806598e-05,"Hnrnpa3",3.76935448806598e-05,"Down"
2.82162780410495e-09,-3.14188196426051,0.136,0.745,4.95816437737322e-05,"Fn1",4.95816437737322e-05,"Down"
3.11627936437135e-09,-4.51955261107487,0.023,0.617,5.47592609907333e-05,"Smdt1",5.47592609907333e-05,"Down"
3.2451677071097e-09,-5.09184128176091,0.136,0.702,5.70240869493316e-05,"Peg10",5.70240869493316e-05,"Down"
4.8311036522551e-09,-5.60528248510075,0,0.574,8.48921533774267e-05,"Hmgb1",8.48921533774267e-05,"Down"
4.95767900914421e-09,5.0337566883762,0.614,0.043,8.71163355486821e-05,"Mphosph8",8.71163355486821e-05,"Up"
8.91189837513034e-09,-3.60528248510075,0.068,0.66,0.00015659987824779,"Rhoa",0.00015659987824779,"Down"
1.06733019213731e-08,-3.81173336256818,0.068,0.638,0.000187551261362369,"Tmed2",0.000187551261362369,"Down"
1.11675339239863e-08,-5.4594316186373,0,0.553,0.000196235906112287,"H2az1",0.000196235906112287,"Down"
1.12125345462372e-08,-5.4594316186373,0,0.553,0.000197026657046481,"Nmbr",0.000197026657046481,"Down"
1.42580179175287e-08,4.85004473520381,0.591,0.043,0.000250541890846815,"Tlcd4",0.000250541890846815,"Up"
1.43735104567372e-08,-2.88212269045958,0.136,0.723,0.000252571325745786,"Grb10",0.000252571325745786,"Down"
1.56075677456595e-08,-3.25061760380139,0.114,0.681,0.000274256180426729,"Naca",0.000274256180426729,"Down"
1.77995210668292e-08,-4.7874858163215,0.023,0.574,0.000312773184186323,"Atp5a1",0.000312773184186323,"Down"
1.88037806282062e-08,-4.48980526768082,0.023,0.574,0.000330420033198839,"Eif3a",0.000330420033198839,"Down"
1.89887332145017e-08,-4.22677086184702,0.023,0.574,0.000333670020045223,"Ywhah",0.000333670020045223,"Down"
2.48816938764082e-08,-5.19024498582191,0,0.532,0.000437221124796245,"Npm1",0.000437221124796245,"Down"
2.49300503429817e-08,-3.32630653539794,0.136,0.681,0.000438070844626874,"Sqstm1",0.000438070844626874,"Down"
2.81655490368596e-08,-3.99230560821,0.045,0.596,0.000494925027675697,"Hnrnpa1",0.000494925027675697,"Down"
3.19635751946174e-08,-3.3198802662385,0.114,0.66,0.000561663943319818,"Peg3",0.000561663943319818,"Down"
4.19939394206954e-08,-4.71219768901726,0.023,0.553,0.00073791750350046,"P4hb",0.00073791750350046,"Down"
4.27076918626237e-08,-1.62299851135111,0.841,0.957,0.000750459561410023,"H19",0.000750459561410023,"Down"
4.47916160120355e-08,-4.4594316186373,0.023,0.553,0.000787078276563489,"Pgam1",0.000787078276563489,"Down"
4.57671669880704e-08,-4.19024498582191,0.023,0.553,0.000804220658314373,"Rbm3",0.000804220658314373,"Down"
4.59160470198046e-08,-3.54869895673438,0.068,0.617,0.000806836778232007,"Rrbp1",0.000806836778232007,"Down"
5.97338618854087e-08,-3.3108351266355,0.068,0.617,0.0010496434210504,"Ankrd17",0.0010496434210504,"Down"
6.13349030087327e-08,-5.39669586328933,0,0.511,0.00107777691566945,"Slc25a3",0.00107777691566945,"Down"
6.95465294167442e-08,-3.84344222229552,0.045,0.574,0.00122207161491103,"Ubxn1",0.00122207161491103,"Down"
1.07425224394255e-07,-4.11429613258861,0.023,0.532,0.00188767604305586,"Gnai2",0.00188767604305586,"Down"
1.2329846546285e-07,-4.94923688631811,0,0.489,0.00216660063511321,"Top2b",0.00216660063511321,"Down"
1.25907777137262e-07,-4.90484276695966,0,0.489,0.00221245145985597,"Ddb1",0.00221245145985597,"Down"
1.31660191056594e-07,-5.07476776840197,0,0.489,0.00231353287724647,"Fau",0.00231353287724647,"Down"
1.3386516724021e-07,-5.15277028040325,0,0.489,0.00235227871874496,"Cfap77",0.00235227871874496,"Down"
1.64713052016467e-07,-3.90484276695966,0.045,0.553,0.00289433775003336,"Eif4a1",0.00289433775003336,"Down"
1.65190759756597e-07,-3.99230560821,0.045,0.553,0.00290273203044293,"Clta",0.00290273203044293,"Down"
1.70221858322332e-07,-3.93459011035371,0.045,0.553,0.00299113849444002,"Dynll1",0.00299113849444002,"Down"
1.96402264487552e-07,-3.63276322152286,0.068,0.574,0.00345118059157526,"Calm1",0.00345118059157526,"Down"
2.41925392669037e-07,-3.76282376208723,0.023,0.511,0.00425111299998031,"Ctcf",0.00425111299998031,"Down"
2.42773498452006e-07,-4.51955261107487,0.023,0.511,0.00426601591479866,"Rab2a",0.00426601591479866,"Down"
2.8476749715883e-07,-4.94923688631811,0,0.468,0.00500393446007496,"Caprin1",0.00500393446007496,"Down"
2.89220007167643e-07,-4.94923688631811,0,0.468,0.00508217396594983,"Cfl1",0.00508217396594983,"Down"
2.94983237817863e-07,-5.11429613258861,0,0.468,0.00518344545493549,"Top1",0.00518344545493549,"Down"
3.177067051314e-07,-3.26239477157774,0.045,0.553,0.00558274222256896,"Ddx5",0.00558274222256896,"Down"
3.66858688071261e-07,-3.99230560821,0.045,0.532,0.00644644086678821,"H3f3b",0.00644644086678821,"Down"
4.71836197309923e-07,2.4874746558191,0.705,0.191,0.00829110565912996,"Fech",0.00829110565912996,"Up"
5.50867640116628e-07,-4.22677086184702,0.023,0.489,0.00967984617212938,"Pkm",0.00967984617212938,"Down"
5.5441745613744e-07,2.92297625765766,0.636,0.191,0.0097422235392471,"Epb41",0.0097422235392471,"Up"
5.58263631243468e-07,-4.39669586328933,0.023,0.489,0.00980980852821022,"Gna13",0.00980980852821022,"Down"
5.6124778202187e-07,4.79559695118143,0.432,0,0.0098622460256883,"Gnb1l",0.0098622460256883,"Up"
5.64860426925983e-07,-3.71219768901726,0.023,0.489,0.00992572742194337,"Mapk1",0.00992572742194337,"Down"
5.64964065089117e-07,-4.03412578390463,0.023,0.489,0.00992754855174597,"Plp2",0.00992754855174597,"Down"
