"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
5.95174789196774e-20,-5.20836985446958,0.023,0.972,1.04584113957657e-15,"Srrm2",1.04584113957657e-15,"Down"
6.63055964505299e-20,-4.19318765632761,0.273,1,1.16512194082871e-15,"Eef1a1",1.16512194082871e-15,"Down"
8.0288691364372e-20,-5.17214966655683,0.045,0.986,1.41083288465474e-15,"Hnrnpa1",1.41083288465474e-15,"Down"
1.54621437538377e-19,-5.26964619483414,0.136,0.986,2.71700790042436e-15,"Ptma",2.71700790042436e-15,"Down"
1.9363351282841e-19,-4.39803107397315,0.182,1,3.40252808742082e-15,"Actg1",3.40252808742082e-15,"Down"
2.2232283715426e-19,-4.64705862181307,0.068,0.972,3.90665689447465e-15,"Eif4g2",3.90665689447465e-15,"Down"
2.3727541820204e-19,-6.78135971352466,0,0.958,4.16940364864624e-15,"Tubb5",4.16940364864624e-15,"Down"
2.69180241586973e-19,-6.96193195916648,0,0.958,4.73003520516629e-15,"Ybx1",4.73003520516629e-15,"Down"
3.25260745859701e-19,-5.84409546887262,0.023,0.958,5.71548182624667e-15,"Ppia",5.71548182624667e-15,"Down"
3.64837027739387e-19,-4.91399748210278,0.045,0.958,6.41091625143651e-15,"Set",6.41091625143651e-15,"Down"
5.51261893572851e-19,-4.78935250427819,0.068,0.972,9.68677399386214e-15,"Serpinh1",9.68677399386214e-15,"Down"
1.24405324195562e-18,-5.94771809994678,0,0.917,2.18605035676441e-14,"Caprin1",2.18605035676441e-14,"Down"
1.37093665975196e-18,-3.52654581449583,0.364,1,2.40900989851614e-14,"Actb",2.40900989851614e-14,"Down"
1.55604176972315e-18,-6.73245011304371,0,0.931,2.73427659775751e-14,"Npm1",2.73427659775751e-14,"Down"
1.60819300970054e-18,-6.71577137189708,0,0.931,2.82591675664579e-14,"Ncl",2.82591675664579e-14,"Down"
1.68179295534877e-18,-4.6329144394928,0.091,0.958,2.95524658113885e-14,"Hnrnpu",2.95524658113885e-14,"Down"
1.90159969679471e-18,-4.4594316186373,0.182,0.972,3.34149098720766e-14,"Gapdh",3.34149098720766e-14,"Down"
4.77753610026356e-18,-6.78135971352466,0,0.917,8.39508643538313e-14,"Hmgb1",8.39508643538313e-14,"Down"
1.08087917327925e-17,-4.88941945938211,0.023,0.903,1.8993208832863e-13,"Fus",1.8993208832863e-13,"Down"
1.24744695995349e-17,-4.91399748210278,0.045,0.917,2.19201379803028e-13,"Rack1",2.19201379803028e-13,"Down"
1.45948333591717e-17,-5.76524004816138,0,0.875,2.56460411787365e-13,"Ddb1",2.56460411787365e-13,"Down"
2.38419333897631e-17,-5.36632221424582,0.023,0.903,4.18950453524917e-13,"Myh10",4.18950453524917e-13,"Down"
2.5067031945825e-17,-3.98199758222059,0.091,0.958,4.40477885352037e-13,"Gpc3",4.40477885352037e-13,"Down"
2.52597332246909e-17,-5.69038605347717,0.023,0.903,4.43864032224269e-13,"Pkm",4.43864032224269e-13,"Down"
2.81508518467763e-17,-4.21233875667253,0.045,0.903,4.94666768651553e-13,"Hnrnpk",4.94666768651553e-13,"Down"
3.0603549684026e-17,-3.70454411647383,0.114,0.944,5.37765575047705e-13,"Naca",5.37765575047705e-13,"Down"
3.75690443905524e-17,-3.85022157166946,0.091,0.931,6.60163248030786e-13,"Eef2",6.60163248030786e-13,"Down"
4.51975005326023e-17,-3.78135971352466,0.045,0.917,7.94210479358888e-13,"Ddx5",7.94210479358888e-13,"Down"
4.73433002137638e-17,-5.04439411935845,0.023,0.889,8.31916471356257e-13,"Igf2bp1",8.31916471356257e-13,"Down"
5.21531148014866e-17,-5.4594316186373,0,0.833,9.16434533291723e-13,"Nono",9.16434533291723e-13,"Down"
6.03895626267316e-17,-5.82866542830302,0,0.861,1.06116539447693e-12,"Sfpq",1.06116539447693e-12,"Down"
1.01900852052148e-16,-4.14748761232256,0.091,0.917,1.79060177226035e-12,"Hnrnpa3",1.79060177226035e-12,"Down"
1.1526696718941e-16,-4.33390073655344,0.045,0.889,2.0254711474523e-12,"Prrc2c",2.0254711474523e-12,"Down"
1.66651875941751e-16,-3.76199438865773,0.091,0.917,2.92840676404844e-12,"Nedd4",2.92840676404844e-12,"Down"
1.67526665095869e-16,-6.43925373669967,0,0.861,2.9437785590646e-12,"Hnrnpa2b1",2.9437785590646e-12,"Down"
2.11219277892489e-16,-4.59328736537209,0.114,0.917,3.71154515112682e-12,"Peg3",3.71154515112682e-12,"Down"
3.14209470233636e-16,-4.53743413063857,0.045,0.875,5.52128881094545e-12,"Eif4a1",5.52128881094545e-12,"Down"
7.28020145629251e-16,-4.16397573511113,0.045,0.861,1.27927699989972e-11,"Ywhae",1.27927699989972e-11,"Down"
7.91399204492385e-16,-4.25913296815147,0.045,0.861,1.39064668213402e-11,"Uso1",1.39064668213402e-11,"Down"
8.09691334408132e-16,-4.28950661719499,0.023,0.806,1.42278961282197e-11,"Hdlbp",1.42278961282197e-11,"Down"
8.50035060081863e-16,-4.73245011304371,0.023,0.833,1.49368160757585e-11,"Eif3a",1.49368160757585e-11,"Down"
9.03036029631831e-16,-3.74893823583228,0.068,0.875,1.58681491126905e-11,"Ywhaz",1.58681491126905e-11,"Down"
1.3397075463029e-15,-5.84409546887262,0,0.819,2.35413410036345e-11,"Nap1l1",2.35413410036345e-11,"Down"
1.36775007307678e-15,-5.82866542830302,0,0.819,2.40341042841052e-11,"Hnrnpd",2.40341042841052e-11,"Down"
1.4106622304034e-15,-4.479331176075,0.023,0.819,2.47881567126486e-11,"Septin11",2.47881567126486e-11,"Down"
1.46986275665878e-15,-4.1963972128035,0.091,0.875,2.58284283600081e-11,"Btrc",2.58284283600081e-11,"Down"
2.20552850736059e-15,-4.15987133677839,0.136,0.889,3.87555469313403e-11,"Mest",3.87555469313403e-11,"Down"
2.28410084579276e-15,-3.70454411647383,0.114,0.875,4.01362200622704e-11,"6030443J06Rik",4.01362200622704e-11,"Down"
2.47414331366338e-15,-5.66454604854191,0,0.806,4.34756463076929e-11,"Kpnb1",4.34756463076929e-11,"Down"
3.20525730471749e-15,-3.73245011304371,0.136,0.889,5.63227813584958e-11,"Grb10",5.63227813584958e-11,"Down"
3.36031490245538e-15,-5.53743413063857,0,0.792,5.9047453465946e-11,"Fubp1",5.9047453465946e-11,"Down"
4.10975405108464e-15,-4.74893823583228,0.023,0.819,7.22165981856594e-11,"Chd4",7.22165981856594e-11,"Down"
7.7109083842957e-15,-5.4594316186373,0,0.778,1.35496082128844e-10,"Anp32b",1.35496082128844e-10,"Down"
1.19715926690581e-14,-3.49895998282393,0.045,0.875,2.10364826380689e-10,"Hmga2",2.10364826380689e-10,"Down"
1.20345387839829e-14,-4.90421646131019,0.023,0.806,2.11470915512148e-10,"Flna",2.11470915512148e-10,"Down"
1.28916186584014e-14,-4.24370292758186,0.045,0.819,2.2653152306543e-10,"Tm9sf2",2.2653152306543e-10,"Down"
1.41276440761826e-14,-5.62935662007961,0,0.778,2.4825096170668e-10,"Hnrnph1",2.4825096170668e-10,"Down"
1.46796976267152e-14,-5.20836985446958,0.023,0.806,2.5795164669664e-10,"Nasp",2.5795164669664e-10,"Down"
1.6150101224318e-14,-4.24370292758186,0.045,0.819,2.83789578713716e-10,"Eno1",2.83789578713716e-10,"Down"
1.70740415092156e-14,-3.85429123597851,0.045,0.806,3.00025057399936e-10,"Serbp1",3.00025057399936e-10,"Down"
1.80603344246633e-14,-4.31187443022344,0.023,0.778,3.17356196510183e-10,"Eef1g",3.17356196510183e-10,"Down"
2.41984361350823e-14,-5.2667865406949,0,0.75,4.25214919765666e-10,"Ttc3",4.25214919765666e-10,"Down"
3.0480920753571e-14,-4.84409546887262,0.023,0.792,5.35610739481749e-10,"Hnrnpab",5.35610739481749e-10,"Down"
3.18025703656631e-14,-5.33390073655344,0,0.75,5.58834766465432e-10,"Cct2",5.58834766465432e-10,"Down"
3.55116081212023e-14,-3.09686153925259,0.091,0.833,6.24009977905766e-10,"Dis3l2",6.24009977905766e-10,"Down"
4.76636695277053e-14,-5.76524004816138,0,0.764,8.37546000940837e-10,"Macroh2a2",8.37546000940837e-10,"Down"
7.00390383325275e-14,-4.37696945844532,0.023,0.764,1.23072598157917e-09,"Hmgn1",1.23072598157917e-09,"Down"
8.730689868217e-14,-5.59328736537209,0,0.75,1.53415682364309e-09,"Nmbr",1.53415682364309e-09,"Down"
8.80873221986591e-14,-2.24862214256497,0.091,0.931,1.54787042567484e-09,"Malat1",1.54787042567484e-09,"Down"
1.64837049333791e-13,-5.04439411935845,0,0.708,2.89651663089338e-09,"Thrap3",2.89651663089338e-09,"Down"
1.72952185236798e-13,-3.63528145403672,0.045,0.764,3.03911579898101e-09,"Vcp",3.03911579898101e-09,"Down"
1.81810787523761e-13,-5.24370292758186,0,0.722,3.19477915836752e-09,"Smarcc1",3.19477915836752e-09,"Down"
2.18890253454218e-13,-4.43925373669967,0.023,0.75,3.84633953369752e-09,"Cdk4",3.84633953369752e-09,"Down"
2.33027380776697e-13,-4.41878963413995,0.023,0.75,4.09475713500811e-09,"Dbn1",4.09475713500811e-09,"Down"
2.4076033117316e-13,-3.53743413063857,0.023,0.75,4.23064053937477e-09,"Arid1a",4.23064053937477e-09,"Down"
2.64487822120737e-13,-5.12239663135973,0,0.708,4.6475800103056e-09,"Cfl1",4.6475800103056e-09,"Down"
3.04982152526332e-13,-3.59328736537209,0.068,0.792,5.3591463841927e-09,"Pdia3",5.3591463841927e-09,"Down"
3.59893564416977e-13,-2.41878963413995,0.091,0.847,6.32404971393512e-09,"Rbfox2",6.32404971393512e-09,"Down"
3.84091754969028e-13,-3.8338271334188,0.045,0.764,6.74926031831576e-09,"Eif4g1",6.74926031831576e-09,"Down"
3.88707845148066e-13,-4.07086633071964,0.023,0.722,6.83037425494182e-09,"Polr2m",6.83037425494182e-09,"Down"
3.88829568743317e-13,-4.71577137189708,0.023,0.75,6.83251318195757e-09,"Maged1",6.83251318195757e-09,"Down"
3.95360714477998e-13,-5.1963972128035,0,0.708,6.94727847480737e-09,"Tenm4",6.94727847480737e-09,"Down"
5.92664787084435e-13,-4.14748761232256,0.023,0.722,1.04143056386477e-08,"Hnrnpm",1.04143056386477e-08,"Down"
6.11535737055034e-13,-6.10968557961017,0,0.722,1.07459059715311e-08,"Nnat",1.07459059715311e-08,"Down"
6.56214672826649e-13,-5.17214966655683,0,0.694,1.15310042309099e-08,"Ewsr1",1.15310042309099e-08,"Down"
7.78190767778106e-13,-6.1963972128035,0,0.722,1.36743681713969e-08,"H1f4",1.36743681713969e-08,"Down"
9.8996751611267e-13,-5.00375213486111,0.023,0.736,1.73957091931318e-08,"Fbn2",1.73957091931318e-08,"Down"
1.22077051678469e-12,-5.01742707175818,0,0.681,2.14513795209406e-08,"Baz1b",2.14513795209406e-08,"Down"
1.22077051678469e-12,-5.01742707175818,0,0.681,2.14513795209406e-08,"Supt16",2.14513795209406e-08,"Down"
1.28958779005837e-12,-5.35559580765276,0,0.694,2.26606366469056e-08,"Smarca4",2.26606366469056e-08,"Down"
1.40820721791537e-12,-5.33390073655344,0,0.694,2.47450172332088e-08,"H2az1",2.47450172332088e-08,"Down"
1.59050916492757e-12,-5.09686153925259,0,0.681,2.79484270461072e-08,"Trim28",2.79484270461072e-08,"Down"
1.59257746701924e-12,-5.07086633071964,0,0.681,2.79847712504621e-08,"Smarce1",2.79847712504621e-08,"Down"
1.60982288799143e-12,-2.94485844580754,0.068,0.778,2.82878077877855e-08,"Ankrd17",2.82878077877855e-08,"Down"
1.66975553933644e-12,-4.17214966655683,0.023,0.708,2.934094433722e-08,"Ywhaq",2.934094433722e-08,"Down"
2.24089796483795e-12,-3.98994633533608,0.023,0.694,3.93770590381325e-08,"Eif3c",3.93770590381325e-08,"Down"
3.27731252795544e-12,-4.07086633071964,0.023,0.694,5.7588935741233e-08,"Cdk5rap2",5.7588935741233e-08,"Down"
3.76467278801047e-12,-5.07086633071964,0,0.667,6.61528302309199e-08,"Anp32a",6.61528302309199e-08,"Down"
3.76943803629342e-12,-5.04439411935845,0,0.667,6.6236565173748e-08,"Rbbp4",6.6236565173748e-08,"Down"
4.00008082412258e-12,3.68777330630493,0.705,0.097,7.0289420241482e-08,"Fech",7.0289420241482e-08,"Up"
4.21275956709308e-12,-5.14748761232256,0,0.667,7.40266111129596e-08,"Eif3b",7.40266111129596e-08,"Down"
4.21275956709308e-12,-5.09686153925259,0,0.667,7.40266111129596e-08,"Top2b",7.40266111129596e-08,"Down"
4.47141199684876e-12,-3.6587404268607,0.045,0.722,7.85716516086264e-08,"Nisch",7.85716516086264e-08,"Down"
6.1714537452503e-12,-3.07610297908579,0.091,0.764,1.08444785211538e-07,"Huwe1",1.08444785211538e-07,"Down"
6.30061199293215e-12,4.81901783958318,0.614,0.042,1.10714353939804e-07,"Mkrn1",1.10714353939804e-07,"Up"
7.10064765192557e-12,-4.01742707175818,0.023,0.681,1.24772580539636e-07,"Sf3b1",1.24772580539636e-07,"Down"
8.72122540089723e-12,-5.01742707175818,0,0.653,1.53249372744566e-07,"Ddx39b",1.53249372744566e-07,"Down"
1.05740313871771e-11,-4.12239663135973,0.023,0.681,1.85806879535476e-07,"Tmpo",1.85806879535476e-07,"Down"
1.06633061240733e-11,-5.09686153925259,0,0.653,1.87375615212216e-07,"Dync1h1",1.87375615212216e-07,"Down"
1.27702081926011e-11,-5.17214966655683,0,0.653,2.24398098360386e-07,"Atl1",2.24398098360386e-07,"Down"
1.69027499751467e-11,-3.98994633533608,0.023,0.667,2.97015122563278e-07,"Cct5",2.97015122563278e-07,"Down"
1.73355128894223e-11,-3.53743413063857,0.045,0.694,3.04619632492929e-07,"Hnrnpl",3.04619632492929e-07,"Down"
1.73436055072433e-11,-3.48590382999849,0.045,0.694,3.04761835973278e-07,"Igf2bp2",3.04761835973278e-07,"Down"
1.7793497449708e-11,-4.37696945844532,0.023,0.681,3.12667337186269e-07,"Lncenc1",3.12667337186269e-07,"Down"
2.05285689607193e-11,-4.04439411935845,0.023,0.667,3.6072801377776e-07,"Atrx",3.6072801377776e-07,"Down"
2.37851222404125e-11,-5.07086633071964,0,0.639,4.17952168008529e-07,"Ankrd11",4.17952168008529e-07,"Down"
2.3883602390447e-11,-5.04439411935845,0,0.639,4.19682661204934e-07,"Fkbp4",4.19682661204934e-07,"Down"
3.06837175257255e-11,-3.39104464365705,0.068,0.75,5.39174284362049e-07,"Auts2",5.39174284362049e-07,"Down"
3.1263219106193e-11,-2.96757852230762,0.068,0.736,5.49357286134023e-07,"Tcf12",5.49357286134023e-07,"Down"
3.22193889825905e-11,-4.87446911791614,0,0.625,5.66159103202081e-07,"Hnrnpc",5.66159103202081e-07,"Down"
3.92872287241996e-11,-3.96193195916648,0.023,0.653,6.90355183141636e-07,"Cdv3",6.90355183141636e-07,"Down"
3.97480140236007e-11,-4.93336280696971,0,0.625,6.98452102422711e-07,"Macroh2a1",6.98452102422711e-07,"Down"
4.4991435861579e-11,-3.22024395475787,0.068,0.708,7.90589510959666e-07,"Macf1",7.90589510959666e-07,"Down"
4.79809740785839e-11,-3.51189903853143,0.045,0.681,8.43121676508877e-07,"Rbm39",8.43121676508877e-07,"Down"
5.08530702425254e-11,-4.04439411935845,0.023,0.653,8.93590150301656e-07,"P4hb",8.93590150301656e-07,"Down"
5.20025286926129e-11,-5.07086633071964,0,0.625,9.13788434186593e-07,"Nucks1",9.13788434186593e-07,"Down"
