"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
7.34723983602821e-125,8.30116272851187,0.889,0.011,1.29105698398688e-120,"Zfp791",1.29105698398688e-120,"Up"
3.42099673806928e-58,5.12541680789589,0.903,0.184,6.01137546813533e-54,"Itga9",6.01137546813533e-54,"Up"
1.30977983379424e-54,5.99780673966093,0.431,0.008,2.30154512394324e-50,"Gnb1l",2.30154512394324e-50,"Up"
5.48761841181882e-50,3.72040537087332,0.681,0.07,9.64284307324803e-46,"Lncenc1",9.64284307324803e-46,"Up"
2.86066899848763e-44,2.93818172865259,1,0.695,5.02676756414246e-40,"Peak1",5.02676756414246e-40,"Up"
1.13104321690271e-39,2.12092241684604,1,0.914,1.98746914074145e-35,"Zc3h7a",1.98746914074145e-35,"Up"
3.6165751504235e-38,2.6342777403068,0.861,0.206,6.35504585432417e-34,"Uso1",6.35504585432417e-34,"Up"
1.92255752666932e-37,3.51405649029807,0.514,0.048,3.37831808586334e-33,"Slc1a1",3.37831808586334e-33,"Up"
1.63140909637417e-32,2.44280867083663,0.875,0.349,2.86671206414869e-28,"Btrc",2.86671206414869e-28,"Up"
5.72640286783543e-31,3.21383766074594,0.611,0.109,1.00624351193604e-26,"Il31ra",1.00624351193604e-26,"Up"
4.10859394171827e-28,2.70904550870877,0.556,0.089,7.21962127438734e-24,"Clhc1",7.21962127438734e-24,"Up"
6.15947255328072e-27,1.92768579518411,0.875,0.413,1.08234251706249e-22,"6030443J06Rik",1.08234251706249e-22,"Up"
5.28709160673553e-24,3.12569843889882,0.667,0.185,9.29047737135568e-20,"D130009I18Rik",9.29047737135568e-20,"Up"
5.66298232782511e-23,3.26753579806873,0.347,0.037,9.95099254645429e-19,"Sprr2a2",9.95099254645429e-19,"Up"
2.25725965495892e-22,2.87897051015108,0.417,0.061,3.96645666569381e-18,"2010110G14Rik",3.96645666569381e-18,"Up"
4.66430365109144e-22,3.37889690701644,0.361,0.045,8.19611437569788e-18,"Mphosph8",8.19611437569788e-18,"Up"
2.9672465114238e-21,1.96043934677389,0.75,0.266,5.2140455698739e-17,"Nmbr",5.2140455698739e-17,"Up"
1.34492953889331e-19,2.05046284826967,0.653,0.193,2.36331018574333e-15,"Atl1",2.36331018574333e-15,"Up"
2.88087145612764e-19,-1.50198705046313,0.653,0.958,5.06226732270749e-15,"Igf2",5.06226732270749e-15,"Down"
3.04259982876746e-18,2.78210897089849,0.347,0.051,5.34645641911018e-14,"Taf1c",5.34645641911018e-14,"Up"
2.48837364455532e-17,1.06509985224828,0.972,0.768,4.37257016821261e-13,"Tpt1",4.37257016821261e-13,"Up"
6.02267013090575e-17,1.40314445326312,0.833,0.35,1.05830359540276e-12,"Dis3l2",1.05830359540276e-12,"Up"
5.61902128235455e-15,1.86962333789183,0.583,0.185,9.87374419735342e-11,"Wnk3",9.87374419735342e-11,"Up"
4.60572247842421e-14,2.37719260080419,0.819,0.548,8.09317553908702e-10,"Jarid2",8.09317553908702e-10,"Up"
1.31821694441743e-13,2.48771039415536,0.389,0.095,2.31637081473031e-09,"Dnah7b",2.31637081473031e-09,"Up"
3.62546709490084e-12,2.08374814324468,0.375,0.093,6.37067077915976e-08,"Tmsb10",6.37067077915976e-08,"Up"
6.21347374971053e-12,1.03388519901604,0.819,0.548,1.09183160729913e-07,"Tm9sf2",1.09183160729913e-07,"Up"
