"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.333761645459e-74,1.19052568791903,0.989,0.943,3.90792162119488e-72,"Pou2f3",3.90792162119488e-72,"Up"
1.69627015590676e-70,1.00761287503907,1,0.984,4.9700715568068e-68,"Tbp",4.9700715568068e-68,"Up"
2.06354292639249e-66,1.23084833815038,0.899,0.595,6.04618077433e-64,"Sox6",6.04618077433e-64,"Up"
1.02385416257048e-56,1.48328709600842,0.639,0.192,2.9998926963315e-54,"Snd1",2.9998926963315e-54,"Up"
6.37633320849873e-50,1.28731210817048,0.667,0.217,1.86826563009013e-47,"Hsf1",1.86826563009013e-47,"Up"
1.3030929785713e-42,1.01371462702087,0.68,0.224,3.81806242721392e-40,"Zbtb16",3.81806242721392e-40,"Up"
2.55727461663906e-39,1.36106256934152,0.702,0.282,7.49281462675244e-37,"Nfia",7.49281462675244e-37,"Up"
2.74236441369986e-32,1.17526806473169,0.705,0.32,8.03512773214058e-30,"Sp2",8.03512773214058e-30,"Up"
7.12109779587674e-21,1.16076260524971,0.658,0.426,2.08648165419189e-18,"Cebpg",2.08648165419189e-18,"Up"
7.9414070444835e-19,1.15021343048561,0.792,0.67,2.32683226403367e-16,"Sox17",2.32683226403367e-16,"Up"
5.79787123516238e-06,1.05150273523993,0.426,0.34,0.00169877627190258,"Zfp369",0.00169877627190258,"Up"
