"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
4.86063625241343e-101,1.14352741227277,1,1,1.42416642195713e-98,"Rel",1.42416642195713e-98,"Up"
2.33440604560694e-96,1.53965373088287,1,1,6.83980971362834e-94,"Ebf1",6.83980971362834e-94,"Up"
7.78807028223167e-96,1.71237658946201,1,1,2.28190459269388e-93,"Irf4",2.28190459269388e-93,"Up"
8.14657022998867e-94,1.22190276022431,1,1,2.38694507738668e-91,"Ets1",2.38694507738668e-91,"Up"
7.31364542989071e-93,1.98109651639633,1,1,2.14289811095798e-90,"Pax5",2.14289811095798e-90,"Up"
1.789524592867e-92,1.46215049068999,1,1,5.24330705710031e-90,"Ikzf3",5.24330705710031e-90,"Up"
1.66680906797287e-89,1.11622385594922,1,1,4.88375056916051e-87,"Bach2",4.88375056916051e-87,"Up"
3.77361293657868e-87,1.14718844486366,1,1,1.10566859041755e-84,"Fli1",1.10566859041755e-84,"Up"
2.98301000176318e-86,1.8087536564058,1,0.992,8.74021930516612e-84,"Foxp1",8.74021930516612e-84,"Up"
6.17516622232865e-75,1.00417938388764,1,1,1.80932370314229e-72,"Foxo1",1.80932370314229e-72,"Up"
9.23870108477109e-66,-1.76144166235678,0.373,0.899,2.70693941783793e-63,"Sox6",2.70693941783793e-63,"Down"
1.33544096875972e-65,1.06698992087797,1,1,3.91284203846599e-63,"Relb",3.91284203846599e-63,"Up"
1.44126303446128e-64,-1.40595946070981,0.871,0.989,4.22290069097155e-62,"Pou2f3",4.22290069097155e-62,"Down"
3.22185159930866e-60,1.0092360734815,1,0.989,9.44002518597438e-58,"Nfatc1",9.44002518597438e-58,"Up"
1.2390663381232e-39,-1.11601387631292,0.849,0.962,3.63046437070097e-37,"Zfp42",3.63046437070097e-37,"Down"
7.18128935973414e-30,1.45440092827306,0.842,0.481,2.1041177824021e-27,"Bptf",2.1041177824021e-27,"Up"
3.44527707658953e-23,1.09744768812511,0.878,0.757,1.00946618344073e-20,"Bcl11a",1.00946618344073e-20,"Up"
6.4526566641064e-17,1.29298912477441,0.473,0.156,1.89062840258318e-14,"Stat5b",1.89062840258318e-14,"Up"
