"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.97049589475922e-93,1.90670064702295,0.995,0.958,1.51440491495825e-88,"Tpt1-201",1.51440491495825e-88,"Up"
1.928860124878e-87,-1.32833398468309,0.951,0.992,1.48240616037374e-82,"Cd74-201",1.48240616037374e-82,"Down"
8.05860518085841e-78,-1.44146378318554,0.82,0.995,6.19336042569692e-73,"Eef1a1-201",6.19336042569692e-73,"Down"
4.06083752254516e-77,3.72870183293404,0.784,0.415,3.12091606957686e-72,"Prdx2-201",3.12091606957686e-72,"Up"
5.16239250075141e-68,-1.83749667111945,0.413,0.885,3.96750513252749e-63,"Ubc-203",3.96750513252749e-63,"Down"
1.38722255248874e-66,-1.62493949379844,0.503,0.895,1.0661360204897e-61,"B2m-201",1.0661360204897e-61,"Down"
5.69563452970285e-65,3.09279343529061,0.497,0.098,4.37732296145783e-60,"Hsd3b6-201",4.37732296145783e-60,"Up"
2.18473878435209e-60,-1.52512595598624,0.508,0.919,1.67905914532596e-55,"Ubc-202",1.67905914532596e-55,"Down"
1.15068410990306e-58,-2.63891253803776,0.033,0.548,8.84346765824897e-54,"Ftl1-203",8.84346765824897e-54,"Down"
3.35981420241715e-54,1.57471418567059,0.844,0.686,2.58215160712568e-49,"Ftl1-ps1-202",2.58215160712568e-49,"Up"
1.83832758252544e-52,-1.02837585547339,0.962,0.992,1.4128282802741e-47,"Actb-201",1.4128282802741e-47,"Down"
2.27856786499251e-52,3.55695108225015,0.604,0.28,1.75117054696135e-47,"Gpx1-201",1.75117054696135e-47,"Up"
2.93537165243535e-52,-1.92120792883541,0.358,0.793,2.25595052976266e-47,"Ddx5-201",2.25595052976266e-47,"Down"
5.76120667584958e-51,-2.05958117061622,0.038,0.512,4.42771777865744e-46,"Ftl1-202",4.42771777865744e-46,"Down"
1.05245095441832e-49,3.15763928440312,0.536,0.183,8.08850656508654e-45,"Fam220a-207",8.08850656508654e-45,"Up"
1.19005560798072e-49,2.78415605267172,0.65,0.32,9.14605336957501e-45,"Mkrn1-201",9.14605336957501e-45,"Up"
1.9032695851914e-49,3.91690973386746,0.475,0.144,1.462738807003e-44,"Gpx4-202",1.462738807003e-44,"Up"
2.81377597659843e-49,2.88949633192082,0.626,0.329,2.16249938905496e-44,"Smdt1-201",2.16249938905496e-44,"Up"
