"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.09427962136996e-67,2.98350327435199,0.914,0.358,8.4099766020767e-63,"Ddx5-201",8.4099766020767e-63,"Up"
5.55431654606847e-64,-1.88289294243345,0.989,0.984,4.26871443831546e-59,"Ftl1-201",4.26871443831546e-59,"Down"
4.67904959627152e-63,5.0531705458542,0.663,0.038,3.59603677671851e-58,"Klf2-201",3.59603677671851e-58,"Up"
1.14971634779295e-62,3.12265527398106,0.771,0.093,8.8360300193279e-58,"Dock2-201",8.8360300193279e-58,"Up"
1.31545458600604e-62,4.83006409750116,0.72,0.093,1.01097946752908e-57,"Ighm-202",1.01097946752908e-57,"Up"
7.23613774069742e-61,2.90562475959244,0.681,0.063,5.56126129923559e-56,"Igkc-201",5.56126129923559e-56,"Up"
3.67287309926246e-60,3.16378628938321,0.803,0.15,2.82274989170717e-55,"Sik1-201",2.82274989170717e-55,"Up"
1.80109432489774e-59,3.64323287613923,0.652,0.038,1.38421303245691e-54,"Col1a1-201",1.38421303245691e-54,"Up"
8.92188259046079e-59,4.27356108273766,0.735,0.12,6.85682364607273e-54,"Macf1-203",6.85682364607273e-54,"Up"
2.60577015798368e-58,3.52438950021186,0.688,0.066,2.00263859721678e-53,"Cxcr4-201",2.00263859721678e-53,"Up"
1.34608493196922e-55,4.00362040399988,0.62,0.044,1.03452011361562e-50,"Cd79a-201",1.03452011361562e-50,"Up"
8.43998941454589e-55,2.57591487462952,0.796,0.167,6.4864694646551e-50,"Fam107b-201",6.4864694646551e-50,"Up"
1.40922720714582e-52,3.17586877473457,0.649,0.068,1.08304747777985e-47,"Psg21-201",1.08304747777985e-47,"Up"
4.93505808626867e-52,3.76831231837982,0.595,0.036,3.79278954162093e-47,"Psg23-201",3.79278954162093e-47,"Up"
1.5915831174319e-51,3.98536864454466,0.57,0.027,1.22319528907111e-46,"Ctsj-202",1.22319528907111e-46,"Up"
3.23878704912853e-51,1.66489008039329,0.975,0.82,2.48913739873724e-46,"Eef1a1-201",2.48913739873724e-46,"Up"
3.96646550501198e-50,-5.45344923601648,0.391,0.784,3.0483873992219e-45,"Prdx2-201",3.0483873992219e-45,"Down"
4.20936937458508e-50,3.01940742271072,0.584,0.036,3.23506873914362e-45,"Col3a1-201",3.23506873914362e-45,"Up"
3.68016354153347e-49,5.83944248328548,0.509,0.014,2.82835288821013e-44,"Ighd-202",2.82835288821013e-44,"Up"
1.35777619814892e-47,3.47911115024076,0.545,0.03,1.04350531932537e-42,"Col1a2-201",1.04350531932537e-42,"Up"
1.3714924281751e-46,3.1739046565853,0.591,0.06,1.05404679074969e-41,"Dennd4a-201",1.05404679074969e-41,"Up"
7.23497209661789e-46,4.35342277969097,0.57,0.06,5.56036545513472e-41,"Foxp1-204",5.56036545513472e-41,"Up"
1.00956604445272e-45,4.49870659117312,0.505,0.022,7.75891887803696e-41,"Dmxl1-202",7.75891887803696e-41,"Up"
2.22595535928743e-45,3.97070159935136,0.534,0.038,1.71073573182676e-40,"H2-Ea-201",1.71073573182676e-40,"Up"
3.38406790110073e-45,5.91217351184871,0.48,0.016,2.60079154471196e-40,"Scd1-201",2.60079154471196e-40,"Up"
1.34354321187929e-44,3.18916634517663,0.649,0.112,1.03256670005771e-39,"Smg1-201",1.03256670005771e-39,"Up"
2.20636618880616e-43,2.00311712673491,0.706,0.128,1.69568067074508e-38,"H2-DMb2-201",1.69568067074508e-38,"Up"
2.90834562576265e-43,5.35439434863632,0.459,0.011,2.23517994722362e-38,"Ebf1-201",2.23517994722362e-38,"Up"
3.5203316556256e-42,4.50961438188784,0.437,0.005,2.7055156906145e-37,"Bank1-201",2.7055156906145e-37,"Up"
5.15097535863404e-42,3.93184887830353,0.556,0.071,3.9587306021246e-37,"Ets1-201",3.9587306021246e-37,"Up"
6.39883757449769e-42,-10.2250547696288,0.004,0.497,4.91776262950445e-37,"Hsd3b6-201",4.91776262950445e-37,"Down"
2.05475596155232e-41,2.77560745770852,0.624,0.104,1.57916214669142e-36,"Dusp2-201",1.57916214669142e-36,"Up"
3.29280634998753e-41,2.39814939530142,0.584,0.074,2.53065339221942e-36,"Cyth1-207",2.53065339221942e-36,"Up"
1.31918902426856e-40,2.68782707776189,0.616,0.104,1.01384953271136e-35,"Inpp5d-210",1.01384953271136e-35,"Up"
1.88447228770399e-40,2.55122837967875,0.559,0.068,1.44829233199203e-35,"Psg21-202",1.44829233199203e-35,"Up"
1.93672736068391e-40,2.57544311642021,0.577,0.074,1.48845244578001e-35,"Nipbl-201",1.48845244578001e-35,"Up"
3.66627426474327e-40,2.64593489704091,0.667,0.15,2.81767842342579e-35,"Brd2-203",2.81767842342579e-35,"Up"
