"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.02588334973631e-62,2.40616951904651,0.632,0.123,7.88432389606346e-58,"H2-Q6-202",7.88432389606346e-58,"Up"
2.47562089773075e-54,2.26030183982276,0.624,0.149,1.90261368474199e-49,"Ftl1-206",1.90261368474199e-49,"Up"
1.76643387031479e-52,2.33269086046819,0.577,0.129,1.35757508669173e-47,"H2-Q7-206",1.35757508669173e-47,"Up"
9.19363162691345e-36,1.43535005996158,0.803,0.326,7.06567365054807e-31,"Spc24-201",7.06567365054807e-31,"Up"
6.35561808553012e-35,1.68876914114507,0.872,0.596,4.88454672345332e-30,"H2-K1-201",4.88454672345332e-30,"Up"
1.9275949081464e-34,2.54826528678141,0.504,0.163,1.48143379070683e-29,"H2-K1-213",1.48143379070683e-29,"Up"
1.23849517983163e-33,2.06753323375971,0.56,0.173,9.51833085507804e-29,"Klf2-201",9.51833085507804e-29,"Up"
8.9096002353627e-33,2.15440874068883,0.389,0.081,6.84738416488565e-28,"Paxbp1-202",6.84738416488565e-28,"Up"
2.78009078162097e-32,2.04412392632301,0.338,0.06,2.13661096930698e-27,"Paxbp1-204",2.13661096930698e-27,"Up"
2.04731886746843e-31,2.07625316905457,0.842,0.548,1.57344644240418e-26,"Ftl1-203",1.57344644240418e-26,"Up"
4.0393551150333e-29,1.02271054062067,0.949,0.799,3.10440598010769e-24,"H2-D1-202",3.10440598010769e-24,"Up"
1.54471418051018e-27,1.70511375949634,0.35,0.077,1.18717463628929e-22,"Irf4-202",1.18717463628929e-22,"Up"
2.76251187307321e-27,1.6352609476598,0.41,0.107,2.12310087493168e-22,"Nfkbid-201",2.12310087493168e-22,"Up"
1.96159709494751e-25,1.3766162199721,0.376,0.095,1.50756583135096e-20,"Gramd1a-209",1.50756583135096e-20,"Up"
2.45962580069077e-25,1.44479414987498,0.41,0.112,1.89032081286288e-20,"Tmed7-202",1.89032081286288e-20,"Up"
2.92666668085039e-25,1.59093898650826,0.474,0.157,2.24926041090076e-20,"H2-DMb2-203",2.24926041090076e-20,"Up"
5.89131725127659e-25,1.3922907840585,0.346,0.082,4.52771296029611e-20,"Irf4-201",4.52771296029611e-20,"Up"
6.19677797145599e-25,1.08336225160761,0.607,0.238,4.76247174218279e-20,"Ncor1-201",4.76247174218279e-20,"Up"
9.62487180583205e-25,1.31998211973354,0.393,0.105,7.39709897765416e-20,"Gramd1a-205",7.39709897765416e-20,"Up"
3.42313745437925e-24,1.25459000782053,0.419,0.125,2.63081805918863e-19,"Fosb-201",2.63081805918863e-19,"Up"
9.90290590328502e-24,1.22333349180033,0.577,0.225,7.61077930291067e-19,"Ncor1-204",7.61077930291067e-19,"Up"
3.06150875235484e-23,1.60408287504378,0.372,0.102,2.35289193653479e-18,"Nfkbid-202",2.35289193653479e-18,"Up"
5.45426088068975e-23,1.51052175777904,0.376,0.104,4.1918176572453e-18,"Nfkbid-203",4.1918176572453e-18,"Up"
7.26851968561067e-23,-3.17744889622631,0.145,0.472,5.58614811917923e-18,"Alas2-201",5.58614811917923e-18,"Down"
1.5570984245735e-22,1.6985946866486,0.372,0.105,1.19669242322172e-17,"Tsc22d3-201",1.19669242322172e-17,"Up"
3.13611673563237e-22,1.42287886703852,0.393,0.115,2.4102311560029e-17,"Dgkd-201",2.4102311560029e-17,"Up"
6.25837621234672e-22,1.60257238456561,0.346,0.094,4.80981245423695e-17,"H3c6-201",4.80981245423695e-17,"Up"
9.11809938387039e-22,1.12543516731428,0.671,0.301,7.00762410047975e-17,"Per1-201",7.00762410047975e-17,"Up"
1.80057887011771e-21,-3.34308647976207,0.158,0.473,1.38381688484027e-16,"Tpbpa-201",1.38381688484027e-16,"Down"
4.48524995844473e-21,1.07804430753646,0.654,0.291,3.44709400306311e-16,"Per1-206",3.44709400306311e-16,"Up"
8.16824587939952e-21,1.6677291412278,0.726,0.451,6.27762368815371e-16,"Macf1-203",6.27762368815371e-16,"Up"
1.74231033840161e-20,1.24325382971107,0.483,0.183,1.33903518747517e-15,"H2-DMb2-202",1.33903518747517e-15,"Up"
2.54943871444256e-20,1.1894080101394,0.56,0.222,1.95934562959769e-15,"Kmt2e-201",1.95934562959769e-15,"Up"
2.82677025509287e-20,1.23801133554139,0.397,0.124,2.17248601184907e-15,"Leng8-201",2.17248601184907e-15,"Up"
3.3871163210962e-20,1.04451189496076,0.372,0.106,2.60313437741527e-15,"Nr3c1-202",2.60313437741527e-15,"Up"
7.48169990994145e-20,1.14133841270614,0.363,0.107,5.7499856487864e-15,"Leng8-203",5.7499856487864e-15,"Up"
7.70369906664472e-20,1.1097011542878,0.615,0.272,5.92060088067913e-15,"Per1-203",5.92060088067913e-15,"Up"
9.92627183395755e-20,1.23845843932314,0.504,0.199,7.62873695526974e-15,"Ncor1-205",7.62873695526974e-15,"Up"
1.47367012405156e-19,1.20107852945265,0.509,0.196,1.13257443713859e-14,"Ctla2a-209",1.13257443713859e-14,"Up"
1.90009466172507e-19,2.04697223640902,0.581,0.236,1.46029875132218e-14,"Ctla2a-201",1.46029875132218e-14,"Up"
2.12628214781765e-19,1.08097935728691,0.504,0.194,1.63413288188378e-14,"Ctla2a-202",1.63413288188378e-14,"Up"
4.77766419189175e-19,1.22578437635824,0.372,0.115,3.67182603803648e-14,"Limd1-201",3.67182603803648e-14,"Up"
4.86220594016689e-19,1.0836237488701,0.333,0.098,3.73679975325586e-14,"Irf1-201",3.73679975325586e-14,"Up"
5.32814849769301e-19,1.18957620829383,0.5,0.199,4.09489524641698e-14,"Nr4a1-201",4.09489524641698e-14,"Up"
8.38046411753796e-19,1.19869926769528,0.359,0.107,6.44072189289263e-14,"Igf2-204",6.44072189289263e-14,"Up"
1.31251847782323e-18,1.01782727903292,0.496,0.194,1.00872295094627e-13,"Ctla2a-203",1.00872295094627e-13,"Up"
1.85600225271657e-18,1.34000611727075,0.38,0.124,1.42641197130279e-13,"Bltp1-201",1.42641197130279e-13,"Up"
2.81630393918828e-18,1.08417737879786,0.782,0.501,2.16444222942376e-13,"Mcl1-201",2.16444222942376e-13,"Up"
4.17465649598342e-18,1.63392167966414,0.658,0.321,3.2083905034231e-13,"Fau-203",3.2083905034231e-13,"Up"
4.2567433633022e-18,1.15850905681467,0.38,0.124,3.27147754443228e-13,"Gpr183-201",3.27147754443228e-13,"Up"
6.36154322782184e-18,1.49053970024953,0.346,0.113,4.8891004323102e-13,"Vars-201",4.8891004323102e-13,"Up"
6.44275776787292e-18,-3.33602788552725,0.115,0.396,4.95151705492106e-13,"Alas2-202",4.95151705492106e-13,"Down"
1.2020460176684e-17,-1.72651820724599,0.175,0.456,9.23820446418874e-13,"Peg10-202",9.23820446418874e-13,"Down"
1.91283607819862e-17,1.07105428371726,0.38,0.131,1.47009103953877e-12,"Cd69-201",1.47009103953877e-12,"Up"
1.92920248016275e-17,1.38084017674972,0.47,0.198,1.48266927410428e-12,"Ccr7-201",1.48266927410428e-12,"Up"
3.09729548305764e-17,1.15497981890148,0.397,0.138,2.38039547054912e-12,"Fam117b-201",2.38039547054912e-12,"Up"
7.03570572664652e-17,1.22729500310639,0.397,0.153,5.40722127915692e-12,"Srsf5-209",5.40722127915692e-12,"Up"
1.29695645319563e-16,1.00578661762695,0.483,0.199,9.96762912538966e-12,"Nr4a1-202",9.96762912538966e-12,"Up"
1.30603598419941e-16,1.28243589808992,0.35,0.124,1.00374089529661e-11,"Eif5-208",1.00374089529661e-11,"Up"
1.38201400574294e-16,1.07648870511284,0.607,0.299,1.06213304397368e-11,"H2-Q4-202",1.06213304397368e-11,"Up"
1.45682758054605e-16,1.38122719856296,0.419,0.164,1.11963026875286e-11,"Tmed5-201",1.11963026875286e-11,"Up"
1.71048499787232e-16,1.20664351823459,0.739,0.512,1.31457614026479e-11,"Ftl1-202",1.31457614026479e-11,"Up"
1.8767614491886e-16,1.19942898818574,0.415,0.16,1.44236624415941e-11,"Srsf7-207",1.44236624415941e-11,"Up"
3.18972439949324e-16,-1.59095411046424,0.175,0.442,2.45143078998653e-11,"Peg10-203",2.45143078998653e-11,"Down"
3.40040733956292e-16,1.34739015476053,0.466,0.204,2.61334905674769e-11,"Tagap-201",2.61334905674769e-11,"Up"
8.75801032928127e-16,1.03699109571809,0.838,0.596,6.73088125846583e-11,"Gapdh-201",6.73088125846583e-11,"Up"
1.09402330533192e-15,1.00325207799235,0.47,0.217,8.40800671079793e-11,"Rbpj-ps3-201",8.40800671079793e-11,"Up"
1.13908372586446e-15,1.03341965944933,0.838,0.597,8.75431406675872e-11,"Gapdh-202",8.75431406675872e-11,"Up"
1.67376435755934e-15,1.0731960540358,0.402,0.156,1.28635485935866e-10,"Dmxl1-202",1.28635485935866e-10,"Up"
1.83043870208214e-15,1.32748504395127,0.342,0.118,1.40676536009821e-10,"Trak1-209",1.40676536009821e-10,"Up"
2.2386698372364e-15,1.38709924709925,0.543,0.258,1.72050731670966e-10,"Ccnl1-203",1.72050731670966e-10,"Up"
2.30563705429825e-15,1.20037130319127,0.35,0.12,1.77197430171038e-10,"H2ac18-201",1.77197430171038e-10,"Up"
2.78551918831214e-15,1.12989653630673,0.526,0.238,2.14078291698541e-10,"Socs3-201",2.14078291698541e-10,"Up"
3.62451459069604e-15,-1.38235877943964,0.256,0.544,2.78558444353353e-10,"Ubb-202",2.78558444353353e-10,"Down"
4.75647244531486e-15,1.04524116467953,0.342,0.119,3.65553933312228e-10,"Zfp207-201",3.65553933312228e-10,"Up"
5.09154872200556e-15,1.08054582918687,0.346,0.119,3.91305885481016e-10,"H2ac19-201",3.91305885481016e-10,"Up"
5.89595518120047e-15,1.00435388708912,0.436,0.175,4.53127739495981e-10,"Mapk1-202",4.53127739495981e-10,"Up"
7.6170329884376e-15,1.49189378096648,0.397,0.161,5.85399453293383e-10,"H1f3-201",5.85399453293383e-10,"Up"
7.67557317024936e-15,1.05022094407467,0.333,0.115,5.89898500426345e-10,"Bltp1-217",5.89898500426345e-10,"Up"
1.12913833757978e-14,1.13064506853005,0.385,0.148,8.67787977963561e-10,"Cntrl-202",8.67787977963561e-10,"Up"
1.70720710844738e-14,1.00699381350677,0.59,0.292,1.31205695112615e-09,"Zfp622-201",1.31205695112615e-09,"Up"
