"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
6.1032573216788e-109,-1.62866467716572,0.956,0.994,1.0724643765654e-104,"Cd74",1.0724643765654e-104,"Down"
3.81568212647792e-107,1.56541373508573,0.986,0.943,6.704916632647e-103,"Tpt1",6.704916632647e-103,"Up"
7.78948708706031e-94,2.20186125419414,0.893,0.435,1.36876867093824e-89,"H19",1.36876867093824e-89,"Up"
1.07898890531975e-93,3.9722518203633,0.615,0.119,1.89599930442786e-89,"Cntnap5b",1.89599930442786e-89,"Up"
1.05257542932596e-88,2.62720340066121,0.795,0.322,1.84958554441158e-84,"Ftl1-ps1",1.84958554441158e-84,"Up"
5.49256699048379e-79,3.06758444639406,0.678,0.212,9.65153871567812e-75,"Prdx2",9.65153871567812e-75,"Up"
4.06033142654854e-78,3.41804404268698,0.527,0.089,7.1348143827311e-74,"Grik3",7.1348143827311e-74,"Up"
1.11214301318299e-71,-1.87128543800095,0.456,0.868,1.95425770276515e-67,"B2m",1.95425770276515e-67,"Down"
6.39002962009696e-65,3.10712987470642,0.434,0.059,1.12285600484344e-60,"Hsd3b6",1.12285600484344e-60,"Up"
1.14252043061692e-62,-1.18450460969728,0.773,0.971,2.00763690068006e-58,"Eef1a1",2.00763690068006e-58,"Down"
1.12215111884166e-61,-1.42203866860517,0.822,0.957,1.97184394602857e-57,"H2-Aa",1.97184394602857e-57,"Down"
4.05556316873928e-60,-1.58820639254518,0.73,0.924,7.12643560010867e-56,"H2-Ab1",7.12643560010867e-56,"Down"
1.5179830946472e-59,-2.09861451035634,0.232,0.719,2.66739989391407e-55,"Laptm5",2.66739989391407e-55,"Down"
8.64311345365964e-59,2.01371796657452,0.937,0.988,1.51876789607707e-54,"Peak1",1.51876789607707e-54,"Up"
2.2304514785748e-53,2.64945437019752,0.577,0.205,3.91934933815163e-49,"Gpx1",3.91934933815163e-49,"Up"
1.30920010490891e-51,-2.00145212759502,0.24,0.69,2.30052642434594e-47,"Msn",2.30052642434594e-47,"Down"
2.28588459806241e-51,-1.07665414223522,0.932,0.992,4.01675641571527e-47,"Actb",4.01675641571527e-47,"Down"
8.36857878490089e-49,-2.12019442840129,0.189,0.639,1.47052666408279e-44,"Kdm6b",1.47052666408279e-44,"Down"
1.92804450937836e-47,-2.36922907194546,0.131,0.575,3.38795981187965e-43,"Ptprc",3.38795981187965e-43,"Down"
