"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.5844048173629e-84,6.13822203452341,0.778,0.03,2.78411614507009e-80,"Camk2b",2.78411614507009e-80,"Up"
2.65851768770621e-83,-4.47183343248678,0.122,0.893,4.67154728083734e-79,"H19",4.67154728083734e-79,"Down"
6.69374654532953e-66,3.13066417249543,0.846,0.224,1.17622514294531e-61,"Foxp1",1.17622514294531e-61,"Up"
2.17108003020722e-65,3.08566274955612,0.817,0.172,3.81502182908013e-61,"Dock2",3.81502182908013e-61,"Up"
3.4472531138629e-64,5.22727807420642,0.677,0.055,6.05751317167988e-60,"Ebf1",6.05751317167988e-60,"Up"
2.15220995530202e-62,-3.66891726719522,0.143,0.795,3.78186333345671e-58,"Ftl1-ps1",3.78186333345671e-58,"Down"
3.55333199721754e-60,-2.1265612613951,0.781,0.956,6.24391498551065e-56,"Ftl1",6.24391498551065e-56,"Down"
3.61994864668792e-60,4.56150352789717,0.652,0.052,6.36097376196001e-56,"Arhgap15",6.36097376196001e-56,"Up"
7.11669196754302e-60,-1.52286197577758,0.875,0.986,1.25054511253666e-55,"Tpt1",1.25054511253666e-55,"Down"
4.48002838903354e-58,-5.94197148807403,0.05,0.678,7.87230588520974e-54,"Prdx2",7.87230588520974e-54,"Down"
3.15712644495512e-57,2.85709747497107,0.792,0.202,5.54770258907513e-53,"Inpp5d",5.54770258907513e-53,"Up"
9.39339084863501e-57,2.64568461482756,0.964,0.563,1.65060663992214e-52,"Jarid2",1.65060663992214e-52,"Up"
2.2773792427458e-56,3.12854412062106,0.731,0.142,4.00181080535292e-52,"Sik1",4.00181080535292e-52,"Up"
1.3030974269814e-54,2.95041129535136,0.735,0.148,2.28980279869171e-50,"Macf1",2.28980279869171e-50,"Up"
7.14338392193275e-54,4.46792941258497,0.595,0.044,1.25523542276202e-49,"Cd79a",1.25523542276202e-49,"Up"
1.36350718653055e-51,3.8640662979176,0.616,0.071,2.39595482817149e-47,"Cxcr4",2.39595482817149e-47,"Up"
2.94947299324972e-51,3.00009575515491,0.72,0.175,5.18281394373841e-47,"Fam107b",5.18281394373841e-47,"Up"
1.50887170284732e-49,5.09527857375953,0.552,0.041,2.65138935624331e-45,"Klf2",2.65138935624331e-45,"Up"
2.50260547548444e-49,2.8640662979176,0.692,0.139,4.39757834152125e-45,"Dock10",4.39757834152125e-45,"Up"
3.48024071370803e-49,2.82132252454872,0.821,0.292,6.11547898212775e-45,"Tmtc2",6.11547898212775e-45,"Up"
1.00794442686615e-48,2.50031416599574,0.763,0.219,1.7711599468892e-44,"Rel",1.7711599468892e-44,"Up"
1.28310694967717e-48,1.93888290111749,0.882,0.391,2.25467553197272e-44,"Ddx5",2.25467553197272e-44,"Up"
1.56905196257418e-48,2.62136560796243,0.878,0.393,2.75713810863535e-44,"D130009I18Rik",2.75713810863535e-44,"Up"
6.90078511045742e-48,-5.04077355812616,0.065,0.615,1.21260595960958e-43,"Cntnap5b",1.21260595960958e-43,"Down"
1.94285837188456e-47,3.62519820321456,0.599,0.079,3.41399073107555e-43,"Stk17b",3.41399073107555e-43,"Up"
3.63231534381801e-47,4.05454353917728,0.552,0.046,6.382704522157e-43,"Ikzf3",6.382704522157e-43,"Up"
1.37340320325858e-46,-5.26012552514256,0.032,0.577,2.41334410876598e-42,"Gpx1",2.41334410876598e-42,"Down"
2.41369759457032e-46,3.01673011729171,0.652,0.123,4.24134941317897e-42,"C130026I21Rik",4.24134941317897e-42,"Up"
4.31604734093764e-46,-2.2349208241468,0.409,0.822,7.58415838749562e-42,"Sqstm1",7.58415838749562e-42,"Down"
1.5440374777547e-45,1.45535944867353,0.986,0.956,2.71318265591055e-41,"Cd74",2.71318265591055e-41,"Up"
3.09690991524772e-45,1.27595195399147,0.996,0.907,5.44189010307329e-41,"Malat1",5.44189010307329e-41,"Up"
6.11602216061007e-45,2.49807814775553,0.756,0.265,1.0747074140624e-40,"Cd83",1.0747074140624e-40,"Up"
1.01549434465812e-43,3.4686547494735,0.599,0.101,1.78442666243326e-39,"Aff3",1.78442666243326e-39,"Up"
1.57038103342217e-43,1.38119598543921,0.953,0.773,2.75947355192944e-39,"Eef1a1",2.75947355192944e-39,"Up"
8.30286039695346e-43,2.8632537408469,0.663,0.158,1.45897862895266e-38,"Bach2",1.45897862895266e-38,"Up"
3.70038064186705e-42,3.63950603989844,0.548,0.074,6.50230886388879e-38,"Ppp1r16b",6.50230886388879e-38,"Up"
1.11110405284644e-41,4.54288784972982,0.48,0.033,1.95243204166177e-37,"Irf4",1.95243204166177e-37,"Up"
3.04142434918465e-41,2.56150352789717,0.663,0.158,5.34439086638727e-37,"Cyth1",5.34439086638727e-37,"Up"
4.2483577091215e-41,5.20627542385363,0.441,0.014,7.46521416646831e-37,"Bank1",7.46521416646831e-37,"Up"
5.53288287414144e-41,2.92661580184433,0.599,0.112,9.72238178644134e-37,"H2-DMb2",9.72238178644134e-37,"Up"
1.12576213129518e-40,-4.66862610775106,0.032,0.527,1.97818921711189e-36,"Grik3",1.97818921711189e-36,"Down"
3.52621241504978e-40,3.85101014509215,0.498,0.049,6.19626045572547e-36,"Mef2c",6.19626045572547e-36,"Up"
4.1322832130823e-40,3.51659110602159,0.53,0.071,7.26124806202822e-36,"Ets1",7.26124806202822e-36,"Up"
1.32360800191221e-39,2.54252042452959,0.642,0.156,2.32584398096014e-35,"Dennd4a",2.32584398096014e-35,"Up"
2.20775939730549e-39,3.56150352789717,0.516,0.066,3.87947481294521e-35,"Prkcb",3.87947481294521e-35,"Up"
3.02679532762417e-39,2.58105632531857,0.62,0.131,5.3186847497012e-35,"Ptprc",5.3186847497012e-35,"Up"
3.45284631554014e-39,5.36885844995477,0.423,0.014,6.06734154566713e-35,"Pax5",6.06734154566713e-35,"Up"
1.25612839050644e-38,3.42279725706558,0.556,0.101,2.20726880779792e-34,"Eif2ak3",2.20726880779792e-34,"Up"
2.38158803225825e-38,4.72070212274642,0.434,0.022,4.1849264902842e-34,"Scd1",4.1849264902842e-34,"Up"
3.93973904405394e-38,-1.8576353847921,0.545,0.833,6.92290944821158e-34,"Gapdh",6.92290944821158e-34,"Down"
1.10128597721947e-37,4.1242946476197,0.459,0.038,1.93517971917006e-33,"Stat4",1.93517971917006e-33,"Up"
1.93410731490821e-37,2.51496094196014,0.634,0.169,3.39861337375671e-33,"Fyn",3.39861337375671e-33,"Up"
2.67599251933391e-37,3.78389594923362,0.52,0.087,4.70225405497355e-33,"Satb1",4.70225405497355e-33,"Up"
2.06954670211414e-36,-5.32658736058261,0.039,0.495,3.63660746495496e-32,"Peg10",3.63660746495496e-32,"Down"
5.22307586951558e-36,3.09853155155462,0.516,0.085,9.17798891791277e-32,"Cerk",9.17798891791277e-32,"Up"
2.20116383855362e-35,-7.53915881110803,0.004,0.434,3.86788509710642e-31,"Hsd3b6",3.86788509710642e-31,"Down"
2.79942734083729e-35,4.31319062777014,0.427,0.033,4.91915372331929e-31,"Dmxl1",4.91915372331929e-31,"Up"
9.62198242357956e-35,3.36885844995477,0.47,0.057,1.6907747514714e-30,"Dgkd",1.6907747514714e-30,"Up"
1.28127041244313e-34,3.1680724848077,0.484,0.066,2.25144836874507e-30,"Ero1lb",2.25144836874507e-30,"Up"
8.78590679491977e-34,3.74409494117564,0.409,0.027,1.5438595420033e-29,"H2-Ob",1.5438595420033e-29,"Up"
1.20816749938953e-33,2.78014381437251,0.556,0.131,2.12299192992728e-29,"Rasa3",2.12299192992728e-29,"Up"
2.64361921806476e-33,2.03774118361275,0.67,0.232,4.64536768998339e-29,"Laptm5",4.64536768998339e-29,"Up"
3.06010402528945e-33,3.34095245338489,0.477,0.071,5.37721479323862e-29,"Myo1e",5.37721479323862e-29,"Up"
3.23534874012953e-33,2.38345064557145,0.584,0.15,5.6851548061556e-29,"Ccr7",5.6851548061556e-29,"Up"
3.3383510788619e-33,4.34935029106556,0.409,0.033,5.86615051577614e-29,"Immp2l",5.86615051577614e-29,"Up"
4.0099839110705e-33,2.99644058461372,0.502,0.09,7.04634372853307e-29,"Plekha2",7.04634372853307e-29,"Up"
4.4875199877998e-33,2.11889395058734,0.642,0.199,7.88547012256181e-29,"Syk",7.88547012256181e-29,"Up"
4.75788571534982e-33,2.7459280990346,0.53,0.109,8.3605567790127e-29,"Pde4b",8.3605567790127e-29,"Up"
5.1931372089087e-33,2.7809059066278,0.534,0.112,9.12538070349437e-29,"Foxo1",9.12538070349437e-29,"Up"
5.43407100466539e-33,2.81411056228062,0.509,0.093,9.54874956939803e-29,"Itpr2",9.54874956939803e-29,"Up"
5.55454577913638e-33,2.48609612523914,0.548,0.117,9.76044784309845e-29,"Kmt2e",9.76044784309845e-29,"Up"
9.14232473808311e-33,3.8066160257337,0.427,0.044,1.60648930297596e-28,"Blnk",1.60648930297596e-28,"Up"
1.02629580675495e-32,3.12628814668069,0.484,0.079,1.8034069916298e-28,"Fryl",1.8034069916298e-28,"Up"
1.15465969457836e-32,2.47035563983897,0.552,0.126,2.02896801531309e-28,"Mycbp2",2.02896801531309e-28,"Up"
3.49524561871822e-32,2.41711361856199,0.548,0.12,6.14184560121166e-28,"Malt1",6.14184560121166e-28,"Up"
3.680243442271e-32,-1.72006152970286,0.731,0.891,6.46692377675859e-28,"Fth1",6.46692377675859e-28,"Down"
3.88168568752182e-32,2.0030132385372,0.645,0.197,6.82089809011335e-28,"Gdi2",6.82089809011335e-28,"Up"
4.28409845549983e-32,3.81191032540321,0.419,0.044,7.52801780600429e-28,"Nr4a1",7.52801780600429e-28,"Up"
5.38278473661452e-32,3.45653396829562,0.419,0.041,9.45862933917904e-28,"Nfkbid",9.45862933917904e-28,"Up"
8.3105835571795e-31,2.53742939291831,0.509,0.101,1.46033574266758e-26,"Fbxo11",1.46033574266758e-26,"Up"
1.12639797216728e-30,1.57470083027874,0.71,0.251,1.97930651669235e-26,"Prrc2c",1.97930651669235e-26,"Up"
1.22937440391383e-30,3.6139709477913,0.391,0.033,2.16025670255737e-26,"Gimap6",2.16025670255737e-26,"Up"
4.60310003785454e-30,-2.49527431591712,0.104,0.544,8.088567386518e-26,"Mkrn1",8.088567386518e-26,"Down"
