"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
2.7932619864714e-196,6.62200134073291,0.902,0.055,4.90831996262755e-192,"Zfp791",4.90831996262755e-192,"Up"
3.80448601764845e-90,3.61381705440072,0.897,0.573,6.68524283021185e-86,"Itga9",6.68524283021185e-86,"Up"
2.59270694346773e-77,1.66808792576201,1,0.988,4.5559046410615e-73,"Peak1",4.5559046410615e-73,"Up"
5.67598113266397e-58,2.16981823795223,0.953,0.744,9.97383404631714e-54,"Jarid2",9.97383404631714e-54,"Up"
1.85422581482402e-55,2.35485122504571,0.876,0.49,3.25824560180877e-51,"D130009I18Rik",3.25824560180877e-51,"Up"
4.92288620564462e-50,1.7940713129413,0.838,0.434,8.65049564055872e-46,"6030443J06Rik",8.65049564055872e-46,"Up"
3.75196892878444e-49,1.76615030794929,0.803,0.351,6.59295980166002e-45,"Uso1",6.59295980166002e-45,"Up"
1.98723524977773e-48,1.59616795542904,0.846,0.409,3.49196978090944e-44,"Btrc",3.49196978090944e-44,"Up"
3.09902165559387e-48,2.59582749642076,0.744,0.341,5.44560085320955e-44,"Tmtc2",5.44560085320955e-44,"Up"
2.90906205795784e-45,2.14365575073153,0.564,0.147,5.11180384824351e-41,"H2-Q7",5.11180384824351e-41,"Up"
1.6262950927627e-42,3.01514101020885,0.419,0.081,2.85772573700262e-38,"Mphosph8",2.85772573700262e-38,"Up"
2.51306441754051e-38,2.15275795783878,0.513,0.144,4.41595679450219e-34,"H2-Q6",4.41595679450219e-34,"Up"
3.66151474211494e-38,2.30638525076964,0.641,0.265,6.43401370484438e-34,"Nmbr",6.43401370484438e-34,"Up"
4.12659828354669e-26,2.26783516195226,0.338,0.083,7.25125850384825e-22,"Slc1a1",7.25125850384825e-22,"Up"
2.22783215319336e-24,1.74200046337343,0.637,0.347,3.91474665959138e-20,"Il31ra",3.91474665959138e-20,"Up"
2.50641581293238e-23,1.11154800470091,0.825,0.612,4.40427386648479e-19,"Cd83",4.40427386648479e-19,"Up"
4.81594062232537e-19,1.50453747996347,0.436,0.175,8.46257086155015e-15,"Taf1c",8.46257086155015e-15,"Up"
1.33743366836855e-17,1.7213606973144,0.466,0.212,2.35013844205722e-13,"Ccr7",2.35013844205722e-13,"Up"
5.46197544528206e-17,1.46058316456053,0.483,0.233,9.59778325244964e-13,"Arhgap21",9.59778325244964e-13,"Up"
1.58335175141763e-16,2.11399577721129,0.444,0.224,2.78226569759106e-12,"Camk2b",2.78226569759106e-12,"Up"
1.96284112603872e-16,2.08662480569515,0.393,0.172,3.44910442667524e-12,"Klf2",3.44910442667524e-12,"Up"
2.06474270901139e-15,1.75800205823378,0.35,0.142,3.62816588827482e-11,"Nfkbid",3.62816588827482e-11,"Up"
4.95738482325856e-15,-2.21138065596777,0.103,0.36,8.71111661142993e-11,"Tent5c",8.71111661142993e-11,"Down"
3.58809852627702e-14,1.47993913859596,0.359,0.152,6.30500673037397e-10,"Clhc1",6.30500673037397e-10,"Up"
4.8030010274303e-14,1.41235890665202,0.402,0.184,8.43983340540053e-10,"Blnk",8.43983340540053e-10,"Up"
5.13495041926824e-13,1.19293665350275,0.432,0.206,9.02313487673815e-09,"Man1a",9.02313487673815e-09,"Up"
6.46003619912464e-13,1.4891523167573,0.342,0.145,1.13515756091018e-08,"Grk5",1.13515756091018e-08,"Up"
4.01052840985258e-12,1.60034094736887,0.41,0.211,7.04730052179295e-08,"Tlcd4",7.04730052179295e-08,"Up"
6.68579169492796e-12,-1.40674124799928,0.175,0.412,1.17482731663274e-07,"Tgm2",1.17482731663274e-07,"Down"
8.00254182650463e-12,1.05959148594306,0.449,0.238,1.40620664975339e-07,"Dis3l2",1.40620664975339e-07,"Up"
1.63671176603461e-11,1.08060358019623,0.607,0.422,2.87602991527601e-07,"Macf1",2.87602991527601e-07,"Up"
2.15674686987007e-11,-1.40478087396451,0.222,0.442,3.78983559973569e-07,"H2az1",3.78983559973569e-07,"Down"
4.5561742182962e-11,1.67139338275974,0.35,0.172,8.00610933639009e-07,"Ccrl2",8.00610933639009e-07,"Up"
5.35061468232134e-11,1.28610001575174,0.359,0.171,9.40210011977507e-07,"Mef2c",9.40210011977507e-07,"Up"
2.96010372641413e-10,1.1889366300324,0.432,0.249,5.2014942680549e-06,"H2-DMb2",5.2014942680549e-06,"Up"
4.04847247003444e-10,1.06730486460142,0.363,0.18,7.11397582434451e-06,"Mrps28",7.11397582434451e-06,"Up"
5.57947273232811e-10,1.01174407522595,0.427,0.235,9.80424948524695e-06,"Prkcb",9.80424948524695e-06,"Up"
1.8805029116737e-09,1.04464574490036,0.474,0.286,3.30441971639302e-05,"Arhgap15",3.30441971639302e-05,"Up"
2.65508811805566e-09,-1.03426204146431,0.218,0.427,4.6655208410474e-05,"Riok3",4.6655208410474e-05,"Down"
4.09572510738456e-09,1.11961027676488,0.389,0.217,7.19700815869615e-05,"Wnk3",7.19700815869615e-05,"Up"
6.27458078788947e-09,-1.37265038932268,0.175,0.367,0.000110256933604794,"Epb41",0.000110256933604794,"Down"
7.27433533024322e-09,1.29842527846796,0.47,0.306,0.000127824620423034,"H1f4",0.000127824620423034,"Up"
8.18702567689826e-09,1.28833550337072,0.338,0.178,0.000143862415194456,"Tagap",0.000143862415194456,"Up"
9.83698836570924e-09,1.00347809268327,0.368,0.196,0.000172855559562243,"Alpk1",0.000172855559562243,"Up"
1.02669592975867e-08,-1.16044534718396,0.205,0.397,0.000180411008777193,"Fam129b",0.000180411008777193,"Down"
1.31735126907945e-08,1.06060001100397,0.376,0.21,0.00023148496500264,"Nr4a1",0.00023148496500264,"Up"
6.29928982189875e-08,1.04003311965737,0.333,0.181,0.00110691120750405,"Akna",0.00110691120750405,"Up"
2.13519228359142e-07,1.24458465958231,0.479,0.315,0.00375195988072685,"Dnah7b",0.00375195988072685,"Up"
2.63451899378744e-07,-1.14115917113873,0.226,0.39,0.0046293767758833,"Ms4a6c",0.0046293767758833,"Down"
2.9588221392295e-07,1.13815976297668,0.346,0.201,0.00519924226305408,"Sorl1",0.00519924226305408,"Up"
3.78986216127942e-07,-1.06579761489742,0.184,0.35,0.00665954578980019,"Ldha",0.00665954578980019,"Down"
3.91935947044597e-07,1.02969956143444,0.389,0.239,0.00688709846146766,"Stk17b",0.00688709846146766,"Up"
4.19109084051885e-07,1.06805813183737,0.402,0.25,0.00736458482495972,"Txnip",0.00736458482495972,"Up"
