"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.65572711742012e-70,1.22663825116235,0.996,0.979,4.85128045404096e-68,"Tbp",4.85128045404096e-68,"Up"
4.63541845730409e-65,1.277652417754,0.996,0.943,1.3581776079901e-62,"Pou2f3",1.3581776079901e-62,"Up"
6.39147312932911e-53,1.73301650378373,0.611,0.125,1.87270162689343e-50,"Snd1",1.87270162689343e-50,"Up"
1.36740883591306e-43,1.0663397662751,0.958,0.855,4.00650788922528e-41,"Ctcf",4.00650788922528e-41,"Up"
4.52533200767449e-41,1.45634344200751,0.646,0.182,1.32592227824862e-38,"Hsf1",1.32592227824862e-38,"Up"
8.22657084969388e-41,1.32547063241622,0.614,0.15,2.41038525896031e-38,"Zbtb16",2.41038525896031e-38,"Up"
1.00009959626814e-40,1.02379378622176,0.989,0.923,2.93029181706565e-38,"Tfap2c",2.93029181706565e-38,"Up"
6.31249173843383e-40,1.13079348052278,0.877,0.594,1.84956007936111e-37,"Sox6",1.84956007936111e-37,"Up"
8.5397639406159e-33,1.08849834261259,0.684,0.225,2.50215083460046e-30,"Ebf2",2.50215083460046e-30,"Up"
1.61422338701739e-32,1.3100424233523,0.544,0.144,4.72967452396094e-30,"Zfp654",4.72967452396094e-30,"Up"
5.85241804368794e-32,1.36476530863744,0.667,0.234,1.71475848680057e-29,"Sp2",1.71475848680057e-29,"Up"
3.9550109757216e-28,1.2195425619129,0.691,0.269,1.15881821588643e-25,"Nfia",1.15881821588643e-25,"Up"
1.13716462558565e-27,-1.35692690278104,0.295,0.681,3.33189235296596e-25,"Nr1h3",3.33189235296596e-25,"Down"
4.59131462098378e-27,1.52050010692628,0.404,0.095,1.34525518394825e-24,"Plag1",1.34525518394825e-24,"Up"
1.66499624514972e-23,1.14295604842239,0.881,0.64,4.87843899828868e-21,"Zfp64",4.87843899828868e-21,"Up"
7.94655829618136e-22,1.12853516750748,0.695,0.321,2.32834158078114e-19,"Rfx2",2.32834158078114e-19,"Up"
3.12075624921597e-19,1.21894022179885,0.789,0.631,9.1438158102028e-17,"Sox17",9.1438158102028e-17,"Up"
1.11515317635709e-15,1.60325210181472,0.351,0.131,3.26739880672628e-13,"Hand1",3.26739880672628e-13,"Up"
1.37499613625936e-13,1.08509861459997,0.677,0.463,4.02873867923992e-11,"Foxp4",4.02873867923992e-11,"Up"
8.65757667343235e-12,1.14831725083347,0.589,0.41,2.53666996531568e-09,"Cebpg",2.53666996531568e-09,"Up"
2.6280286050883e-09,1.0087863980388,0.502,0.318,7.70012381290872e-07,"Gli3",7.70012381290872e-07,"Up"
1.24917266725485e-05,1.0878228746315,0.411,0.311,0.0036600759150567,"Zfp369",0.0036600759150567,"Up"
