"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
2.8707065668076e-57,1.0318624579148,1,1,8.41117024074627e-55,"Rel",8.41117024074627e-55,"Up"
4.70202645220585e-56,1.30640206737103,1,1,1.37769375049631e-53,"Etv6",1.37769375049631e-53,"Up"
4.52416915903325e-53,1.01152683710161,1,1,1.32558156359674e-50,"Irf5",1.32558156359674e-50,"Up"
5.60240290738176e-52,1.07572466403177,1,1,1.64150405186285e-49,"Mafb",1.64150405186285e-49,"Up"
7.20990351391877e-51,1.1938734887613,1,1,2.1125017295782e-48,"Nfkb1",2.1125017295782e-48,"Up"
3.38802269185189e-50,-1.52836087260358,0.729,0.996,9.92690648712603e-48,"Pou2f3",9.92690648712603e-48,"Down"
1.43728142102841e-49,1.24922787623604,1,1,4.21123456361325e-47,"Fli1",4.21123456361325e-47,"Up"
7.6636092488554e-49,1.05753090936943,1,1,2.24543750991463e-46,"Runx3",2.24543750991463e-46,"Up"
1.25772995882054e-38,-1.24065784842639,0.827,0.989,3.68514877934418e-36,"Tfap2c",3.68514877934418e-36,"Down"
1.42904988434087e-37,1.31212162961677,1,0.944,4.18711616111875e-35,"Runx2",4.18711616111875e-35,"Up"
1.71675062885645e-35,1.38790830179082,1,0.895,5.03007934254941e-33,"Vdr",5.03007934254941e-33,"Up"
2.58638403335809e-32,-1.14936499078029,0.797,0.954,7.5781052177392e-30,"Zfp42",7.5781052177392e-30,"Down"
6.36317097116874e-29,1.00372112508342,1,1,1.86440909455244e-26,"Zbtb20",1.86440909455244e-26,"Up"
5.10787064716091e-27,1.03333439354543,1,1,1.49660609961815e-24,"Nfib",1.49660609961815e-24,"Up"
1.72142891065686e-20,1.11501625490675,0.97,0.821,5.04378670822461e-18,"Smad3",5.04378670822461e-18,"Up"
1.96042838796899e-20,1.10436902922965,0.925,0.551,5.74405517674913e-18,"Patz1",5.74405517674913e-18,"Up"
4.02645923671756e-20,1.04304369034525,1,1,1.17975255635824e-17,"Foxp1",1.17975255635824e-17,"Up"
8.53451132303288e-20,-1.12499622075091,0.617,0.905,2.50061181764863e-17,"Arid3a",2.50061181764863e-17,"Down"
1.1350957628391e-14,1.57917278436751,0.639,0.27,3.32583058511857e-12,"Zfp263",3.32583058511857e-12,"Up"
9.338408518988e-14,1.62154861925378,0.654,0.295,2.73615369606349e-11,"Nr1h3",2.73615369606349e-11,"Up"
1.67330948883602e-12,1.52179974272216,0.865,0.73,4.90279680228955e-10,"Cux1",4.90279680228955e-10,"Up"
4.46863722615482e-10,1.59407899497559,0.481,0.193,1.30931070726336e-07,"Hic1",1.30931070726336e-07,"Up"
1.01953045227181e-09,-1.2887048574806,0.068,0.351,2.98722422515641e-07,"Hand1",2.98722422515641e-07,"Down"
1.67707224136485e-08,1.3445785281058,0.391,0.137,4.91382166719901e-06,"Eomes",4.91382166719901e-06,"Up"
1.2806805273995e-07,1.40385918734445,0.444,0.207,3.75239394528052e-05,"Tcf4",3.75239394528052e-05,"Up"
