"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
2.34528072523297e-77,-2.61941852249031,0.614,0.949,1.80244204857054e-72,"Vim-201",1.80244204857054e-72,"Down"
3.62572774482187e-70,-1.78329090348427,0.544,0.969,2.7865168010054e-65,"B2m-201",2.7865168010054e-65,"Down"
8.48366598078676e-70,1.83927226464311,0.993,0.95,6.52003665287385e-65,"Tpt1-201",6.52003665287385e-65,"Up"
2.63628041581433e-69,-2.38508607345863,0.663,0.933,2.02608695076995e-64,"Lyz2-201",2.02608695076995e-64,"Down"
5.03578719893026e-65,-2.50813027057222,0.246,0.836,3.87020389386586e-60,"Msn-201",3.87020389386586e-60,"Down"
1.77697779585752e-64,-3.68873910124207,0.077,0.714,1.36567851522834e-59,"Ms4a6c-201",1.36567851522834e-59,"Down"
4.09526729140578e-55,-2.11348671953055,0.519,0.973,3.147376724137e-50,"Actg1-204",3.147376724137e-50,"Down"
3.89810740226675e-50,-3.13856739706196,0.095,0.64,2.99585146293809e-45,"Cybb-201",2.99585146293809e-45,"Down"
2.69868403279106e-49,-2.87595569214655,0.196,0.741,2.07404662656124e-44,"Samhd1-201",2.07404662656124e-44,"Down"
1.18697770965141e-48,-3.16272154488808,0.035,0.578,9.12239848975494e-44,"Ftl1-203",9.12239848975494e-44,"Down"
3.28841827561347e-48,-1.61776206402154,0.491,0.912,2.52728098153997e-43,"Ubc-203",2.52728098153997e-43,"Down"
3.91441665954819e-48,-2.62977536661702,0.133,0.682,3.00838577952917e-43,"Ctss-201",3.00838577952917e-43,"Down"
7.96178193868126e-48,-1.53064910983165,0.582,0.943,6.11894789115409e-43,"Ubc-202",6.11894789115409e-43,"Down"
3.05523421735667e-47,4.01469098288643,0.737,0.405,2.3480697054073e-42,"Prdx2-201",2.3480697054073e-42,"Up"
2.17695781814264e-46,-1.27547894841903,0.782,0.986,1.67307916155535e-41,"Eef1a1-201",1.67307916155535e-41,"Down"
1.97047217844519e-45,-2.06741730404074,0.309,0.792,1.51438668802227e-40,"Ahnak-202",1.51438668802227e-40,"Down"
2.31498820867992e-45,3.06882696091284,0.667,0.311,1.77916103789887e-40,"Gpx1-201",1.77916103789887e-40,"Up"
6.14660242922857e-44,-2.0154664662068,0.189,0.738,4.72390983095932e-39,"Ctss-202",4.72390983095932e-39,"Down"
6.49099280748905e-41,-1.64383706184902,0.425,0.866,4.98858761226763e-36,"Psap-203",4.98858761226763e-36,"Down"
6.99348322658102e-41,-2.21432569266406,0.288,0.755,5.37477159895658e-36,"Ifi207-201",5.37477159895658e-36,"Down"
2.32907812403066e-40,2.95485504442157,0.667,0.365,1.78998970144252e-35,"Set-201",1.78998970144252e-35,"Up"
3.38079723107244e-40,-1.52100782858193,0.411,0.897,2.59827790396841e-35,"H3f3a-205",2.59827790396841e-35,"Down"
4.1696351689079e-40,-2.10155982302307,0.284,0.764,3.20453141271248e-35,"Cd44-201",3.20453141271248e-35,"Down"
