"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
7.74280020988056e-65,4.81990189434069,0.857,0.025,5.9506516733016e-60,"Col1a1-201",5.9506516733016e-60,"Up"
3.87912581757304e-59,4.93867727669472,0.805,0.028,2.98126335583758e-54,"Col3a1-201",2.98126335583758e-54,"Up"
6.40464177028189e-57,3.94388259956826,0.85,0.053,4.92222338613244e-52,"Psg21-201",4.92222338613244e-52,"Up"
2.46563153513766e-54,3.52174114531222,0.812,0.042,1.8949364600147e-49,"Psg23-201",1.8949364600147e-49,"Up"
1.18251861783213e-51,3.57102454979705,0.782,0.046,9.08812858548708e-47,"Col1a2-201",9.08812858548708e-47,"Up"
1.82185626312989e-49,3.98929993636541,0.744,0.039,1.40016941246585e-44,"Ctsj-202",1.40016941246585e-44,"Up"
2.69651410461133e-45,5.56002723382405,0.594,0.004,2.07237894995799e-40,"Col6a2-201",2.07237894995799e-40,"Up"
7.33107696937589e-45,3.40030050537249,0.789,0.084,5.63422589404415e-40,"Dock2-201",5.63422589404415e-40,"Up"
2.63677941218217e-44,4.28188972513886,0.782,0.112,2.02647044943848e-39,"Macf1-203",2.02647044943848e-39,"Up"
2.32232874184853e-41,3.35810745667591,0.692,0.053,1.78480253126027e-36,"Psg21-202",1.78480253126027e-36,"Up"
1.51870198891455e-40,9.25957500915534,0.526,0,1.16718322656039e-35,"Psg16-204",1.16718322656039e-35,"Up"
2.77354811053731e-39,4.69096089326216,0.594,0.025,2.13158266487235e-34,"Serpine1-201",2.13158266487235e-34,"Up"
7.8548202041727e-39,2.40326719182599,0.752,0.088,6.03674351971489e-34,"Notch2-201",6.03674351971489e-34,"Up"
8.85587347693673e-39,2.35420105532313,0.714,0.067,6.80609300196495e-34,"BC005537-201",6.80609300196495e-34,"Up"
3.18676725800306e-38,4.07609458912175,0.586,0.028,2.44915810846567e-33,"Dennd4a-201",2.44915810846567e-33,"Up"
4.20060621282411e-38,2.94773618937575,0.722,0.095,3.22833389880384e-33,"Cybb-201",3.22833389880384e-33,"Up"
4.46922047107678e-38,2.34520325483509,0.977,0.614,3.43477470084135e-33,"Vim-201",3.43477470084135e-33,"Up"
2.18738800965643e-37,2.57346064938878,0.88,0.2,1.68109518094135e-32,"Lrp1-201",1.68109518094135e-32,"Up"
4.6024761302109e-37,4.01574100084961,0.571,0.028,3.53718700511228e-32,"Trps1-202",3.53718700511228e-32,"Up"
1.89398684906638e-36,4.65268594393175,0.526,0.014,1.45560465298148e-31,"Col6a3-201",1.45560465298148e-31,"Up"
1.15315486765953e-35,4.60267183342354,0.526,0.018,8.86245641991052e-31,"Abca1-201",8.86245641991052e-31,"Up"
2.01532939599833e-35,8.53386423537631,0.466,0,1.54886125400056e-30,"Psg16-202",1.54886125400056e-30,"Up"
2.14998921550955e-35,2.95562850032983,0.82,0.182,1.65235271168771e-30,"Cd14-201",1.65235271168771e-30,"Up"
3.90873225654638e-35,3.22534040229873,0.586,0.039,3.00401708844615e-30,"Havcr2-201",3.00401708844615e-30,"Up"
4.83492155104108e-35,2.28664169620571,0.744,0.105,3.71583060883712e-30,"Rab8b-201",3.71583060883712e-30,"Up"
5.04765727398226e-35,3.15971344754687,0.526,0.018,3.87932652134633e-30,"Clu-201",3.87932652134633e-30,"Up"
6.10718722977833e-35,1.80538286443811,0.744,0.088,4.69361767357384e-30,"Ceacam11-201",4.69361767357384e-30,"Up"
8.75270871103878e-35,2.04733465004887,0.744,0.091,6.72680675278174e-30,"Psg27-201",6.72680675278174e-30,"Up"
1.21988509320807e-34,2.7533482444782,0.654,0.067,9.37530489534127e-30,"Kdm7a-201",9.37530489534127e-30,"Up"
