"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
9.40492533006391e-55,3.33106485682903,0.622,0.108,7.22806131316732e-50,"Ftl1-206",7.22806131316732e-50,"Up"
1.0939052521169e-48,2.07850874085473,0.821,0.235,8.4070994246192e-44,"Spc24-201",8.4070994246192e-44,"Up"
2.32487765652876e-47,2.14997767335296,0.811,0.269,1.78676147414862e-42,"Socs3-201",1.78676147414862e-42,"Up"
2.33225107735308e-46,1.64294271233212,0.954,0.568,1.79242824298894e-41,"Mcl1-201",1.79242824298894e-41,"Up"
8.92120873747762e-43,3.29247629393137,0.398,0.038,6.85630576310105e-38,"H2-Q6-202",6.85630576310105e-38,"Up"
8.89410253643227e-42,2.82537893602183,0.49,0.08,6.83547356334965e-37,"H2-Q7-206",6.83547356334965e-37,"Up"
5.78368478499402e-38,1.73047867037122,0.847,0.365,4.4449931046593e-33,"Cebpb-201",4.4449931046593e-33,"Up"
7.90897102017715e-30,1.29922049366553,0.944,0.764,6.07836058784695e-25,"Ftl1-ps1-202",6.07836058784695e-25,"Up"
3.23055355522148e-29,2.42458320065415,0.872,0.578,2.48280962932992e-24,"Ftl1-203",2.48280962932992e-24,"Up"
6.18058831592612e-28,1.96544126832781,0.842,0.588,4.75002934432186e-23,"H2-K1-201",4.75002934432186e-23,"Up"
1.37105081563466e-26,1.15123732739625,0.959,0.835,1.05370739384786e-21,"H2-D1-202",1.05370739384786e-21,"Up"
9.26114430620086e-26,2.0669159431347,0.49,0.138,7.11755984508761e-21,"Nupr1-201",7.11755984508761e-21,"Up"
5.76077867931468e-25,2.19536269488155,0.469,0.128,4.4273888462005e-20,"Klf2-201",4.4273888462005e-20,"Up"
5.88805125162522e-25,1.30680301269957,0.801,0.377,4.52520290892404e-20,"Ifi27l2a-201",4.52520290892404e-20,"Up"
9.06974599142108e-25,1.73998924321548,0.485,0.132,6.97046258424676e-20,"Leng8-201",6.97046258424676e-20,"Up"
2.88047242441776e-24,1.93052248909045,0.566,0.192,2.21375827706203e-19,"Nr4a1-201",2.21375827706203e-19,"Up"
5.14744895596366e-24,1.47279149357156,0.663,0.264,3.95602042061631e-19,"Apobec1-201",3.95602042061631e-19,"Up"
2.71138007690272e-23,1.31580936159928,0.536,0.158,2.08380404430282e-18,"Kmt2e-201",2.08380404430282e-18,"Up"
4.63156713655354e-23,1.38124856322973,0.934,0.736,3.55954460712686e-18,"Pim1-201",3.55954460712686e-18,"Up"
9.64375363727227e-23,1.77381701567148,0.551,0.189,7.41161042038923e-18,"Nr4a1-202",7.41161042038923e-18,"Up"
2.62998210592989e-22,1.53574089359467,0.454,0.127,2.02124644769136e-17,"Leng8-203",2.02124644769136e-17,"Up"
