"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
5.46720554501488e-52,4.53138146051631,0.789,0.074,9.60697358370015e-48,"Trps1",9.60697358370015e-48,"Up"
5.67347182704029e-49,-9.44059236503119,0,0.86,9.9694246944752e-45,"H19",9.9694246944752e-45,"Down"
1.01949333920238e-45,2.45003292063505,0.97,0.456,1.79145369564642e-41,"Cd44",1.79145369564642e-41,"Up"
4.09548224136551e-43,-2.0169285419515,0.744,0.986,7.19658139452747e-39,"Tpt1",7.19658139452747e-39,"Down"
1.34623815553723e-39,3.50356018010734,0.932,0.491,2.36560968691003e-35,"Jarid2",2.36560968691003e-35,"Up"
1.7325044970191e-34,2.48705211006585,0.82,0.246,3.04435690216196e-30,"Picalm",3.04435690216196e-30,"Up"
2.7955292831681e-34,3.85687215786906,0.805,0.256,4.91230405638299e-30,"Tmtc2",4.91230405638299e-30,"Up"
1.27718962971269e-33,3.40578214620601,0.647,0.102,2.24427761733114e-29,"Cybb",2.24427761733114e-29,"Up"
2.05958641687415e-32,3.52455726140238,0.617,0.091,3.61910525173125e-28,"Cd86",3.61910525173125e-28,"Up"
3.75515874091958e-32,4.36632221424582,0.541,0.049,6.59856493954388e-28,"Abca1",6.59856493954388e-28,"Up"
1.7554869967798e-31,2.43463915718601,0.827,0.295,3.08474175074147e-27,"Runx1",3.08474175074147e-27,"Up"
2.20764637072895e-30,3.51457317282976,0.654,0.137,3.87927620264491e-26,"Alcam",3.87927620264491e-26,"Up"
2.28509330349838e-30,3.36883683778707,0.85,0.4,4.01536595290736e-26,"D130009I18Rik",4.01536595290736e-26,"Up"
2.4391801168618e-29,2.8073549220576,0.669,0.147,4.28612730134955e-25,"Dock2",4.28612730134955e-25,"Up"
3.91819640309233e-29,2.84872757005038,0.669,0.144,6.88505471951384e-25,"Itpkb",6.88505471951384e-25,"Up"
1.01777175532756e-28,2.23163920955826,0.744,0.196,1.78842852846159e-24,"Rab8b",1.78842852846159e-24,"Up"
1.1260031961677e-28,3.49894252111599,0.677,0.168,1.97861281630588e-24,"Cd14",1.97861281630588e-24,"Up"
1.60362684811968e-28,4.61049759282829,0.466,0.032,2.81789309751591e-24,"Dock4",2.81789309751591e-24,"Up"
1.90852584786233e-28,2.75849875571585,0.759,0.302,3.35366161986368e-24,"Cytip",3.35366161986368e-24,"Up"
2.06636804037159e-28,3.8909490517395,0.489,0.042,3.63102192054096e-24,"Havcr2",3.63102192054096e-24,"Up"
5.90737284856904e-28,3.02876259913753,0.647,0.147,1.03804355695055e-23,"Vav3",1.03804355695055e-23,"Up"
1.16582183389751e-27,2.30842383053762,0.827,0.34,2.0485821265247e-23,"Zeb2",2.0485821265247e-23,"Up"
5.38117105048439e-27,2.75488750216347,0.624,0.133,9.45579376991116e-23,"Fam49b",9.45579376991116e-23,"Up"
1.94443828054817e-26,3.02092583885455,0.586,0.112,3.41676694657924e-22,"Hivep2",3.41676694657924e-22,"Up"
1.94886608425123e-26,2.49185309632967,0.669,0.172,3.42454748324626e-22,"Ptprc",3.42454748324626e-22,"Up"
3.76055932237677e-26,2.84608731654632,0.617,0.137,6.60805484128047e-22,"Pik3r5",6.60805484128047e-22,"Up"
6.23154073656444e-26,1.83650126771712,0.835,0.368,1.0950063382291e-21,"Lyn",1.0950063382291e-21,"Up"
9.4771047944875e-26,2.50325785960192,0.647,0.161,1.66531685448734e-21,"Macf1",1.66531685448734e-21,"Up"
9.82157703000701e-26,2.43770440944549,0.647,0.151,1.72584751571283e-21,"Notch2",1.72584751571283e-21,"Up"
1.31477482910322e-25,2.3890422907459,0.729,0.225,2.31032232970019e-21,"Lrp1",2.31032232970019e-21,"Up"
1.91993148868636e-25,2.6559290220753,0.714,0.235,3.37370361191966e-21,"Rnf213",3.37370361191966e-21,"Up"
2.48423473675267e-25,4.08822036032308,0.466,0.053,4.36529727942179e-21,"Plcb1",4.36529727942179e-21,"Up"
4.07255942658557e-25,3.1926450779424,0.534,0.088,7.15630142439616e-21,"Arhgap26.1",7.15630142439616e-21,"Up"
