"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
2.38294691171996e-41,-3.91816499459049,0.195,0.913,4.18731431327431e-37,"Zfp791",4.18731431327431e-37,"Down"
2.95064540246521e-30,-1.69790463785559,0.677,0.964,5.18487410121186e-26,"Ubc",5.18487410121186e-26,"Down"
1.09754270395967e-28,-1.67820245196668,0.609,0.949,1.92860203939793e-24,"Ubb",1.92860203939793e-24,"Down"
2.68201645636939e-27,-1.99311361441476,0.414,0.883,4.7128393171323e-23,"Mcl1",4.7128393171323e-23,"Down"
7.74955033979456e-24,-1.92967507669962,0.759,0.939,1.3617509857087e-19,"Itga9",1.3617509857087e-19,"Down"
5.99095093811175e-23,-3.62819959456175,0.06,0.602,1.052729898845e-18,"Cebpb",1.052729898845e-18,"Down"
1.9951705342236e-20,-1.37820671042561,0.744,0.944,3.50591366273771e-16,"H2-D1",3.50591366273771e-16,"Down"
5.70443032527381e-19,-1.5946957367054,0.511,0.857,1.00238249675711e-14,"Efhd2",1.00238249675711e-14,"Down"
9.17901079368564e-19,-2.2712915065091,0.211,0.694,1.61293577666644e-14,"Ifi27l2a",1.61293577666644e-14,"Down"
2.08892689379986e-18,-1.83729519328474,0.383,0.811,3.67066233778512e-14,"Il31ra",3.67066233778512e-14,"Down"
2.39818381225631e-18,-1.45687440371508,0.541,0.852,4.21408859489679e-14,"Pim1",4.21408859489679e-14,"Down"
1.02286908360712e-17,-2.83289001416474,0.098,0.571,1.79738555371442e-13,"Mphosph8",1.79738555371442e-13,"Down"
1.38349103908306e-17,-1.51671544650768,0.579,0.878,2.43107045387674e-13,"Nfkbia",2.43107045387674e-13,"Down"
2.4301253312952e-17,-2.49200083019298,0.173,0.633,4.27021623215193e-13,"Socs3",4.27021623215193e-13,"Down"
2.7485151868069e-17,-2.3328164110301,0.15,0.622,4.82969088625708e-13,"Tlcd4",4.82969088625708e-13,"Down"
4.47036826667189e-17,-2.12267625051767,0.316,0.73,7.85533111819585e-13,"Bhlhe40",7.85533111819585e-13,"Down"
8.69927492256613e-17,-4.82139437532691,0.015,0.429,1.52863658939332e-12,"Pcdh15",1.52863658939332e-12,"Down"
1.1247915803697e-16,-1.16601631565697,0.759,0.929,1.97648376502563e-12,"H2-K1",1.97648376502563e-12,"Down"
1.36428396067743e-15,-1.75157112611508,0.316,0.735,2.39731977570239e-11,"Ppp1r15a",2.39731977570239e-11,"Down"
2.81436520569522e-14,-1.11053434653918,0.797,0.969,4.94540253944764e-10,"Fth1",4.94540253944764e-10,"Down"
3.40463492366459e-14,-1.34942470332779,0.459,0.816,5.98262448786341e-10,"Spi1",5.98262448786341e-10,"Down"
3.68971163648722e-14,-3.05200730346833,0.06,0.444,6.48356128763534e-10,"H2-Q7",6.48356128763534e-10,"Down"
4.11438885261639e-14,-1.3754775631641,0.421,0.776,7.22980409181752e-10,"Tnfaip3",7.22980409181752e-10,"Down"
2.14072483226368e-13,1.58755100952841,0.789,0.485,3.76168167525374e-09,"Trps1",3.76168167525374e-09,"Up"
6.51470977509946e-13,2.61528064334754,0.421,0.092,1.14476480168048e-08,"Ftl1-ps1",1.14476480168048e-08,"Up"
3.64796004906482e-12,2.20514394041427,0.466,0.133,6.4101953982167e-08,"Gnaq",6.4101953982167e-08,"Up"
4.05435801924264e-12,-1.07356778852894,0.534,0.837,7.12431791141317e-08,"Sqstm1",7.12431791141317e-08,"Down"
4.86549695046095e-12,-3.05528243550119,0.053,0.388,8.54965124134998e-08,"Bin2",8.54965124134998e-08,"Down"
4.39271419333627e-11,-1.32264686682329,0.361,0.704,7.71887738053049e-07,"Dnah7b",7.71887738053049e-07,"Down"
5.76779557038017e-10,2.45251220469751,0.429,0.143,1.0135170376272e-05,"Fmnl2",1.0135170376272e-05,"Up"
8.93135656055278e-10,-1.72597481024823,0.173,0.505,1.56941797482033e-05,"Cd274",1.56941797482033e-05,"Down"
1.30981511096742e-09,-2.13359483796459,0.083,0.388,2.30160711299195e-05,"Zfand2a",2.30160711299195e-05,"Down"
1.77546411179892e-09,1.5513900895486,0.647,0.378,3.11984553725307e-05,"Vav3",3.11984553725307e-05,"Up"
1.09819648646137e-08,1.46866194469084,0.541,0.265,0.000192975086600992,"Abca1",0.000192975086600992,"Up"
1.33229753871562e-08,-1.17517117100827,0.368,0.658,0.000234111323503108,"Fxyd5",0.000234111323503108,"Down"
1.56068724971027e-08,-1.74869488674831,0.128,0.413,0.000274243963519088,"Resf1",0.000274243963519088,"Down"
2.76415773380089e-08,-1.00176692617419,0.414,0.694,0.000485717796983493,"Ccrl2",0.000485717796983493,"Down"
3.22533014810836e-08,1.87137141492876,0.383,0.128,0.000566755013625601,"Ascc3",0.000566755013625601,"Up"
3.47662087063896e-08,-1.82961488213188,0.113,0.393,0.000610911819388678,"Nupr1",0.000610911819388678,"Down"
3.52476853711101e-08,-1.81561202273291,0.09,0.362,0.000619372327341147,"Clip1",0.000619372327341147,"Down"
4.7195215374535e-08,1.31575832764716,0.586,0.306,0.00082931432456133,"Hivep2",0.00082931432456133,"Up"
6.54694343562862e-08,-1.96711840588182,0.128,0.398,0.00115042890050866,"Klf4",0.00115042890050866,"Down"
7.75140717054633e-08,-1.02553509210714,0.414,0.684,0.0013620772680084,"Apobec1",0.0013620772680084,"Down"
7.99360129430105e-08,-1.08442878116071,0.406,0.668,0.00140463561943458,"Tnfrsf1b",0.00140463561943458,"Down"
8.68434129976767e-08,-1.12338241550528,0.353,0.622,0.00152601245319517,"Stk10",0.00152601245319517,"Down"
8.83057449939752e-08,-1.24792751344359,0.263,0.566,0.00155170855103413,"Tnip1",0.00155170855103413,"Down"
9.40122467300763e-08,-1.40209844357135,0.241,0.52,0.0016519831995409,"Rac2",0.0016519831995409,"Down"
9.94510677753523e-08,-1.01986634202045,0.459,0.714,0.00174755416294849,"Ezr",0.00174755416294849,"Down"
1.05866319784778e-07,1.55942740861402,0.398,0.148,0.00186028297125811,"Zswim6",0.00186028297125811,"Up"
1.14041658409275e-07,1.83772857110112,0.466,0.204,0.00200394002156778,"Dock4",0.00200394002156778,"Up"
1.19383354717101e-07,-2.17237648043641,0.09,0.342,0.00209780430908891,"Gnb1l",0.00209780430908891,"Down"
1.29299893341686e-07,-1.52260836025199,0.308,0.556,0.00227205772580011,"Myo1g",0.00227205772580011,"Down"
1.43878281335497e-07,-1.80514502368184,0.135,0.398,0.00252822915962736,"Slc9a3r1",0.00252822915962736,"Down"
1.50452260763193e-07,1.64500314032009,0.451,0.199,0.00264374712613082,"Fn1",0.00264374712613082,"Up"
1.54666728108282e-07,-1.4307915705934,0.211,0.485,0.00271780374631874,"Gadd45b",0.00271780374631874,"Down"
1.58011882937488e-07,-1.88535743405888,0.113,0.372,0.00277658480697754,"Plk3",0.00277658480697754,"Down"
1.80359024045314e-07,-1.32640157146667,0.12,0.398,0.00316926877052425,"Ace",0.00316926877052425,"Down"
2.05618328078854e-07,-1.77617562317042,0.128,0.388,0.00361312526100163,"Themis2",0.00361312526100163,"Down"
3.70162398141291e-07,-1.41326524539025,0.211,0.474,0.00650449366013877,"Abcg1",0.00650449366013877,"Down"
3.70967856616835e-07,-1.0082571006753,0.346,0.622,0.00651864717647102,"Pnrc1",0.00651864717647102,"Down"
4.49637855632358e-07,-1.45411912322393,0.233,0.49,0.00790103639917179,"Nr4a1",0.00790103639917179,"Down"
5.29743518092798e-07,-1.28856949794093,0.241,0.5,0.00930865309992665,"Ets2",0.00930865309992665,"Down"
5.48889721505885e-07,1.8073549220576,0.361,0.133,0.0096450901863014,"Bach2",0.0096450901863014,"Up"
