"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
5.0627125812721e-139,6.49405961479328,0.913,0.075,8.89619854781134e-135,"Zfp791",8.89619854781134e-135,"Up"
8.72740686000038e-80,3.7108100288585,0.939,0.61,1.53357993343927e-75,"Itga9",1.53357993343927e-75,"Up"
3.21489959592818e-69,4.49596920480191,0.571,0.053,5.649221569965e-65,"Mphosph8",5.649221569965e-65,"Up"
4.25353703062848e-67,5.80640166085144,0.429,0.009,7.47431527022037e-63,"Pcdh15",7.47431527022037e-63,"Up"
1.01706069464952e-63,1.70497100142905,1,0.993,1.78717905263813e-59,"Peak1",1.78717905263813e-59,"Up"
2.88417307527522e-54,2.84185627282271,0.903,0.52,5.06806892787362e-50,"D130009I18Rik",5.06806892787362e-50,"Up"
1.18320703103453e-47,2.59613336672734,0.811,0.376,2.07913139493387e-43,"Il31ra",2.07913139493387e-43,"Up"
6.62061601046569e-47,2.28899060860365,0.954,0.781,1.16337464535903e-42,"Jarid2",1.16337464535903e-42,"Up"
9.96215363011142e-44,2.93204040395295,0.77,0.34,1.75054963588318e-39,"Tmtc2",1.75054963588318e-39,"Up"
6.63368280979615e-42,4.20985118585507,0.342,0.024,1.16567074333738e-37,"Gnb1l",1.16567074333738e-37,"Up"
1.05656156076036e-35,2.402215883845,0.622,0.205,1.85658997456811e-31,"Tlcd4",1.85658997456811e-31,"Up"
3.63705845977644e-34,1.05484931633989,0.964,0.811,6.39103912551915e-30,"Ubc",6.39103912551915e-30,"Up"
1.17342692519131e-32,1.30852714875095,0.883,0.521,2.06194579294617e-28,"Mcl1",2.06194579294617e-28,"Up"
6.14290790947046e-32,2.51345263293584,0.444,0.094,1.07943177785215e-27,"H2-Q7",1.07943177785215e-27,"Up"
1.86223310160806e-29,1.06771687737693,1,1,3.27231600614569e-25,"Zc3h7a",3.27231600614569e-25,"Up"
1.36494422137813e-28,1.93935132977471,0.633,0.255,2.39847998580565e-24,"Socs3",2.39847998580565e-24,"Up"
2.59665943591875e-28,2.96460609346481,0.337,0.054,4.56284996079643e-24,"Sspn",4.56284996079643e-24,"Up"
7.99934418706853e-26,1.8360734510444,0.704,0.355,1.40564476055168e-21,"Dnah7b",1.40564476055168e-21,"Up"
1.38990878729386e-23,1.5244949029832,0.694,0.346,2.44234772103277e-19,"Ifi27l2a",2.44234772103277e-19,"Up"
1.84685572878696e-19,-2.41739895487782,0.102,0.466,3.24529488662444e-15,"H19",3.24529488662444e-15,"Down"
3.98105951755967e-19,1.76703624380824,0.5,0.198,6.99551778425585e-15,"Arhgap21",6.99551778425585e-15,"Up"
