"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
2.84261921512688e-48,1.47709839073214,1,0.982,8.32887430032176e-46,"Tbp",8.32887430032176e-46,"Up"
2.53281729129697e-36,1.27359677211985,1,0.954,7.42115466350011e-34,"Pou2f3",7.42115466350011e-34,"Up"
1.61201269135068e-30,1.26337618281504,0.978,0.829,4.7231971856575e-28,"Ctcf",4.7231971856575e-28,"Up"
8.86975002354262e-28,1.51913962596058,0.956,0.693,2.59883675689799e-25,"Creb3l2",2.59883675689799e-25,"Up"
4.20003626583088e-26,2.01115129155486,0.599,0.186,1.23061062588845e-23,"Snd1",1.23061062588845e-23,"Up"
9.92499718176112e-25,1.18490879505916,1,0.972,2.90802417425601e-22,"Elf3",2.90802417425601e-22,"Up"
1.77781537736992e-24,-1.18378620579209,0.467,0.905,5.20899905569386e-22,"Nr1h3",5.20899905569386e-22,"Down"
4.03279336914676e-23,1.24946554302972,0.978,0.926,1.18160845716e-20,"Tfap2c",1.18160845716e-20,"Up"
1.65963520233078e-21,2.00225738514135,0.657,0.25,4.8627311428292e-19,"Nfia",4.8627311428292e-19,"Up"
1.15399678213464e-20,1.65328292074793,0.606,0.215,3.3812105716545e-18,"Zbtb16",3.3812105716545e-18,"Up"
3.77429557614863e-20,1.78618316916441,0.701,0.292,1.10586860381155e-17,"Sp2",1.10586860381155e-17,"Up"
4.39208187355473e-20,1.17629641340052,0.839,0.629,1.28687998895153e-17,"Sox6",1.28687998895153e-17,"Up"
1.0051959668481e-18,1.57242657738497,0.606,0.218,2.94522418286492e-16,"Ebf2",2.94522418286492e-16,"Up"
1.00862506273179e-18,1.67300114431875,0.672,0.287,2.95527143380414e-16,"Hsf1",2.95527143380414e-16,"Up"
3.8030689572769e-17,1.00362334071241,0.978,0.954,1.11429920448213e-14,"Zfp42",1.11429920448213e-14,"Up"
3.83482796871613e-15,1.16386676517345,0.905,0.8,1.12360459483383e-12,"Zfp507",1.12360459483383e-12,"Up"
2.08761782038627e-14,1.09487149107005,1,0.954,6.11672021373179e-12,"Nfe2",6.11672021373179e-12,"Up"
6.04584913243587e-13,1.40885253937607,0.912,0.796,1.77143379580371e-10,"Sox17",1.77143379580371e-10,"Up"
4.54436913015849e-12,1.35797340032495,0.715,0.453,1.33150015513644e-09,"Cebpg",1.33150015513644e-09,"Up"
2.98245160615875e-11,1.19318502951405,0.927,0.721,8.73858320604514e-09,"Foxm1",8.73858320604514e-09,"Up"
8.28771403423382e-10,1.21793820525729,0.46,0.194,2.42830021203051e-07,"Zfp654",2.42830021203051e-07,"Up"
2.17810086349491e-09,1.30459586423867,0.832,0.662,6.3818355300401e-07,"Zfp64",6.3818355300401e-07,"Up"
1.09358086149669e-08,1.06117222096896,0.81,0.713,3.20419192418531e-06,"Gata3",3.20419192418531e-06,"Up"
1.88430826787707e-07,1.08072921659679,0.803,0.632,5.52102322487981e-05,"Erf",5.52102322487981e-05,"Up"
2.63669069011887e-07,1.07934311554656,0.708,0.504,7.72550372204828e-05,"Mafk",7.72550372204828e-05,"Up"
2.83483541717193e-07,1.22252732469207,0.664,0.409,8.30606777231376e-05,"Rfx2",8.30606777231376e-05,"Up"
2.55760573722316e-06,1.15619531788291,0.599,0.407,0.000749378481006386,"Rxrb",0.000749378481006386,"Up"
1.93649473166891e-05,1.09050316854976,0.343,0.177,0.0056739295637899,"Grhl2",0.0056739295637899,"Up"
2.19013144880077e-05,1.08670718365199,0.62,0.501,0.00641708514498627,"Usf1",0.00641708514498627,"Up"
2.45801650560202e-05,1.17592002403543,0.642,0.422,0.00720198836141392,"Smad4",0.00720198836141392,"Up"
