"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
2.01700526744878e-45,-1.59439199436435,0.9,1,5.90982543362494e-43,"Tbp",5.90982543362494e-43,"Down"
3.11239713170066e-41,-1.51401715428728,0.923,1,9.11932359588293e-39,"Pou2f3",9.11932359588293e-39,"Down"
5.02664712123921e-33,-1.06872957028366,0.982,1,1.47280760652309e-30,"Yy1",1.47280760652309e-30,"Down"
8.99759250549579e-33,-1.57559504313308,0.708,0.978,2.63629460411027e-30,"Zfp42",2.63629460411027e-30,"Down"
2.59370699202805e-32,-1.02501455848005,1,1,7.59956148664219e-30,"Trim28",7.59956148664219e-30,"Down"
1.69356527039268e-31,1.4624481403622,0.893,0.416,4.96214624225054e-29,"Patz1",4.96214624225054e-29,"Up"
6.10118486994404e-27,-1.15143195779258,0.952,1,1.7876471668936e-24,"Elf3",1.7876471668936e-24,"Down"
8.41222324609042e-27,-1.39728934961082,0.882,0.978,2.46478141110449e-24,"Tfap2c",2.46478141110449e-24,"Down"
1.15558051570679e-23,-1.12535268728742,0.904,0.985,3.3858509110209e-21,"Klf1",3.3858509110209e-21,"Down"
4.63878501855285e-23,1.34671398627578,0.889,0.467,1.35916401043598e-20,"Nr1h3",1.35916401043598e-20,"Up"
4.23444110758383e-22,-1.08992877119921,0.834,0.964,1.24069124452206e-19,"Hinfp",1.24069124452206e-19,"Down"
4.80673421176123e-22,1.21258626291035,0.923,0.766,1.40837312404604e-19,"Cux1",1.40837312404604e-19,"Up"
2.21811797354289e-21,-1.11123477814349,0.771,0.978,6.49908566248066e-19,"Ctcf",6.49908566248066e-19,"Down"
5.85059749261323e-21,-1.28365376735672,0.616,0.934,1.71422506533568e-18,"Arid3a",1.71422506533568e-18,"Down"
2.03707028878762e-20,-1.11156657313317,0.852,0.971,5.96861594614772e-18,"Cxxc1",5.96861594614772e-18,"Down"
1.11683049371547e-12,-1.2271496976353,0.542,0.803,3.27231334658634e-10,"Tal1",3.27231334658634e-10,"Down"
8.64116935081625e-12,-1.21002182041132,0.59,0.832,2.53186261978916e-09,"Zfp64",2.53186261978916e-09,"Down"
6.2715548541726e-09,-1.09557677529733,0.491,0.715,1.83756557227257e-06,"Cebpg",1.83756557227257e-06,"Down"
1.63135302906905e-08,-1.03739584020804,0.45,0.708,4.77986437517232e-06,"Mafk",4.77986437517232e-06,"Down"
5.15607994918772e-08,-1.0812547855169,0.469,0.701,1.510731425112e-05,"Sp2",1.510731425112e-05,"Down"
1.30787829150858e-05,-1.01987266305849,0.413,0.606,0.00383208339412014,"Ebf2",0.00383208339412014,"Down"
3.08553355014053e-05,-1.2092264041377,0.232,0.409,0.00904061330191174,"Zscan21",0.00904061330191174,"Down"
