"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.64497399284813e-46,-1.95785371082957,0.788,0.987,1.2642283124635e-41,"Vim-201",1.2642283124635e-41,"Down"
1.92249377600072e-45,-2.19914410410242,0.701,0.98,1.47751336660759e-40,"Lyz2-201",1.47751336660759e-40,"Down"
4.80608181388785e-45,-2.60282336466725,0.321,0.941,3.69366611724537e-40,"Ctss-202",3.69366611724537e-40,"Down"
1.19629795770742e-40,-1.58281529749513,0.708,0.99,9.19402832416464e-36,"Eef1a1-201",9.19402832416464e-36,"Down"
2.22418926288177e-37,-1.7740840452902,0.504,0.974,1.70937841609516e-32,"Ctsb-201",1.70937841609516e-32,"Down"
3.00399003871989e-36,-2.38464625727876,0.299,0.915,2.30868650435778e-31,"Anxa2-201",2.30868650435778e-31,"Down"
3.62055670110367e-35,-2.54832483983005,0.124,0.806,2.78254264706622e-30,"Mpeg1-201",2.78254264706622e-30,"Down"
3.62055670110367e-35,-2.54832483983005,0.124,0.806,2.78254264706622e-30,"ENSMUST00000249873.1",2.78254264706622e-30,"Down"
1.63780870954877e-34,-3.1857806354447,0.08,0.726,1.25872150563661e-29,"Zeb2-212",1.25872150563661e-29,"Down"
1.98158246942126e-33,-2.12898632358596,0.234,0.857,1.52292539104902e-28,"Msn-201",1.52292539104902e-28,"Down"
2.93118282887662e-33,-2.58756249945731,0.27,0.823,2.25273125130483e-28,"Ctss-201",2.25273125130483e-28,"Down"
1.88230280065987e-32,1.86885558128242,0.985,0.967,1.44662499441914e-27,"Tpt1-201",1.44662499441914e-27,"Up"
8.43771170358688e-32,-3.53563799611348,0.073,0.683,6.48471895267466e-27,"Zeb2-202",6.48471895267466e-27,"Down"
9.06448412984982e-32,-1.95413024596988,0.277,0.864,6.96641863315478e-27,"Ahnak-202",6.96641863315478e-27,"Down"
1.02581473722508e-31,-1.63443313885975,0.416,0.916,7.88379658146961e-27,"Iqgap1-201",7.88379658146961e-27,"Down"
1.18736422360352e-31,-2.68115878261582,0.168,0.78,9.12536900408247e-27,"Lilrb4a-205",9.12536900408247e-27,"Down"
1.80773746109308e-31,-2.02442077729799,0.328,0.88,1.38931854834847e-26,"Ubc-203",1.38931854834847e-26,"Down"
3.01586349316253e-31,-3.71137335188659,0.102,0.693,2.31781172903513e-26,"Anpep-202",2.31781172903513e-26,"Down"
3.0708600904155e-31,-2.31970887609646,0.109,0.752,2.36007881388793e-26,"C3ar1-201",2.36007881388793e-26,"Down"
1.02188592769692e-30,2.69574120255916,0.796,0.654,7.85360210872189e-26,"Set-201",7.85360210872189e-26,"Up"
4.52694385671906e-30,-2.77248750015873,0.117,0.736,3.47913743164287e-25,"Myof-211",3.47913743164287e-25,"Down"
1.13143222412531e-29,-1.52816968415228,0.642,0.947,8.69550921529267e-25,"H2-D1-202",8.69550921529267e-25,"Down"
1.98621522550504e-29,-1.98886326642126,0.226,0.826,1.52648584940965e-24,"Cd68-201",1.52648584940965e-24,"Down"
2.09374846254546e-29,-2.07736083056289,0.219,0.814,1.60912944340469e-24,"Lilrb4a-201",1.60912944340469e-24,"Down"
2.45091983593287e-29,-1.39056528834718,0.518,0.974,1.88362993070784e-24,"B2m-201",1.88362993070784e-24,"Down"
5.71028931620749e-29,-1.73448438184676,0.394,0.916,4.38858575107811e-24,"Plin2-201",4.38858575107811e-24,"Down"
1.10147299838692e-28,-1.49617972960689,0.409,0.947,8.46526058180284e-24,"Ubc-202",8.46526058180284e-24,"Down"
1.32231869218592e-28,-1.77940641117023,0.474,0.943,1.01625480769256e-23,"Ctsd-202",1.01625480769256e-23,"Down"
2.90861139422895e-28,-3.20011986898408,0.051,0.627,2.23538420092072e-23,"Fcgr1-201",2.23538420092072e-23,"Down"
4.02692804405021e-28,-2.97880520916363,0.095,0.677,3.09485527897435e-23,"Ifi207-201",3.09485527897435e-23,"Down"
9.28527885493589e-28,-3.54470547897757,0.051,0.612,7.13610821117242e-23,"Zeb2-201",7.13610821117242e-23,"Down"
1.05113721038503e-26,-1.97056666051108,0.146,0.736,8.07840991669314e-22,"Ctsh-201",8.07840991669314e-22,"Down"
