"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
5.1376692592733e-49,3.04779164959792,0.989,0.701,3.9485043325219e-44,"Lyz2-201",3.9485043325219e-44,"Up"
2.90022521772005e-46,3.30047401743717,0.959,0.321,2.22893908882657e-41,"Ctss-202",2.22893908882657e-41,"Up"
3.45425611502853e-45,4.32698487335215,0.97,0.358,2.65473399464402e-40,"Apoe-206",2.65473399464402e-40,"Up"
4.17519253590365e-45,3.15381460855368,0.974,0.474,3.20880247154339e-40,"Ctsd-202",3.20880247154339e-40,"Up"
2.33710574535028e-43,3.67930489735741,0.852,0.029,1.79615924953151e-38,"Col1a1-201",1.79615924953151e-38,"Up"
5.30463376974025e-40,3.01444466047062,0.934,0.445,4.07682323739617e-35,"H2-K1-205",4.07682323739617e-35,"Up"
3.68935810362266e-39,3.20110552866219,0.878,0.124,2.83541927695816e-34,"Mpeg1-201",2.83541927695816e-34,"Up"
3.68935810362266e-39,3.20110552866219,0.878,0.124,2.83541927695816e-34,"ENSMUST00000249873.1",2.83541927695816e-34,"Up"
6.11641293377577e-38,3.95305128453851,0.797,0.051,4.70070799612403e-33,"Abca1-201",4.70070799612403e-33,"Up"
5.90313065733514e-37,2.05356012881028,0.959,0.504,4.53679203538835e-32,"Ctsb-201",4.53679203538835e-32,"Up"
2.79261974770733e-36,5.03845154111814,0.742,0.029,2.14623998090299e-31,"Siglec1-201",2.14623998090299e-31,"Up"
4.60459549583059e-36,2.58438840017125,0.882,0.109,3.53881582236564e-31,"Psg21-201",3.53881582236564e-31,"Up"
9.59719153547687e-36,4.14798109410668,0.786,0.102,7.3758255826754e-31,"Anpep-202",7.3758255826754e-31,"Up"
1.88565994678092e-35,1.9223326391548,0.982,0.642,1.44920509549901e-30,"H2-D1-202",1.44920509549901e-30,"Up"
7.21869970296233e-35,4.51108025138188,0.716,0.022,5.54785946971467e-30,"Ctsj-202",5.54785946971467e-30,"Up"
7.25041935171718e-35,5.66217085448849,0.697,0.007,5.57223728856872e-30,"Ppp1r10-201",5.57223728856872e-30,"Up"
8.60358724132842e-35,3.08438073173981,0.959,0.606,6.61220093845055e-30,"Spp1-201",6.61220093845055e-30,"Up"
1.36877402164411e-34,5.62894366101717,0.694,0.007,1.05195758659437e-29,"Ppp1r10-202",1.05195758659437e-29,"Up"
1.78309215210424e-34,3.20155388168907,0.749,0.036,1.37037764257819e-29,"Psg23-201",1.37037764257819e-29,"Up"
2.17820316656293e-34,2.59568635173689,0.79,0.058,1.67403626163028e-29,"Ceacam11-201",1.67403626163028e-29,"Up"
3.94755609191961e-34,3.98986231126819,0.734,0.036,3.0338547588839e-29,"Serpine1-201",3.0338547588839e-29,"Up"
1.2895160575865e-33,2.45269159636269,0.834,0.095,9.91044670897533e-29,"Col3a1-201",9.91044670897533e-29,"Up"
2.41199197848412e-33,2.50435490209129,0.882,0.277,1.85371231514419e-28,"Ahnak-202",1.85371231514419e-28,"Up"
4.96745033007155e-33,3.53537970042233,0.749,0.058,3.81768427667319e-28,"H2-T23-201",3.81768427667319e-28,"Up"
5.56373189734938e-33,2.4641440750194,0.808,0.088,4.27595051238889e-28,"Col1a2-201",4.27595051238889e-28,"Up"
2.37677249818973e-32,2.61774124239141,0.867,0.255,1.82664473575874e-27,"Lrp1-201",1.82664473575874e-27,"Up"
8.8871813976961e-32,4.08093155471563,0.701,0.036,6.83015439138536e-27,"Gusb-201",6.83015439138536e-27,"Up"
9.07222442127981e-32,4.37058239037476,0.679,0.029,6.97236735673039e-27,"Lhfpl2-201",6.97236735673039e-27,"Up"
1.03433061877424e-31,1.59553923679316,0.982,0.788,7.94924453752758e-27,"Vim-201",7.94924453752758e-27,"Up"
1.59744053652988e-31,3.00496376938843,0.79,0.124,1.22769694994467e-26,"Trem2-201",1.22769694994467e-26,"Up"
1.77274048569502e-31,2.94238420240011,0.838,0.27,1.36242197287605e-26,"Fcgr2b-202",1.36242197287605e-26,"Up"
3.87514921807963e-31,4.33680167832932,0.742,0.131,2.97820718006292e-26,"Macf1-203",2.97820718006292e-26,"Up"
9.38652663011426e-31,2.60718229212712,0.734,0.051,7.21392117630801e-26,"Prl8a9-201",7.21392117630801e-26,"Up"
1.6168486229813e-30,2.95268984929379,0.841,0.212,1.24261284070605e-25,"Emilin2-203",1.24261284070605e-25,"Up"
2.56121358646885e-30,5.83173318108392,0.642,0.015,1.96839508974477e-25,"Col6a2-201",1.96839508974477e-25,"Up"
3.51618862841083e-30,2.50784689242193,0.952,0.577,2.70233160847886e-25,"Ctsl-205",2.70233160847886e-25,"Up"
1.25589543391289e-29,2.31309493311065,0.878,0.263,9.65205876779411e-25,"Fcgr3-201",9.65205876779411e-25,"Up"
2.32387030478293e-29,3.72158739493212,0.661,0.029,1.78598728403787e-24,"Klf4-201",1.78598728403787e-24,"Up"
2.55241903643227e-29,2.84866627216378,0.742,0.08,1.96163612625966e-24,"Mafb-201",1.96163612625966e-24,"Up"
2.63611572307979e-29,1.7889339757008,0.812,0.131,2.02596037781575e-24,"Pld3-201",2.02596037781575e-24,"Up"
2.69180602871451e-29,2.70108961311184,0.79,0.175,2.06876060530825e-24,"Adam8-201",2.06876060530825e-24,"Up"
2.72916234357221e-29,2.39594763567749,0.716,0.058,2.09747042752899e-24,"Cybb-201",2.09747042752899e-24,"Up"
3.71774685065798e-29,1.52107147470448,0.974,0.708,2.85723716460468e-24,"Eef1a1-201",2.85723716460468e-24,"Up"
4.04155584021802e-29,2.8085814877309,0.815,0.175,3.10609732544116e-24,"Msr1-202",3.10609732544116e-24,"Up"
4.30684139279762e-29,3.72086759634876,0.723,0.102,3.30997988402068e-24,"Trf-201",3.30997988402068e-24,"Up"
6.23560000785337e-29,3.12489664950203,0.694,0.058,4.79230803003563e-24,"Nckap1l-201",4.79230803003563e-24,"Up"
7.59127864609334e-29,2.81080742804146,0.838,0.277,5.83420129066857e-24,"Lpl-201",5.83420129066857e-24,"Up"
9.25294679164523e-29,1.79025230743299,0.952,0.518,7.11125972725103e-24,"B2m-201",7.11125972725103e-24,"Up"
1.6678316963901e-28,-3.55674104297488,0.59,0.796,1.28179537194365e-23,"Set-201",1.28179537194365e-23,"Down"
1.76916066464004e-28,3.04329024960309,0.771,0.146,1.35967073720246e-23,"Sirpa-214",1.35967073720246e-23,"Up"
1.93402718715547e-28,3.21438619287168,0.624,0.015,1.48637725441646e-23,"Psg28-201",1.48637725441646e-23,"Up"
3.51208923383593e-28,2.42202659899164,0.771,0.109,2.69918105977226e-23,"Furin-201",2.69918105977226e-23,"Up"
3.72253829878224e-28,2.74549991438549,0.764,0.146,2.8609195841461e-23,"Ctsh-201",2.8609195841461e-23,"Up"
4.18690736776754e-28,2.83798542038231,0.742,0.102,3.21780578842406e-23,"Akap13-205",3.21780578842406e-23,"Up"
6.13859694635476e-28,-1.91046106182243,0.908,0.985,4.71775729715149e-23,"Tpt1-201",4.71775729715149e-23,"Down"
6.46391677074314e-28,3.57487055960088,0.653,0.044,4.96777859498694e-23,"Ecm1-202",4.96777859498694e-23,"Up"
7.52783475872398e-28,4.71543161175557,0.613,0.022,5.78544212546973e-23,"Dock2-201",5.78544212546973e-23,"Up"
1.0351484315019e-27,2.10873339651238,0.841,0.197,7.95552975546474e-23,"Laptm5-207",7.95552975546474e-23,"Up"
1.2493136055559e-27,3.31459687207121,0.649,0.044,9.60147478413928e-23,"Ndrg1-201",9.60147478413928e-23,"Up"
2.16154573281586e-27,2.51565856110293,0.734,0.095,1.6612343574983e-22,"Abcg1-201",1.6612343574983e-22,"Up"
2.32888180214556e-27,2.08558120243995,0.863,0.248,1.78983882022095e-22,"Grn-211",1.78983882022095e-22,"Up"
2.4189081083009e-27,2.0517494936474,0.849,0.226,1.85902763755357e-22,"Cd68-201",1.85902763755357e-22,"Up"
2.66435967103305e-27,2.32547718376185,0.845,0.27,2.04766698157574e-22,"Ctsa-201",2.04766698157574e-22,"Up"
4.94161113106604e-27,2.07654951024216,0.86,0.248,3.7978258186695e-22,"Grn-201",3.7978258186695e-22,"Up"
5.72234715978013e-27,5.56316292323899,0.594,0.022,4.39785268617742e-22,"Lhfpl2-204",4.39785268617742e-22,"Up"
7.06696081962191e-27,2.31033966091434,0.742,0.109,5.43124206831222e-22,"Lgals3bp-201",5.43124206831222e-22,"Up"
8.3878196102843e-27,3.63456752019769,0.613,0.022,6.4463748832879e-22,"Cpd-201",6.4463748832879e-22,"Up"
1.24545889041521e-26,2.10917875805294,0.871,0.307,9.57184975639702e-22,"Timp2-201",9.57184975639702e-22,"Up"
1.3059379931837e-26,2.76231718680245,0.679,0.066,1.0036655852814e-21,"Dmxl2-201",1.0036655852814e-21,"Up"
1.60136799928999e-26,2.55768734331729,0.646,0.044,1.23071536217433e-21,"Plxnb2-202",1.23071536217433e-21,"Up"
1.61300519937336e-26,2.83741130586922,0.609,0.022,1.23965901592641e-21,"Mertk-201",1.23965901592641e-21,"Up"
5.77651223825198e-26,2.18836140312502,0.738,0.117,4.43948071558617e-21,"Pld3-202",4.43948071558617e-21,"Up"
7.08404687967482e-26,3.79239010194867,0.583,0.015,5.44437338890529e-21,"Clu-201",5.44437338890529e-21,"Up"
7.90407754386737e-26,-6.0380960711035,0.022,0.416,6.07459975556383e-21,"Hsd3b6-201",6.07459975556383e-21,"Down"
1.42148439364009e-25,1.08641254276323,0.745,0.088,1.09246761588816e-20,"Psg27-201",1.09246761588816e-20,"Up"
1.42696363902341e-25,3.37488665947357,0.613,0.036,1.09667863513506e-20,"Syne1-205",1.09667863513506e-20,"Up"
1.45959838481209e-25,2.61355339664517,0.679,0.073,1.12175974266348e-20,"Csf2ra-201",1.12175974266348e-20,"Up"
1.46362215388551e-25,2.35153501807197,0.727,0.102,1.12485217014717e-20,"Aldh2-201",1.12485217014717e-20,"Up"
1.70389791120516e-25,2.4755306349195,0.749,0.175,1.30951370067761e-20,"Adam8-202",1.30951370067761e-20,"Up"
2.40059337548926e-25,3.56002514611436,0.576,0.015,1.84495203279852e-20,"Cd84-204",1.84495203279852e-20,"Up"
3.15701312965991e-25,4.0350678704399,0.583,0.022,2.42629087066883e-20,"Abhd12-201",2.42629087066883e-20,"Up"
3.18688499606258e-25,2.04693355403784,0.856,0.285,2.44924859487394e-20,"Tgm2-201",2.44924859487394e-20,"Up"
4.3499822059831e-25,3.34129185656712,0.62,0.051,3.34313532458625e-20,"Mtss1-201",3.34313532458625e-20,"Up"
4.82844497040286e-25,2.73129025268076,0.712,0.117,3.71085309755341e-20,"Myof-211",3.71085309755341e-20,"Up"
