"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
2.99187988307396e-45,6.80232497602903,0.81,0.263,2.29937936533766e-40,"Ftl1-203",2.29937936533766e-40,"Up"
1.94454636774457e-42,-2.38681652865243,0.734,0.923,1.49446166546642e-37,"Hmox1-201",1.49446166546642e-37,"Down"
2.68757565418788e-34,-2.96488085284883,0.315,0.77,2.06550939326955e-29,"Spp1-202",2.06550939326955e-29,"Down"
1.40981090812613e-31,1.25710576453106,0.984,0.992,1.08349607533125e-26,"Ftl1-ps1-202",1.08349607533125e-26,"Up"
1.64650810666947e-29,-1.51187212485907,0.821,0.952,1.26540734029976e-24,"Prdx1-204",1.26540734029976e-24,"Down"
1.0279111458057e-28,2.56183256744512,0.446,0.087,7.8999083199751e-24,"Paxbp1-202",7.8999083199751e-24,"Up"
3.3236715222594e-27,2.05679683636749,0.505,0.126,2.55437451171724e-22,"Fosb-201",2.55437451171724e-22,"Up"
1.14587175886287e-26,2.13581790719256,0.636,0.253,8.80648281556474e-22,"Ndrg1-201",8.80648281556474e-22,"Up"
1.54198103364361e-26,3.18307893598529,0.636,0.218,1.18507410359646e-21,"Ctla2a-201",1.18507410359646e-21,"Up"
8.01917253462347e-26,-1.81423867876216,0.69,0.844,6.16305485975952e-21,"Rnh1-201",6.16305485975952e-21,"Down"
2.38865611185675e-25,1.36984217998967,0.978,0.943,1.83577776820638e-20,"Ctsd-202",1.83577776820638e-20,"Up"
2.76179925027238e-25,2.35182475848178,0.62,0.256,2.12255319580433e-20,"Ecm1-202",2.12255319580433e-20,"Up"
3.93740677267379e-25,1.81969715933815,0.37,0.061,3.02605460107072e-20,"Rab12-201",3.02605460107072e-20,"Up"
1.13397597315394e-24,2.08070554833459,0.462,0.113,8.71505894407731e-20,"Hpse-201",8.71505894407731e-20,"Up"
3.23521241571765e-24,2.22974211581741,0.37,0.066,2.48639014997564e-19,"S100a1-201",2.48639014997564e-19,"Up"
1.17851194849424e-23,1.58024856672204,0.701,0.289,9.05733572895764e-19,"Cebpb-201",9.05733572895764e-19,"Up"
