"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
4.4147443633796e-55,-2.97524903418862,0.336,0.956,7.75758879533063e-51,"Ctss",7.75758879533063e-51,"Down"
6.10375178304613e-53,-2.79311936067563,0.672,0.977,1.07255126331687e-48,"Lyz2",1.07255126331687e-48,"Down"
3.71420092038647e-50,-2.05846908447843,0.73,0.982,6.5265938573031e-46,"Vim",6.5265938573031e-46,"Down"
6.54437446319242e-50,3.01189367858125,0.81,0.235,1.14997748067217e-45,"H19",1.14997748067217e-45,"Up"
1.11636234017913e-49,-2.20370924076923,0.562,0.974,1.96167190416277e-45,"Ctsb",1.96167190416277e-45,"Down"
1.63563921888052e-45,4.08424791151715,0.591,0.099,2.87414523541685e-41,"Cntnap5b",2.87414523541685e-41,"Up"
3.01459594502585e-41,1.65457765548901,0.971,0.88,5.29724799459942e-37,"Tpt1",5.29724799459942e-37,"Up"
2.59292217471439e-39,-1.69147796708299,0.628,0.956,4.55628284540813e-35,"H2-D1",4.55628284540813e-35,"Down"
9.32147746441727e-38,-2.55227778152802,0.285,0.846,1.6379700200474e-33,"Anxa2",1.6379700200474e-33,"Down"
2.92435900437207e-37,-1.70704066674652,0.489,0.957,5.1386836424826e-33,"B2m",5.1386836424826e-33,"Down"
4.61038799636777e-36,-2.26236124955804,0.292,0.852,8.10137378721744e-32,"Fcgr3",8.10137378721744e-32,"Down"
7.20185745143344e-36,-2.39444869641839,0.212,0.826,1.26551039136588e-31,"Zeb2",1.26551039136588e-31,"Down"
4.2938810140512e-35,-2.97495421554227,0.131,0.732,7.54520771789076e-31,"Mpeg1",7.54520771789076e-31,"Down"
2.86482715778044e-34,-2.01889121252696,0.328,0.859,5.03407428165179e-30,"Lilr4b",5.03407428165179e-30,"Down"
3.81859161968787e-34,-2.44807139166227,0.204,0.787,6.71002919411552e-30,"Cd68",6.71002919411552e-30,"Down"
2.8156173188144e-33,-2.0441308778577,0.358,0.842,4.94760275262066e-29,"Capg",4.94760275262066e-29,"Down"
1.8044859988948e-32,1.6373799073019,0.949,0.893,3.17084279725794e-28,"Ftl1-ps1",3.17084279725794e-28,"Up"
2.13266714709686e-32,2.39796612977432,0.796,0.427,3.74752271087861e-28,"Grik3",3.74752271087861e-28,"Up"
4.83042737957142e-32,2.95127927721263,0.635,0.197,8.4880269913829e-28,"Prdx2",8.4880269913829e-28,"Up"
4.15296687216819e-31,-2.32732147993462,0.241,0.777,7.29759338777394e-27,"Msn",7.29759338777394e-27,"Down"
2.20993672242173e-30,-2.8886260957011,0.168,0.706,3.88330080863947e-26,"Msr1",3.88330080863947e-26,"Down"
8.71492471281909e-30,-2.20025007977498,0.263,0.783,1.53138657053657e-25,"Lrp1",1.53138657053657e-25,"Down"
1.18108293179108e-29,-2.89212778441265,0.124,0.677,2.07539892774329e-25,"Myof",2.07539892774329e-25,"Down"
3.68045085378469e-29,-3.00558583419593,0.124,0.668,6.46728824027045e-25,"C3ar1",6.46728824027045e-25,"Down"
2.0841964094912e-28,-1.12608112638249,0.92,0.998,3.66234993075794e-24,"Psap",3.66234993075794e-24,"Down"
4.32919715103665e-28,-2.12706988321709,0.285,0.777,7.6072652338016e-24,"Ahnak",7.6072652338016e-24,"Down"
9.07476773421363e-28,-1.17464947464461,0.65,0.972,1.59461818625602e-23,"Eef1a1",1.59461818625602e-23,"Down"
9.63036293640269e-28,-1.79148955441458,0.38,0.844,1.69224737518468e-23,"Lmna",1.69224737518468e-23,"Down"
9.82407937351516e-28,-1.76135797202792,0.314,0.798,1.72628722751408e-23,"App",1.72628722751408e-23,"Down"
