"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
9.85092391526527e-61,-5.27479411929627,0.022,0.81,1.73100435039041e-56,"H19",1.73100435039041e-56,"Down"
1.11845973269395e-46,3.38573312425949,0.978,0.672,1.96535744228981e-42,"Lyz2",1.96535744228981e-42,"Up"
1.25473025417836e-46,4.11508471931376,0.926,0.234,2.20481200264221e-42,"D130009I18Rik",2.20481200264221e-42,"Up"
1.24475266441671e-45,4.23382681606049,0.934,0.336,2.18727938191304e-41,"Apoe",2.18727938191304e-41,"Up"
3.59075054669703e-45,3.24084940660693,0.937,0.336,6.30966686065602e-41,"Ctss",6.30966686065602e-41,"Up"
1.85048839175417e-44,-2.37020976063148,0.723,0.971,3.25167820199042e-40,"Tpt1",3.25167820199042e-40,"Down"
2.96222111933753e-42,3.63918464336831,0.948,0.343,5.20521495089991e-38,"Jarid2",5.20521495089991e-38,"Up"
1.69492983373709e-37,3.52050343401021,0.808,0.131,2.97833070384281e-33,"Mpeg1",2.97833070384281e-33,"Up"
2.70241324838794e-35,-4.70459442977098,0.052,0.591,4.74868056006729e-31,"Cntnap5b",4.74868056006729e-31,"Down"
5.37098734184921e-35,2.61243351660302,0.908,0.431,9.43789895709743e-31,"Ctsd",9.43789895709743e-31,"Up"
1.40860953712622e-34,-8.25557998629772,0.004,0.482,2.47520867863819e-30,"Peg10",2.47520867863819e-30,"Down"
4.70397910992869e-34,-4.29862758171822,0.096,0.635,8.26583209196669e-30,"Prdx2",8.26583209196669e-30,"Down"
1.53838801470188e-33,3.62321335535627,0.749,0.095,2.70325541943415e-29,"Trem2",2.70325541943415e-29,"Up"
2.19243872964524e-33,4.11785871255589,0.786,0.175,3.85255333573262e-29,"Tmtc2",3.85255333573262e-29,"Up"
2.00818108851276e-32,2.71858581125632,0.834,0.263,3.52877580873462e-28,"Lrp1",3.52877580873462e-28,"Up"
4.05377153927095e-32,2.44027769352792,0.974,0.759,7.12328734880692e-28,"Spp1",7.12328734880692e-28,"Up"
4.71980101227123e-32,1.96938457950676,0.948,0.562,8.293634338763e-28,"Ctsb",8.293634338763e-28,"Up"
1.1118310596621e-31,3.17815447050553,0.753,0.109,1.95370953803824e-27,"Abca1",1.95370953803824e-27,"Up"
5.95554796869133e-31,-3.55858708529686,0.151,0.664,1.04650888905844e-26,"Set",1.04650888905844e-26,"Down"
6.1407098640426e-31,2.58103706124763,0.834,0.292,1.07904553730957e-26,"Fcgr3",1.07904553730957e-26,"Up"
7.81911760618373e-31,2.78553725447904,0.79,0.182,1.3739753457586e-26,"Fcgr2b",1.3739753457586e-26,"Up"
1.03850387199917e-30,3.16318974038695,0.76,0.168,1.82485900387695e-26,"Msr1",1.82485900387695e-26,"Up"
2.90530764511232e-29,-2.6092685492302,0.317,0.796,5.10520659399137e-25,"Grik3",5.10520659399137e-25,"Down"
