"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.24056747246016e-135,6.99046967856667,0.951,0.067,2.17992516260699e-131,"Zfp791",2.17992516260699e-131,"Up"
1.8569820442156e-99,5.47880894840573,0.777,0.059,3.26308884809565e-95,"Pcdh15",3.26308884809565e-95,"Up"
1.32893553966846e-89,4.58619436723134,0.962,0.475,2.33520553030542e-85,"Itga9",2.33520553030542e-85,"Up"
3.06864561947682e-86,3.79464052635112,0.946,0.284,5.39222408254467e-82,"D130009I18Rik",5.39222408254467e-82,"Up"
3.99516256735206e-85,2.57712137209119,1,0.97,7.02029966335104e-81,"Peak1",7.02029966335104e-81,"Up"
5.53272823152451e-82,3.8734257553979,0.957,0.351,9.72211004843487e-78,"Jarid2",9.72211004843487e-78,"Up"
3.74329603997012e-73,4.08037341646402,0.777,0.138,6.57771980143549e-69,"Tmtc2",6.57771980143549e-69,"Up"
5.76880199833767e-72,3.9804930540951,0.69,0.082,1.0136938871479e-67,"Tlcd4",1.0136938871479e-67,"Up"
2.00502377370943e-71,1.96678538333201,1,0.989,3.52322777516221e-67,"Zc3h7a",3.52322777516221e-67,"Up"
1.53067461061567e-60,3.25772134151165,0.755,0.167,2.68970142577386e-56,"Il31ra",2.68970142577386e-56,"Up"
6.02659250528045e-52,3.75353652119303,0.533,0.062,1.05899283502788e-47,"Mphosph8",1.05899283502788e-47,"Up"
4.01562779909784e-50,2.96817463887631,0.723,0.177,7.05626116857472e-46,"Dnah7b",7.05626116857472e-46,"Up"
2.13609798465245e-46,-1.4950635985505,0.788,0.962,3.75355137863129e-42,"Sqstm1",3.75355137863129e-42,"Down"
2.02245718677677e-43,2.97210221959011,0.603,0.131,3.55386176860414e-39,"Arhgap21",3.55386176860414e-39,"Up"
8.83072925269031e-43,-2.38380315465931,0.565,0.9,1.55173574428274e-38,"Hmox1",1.55173574428274e-38,"Down"
1.94537182792702e-38,-1.57992487638473,0.527,0.893,3.41840737603336e-34,"Ftl1-ps1",3.41840737603336e-34,"Down"
