"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.76125263280549e-35,2.52797140659764,0.623,0.04,5.16047021412008e-33,"Nr1d2",5.16047021412008e-33,"Up"
3.09681177550719e-31,1.67982918282788,1,0.889,9.07365850223606e-29,"Atf2",9.07365850223606e-29,"Up"
3.41704331273557e-25,1.64376211246165,1,0.575,1.00119369063152e-22,"Patz1",1.00119369063152e-22,"Up"
6.04652725729591e-24,2.61030924618272,0.962,0.543,1.7716324863877e-21,"Tcf21",1.7716324863877e-21,"Up"
2.68299830934638e-21,2.2679915156013,0.943,0.511,7.86118504638489e-19,"Snd1",7.86118504638489e-19,"Up"
6.55672499850445e-21,2.06302841155014,0.755,0.151,1.9211204245618e-18,"Gmeb1",1.9211204245618e-18,"Up"
1.48309731917911e-20,2.30937464135072,0.604,0.091,4.34547514519479e-18,"Zfp317",4.34547514519479e-18,"Up"
2.44924225957886e-20,2.46383944350128,0.868,0.348,7.17627982056605e-18,"Zkscan6",7.17627982056605e-18,"Up"
2.77105455202312e-20,2.41369013229778,0.887,0.336,8.11918983742775e-18,"Zbtb40",8.11918983742775e-18,"Up"
1.7686551777624e-18,-1.06590581520251,0.943,0.973,5.18215967084383e-16,"Ctcf",5.18215967084383e-16,"Down"
5.74092473235454e-18,2.20469588964107,0.887,0.42,1.68209094657988e-15,"Egr2",1.68209094657988e-15,"Up"
9.55526932009607e-18,2.0001083582003,0.962,0.58,2.79969391078815e-15,"Zbtb16",2.79969391078815e-15,"Up"
4.36531748776303e-17,2.25861814631412,0.925,0.563,1.27903802391457e-14,"Hsf1",1.27903802391457e-14,"Up"
4.66013688878161e-17,2.05756591494092,0.925,0.556,1.36542010841301e-14,"Zbtb18",1.36542010841301e-14,"Up"
4.66504003127895e-17,2.14376970053258,0.925,0.57,1.36685672916473e-14,"Rfx2",1.36685672916473e-14,"Up"
5.38905780643049e-16,2.02461782721478,0.717,0.178,1.57899393728413e-13,"Zfp217",1.57899393728413e-13,"Up"
6.3577466421898e-16,1.77779403081866,0.981,0.731,1.86281976616161e-13,"Pax8",1.86281976616161e-13,"Up"
1.4903543704104e-15,1.9902211518581,0.849,0.356,4.36673830530246e-13,"Plag1",4.36673830530246e-13,"Up"
2.43303517618217e-14,1.81456227419605,0.906,0.479,7.12879306621376e-12,"Zfp654",7.12879306621376e-12,"Up"
1.78075863172722e-13,1.80488573453507,0.925,0.684,5.21762279096076e-11,"Zbtb7b",5.21762279096076e-11,"Up"
4.15980129354724e-13,1.26426234774147,1,0.978,1.21882177900934e-10,"Tcf7l2",1.21882177900934e-10,"Up"
7.48810823658329e-13,1.06679513317713,1,1,2.1940157133189e-10,"Irf9",2.1940157133189e-10,"Up"
9.34187053215504e-13,1.16820043061037,1,0.993,2.73716806592143e-10,"Bhlhe41",2.73716806592143e-10,"Up"
9.68764603238854e-13,1.20097838671592,1,0.941,2.83848028748984e-10,"Zfp507",2.83848028748984e-10,"Up"
1.08910783076287e-12,1.36819784164114,0.981,0.894,3.1910859441352e-10,"Creb3l2",3.1910859441352e-10,"Up"
1.44848070058973e-12,1.05499384675604,0.66,0.151,4.2440484527279e-10,"Ash2l",4.2440484527279e-10,"Up"
4.03398404016971e-12,1.7794926282933,0.943,0.556,1.18195732376972e-09,"Sp2",1.18195732376972e-09,"Up"
6.25050095593652e-12,1.83450512381173,0.868,0.388,1.8313967800894e-09,"Nfatc2",1.8313967800894e-09,"Up"
9.74839601507079e-12,1.8077414630981,0.887,0.79,2.85628003241574e-09,"Zfp639",2.85628003241574e-09,"Up"
1.41305839517161e-11,1.37082208749068,0.943,0.551,4.14026109785282e-09,"Prdm1",4.14026109785282e-09,"Up"
1.71552741923189e-11,1.39909208847348,0.962,0.667,5.02649533834942e-09,"Elf2",5.02649533834942e-09,"Up"
1.92876094972275e-11,1.2667578593859,0.981,0.751,5.65126958268766e-09,"Bcl11a",5.65126958268766e-09,"Up"
2.19399989646447e-11,3.13071913246836,0.34,0.062,6.4284196966409e-09,"Nr1d1",6.4284196966409e-09,"Up"
9.45905815458868e-11,1.19292720746708,1,0.943,2.77150403929448e-08,"Fosl1",2.77150403929448e-08,"Up"
1.12880587255329e-10,1.94401947510573,0.755,0.291,3.30740120658115e-08,"Gata6",3.30740120658115e-08,"Up"
1.30443422903076e-10,1.30641222367456,1,0.896,3.82199229106013e-08,"Tead4",3.82199229106013e-08,"Up"
3.87677421464532e-10,1.33713009759006,0.981,0.906,1.13589484489108e-07,"Zbtb25",1.13589484489108e-07,"Up"
5.22234759914922e-10,1.02274488746813,1,1,1.53014784655072e-07,"Zfp407",1.53014784655072e-07,"Up"
7.05635206993217e-10,1.04371180710589,1,0.998,2.06751115649012e-07,"Cebpd",2.06751115649012e-07,"Up"
1.34564001976807e-09,1.35634162841513,0.962,0.909,3.94272525792044e-07,"Thra",3.94272525792044e-07,"Up"
1.56793778506667e-09,2.04456896219233,0.453,0.109,4.59405771024533e-07,"Srebf1",4.59405771024533e-07,"Up"
1.72959131442071e-09,1.46106677167281,0.981,0.716,5.06770255125267e-07,"Max",5.06770255125267e-07,"Up"
2.29727786696863e-09,1.63275669706526,0.415,0.094,6.73102415021809e-07,"Rfx1",6.73102415021809e-07,"Up"
2.48167052628888e-09,1.89602414109283,0.528,0.156,7.27129464202641e-07,"Crebzf",7.27129464202641e-07,"Up"
6.52048124089339e-09,1.13989157822069,1,1,1.91050100358176e-06,"Nfib",1.91050100358176e-06,"Up"
4.04552693924721e-08,1.10584294573237,1,0.998,1.18533939319943e-05,"Nfyb",1.18533939319943e-05,"Up"
1.85943396130238e-07,1.80266138609616,0.623,0.235,5.44814150661597e-05,"Smad1",5.44814150661597e-05,"Up"
7.12793861674895e-07,1.38044008117263,0.925,0.681,0.000208848601470744,"Hoxa10",0.000208848601470744,"Up"
8.0829979256915e-07,1.26937222001576,0.981,0.775,0.000236831839222761,"Smad4",0.000236831839222761,"Up"
1.37661013675712e-06,1.364654790644,0.962,0.689,0.000403346770069836,"Ebf2",0.000403346770069836,"Up"
1.69762213839734e-06,1.05707119825369,1,0.97,0.00049740328655042,"Nr3c1",0.00049740328655042,"Up"
2.04541443865045e-06,1.18094155501887,1,0.985,0.000599306430524582,"Nfatc1",0.000599306430524582,"Up"
