"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
2.10428703326257e-62,6.03360197888902,0.868,0.042,1.61722875654361e-57,"Ftl1-206",1.61722875654361e-57,"Up"
1.15073184863832e-59,5.79055232067935,0.887,0.057,8.84383454952494e-55,"Ftl1-203",8.84383454952494e-55,"Up"
4.15523339930137e-55,4.6533953485969,0.868,0.057,3.19346307669908e-50,"Ftl1-202",3.19346307669908e-50,"Up"
3.22806682778871e-45,7.11827955233725,0.528,0.007,2.48089847982873e-40,"Actb-207",2.48089847982873e-40,"Up"
9.90213187038311e-35,6.68394568236529,0.415,0.007,7.61018442766423e-30,"Apob-201",7.61018442766423e-30,"Up"
1.25229895847309e-33,5.20475552578834,0.453,0.015,9.62441841544906e-29,"Apob-202",9.62441841544906e-29,"Up"
8.76226308595345e-33,4.87069431943135,0.585,0.047,6.73414967207866e-28,"Pf4-202",6.73414967207866e-28,"Up"
5.12069294135575e-32,3.80374951400805,0.792,0.123,3.93545735314955e-27,"Afp-201",3.93545735314955e-27,"Up"
1.97507162067565e-31,4.03636579388443,0.547,0.04,1.51792154335407e-26,"Apoa1-201",1.51792154335407e-26,"Up"
7.21031295309853e-31,5.58064704297862,0.434,0.017,5.54141391697435e-26,"Capns1-208",5.54141391697435e-26,"Up"
7.21031295309853e-31,5.58064704297862,0.434,0.017,5.54141391697435e-26,"Capns1-202",5.54141391697435e-26,"Up"
1.65066009146094e-28,4.12816493359277,0.849,0.185,1.26859830669139e-23,"Ctla2a-202",1.26859830669139e-23,"Up"
1.84932624980633e-27,4.98713531010964,0.434,0.025,1.42128119602616e-22,"Ctsj-201",1.42128119602616e-22,"Up"
2.31145601158119e-25,3.58198756718065,0.509,0.049,1.77644640314061e-20,"Ctsj-202",1.77644640314061e-20,"Up"
3.97967071268052e-25,4.24046463332183,0.528,0.057,3.05853612952349e-20,"H3f3a-201",3.05853612952349e-20,"Up"
7.81060628699194e-24,3.17823274484544,0.849,0.217,6.00276335580478e-19,"Ctla2a-204",6.00276335580478e-19,"Up"
4.30498435979039e-23,3.96792864885638,0.396,0.027,3.30855267987331e-18,"Gapdh-ps15-201",3.30855267987331e-18,"Up"
