"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
2.6857087111226e-12,4.71293656028167,0.905,0.165,2.06407457284617e-07,"Ftl1-203",2.06407457284617e-07,"Up"
5.13550112624856e-10,5.84460569657627,0.476,0.012,3.94683803556707e-05,"Ctsj-202",3.94683803556707e-05,"Up"
5.13550112624856e-10,5.84460569657627,0.476,0.012,3.94683803556707e-05,"Ctsj-201",3.94683803556707e-05,"Up"
5.42540368430849e-10,4.68585548996116,0.81,0.176,4.16963974753845e-05,"Ftl1-202",4.16963974753845e-05,"Up"
3.88261812467735e-09,3.5092013922635,0.714,0.129,0.000298394733353953,"Itm2b-202",0.000298394733353953,"Up"
1.04612506445857e-08,-2.26940567710712,0.429,0.965,0.000803988957038986,"F5-201",0.000803988957038986,"Down"
1.73127996148919e-08,-2.14586670479613,0.619,1,0.0013305579016029,"Bin2-207",0.0013305579016029,"Down"
3.32131883484842e-08,4.26746667024893,0.619,0.094,0.00255256637733441,"Ftl1-206",0.00255256637733441,"Up"
4.13630190160508e-08,-2.71419408948265,0.524,0.941,0.00317891346345957,"Rab27b-201",0.00317891346345957,"Down"
5.12538659035691e-08,-2.37501549963839,0.381,0.941,0.0039390646101529,"Tuba4a-202",0.0039390646101529,"Down"
