"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
4.92660950325391e-71,6.83472445118954,0.906,0.037,8.65703821911778e-67,"Il31ra",8.65703821911778e-67,"Up"
7.1388718661252e-67,7.38974019476501,1,0.084,1.25444256431552e-62,"Zfp791",1.25444256431552e-62,"Up"
5.96738452939339e-58,6.25578573809615,0.717,0.02,1.04858880950501e-53,"Sspn",1.04858880950501e-53,"Up"
4.24657214882179e-55,5.92178481090821,0.755,0.035,7.46207657990965e-51,"Mphosph8",7.46207657990965e-51,"Up"
1.68884521025257e-54,4.80534290268611,0.906,0.084,2.96763880345582e-50,"Tlcd4",2.96763880345582e-50,"Up"
9.8097894691255e-46,7.67082323737499,0.509,0.005,1.72377620551473e-41,"Afp",1.72377620551473e-41,"Up"
2.22642652025946e-45,5.72018931469597,0.943,0.158,3.91227668139992e-41,"Tmtc2",3.91227668139992e-41,"Up"
6.00424000277387e-43,5.31617640996143,0.981,0.22,1.05506505328742e-38,"D130009I18Rik",1.05506505328742e-38,"Up"
2.73869982028569e-40,4.45025585744687,0.887,0.153,4.81244332420601e-36,"Dnah7b",4.81244332420601e-36,"Up"
3.70062004682438e-38,4.93385764320879,0.547,0.025,6.5027295462798e-34,"Gnb1l",6.5027295462798e-34,"Up"
9.82022561408464e-34,4.7770181555566,1,0.523,1.72561004490695e-29,"Jarid2",1.72561004490695e-29,"Up"
2.83977491009719e-33,6.16651839999906,0.415,0.01,4.99005247202279e-29,"Col6a6",4.99005247202279e-29,"Up"
8.58176010164193e-32,3.77738305391666,1,0.56,1.50798688506052e-27,"Itga9",1.50798688506052e-27,"Up"
2.94147089169012e-28,2.86632448552332,0.981,0.407,5.16875265087788e-24,"Camk1d",5.16875265087788e-24,"Up"
5.81573053508896e-26,3.58593433978848,0.642,0.096,1.02194016962583e-21,"Arhgap21",1.02194016962583e-21,"Up"
1.54163081830122e-22,-4.14454029021223,0.509,0.921,2.70895367391891e-18,"Pf4",2.70895367391891e-18,"Down"
5.21991118916016e-20,1.89668009433925,1,0.733,9.17242794159224e-16,"Peak1",9.17242794159224e-16,"Up"
5.04278137826378e-18,-3.61902488651845,0.226,0.812,8.86117543788512e-14,"Ptma",8.86117543788512e-14,"Down"
5.87199469188124e-18,-1.70779847745351,0.792,0.968,1.03182690725737e-13,"Tpt1",1.03182690725737e-13,"Down"
1.43078431212524e-16,-3.4251597704138,0.17,0.76,2.51417419326647e-12,"Ppia",2.51417419326647e-12,"Down"
1.64629450752457e-16,-5.44118178813814,0.019,0.679,2.89286870862217e-12,"Smdt1",2.89286870862217e-12,"Down"
1.41451017971651e-14,-1.76452548863837,0.585,0.933,2.48557728779785e-10,"Gapdh",2.48557728779785e-10,"Down"
1.77203889447449e-14,1.43763996759986,1,0.728,3.11382674537058e-10,"Zc3h7a",3.11382674537058e-10,"Up"
2.10184213592012e-14,-3.40599235967584,0.038,0.659,3.69335700123884e-10,"Ftl1-ps1",3.69335700123884e-10,"Down"
3.10521380376272e-14,-6.39257184391352,0,0.605,5.45648169597186e-10,"Hnrnpab",5.45648169597186e-10,"Down"
7.94908541665962e-14,-4.71898732979319,0.057,0.632,1.39681328941543e-09,"Set",1.39681328941543e-09,"Down"
3.42608337491088e-13,-3.88120537398408,0.075,0.63,6.02031370639339e-09,"Cfap77",6.02031370639339e-09,"Down"
3.78793281242922e-13,-4.23356050262295,0.057,0.615,6.65615553800063e-09,"Pdia3",6.65615553800063e-09,"Down"
