"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.687533751913e-08,-3.58353054522802,0.057,0.667,0.000296533430886152,"Atp5a1",0.000296533430886152,"Down"
3.63777712308503e-08,-3.38622910485441,0.094,0.714,0.000639230196068501,"Naca",0.000639230196068501,"Down"
6.0284787576163e-08,-3.47310655553437,0.075,0.667,0.00105932428728834,"Dis3l2",0.00105932428728834,"Down"
7.48396638969103e-08,-3.29496104728709,0.113,0.714,0.00131508257399651,"Rack1",0.00131508257399651,"Down"
1.21334573800585e-07,-2.7279204545632,0.208,0.81,0.00213209113082388,"6030443J06Rik",0.00213209113082388,"Down"
1.24980293981664e-07,-3.83810337231362,0.038,0.571,0.0021961537258458,"Clhc1",0.0021961537258458,"Down"
4.33931364806668e-07,-3.21007214970058,0.226,0.762,0.00762504194238278,"Ptma",0.00762504194238278,"Down"
4.75467446970464e-07,-4.79503465042174,0,0.429,0.008354913978165,"Phb2",0.008354913978165,"Down"
4.7916060312925e-07,-1.94703774386679,0.453,0.952,0.00841981011818718,"Eef1a1",0.00841981011818718,"Down"
4.80391749149785e-07,-3.36802450947682,0.17,0.714,0.00844144381606003,"Btrc",0.00844144381606003,"Down"
4.93036382747612e-07,-5.42306587303478,0,0.429,0.00866363531764104,"Tmem14c",0.00866363531764104,"Down"
