"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
2.43270505217001e-19,7.68949885533044,0.905,0.035,4.27474931767313e-15,"Zfp791",4.27474931767313e-15,"Up"
7.03320022395476e-17,6.28386005405384,0.905,0.071,1.23587394335333e-12,"Tmtc2",1.23587394335333e-12,"Up"
8.94624588172679e-17,4.90459878410053,0.952,0.106,1.57203432633703e-12,"Il31ra",1.57203432633703e-12,"Up"
2.9516557887053e-14,4.82442843541655,0.762,0.047,5.18664955191295e-10,"Tlcd4",5.18664955191295e-10,"Up"
1.04108667901404e-12,4.55140994101013,0.905,0.188,1.82939751236348e-08,"D130009I18Rik",1.82939751236348e-08,"Up"
1.15901212791422e-12,5.57694503311727,0.905,0.259,2.03661611117086e-08,"Itga9",2.03661611117086e-08,"Up"
5.69076933828334e-12,4.76430744297897,0.714,0.071,9.99981988123149e-08,"Dnah7b",9.99981988123149e-08,"Up"
4.96287497256209e-11,3.23645404416328,1,0.906,8.7207639017861e-07,"Zc3h7a",8.7207639017861e-07,"Up"
9.99324952294569e-11,3.62299563271574,0.952,0.859,1.75601380617202e-06,"Peak1",1.75601380617202e-06,"Up"
2.84387166280486e-10,-2.60416437375376,0.524,0.965,4.9972512858807e-06,"Mmrn1",4.9972512858807e-06,"Down"
3.4282272928393e-10,5.07596720241251,0.524,0.024,6.02408099897722e-06,"Mphosph8",6.02408099897722e-06,"Up"
6.3447092628651e-09,3.51957385388812,0.571,0.059,0.000111489231167066,"Clhc1",0.000111489231167066,"Up"
7.86563010540712e-09,4.3390016082463,0.524,0.047,0.000138214852212214,"Gnb1l",0.000138214852212214,"Up"
8.84201020097844e-09,-2.22133122596614,0.429,0.953,0.000155371803251593,"F5",0.000155371803251593,"Down"
2.21652004577332e-08,-1.40919124134316,0.857,1,0.000389486902443287,"Plek",0.000389486902443287,"Down"
3.31695523663921e-08,-2.11946531958882,0.429,0.953,0.000582855374182242,"Pde5a",0.000582855374182242,"Down"
5.18472280568624e-08,5.18699851480125,0.381,0.012,0.000911059491415186,"Sparc",0.000911059491415186,"Up"
5.18697863662466e-08,3.32085426153604,0.762,0.247,0.000911455886027685,"Camk1d",0.000911455886027685,"Up"
5.37333595618764e-08,-1.94555963417657,0.476,0.953,0.000944202594221293,"Rab27b",0.000944202594221293,"Down"
5.37384749915082e-08,3.28490890545656,0.952,0.812,0.000944292482550781,"Jarid2",0.000944292482550781,"Up"
5.68995648559819e-08,5.18699851480125,0.381,0.012,0.000999839153649314,"Sspn",0.000999839153649314,"Up"
7.08986478437377e-08,-1.44235810527836,0.857,0.976,0.00124583103991016,"Rsu1",0.00124583103991016,"Down"
8.33873754044698e-08,-1.70539251111215,0.667,0.965,0.00146528296060734,"Rgs10",0.00146528296060734,"Down"
8.4910494680163e-08,-2.44235810527836,0.381,0.929,0.00149204721251982,"Syne1",0.00149204721251982,"Down"
8.63179062723345e-08,-2.80492818466306,0.524,0.929,0.00151677824901746,"Ppbp",0.00151677824901746,"Down"
9.1788680770211e-08,-1.57515698782625,0.667,0.988,0.00161291069849415,"Ywhaz",0.00161291069849415,"Down"
1.17931969787866e-07,-1.98292648664106,0.476,0.929,0.00207230057311239,"Lmna",0.00207230057311239,"Down"
1.29690600593674e-07,-1.759649790045,0.524,0.929,0.00227892323363203,"Gp1ba",0.00227892323363203,"Down"
1.39100406455786e-07,-1.24665970335841,0.952,1,0.00244427234224107,"Tln1",0.00244427234224107,"Down"
1.44932167815099e-07,-1.80947497393197,0.476,0.953,0.00254674805284692,"Fyb",0.00254674805284692,"Down"
1.65436503040316e-07,-1.35216029630678,0.857,0.988,0.00290705023142443,"Tpm4",0.00290705023142443,"Down"
2.14522166174974e-07,-2.42436167598451,0.286,0.882,0.00376958350402664,"Arhgap18",0.00376958350402664,"Down"
2.42671763410084e-07,-1.14987992155208,0.952,1,0.004264228226642,"Itga2b",0.004264228226642,"Down"
2.70925643287958e-07,-1.83020759311142,0.571,0.988,0.004760705403856,"Vcl",0.004760705403856,"Down"
2.95159264722419e-07,-1.57278778677505,0.714,1,0.00518653859970234,"Bin2",0.00518653859970234,"Down"
3.14373940211508e-07,-1.36177641334127,0.762,0.988,0.00552417887739661,"Flna",0.00552417887739661,"Down"
5.26710770569179e-07,-1.28409602136162,0.762,0.988,0.00925536166044161,"Fermt3",0.00925536166044161,"Down"
