"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
6.88599347239705e-13,2.66632616861374,0.852,0.214,2.01759608741234e-10,"Zfp654",2.01759608741234e-10,"Up"
1.12716378943882e-11,3.04316873143745,0.852,0.279,3.30258990305574e-09,"Hsf1",3.30258990305574e-09,"Up"
1.53417848506199e-11,2.64868178415021,0.852,0.339,4.49514296123162e-09,"Snd1",4.49514296123162e-09,"Up"
4.54436515337354e-11,2.68546901459503,0.889,0.312,1.33149898993845e-08,"Zbtb16",1.33149898993845e-08,"Up"
6.80044273473638e-10,2.05318526592085,0.556,0.107,1.99252972127776e-07,"Gmeb1",1.99252972127776e-07,"Up"
1.01039221160335e-09,1.8730000329461,0.704,0.169,2.96044917999781e-07,"Plag1",2.96044917999781e-07,"Up"
1.87956802538974e-09,1.95646524901583,0.852,0.269,5.50713431439194e-07,"Prdm1",5.50713431439194e-07,"Up"
2.83659384316431e-09,3.42013428888907,0.926,0.363,8.31121996047143e-07,"Nfia",8.31121996047143e-07,"Up"
3.44461419949646e-09,1.81119496004259,1,0.907,1.00927196045246e-06,"Zfp507",1.00927196045246e-06,"Up"
4.58979418209731e-09,2.77063674332638,0.926,0.412,1.34480969535451e-06,"Sp2",1.34480969535451e-06,"Up"
6.24231215800847e-09,1.42926661632946,1,0.666,1.82899746229648e-06,"Patz1",1.82899746229648e-06,"Up"
1.79247190040119e-07,2.60667681524369,0.926,0.425,5.25194266817549e-05,"Rfx2",5.25194266817549e-05,"Up"
2.28436656760359e-07,1.84445208667134,0.815,0.278,6.69319404307852e-05,"Egr2",6.69319404307852e-05,"Up"
1.066279515919e-06,3.18723296707549,0.778,0.376,0.000312419898164268,"Tcf21",0.000312419898164268,"Up"
9.63047454410919e-06,2.58476353635566,0.815,0.377,0.00282172904142399,"Ebf2",0.00282172904142399,"Up"
9.94006313715343e-06,1.12215627150084,1,1,0.00291243849918595,"Nfe2l1",0.00291243849918595,"Up"
1.0023171882661e-05,2.12554241937913,0.667,0.234,0.00293678936161969,"Zbtb40",0.00293678936161969,"Up"
1.90224115747907e-05,2.68926348929831,0.704,0.247,0.00557356659141368,"Prrx1",0.00557356659141368,"Up"
2.94547584147553e-05,1.95048371707556,0.963,0.677,0.00863024421552329,"Pax8",0.00863024421552329,"Up"
