"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
6.09790442788153e-57,6.35102100640769,1,0.071,1.07152376606734e-52,"Zfp791",1.07152376606734e-52,"Up"
8.70972006426524e-23,3.63112892560042,0.704,0.096,1.53047200969269e-18,"Mphosph8",1.53047200969269e-18,"Up"
1.88702031119168e-19,4.35102100640769,0.37,0.024,3.31587209082602e-15,"Gnb1l",3.31587209082602e-15,"Up"
2.28162205055868e-19,3.44413041079917,1,0.603,4.00926626724171e-15,"Itga9",4.00926626724171e-15,"Up"
1.93417621518917e-11,2.21435845909713,0.889,0.466,3.39873444533041e-07,"Il31ra",3.39873444533041e-07,"Up"
3.25415023010378e-11,1.14186381111014,1,0.987,5.71819278433837e-07,"Peak1",5.71819278433837e-07,"Up"
4.0807617566436e-08,2.18109600496538,0.63,0.211,0.000717071455877413,"Tlcd4",0.000717071455877413,"Up"
6.83046304148564e-08,-1.59906310630415,0.704,0.958,0.00120024896564986,"Actb",0.00120024896564986,"Down"
2.00855267839487e-07,-3.6060810351546,0.037,0.581,0.00352942876647546,"Ppia",0.00352942876647546,"Down"
2.02224103941828e-07,-3.52242310610769,0.037,0.579,0.00355348195446581,"Rhoa",0.00355348195446581,"Down"
2.1415747053271e-07,1.39843036679411,0.963,0.762,0.00376317507220078,"Jarid2",0.00376317507220078,"Up"
