"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.66080787978881e-172,-1.07443690379695,1,1,4.86616708778121e-170,"Sox6",4.86616708778121e-170,"Down"
1.10489445833197e-164,1.2793262001282,0.999,0.958,3.23734076291266e-162,"Tbp",3.23734076291266e-162,"Up"
1.02267564321486e-140,-1.41292820608865,0.938,0.994,2.99643963461953e-138,"Nfia",2.99643963461953e-138,"Down"
5.40618402615924e-108,-1.20246131988918,0.874,0.99,1.58401191966466e-105,"Gli3",1.58401191966466e-105,"Down"
2.77414992106552e-94,-1.15329725365295,0.817,0.971,8.12825926872197e-92,"Sox4",8.12825926872197e-92,"Down"
1.82887950212977e-71,1.24725390590429,0.901,0.661,5.35861694124023e-69,"Zfp507",5.35861694124023e-69,"Up"
3.55651757762105e-58,1.38413883320769,0.797,0.481,1.04205965024297e-55,"Zfp64",1.04205965024297e-55,"Up"
2.24609316542078e-53,-1.03836305751245,0.734,0.915,6.58105297468289e-51,"Gata6",6.58105297468289e-51,"Down"
1.52311671883774e-46,1.34621361400212,0.677,0.358,4.46273198619459e-44,"Cebpg",4.46273198619459e-44,"Up"
4.43504347953663e-45,-1.53585192047586,0.201,0.558,1.29946773950423e-42,"Mbd1",1.29946773950423e-42,"Down"
1.29972822004247e-44,1.1316638340907,0.501,0.151,3.80820368472443e-42,"Hsf1",3.80820368472443e-42,"Up"
1.09534133001327e-43,1.00777450871379,0.54,0.183,3.20935009693889e-41,"Rfx2",3.20935009693889e-41,"Up"
4.58388099469641e-41,1.521412150227,0.47,0.164,1.34307713144605e-38,"Snd1",1.34307713144605e-38,"Up"
2.98845837569733e-36,1.08526002135242,0.61,0.274,8.75618304079319e-34,"Elf2",8.75618304079319e-34,"Up"
4.22179778546349e-18,1.29943601192267,0.407,0.225,1.2369867511408e-15,"Zscan21",1.2369867511408e-15,"Up"
1.10935282452006e-12,1.07517601345408,0.473,0.362,3.25040377584377e-10,"E2f6",3.25040377584377e-10,"Up"
