"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.21257886025564e-113,-1.60236082800711,0.761,0.999,3.55285606054902e-111,"Tbp",3.55285606054902e-111,"Down"
8.04547682635921e-93,-1.16023065068989,0.928,1,2.35732471012325e-90,"Hcfc1",2.35732471012325e-90,"Down"
3.17489734726405e-86,2.16790988980984,0.987,0.84,9.30244922748366e-84,"Tcf21",9.30244922748366e-84,"Up"
8.16587846513701e-79,1.35417775648394,1,1,2.39260239028514e-76,"Nfib",2.39260239028514e-76,"Up"
9.60449442678842e-74,1.18220548359514,1,1,2.81411686704901e-71,"Zbtb20",2.81411686704901e-71,"Up"
7.88096388198016e-72,1.66029121683106,1,1,2.30912241742019e-69,"Glis1",2.30912241742019e-69,"Up"
7.9171201558367e-71,-1.13166829617134,0.807,0.972,2.31971620566015e-68,"Zfp42",2.31971620566015e-68,"Down"
1.22218048198319e-69,1.00450785512124,1,1,3.58098881221074e-67,"Fosb",3.58098881221074e-67,"Up"
1.01292302182657e-67,1.05988008601841,1,1,2.96786445395184e-65,"Wt1",2.96786445395184e-65,"Up"
1.3314980143753e-65,-1.09054018565029,0.732,0.963,3.90128918211962e-63,"Cxxc1",3.90128918211962e-63,"Down"
7.05809645893374e-65,2.93031791855438,0.676,0.201,2.06802226246759e-62,"Mbd1",2.06802226246759e-62,"Up"
1.07900976089017e-62,1.00302183693771,1,1,3.1614985994082e-60,"Cebpd",3.1614985994082e-60,"Up"
1.34226425016926e-62,1.16435820515951,1,1,3.93283425299593e-60,"Klf4",3.93283425299593e-60,"Up"
7.26662145032062e-55,1.13440402013767,0.997,0.997,2.12912008494394e-52,"Pbx1",2.12912008494394e-52,"Up"
1.67100376778533e-54,1.65903110994076,1,1,4.89604103961102e-52,"Nfatc1",4.89604103961102e-52,"Up"
3.00154532704545e-54,1.31872106020014,1,1,8.79452780824317e-52,"Nfkb1",8.79452780824317e-52,"Up"
1.24595251034093e-51,2.19198052355069,0.993,0.938,3.65064085529892e-49,"Nfia",3.65064085529892e-49,"Up"
1.97360442487016e-50,1.74794157380547,0.905,0.577,5.78266096486956e-48,"Nfatc2",5.78266096486956e-48,"Up"
4.18144198706434e-50,1.28500505812851,0.997,0.997,1.22516250220985e-47,"Zeb1",1.22516250220985e-47,"Up"
5.17975430665033e-49,-1.65842371151142,0.402,0.784,1.51766801184855e-46,"Aebp2",1.51766801184855e-46,"Down"
5.27426908193491e-49,-1.08223857778064,0.794,0.95,1.54536084100693e-46,"Ctcf",1.54536084100693e-46,"Down"
3.4717682458192e-46,1.00293614311275,1,1,1.01722809602503e-43,"Zfp423",1.01722809602503e-43,"Up"
1.4165817819516e-45,2.485866533552,0.621,0.233,4.1505846211182e-43,"Gtf2ird1",4.1505846211182e-43,"Up"
1.89317177508196e-45,1.32956513849774,0.895,0.612,5.54699330099015e-43,"Hoxa10",5.54699330099015e-43,"Up"
9.41336985273346e-45,1.48997526294518,0.778,0.459,2.7581173668509e-42,"Patz1",2.7581173668509e-42,"Up"
1.63860180602003e-44,-1.18042924318381,0.477,0.895,4.80110329163869e-42,"Arid3a",4.80110329163869e-42,"Down"
1.2124705694902e-41,1.28465892293675,1,1,3.55253876860628e-39,"Plagl1",3.55253876860628e-39,"Up"
1.71790067327151e-40,-1.1291108332016,0.415,0.806,5.03344897268552e-38,"Zkscan3",5.03344897268552e-38,"Down"
1.54867934751632e-37,1.47873611179467,1,1,4.5376304882228e-35,"Sox6",4.5376304882228e-35,"Up"
1.61148652550018e-34,1.19433531187513,0.99,0.995,4.72165551971554e-32,"Rbfox2",4.72165551971554e-32,"Up"
3.7505760631393e-33,1.68967627290653,0.716,0.418,1.09891878649981e-30,"Ltf",1.09891878649981e-30,"Up"
3.50858158696008e-29,-1.10354771826875,0.34,0.677,1.0280144049793e-26,"Cebpg",1.0280144049793e-26,"Down"
5.21116921350385e-27,-1.14442603647105,0.225,0.586,1.52687257955663e-24,"Foxn2",1.52687257955663e-24,"Down"
3.79425632533358e-23,-1.19630154547481,0.141,0.473,1.11171710332274e-20,"E2f6",1.11171710332274e-20,"Down"
1.80009172535869e-16,1.0284004532651,0.817,0.874,5.27426875530096e-14,"Gli3",5.27426875530096e-14,"Up"
6.17122404683324e-14,-1.05109245757273,0.101,0.338,1.80816864572214e-11,"Rfxank",1.80816864572214e-11,"Down"
1.32094718675148e-11,1.23226901479906,0.418,0.21,3.87037525718182e-09,"Zfp46",3.87037525718182e-09,"Up"
1.01716667850515e-10,1.11463048913166,0.598,0.47,2.98029836802008e-08,"Snd1",2.98029836802008e-08,"Up"
1.08990204897576e-10,1.10122682224823,0.431,0.258,3.19341300349897e-08,"Nr1h3",3.19341300349897e-08,"Up"
