"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
3.77131407788374e-182,-1.82953928533066,0.783,0.996,2.89840572141677e-177,"Igf2-205",2.89840572141677e-177,"Down"
1.77126194141502e-144,-1.41322658972846,0.811,0.984,1.3612856524551e-139,"Eef1a1-201",1.3612856524551e-139,"Down"
3.12102820756007e-130,-2.09305119770978,0.534,0.937,2.39863501863822e-125,"Plagl1-202",2.39863501863822e-125,"Down"
7.29313197311859e-120,-1.66164448830989,0.684,0.969,5.60506364662056e-115,"Vim-201",5.60506364662056e-115,"Down"
7.8370969255903e-118,2.09014773910021,0.95,0.917,6.02312247119317e-113,"Tpt1-201",6.02312247119317e-113,"Up"
7.50392425906672e-115,-2.09487533692609,0.25,0.85,5.76706595006313e-110,"Itm2a-201",5.76706595006313e-110,"Down"
1.03784625980988e-110,-1.87289047693431,0.398,0.879,7.97626364514282e-106,"Ddx5-201",7.97626364514282e-106,"Down"
1.69957924367651e-99,-1.77779353856595,0.262,0.838,1.30619463193514e-94,"Anxa2-201",1.30619463193514e-94,"Down"
1.3448432293798e-98,-1.94976736324017,0.365,0.858,1.03356581550755e-93,"Hdlbp-202",1.03356581550755e-93,"Down"
7.40307463364868e-96,2.18880691290289,0.832,0.78,5.68955897894435e-91,"Set-201",5.68955897894435e-91,"Up"
2.00423910022621e-95,-1.93511503538922,0.227,0.782,1.54033791808785e-90,"Nisch-201",1.54033791808785e-90,"Down"
1.17888426462429e-94,-1.67519290605271,0.352,0.874,9.06019712734351e-90,"Maged1-201",9.06019712734351e-90,"Down"
4.1349160599822e-94,1.84641811451127,0.856,0.753,3.17784838873872e-89,"Hnrnpab-203",3.17784838873872e-89,"Up"
6.48918878567282e-94,-1.56767837159763,0.271,0.847,4.98720114934099e-89,"Sptbn1-201",4.98720114934099e-89,"Down"
6.51658983406378e-94,-1.81829562393144,0.263,0.815,5.00825995107138e-89,"Myh10-203",5.00825995107138e-89,"Down"
3.6368037646413e-91,-1.90211828733312,0.243,0.78,2.79502916527742e-86,"Myh10-202",2.79502916527742e-86,"Down"
1.64492901383203e-90,1.82904589072049,0.85,0.757,1.26419374429047e-85,"Hnrnpab-202",1.26419374429047e-85,"Up"
2.00370132319732e-89,1.75620126488521,0.863,0.769,1.53992461493007e-84,"Hnrnpab-201",1.53992461493007e-84,"Up"
8.93406497550737e-89,-2.23982625822484,0.09,0.599,6.86618629627643e-84,"Zim1-201",6.86618629627643e-84,"Down"
3.02162231392598e-88,-1.64707189027236,0.253,0.804,2.32223761314467e-83,"Sptbn1-202",2.32223761314467e-83,"Down"
4.3533445831219e-88,-2.3867195669942,0.076,0.568,3.3457194459125e-83,"Ttc3-235",3.3457194459125e-83,"Down"
5.45747446625184e-87,-1.83409974294556,0.874,0.974,4.19428742629319e-82,"Fn1-201",4.19428742629319e-82,"Down"
2.57099517998104e-86,-2.2204264103742,0.075,0.56,1.97591263562263e-81,"Ttc3-234",1.97591263562263e-81,"Down"
7.1806982559032e-86,-1.76177455848016,0.128,0.653,5.51865383759184e-81,"Cdh11-201",5.51865383759184e-81,"Down"
1.22219708030206e-85,-1.82923875764223,0.127,0.638,9.39307344095344e-81,"Usp9x-201",9.39307344095344e-81,"Down"
2.91054773801109e-85,-1.86228133720283,0.188,0.728,2.23687235857104e-80,"Sptan1-201",2.23687235857104e-80,"Down"
4.12775011178588e-85,-2.02949020728842,0.074,0.563,3.17234107091192e-80,"Nipbl-201",3.17234107091192e-80,"Down"
7.68313370188207e-85,-1.89864324516059,0.135,0.643,5.90479557524445e-80,"Septin2-201",5.90479557524445e-80,"Down"
1.41435664506135e-84,-1.84599983585718,0.222,0.746,1.08698965599545e-79,"Ptn-201",1.08698965599545e-79,"Down"
4.14924624775573e-84,-1.52917215415137,0.125,0.652,3.18886171125019e-79,"Bzw1-201",3.18886171125019e-79,"Down"
1.01705600199063e-82,-2.00398047206084,0.075,0.547,7.81648219769878e-78,"Ttc3-201",7.81648219769878e-78,"Down"
3.06693607555304e-82,-2.00802811336267,0.152,0.649,2.35706305150554e-77,"Adamts9-201",2.35706305150554e-77,"Down"
3.82537112793683e-82,-1.70243748906788,0.111,0.607,2.93995072666457e-77,"Ranbp2-201",2.93995072666457e-77,"Down"
5.2444959762753e-82,-2.12818372718298,0.097,0.58,4.03060493760662e-77,"Lamp2-202",4.03060493760662e-77,"Down"
1.29630047733845e-81,-1.83135881618756,0.188,0.715,9.96258768853695e-77,"Sptan1-202",9.96258768853695e-77,"Down"
2.63087011692557e-81,-2.21333488894812,0.056,0.504,2.02192891966198e-76,"Atrx-202",2.02192891966198e-76,"Down"
1.86900501892125e-80,-2.41814676763917,0.076,0.531,1.43640511724174e-75,"Tbx20-201",1.43640511724174e-75,"Down"
3.17949739732516e-80,3.96839067111264,0.507,0.081,2.44357092974028e-75,"Sparc-207",2.44357092974028e-75,"Up"
3.97454316506805e-80,-1.33552993039683,0.177,0.728,3.0545954040814e-75,"Kdm6b-201",3.0545954040814e-75,"Down"
6.37184359673599e-80,-1.87263881410224,0.15,0.658,4.89701667783548e-75,"Lpp-201",4.89701667783548e-75,"Down"
6.4658581724528e-80,-1.54340239151267,0.243,0.764,4.96927063985687e-75,"Huwe1-201",4.96927063985687e-75,"Down"
7.42626405064177e-80,3.96520499796421,0.506,0.081,5.70738097348023e-75,"Sparc-209",5.70738097348023e-75,"Up"
1.19971230207371e-79,-1.23915326929242,0.428,0.898,9.22026892635727e-75,"Pabpc1-201",9.22026892635727e-75,"Down"
2.83738857637657e-79,-1.34108234847601,0.219,0.763,2.18064661648845e-74,"Ddx3x-201",2.18064661648845e-74,"Down"
3.5505508162885e-79,-1.43277254900058,0.114,0.623,2.72874032435036e-74,"Bmpr2-201",2.72874032435036e-74,"Down"
5.67535507480949e-79,-1.36277163421795,0.363,0.855,4.36173738919409e-74,"Calr-201",4.36173738919409e-74,"Down"
1.50931214422273e-78,-1.82124094975169,0.095,0.566,1.15996675532094e-73,"Zbed6-201",1.15996675532094e-73,"Down"
8.87740817008018e-78,-1.31382416612716,0.136,0.643,6.82264327503342e-73,"Atp2b4-206",6.82264327503342e-73,"Down"
2.53269925500577e-77,-1.55401311331384,0.677,0.939,1.94648068544213e-72,"Gnas-202",1.94648068544213e-72,"Down"
3.09908709563687e-77,-1.38007699583424,0.132,0.642,2.38177239648076e-72,"Setd2-201",2.38177239648076e-72,"Down"
4.10012428815386e-77,-2.05033056195778,0.044,0.474,3.15110952041776e-72,"Dpysl2-201",3.15110952041776e-72,"Down"
1.63246498338258e-76,-1.81201038032236,0.079,0.537,1.25461463832885e-71,"Smarcc2-201",1.25461463832885e-71,"Down"
2.16658867543888e-76,-1.50386661242005,0.161,0.679,1.66511006062179e-71,"F2r-201",1.66511006062179e-71,"Down"
2.25309541659014e-76,-1.53145963292971,0.109,0.6,1.73159395146619e-71,"Ndn-201",1.73159395146619e-71,"Down"
3.55665474147062e-76,-1.43874035275762,0.194,0.724,2.73343143500983e-71,"Fbn1-202",2.73343143500983e-71,"Down"
4.4805087645837e-76,-1.34568630805982,0.164,0.679,3.44345020593316e-71,"Crebbp-201",3.44345020593316e-71,"Down"
5.66340412308979e-76,-1.26569768264611,0.197,0.744,4.35255260475943e-71,"Marcks-201",4.35255260475943e-71,"Down"
6.05721595171705e-76,-1.91467642175082,0.105,0.567,4.65521274753262e-71,"Pmp22-204",4.65521274753262e-71,"Down"
1.025385280147e-75,-1.33940574492526,0.243,0.779,7.88049603204178e-71,"Sfpq-201",7.88049603204178e-71,"Down"
1.09854195687222e-75,-1.33278179451401,0.318,0.828,8.44273435534577e-71,"Tubb5-201",8.44273435534577e-71,"Down"
1.12956176714423e-75,-1.15231828472508,0.188,0.735,8.68113400521025e-71,"Copb2-201",8.68113400521025e-71,"Down"
2.18199989398841e-75,-1.26894601616052,0.508,0.956,1.67695419852585e-70,"Fstl1-201",1.67695419852585e-70,"Down"
2.33609493225003e-75,-1.30731383879795,0.109,0.595,1.79538239923144e-70,"Copa-206",1.79538239923144e-70,"Down"
2.67182606481123e-75,-1.42122713551347,0.189,0.714,2.05340520385002e-70,"Fbn1-201",2.05340520385002e-70,"Down"
4.07876277087877e-75,-1.47941892752506,0.111,0.589,3.13469233993117e-70,"Phactr2-203",3.13469233993117e-70,"Down"
4.19502010652182e-75,-1.62907629943993,0.154,0.659,3.22404075266628e-70,"Lman1-209",3.22404075266628e-70,"Down"
4.62792423450555e-75,-1.97449846201544,0.107,0.577,3.5567448911869e-70,"Epb41l2-202",3.5567448911869e-70,"Down"
6.01011872690604e-75,-1.58962363040242,0.103,0.574,4.61901664637637e-70,"Stt3a-201",4.61901664637637e-70,"Down"
1.02537030383096e-74,-1.64736058610149,0.108,0.585,7.88038093306245e-70,"ENSMUST00000249998.1",7.88038093306245e-70,"Down"
1.31617178318501e-74,-1.25157667148079,0.489,0.917,1.01153066224901e-69,"Nedd4-201",1.01153066224901e-69,"Down"
1.33117600518435e-74,-1.52208131962217,0.182,0.694,1.02306200702438e-69,"Trip12-206",1.02306200702438e-69,"Down"
1.42612590344156e-74,-1.584723318647,0.163,0.654,1.09603480183098e-69,"Arid5b-204",1.09603480183098e-69,"Down"
1.53660765189965e-74,-1.70150101146531,0.147,0.642,1.18094444479096e-69,"Adamts1-201",1.18094444479096e-69,"Down"
1.94567529527449e-74,-1.86869450695832,0.365,0.751,1.49532929143025e-69,"Lum-201",1.49532929143025e-69,"Down"
2.44146424912629e-74,-1.73642324059731,0.236,0.718,1.87636293402352e-69,"Nrp1-201",1.87636293402352e-69,"Down"
2.73944189296765e-74,-2.33151291379256,0.06,0.488,2.10537067242136e-69,"Ghr-201",2.10537067242136e-69,"Down"
4.5191798918726e-74,-1.22070231679863,0.17,0.68,3.47317051409977e-69,"Pmp22-201",3.47317051409977e-69,"Down"
5.92976786180485e-74,-1.56905207005133,0.451,0.879,4.5572637925115e-69,"Gpc3-201",4.5572637925115e-69,"Down"
6.33929637107911e-74,-2.61557537781633,0.052,0.467,4.87200283302914e-69,"Pbx1-205",4.87200283302914e-69,"Down"
7.60344218053718e-74,-1.46167864041884,0.111,0.58,5.84354945343004e-69,"Tnpo1-201",5.84354945343004e-69,"Down"
1.24438585042117e-73,-1.93622553032642,0.13,0.602,9.56360301482685e-69,"Macf1-203",9.56360301482685e-69,"Down"
2.57044643177828e-73,-1.44735143799562,0.183,0.694,1.97549090067888e-68,"Fbn2-201",1.97549090067888e-68,"Down"
2.5915544521904e-73,-1.49002178432216,0.152,0.644,1.99171325868641e-68,"Calu-201",1.99171325868641e-68,"Down"
2.59671231975573e-73,-1.39532669277816,0.159,0.659,1.99567728622507e-68,"Fermt2-201",1.99567728622507e-68,"Down"
2.71644747762144e-73,-2.00292372990134,0.159,0.631,2.08769854445118e-68,"Ncam1-204",2.08769854445118e-68,"Down"
3.31267235950927e-73,-1.81437922507005,0.099,0.555,2.54592121517725e-68,"Utrn-201",2.54592121517725e-68,"Down"
3.65644084989954e-73,-2.39996623970524,0.182,0.638,2.81012105078179e-68,"Vcan-203",2.81012105078179e-68,"Down"
4.58384463215528e-73,-1.8717630414277,0.061,0.487,3.52286795359662e-68,"Arhgap35-201",3.52286795359662e-68,"Down"
1.06540592561297e-72,-1.34481533399225,0.197,0.714,8.18807070070595e-68,"Canx-205",8.18807070070595e-68,"Down"
1.27777099051813e-72,-1.89330624541844,0.044,0.454,9.82018117052807e-68,"Med13-201",9.82018117052807e-68,"Down"
1.63666918042264e-72,-1.48286694716508,0.155,0.653,1.25784573192201e-67,"Lman1-201",1.25784573192201e-67,"Down"
2.07212984146217e-72,-1.34149574430335,0.191,0.717,1.59251466835733e-67,"Septin7-201",1.59251466835733e-67,"Down"
2.21367627175136e-72,-1.73186936788654,0.078,0.519,1.70129876189179e-67,"Smarcc2-203",1.70129876189179e-67,"Down"
2.75641000794575e-72,-1.49060251109038,0.276,0.785,2.11841134750663e-67,"Septin11-201",2.11841134750663e-67,"Down"
2.90642673421011e-72,1.96042254391483,0.869,0.854,2.23370520230984e-67,"Fth1-201",2.23370520230984e-67,"Up"
4.12975321006858e-72,-1.41366182563433,0.172,0.674,3.1738805320661e-67,"Cdc42-202",3.1738805320661e-67,"Down"
4.44481327748634e-72,-1.33294551109926,0.149,0.638,3.41601679627935e-67,"Ubap2l-202",3.41601679627935e-67,"Down"
1.15651935392068e-71,-1.30377313496746,0.202,0.725,8.888313842622e-67,"Zfhx3-201",8.888313842622e-67,"Down"
1.7547312670363e-71,-2.3416149833159,0.065,0.483,1.34858116796808e-66,"Gdi2-201",1.34858116796808e-66,"Down"
2.75565308058804e-71,-1.86497269260179,0.154,0.618,2.11782961855513e-66,"Rtn4-205",2.11782961855513e-66,"Down"
2.78616570307473e-71,-1.30086174706056,0.15,0.64,2.14127978944105e-66,"Ubap2l-208",2.14127978944105e-66,"Down"
5.65432330170352e-71,-1.8063434853138,0.071,0.499,4.34557363029122e-66,"Smarcc2-202",4.34557363029122e-66,"Down"
6.404468595227e-71,-1.25557308644608,0.123,0.594,4.92209029417576e-66,"Tnpo1-202",4.92209029417576e-66,"Down"
6.55968013496652e-71,-1.25769266201633,0.151,0.64,5.04137657092717e-66,"Ptbp1-206",5.04137657092717e-66,"Down"
6.66345721439011e-71,1.93774498247713,0.869,0.855,5.12113340754738e-66,"Fth1-203",5.12113340754738e-66,"Up"
7.12922026695617e-71,-1.42473786834382,0.078,0.517,5.47909094396649e-66,"Eif3e-201",5.47909094396649e-66,"Down"
1.16081921758762e-70,-1.21248150356282,0.145,0.637,8.9213600148479e-66,"Fndc3b-204",8.9213600148479e-66,"Down"
1.28984703089352e-70,-1.50807675039052,0.109,0.571,9.9129903712291e-66,"Ckap4-201",9.9129903712291e-66,"Down"
1.3112402223801e-70,-1.13038075610436,0.159,0.663,1.00774056050801e-65,"Fndc3b-201",1.00774056050801e-65,"Down"
1.49993362873238e-70,-1.24676062259559,0.146,0.631,1.15275899102598e-65,"Ptbp1-215",1.15275899102598e-65,"Down"
