"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
8.13594505274547e-137,4.90592033773233,0.748,0.028,6.252799210837e-132,"Ctsj-202",6.252799210837e-132,"Up"
2.54889178859926e-121,7.40821344799279,0.605,0.004,1.95892529521008e-116,"Ctsq-201",1.95892529521008e-116,"Up"
1.55608389676725e-115,5.85416606824403,0.624,0.019,1.1959127180215e-110,"Hsd11b1-201",1.1959127180215e-110,"Up"
9.31190420367812e-112,3.00417219039044,0.729,0.053,7.15657085669478e-107,"Psg23-201",7.15657085669478e-107,"Up"
1.21001731617882e-109,9.89618484438769,0.539,0,9.2994670817607e-105,"Psg16-204",9.2994670817607e-105,"Up"
2.83784297751445e-109,5.02527308573893,0.595,0.017,2.18099584193895e-104,"Col5a3-201",2.18099584193895e-104,"Up"
6.84571956608568e-109,4.23828426805861,0.663,0.043,5.26120931531949e-104,"Anxa1-201",5.26120931531949e-104,"Up"
1.51049178612847e-108,5.53778807490936,0.556,0.005,1.16087335731118e-103,"Ltbp4-204",1.16087335731118e-103,"Up"
4.89570463473447e-105,4.6125747502778,0.536,0.004,3.76254483997883e-100,"Psg26-201",3.76254483997883e-100,"Up"
2.49390278704284e-104,5.40545233940062,0.565,0.014,1.9166640479539e-99,"Cav1-201",1.9166640479539e-99,"Up"
5.32430070325715e-104,3.90732387609595,0.542,0.006,4.09193806248125e-99,"Emp1-205",4.09193806248125e-99,"Up"
5.73483496272177e-103,4.0126692312173,0.614,0.033,4.40745006225019e-98,"Dpysl3-204",4.40745006225019e-98,"Up"
7.90214455564494e-103,2.8328647697794,0.778,0.108,6.07311417679537e-98,"Psg21-201",6.07311417679537e-98,"Up"
1.06160114975843e-102,3.00553225735898,0.572,0.015,8.15882947635342e-98,"Ceacam5-201",8.15882947635342e-98,"Up"
5.66267631780994e-101,3.74632013713511,0.582,0.023,4.35199325728965e-96,"Cd34-201",4.35199325728965e-96,"Up"
4.83412129776197e-100,2.97032945445138,0.575,0.019,3.71521558218198e-95,"Ceacam12-203",3.71521558218198e-95,"Up"
2.55366769482546e-99,3.10140655397525,0.706,0.079,1.96259577018116e-94,"Bgn-201",1.96259577018116e-94,"Up"
6.59487832712239e-99,2.05324098768581,0.686,0.052,5.06842778952664e-94,"Psg28-201",5.06842778952664e-94,"Up"
3.49633327921979e-98,4.29919135053955,0.526,0.009,2.68707197841158e-93,"Mmp19-201",2.68707197841158e-93,"Up"
1.35041439018208e-97,3.42377246876263,0.569,0.02,1.03784747543054e-92,"Ceacam12-201",1.03784747543054e-92,"Up"
2.74853500768909e-97,5.19470423924457,0.507,0.005,2.11235909480938e-92,"Ltbp4-203",2.11235909480938e-92,"Up"
3.41185549644847e-97,6.66711602237618,0.49,0.001,2.62214742324051e-92,"Psg16-202",2.62214742324051e-92,"Up"
3.6765589361709e-97,3.32086663649457,0.523,0.009,2.82558260480478e-92,"Adamtsl4-202",2.82558260480478e-92,"Up"
6.08310857327516e-97,2.80615767763109,0.663,0.066,4.67511226290489e-92,"Lama4-201",4.67511226290489e-92,"Up"
1.20328502968336e-96,3.55487345178521,0.552,0.018,9.24772676712851e-92,"Prelp-201",9.24772676712851e-92,"Up"
2.47770192441345e-96,3.03910975371862,0.529,0.011,1.90421303698871e-91,"Pappa2-202",1.90421303698871e-91,"Up"
7.27599841953089e-96,4.65247332946334,0.51,0.008,5.59189582534627e-91,"Ndufa4l2-201",5.59189582534627e-91,"Up"
1.93501501687953e-94,2.80787312344712,0.654,0.055,1.48713644107259e-89,"Spp1-201",1.48713644107259e-89,"Up"
2.70824878074771e-94,3.98974943084205,0.51,0.009,2.08139751795584e-89,"Aspn-201",2.08139751795584e-89,"Up"
4.28073458235121e-94,4.6220264423629,0.552,0.022,3.2899157559202e-89,"Apoa1-201",3.2899157559202e-89,"Up"
3.10705912820343e-92,4.03713671588754,0.5,0.009,2.38789922238946e-87,"Cts3-202",2.38789922238946e-87,"Up"
4.53475781645784e-92,3.10725122458265,0.556,0.024,3.48514277226051e-87,"Psg16-201",3.48514277226051e-87,"Up"
5.5120516723105e-92,2.50617491370947,0.719,0.088,4.23623219223751e-87,"Klf4-201",4.23623219223751e-87,"Up"
1.00721117827726e-91,2.35019410841134,0.592,0.038,7.74082078953206e-87,"Zbtb20-204",7.74082078953206e-87,"Up"
1.79588266727337e-91,3.37526027513388,0.497,0.009,1.38020766510628e-86,"Dnajb4-202",1.38020766510628e-86,"Up"
5.25374249482005e-91,2.01764162196526,0.761,0.098,4.037711256969e-86,"Ceacam11-201",4.037711256969e-86,"Up"
1.2188138462446e-90,4.24825135542792,0.497,0.01,9.36707193392827e-86,"Cts3-201",9.36707193392827e-86,"Up"
1.35793633933766e-90,2.37411097200704,0.706,0.074,1.04362839423457e-85,"Prl3b1-201",1.04362839423457e-85,"Up"
1.40281895922411e-90,3.77808094822406,0.477,0.005,1.0781224829221e-85,"Fbln7-202",1.0781224829221e-85,"Up"
1.98499037774335e-90,2.71763260929883,0.732,0.117,1.52554450491088e-85,"Serpine1-201",1.52554450491088e-85,"Up"
3.02657803757432e-90,4.1484885991635,0.493,0.01,2.32604628499737e-85,"Cspg4-201",2.32604628499737e-85,"Up"
3.78489953368083e-90,3.00729846094539,0.569,0.032,2.90884668761507e-85,"Pnp-201",2.90884668761507e-85,"Up"
4.1941455367233e-90,2.3672087967764,0.569,0.03,3.22336861079333e-85,"Pkd1-201",3.22336861079333e-85,"Up"
4.97689993566619e-90,2.01221672347517,0.588,0.034,3.82494667655689e-85,"BC005537-201",3.82494667655689e-85,"Up"
5.14516365334741e-90,2.34024424153496,0.595,0.038,3.95426407414362e-85,"Plxdc2-201",3.95426407414362e-85,"Up"
5.47197767417667e-90,1.9523587328472,0.801,0.117,4.20543372171174e-85,"Afp-201",4.20543372171174e-85,"Up"
6.15293481883957e-90,4.67590699029542,0.474,0.005,4.72877652567096e-85,"Sema3c-201",4.72877652567096e-85,"Up"
7.36851502318864e-90,3.7549369493328,0.474,0.005,5.6629985359214e-85,"Fbln7-201",5.6629985359214e-85,"Up"
8.83526576955502e-90,2.5243014544395,0.556,0.027,6.79025515453382e-85,"Rnase4-201",6.79025515453382e-85,"Up"
1.15596959242203e-89,3.68739268794773,0.516,0.017,8.88408870560028e-85,"Tnxb-204",8.88408870560028e-85,"Up"
1.35531264542609e-89,3.12187127576645,0.484,0.008,1.04161198051576e-84,"Adamtsl4-201",1.04161198051576e-84,"Up"
1.90949368933e-89,3.27204642864442,0.634,0.06,1.46752227999768e-84,"Ghr-201",1.46752227999768e-84,"Up"
2.52681061550363e-89,3.18916891213048,0.529,0.022,1.94195503043916e-84,"Cav1-202",1.94195503043916e-84,"Up"
1.83364921534424e-88,5.62051940495049,0.451,0.001,1.40923276796066e-83,"Dpt-201",1.40923276796066e-83,"Up"
2.28827811303936e-88,2.713048474661,0.598,0.048,1.75863326099527e-83,"Htra3-201",1.75863326099527e-83,"Up"
5.84242499257864e-88,3.83080862643711,0.542,0.028,4.49013730379639e-83,"Col15a1-202",4.49013730379639e-83,"Up"
9.68461824836398e-88,2.04780952706959,0.516,0.018,7.44301650859765e-83,"Nbeal1-203",7.44301650859765e-83,"Up"
1.1577750025147e-87,3.48096664791822,0.761,0.186,8.89796400432647e-83,"Lox-201",8.89796400432647e-83,"Up"
2.61330699815483e-87,3.92788058479936,0.503,0.017,2.00843096036191e-82,"Mgp-201",2.00843096036191e-82,"Up"
4.945650069138e-87,3.7247655696149,0.471,0.008,3.80092990413532e-82,"Atp10a-201",3.80092990413532e-82,"Up"
7.05765593294316e-87,3.06812083145308,0.516,0.022,5.42409089070413e-82,"Cd34-202",5.42409089070413e-82,"Up"
2.2965409836012e-86,1.66511497232528,0.601,0.044,1.76498360753687e-81,"Med13-201",1.76498360753687e-81,"Up"
2.54289067718803e-86,2.2211110889658,0.533,0.025,1.95431320104609e-81,"Sbf2-205",1.95431320104609e-81,"Up"
2.64361928413117e-86,2.99513887080608,0.69,0.089,2.03172716462617e-81,"Igfbp7-201",2.03172716462617e-81,"Up"
2.70047210451746e-86,2.59490018805452,0.663,0.078,2.07542083120585e-81,"Syne1-205",2.07542083120585e-81,"Up"
6.8677750475257e-86,3.87103971727715,0.48,0.011,5.2781598350254e-81,"Map3k6-201",5.2781598350254e-81,"Up"
7.14306368330464e-86,2.44481215701919,0.507,0.018,5.48973016316695e-81,"Ceacam12-202",5.48973016316695e-81,"Up"
1.15009095643411e-85,1.57152862761294,0.526,0.023,8.83890903657873e-81,"Psg17-201",8.83890903657873e-81,"Up"
1.97776104959124e-85,2.88580152096763,0.539,0.029,1.51998847705285e-80,"Thbs3-201",1.51998847705285e-80,"Up"
2.89682611952297e-85,2.7275586088062,0.647,0.072,2.22632674589818e-80,"Myadm-204",2.22632674589818e-80,"Up"
3.36164121781243e-85,2.68082846415574,0.631,0.067,2.58355574153756e-80,"Ndrg1-201",2.58355574153756e-80,"Up"
3.52108698418995e-85,2.87404730353104,0.667,0.09,2.70609619082935e-80,"Zim1-201",2.70609619082935e-80,"Up"
4.23567208608936e-85,2.15287108143871,0.523,0.024,3.25528342504311e-80,"Ugdh-202",3.25528342504311e-80,"Up"
5.40332794661649e-85,3.12739223910109,0.572,0.046,4.15267366009263e-80,"Cd47-201",4.15267366009263e-80,"Up"
1.1638410684596e-84,2.35523634649938,0.487,0.014,8.94458414753943e-80,"Pappa2-203",8.94458414753943e-80,"Up"
1.70629118356429e-84,2.09520736339865,0.601,0.048,1.3113530262165e-79,"Adgra2-201",1.3113530262165e-79,"Up"
1.8744336360074e-84,2.7504208776781,0.51,0.02,1.44057722661713e-79,"Mucl3-201",1.44057722661713e-79,"Up"
7.03436432363356e-84,2.8468524583903,0.497,0.018,5.40619035728534e-79,"Nbl1-201",5.40619035728534e-79,"Up"
7.23358901914024e-84,3.14843621998242,0.441,0.004,5.55930250477004e-79,"Fam102b-202",5.55930250477004e-79,"Up"
1.349413054938e-83,1.42129782147152,0.526,0.025,1.03707790924205e-78,"Kremen1-201",1.03707790924205e-78,"Up"
1.54719368802047e-83,3.93694780716502,0.444,0.005,1.18908023699125e-78,"Il1rl2-204",1.18908023699125e-78,"Up"
2.02114821993376e-83,2.08468265764037,0.49,0.017,1.55333325294789e-78,"Grk5-201",1.55333325294789e-78,"Up"
2.57061424679363e-83,2.63179209299414,0.49,0.017,1.97561987323077e-78,"Gfpt2-202",1.97561987323077e-78,"Up"
2.59977435376841e-83,2.99100774999121,0.493,0.018,1.99803058184518e-78,"Snx7-201",1.99803058184518e-78,"Up"
2.85101174351169e-83,2.42891349145803,0.529,0.028,2.19111656535848e-78,"Peak1-201",2.19111656535848e-78,"Up"
3.42031879609839e-83,2.63251622690305,0.559,0.039,2.62865180755345e-78,"Pls3-204",2.62865180755345e-78,"Up"
3.52410252484229e-83,2.50808607804154,0.507,0.022,2.70841375444229e-78,"Gprc5b-201",2.70841375444229e-78,"Up"
4.72498570970595e-83,2.26233272675289,0.493,0.018,3.63134051733741e-78,"Nr4a1-201",3.63134051733741e-78,"Up"
5.33203294806083e-83,3.02591834847398,0.605,0.06,4.09788060190267e-78,"Axl-201",4.09788060190267e-78,"Up"
5.86294617901239e-83,-3.49634390099245,0.441,0.85,4.50590865641819e-78,"Hnrnpab-202",4.50590865641819e-78,"Down"
1.43693813414263e-82,2.43386574109959,0.507,0.023,1.10434443361398e-77,"Sbf2-201",1.10434443361398e-77,"Up"
1.50484535009349e-82,-3.35711117886905,0.464,0.856,1.15653384536085e-77,"Hnrnpab-203",1.15653384536085e-77,"Down"
3.74240061441473e-82,1.63982155835864,0.739,0.099,2.8761845682023e-77,"Prl8a9-201",2.8761845682023e-77,"Up"
4.61702743294076e-82,2.59186497905598,0.559,0.043,3.5483702633123e-77,"Sorbs3-203",3.5483702633123e-77,"Up"
7.04191769005347e-82,9.67005051620021,0.415,0,5.4119954215137e-77,"Cts6-201",5.4119954215137e-77,"Up"
3.73360390206578e-81,1.52604725866732,0.493,0.02,2.86942394289363e-76,"2510009E07Rik-201",2.86942394289363e-76,"Up"
4.84786916429594e-81,3.00379102739993,0.428,0.004,3.725781367528e-76,"Fam102b-201",3.725781367528e-76,"Up"
7.24853604158705e-81,2.87334535192853,0.497,0.023,5.57078988940131e-76,"Psd3-201",5.57078988940131e-76,"Up"
7.66950655520479e-81,4.49726850079975,0.422,0.003,5.89432256793709e-76,"Ankrd28-209",5.89432256793709e-76,"Up"
8.64095151717053e-81,2.43148616513337,0.686,0.098,6.64091687900624e-76,"Ehd2-201",6.64091687900624e-76,"Up"
8.80316812525151e-81,3.62367428190378,0.507,0.029,6.76558683098079e-76,"Mast4-207",6.76558683098079e-76,"Up"
1.34768640544179e-80,2.38016049663524,0.51,0.025,1.03575091003823e-75,"Prl2b1-202",1.03575091003823e-75,"Up"
1.68100903965827e-80,1.93207302266188,0.516,0.028,1.29192268733896e-75,"Pvr-201",1.29192268733896e-75,"Up"
1.78307697071138e-80,2.72294303971621,0.493,0.022,1.37036597507052e-75,"Tead1-216",1.37036597507052e-75,"Up"
3.0118371352625e-80,3.43718790112529,0.467,0.015,2.31471731193464e-75,"Ptgis-201",2.31471731193464e-75,"Up"
3.67565950613847e-80,3.31420011403472,0.605,0.074,2.82489135684766e-75,"Myof-211",2.82489135684766e-75,"Up"
4.34742665885579e-80,1.74685716411033,0.52,0.029,3.34117128439703e-75,"Jak2-202",3.34117128439703e-75,"Up"
4.98819788857215e-80,1.4096924742526,0.52,0.029,3.83362960528324e-75,"Ulk2-201",3.83362960528324e-75,"Up"
6.96711480889219e-80,3.03030241583224,0.497,0.024,5.354506415226e-75,"Pam-201",5.354506415226e-75,"Up"
8.77025191073049e-80,1.94772043331836,0.559,0.042,6.74028940347281e-75,"H6pd-201",6.74028940347281e-75,"Up"
8.88066215178541e-80,1.35987538812606,0.578,0.046,6.82514409013316e-75,"Cpd-201",6.82514409013316e-75,"Up"
1.27287649651235e-79,2.91701920776453,0.448,0.01,9.78256502629605e-75,"Ogn-201",9.78256502629605e-75,"Up"
1.4675874468589e-79,3.26431031005322,0.48,0.02,1.12789965640894e-74,"Dnm1-202",1.12789965640894e-74,"Up"
1.49762415194267e-79,2.63549732661815,0.624,0.074,1.15098406573402e-74,"Adamts2-201",1.15098406573402e-74,"Up"
1.9220449534214e-79,2.38021156773025,0.572,0.05,1.47716842850249e-74,"Chd9-202",1.47716842850249e-74,"Up"
2.97316135254455e-79,3.33928492003406,0.516,0.033,2.28499342588459e-74,"Nfib-203",2.28499342588459e-74,"Up"
3.17394878783306e-79,3.84232276589376,0.454,0.013,2.43930660140122e-74,"Tnxb-203",2.43930660140122e-74,"Up"
3.55913197476274e-79,1.68273781835497,0.471,0.017,2.73533528788415e-74,"Adam15-202",2.73533528788415e-74,"Up"
9.9302010467047e-79,1.8145016742877,0.539,0.037,7.63175671243443e-74,"Pdzrn3-201",7.63175671243443e-74,"Up"
1.06268235397896e-78,2.02508850481271,0.454,0.013,8.1671389632699e-74,"Gpr153-202",8.1671389632699e-74,"Up"
4.96461965558419e-78,1.80849352127419,0.516,0.03,3.81550879010267e-73,"Cdon-202",3.81550879010267e-73,"Up"
4.98044471942668e-78,2.01144579016399,0.48,0.02,3.82767098466818e-73,"Epdr1-201",3.82767098466818e-73,"Up"
