"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
8.26918072445739e-107,2.78272854905326,0.795,0.423,6.35519615397448e-102,"Bgn-201",6.35519615397448e-102,"Up"
9.26442568783182e-105,5.19230280504219,0.516,0.032,7.12008171812627e-100,"Mgp-201",7.12008171812627e-100,"Up"
1.54128224519412e-102,3.63963787010534,0.678,0.178,1.18453705672149e-97,"Igfbp7-201",1.18453705672149e-97,"Up"
6.23737665577666e-99,2.15788871430486,0.929,0.854,4.7936734550306e-94,"Fth1-201",4.7936734550306e-94,"Up"
7.22658443004105e-99,-1.98523827402493,0.875,0.98,5.55391919786375e-94,"Serpinh1-201",5.55391919786375e-94,"Down"
6.42594367307161e-86,-2.29998607240486,0.416,0.772,4.93859475050246e-81,"Map1b-201",4.93859475050246e-81,"Down"
4.45356046291284e-83,1.9678757376054,0.925,0.855,3.42273935816704e-78,"Fth1-203",3.42273935816704e-78,"Up"
5.44458300114015e-83,-1.56020610504483,0.582,0.88,4.18437981969625e-78,"Peg10-202",4.18437981969625e-78,"Down"
1.05872042222031e-82,5.08928052834717,0.712,0.229,8.13668993293196e-78,"Ctla2a-201",8.13668993293196e-78,"Up"
1.56470618992131e-78,3.12493517177321,0.568,0.145,1.20253929520213e-73,"Lmcd1-201",1.20253929520213e-73,"Up"
2.04779763441378e-74,-2.29838223838577,0.332,0.718,1.57381439395237e-69,"Nrp1-201",1.57381439395237e-69,"Down"
5.28694668670173e-74,3.7226048376658,0.436,0.045,4.06323000659775e-69,"Nbl1-201",4.06323000659775e-69,"Up"
6.15730630835576e-74,-2.10927324408828,0.686,0.893,4.73213619022374e-69,"Hmgb1-201",4.73213619022374e-69,"Down"
8.1693901120966e-74,-1.3812761422585,0.793,0.974,6.27850307675072e-69,"Fn1-201",6.27850307675072e-69,"Down"
2.76591390738843e-73,5.3576278863625,0.412,0.037,2.1257154743843e-68,"Serpina3n-201",2.1257154743843e-68,"Up"
1.66917504782075e-72,3.86467755459981,0.624,0.183,1.28282779125216e-67,"Ctla2a-204",1.28282779125216e-67,"Up"
4.05615355457423e-72,-1.7680388026971,0.45,0.744,3.11731625283248e-67,"Marcks-201",3.11731625283248e-67,"Down"
6.87907644532948e-72,3.99281615296322,0.628,0.188,5.28684541129352e-67,"Ctla2a-209",5.28684541129352e-67,"Up"
8.61769167222175e-72,6.75839899423348,0.372,0.02,6.6230407577693e-67,"C3-201",6.6230407577693e-67,"Up"
4.10116966862593e-71,3.91662775317194,0.618,0.182,3.15191293712577e-66,"Ctla2a-202",3.15191293712577e-66,"Up"
1.2094901094271e-70,2.19622498147649,0.718,0.286,9.29541528699101e-66,"Ftl1-203",9.29541528699101e-66,"Up"
2.40700368952011e-70,-1.02255849760525,0.719,0.926,1.84987861554378e-65,"P4hb-201",1.84987861554378e-65,"Down"
2.68824719301276e-70,5.19523773316704,0.373,0.022,2.06602549771803e-65,"Mt2-201",2.06602549771803e-65,"Up"
