"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.64594390833051e-153,-1.94843131076581,0.612,0.946,2.89225263571837e-149,"Plagl1",2.89225263571837e-149,"Down"
2.08859816031834e-150,-1.8413751440421,0.665,0.974,3.67008468731139e-146,"Igf2",3.67008468731139e-146,"Down"
4.20811413169192e-142,2.03692449389341,0.915,0.801,7.39449815220905e-138,"Tpt1",7.39449815220905e-138,"Up"
1.95984977246039e-127,-2.79938091856837,0.235,0.778,3.4438480201674e-123,"Itm2a",3.4438480201674e-123,"Down"
2.37628315956443e-112,-1.57885818374364,0.652,0.93,4.17560476798662e-108,"Vim",4.17560476798662e-108,"Down"
6.55458209189949e-108,-1.4733919032566,0.891,0.962,1.15177116518858e-103,"Fn1",1.15177116518858e-103,"Down"
8.85993364454693e-105,-1.67661370169017,0.498,0.912,1.55686754001979e-100,"Fstl1",1.55686754001979e-100,"Down"
4.25325169989213e-101,-1.10913761852774,0.783,0.98,7.47381388705045e-97,"Eef1a1",7.47381388705045e-97,"Down"
5.14123947571033e-99,-1.30575923642442,0.77,0.952,9.03418600671819e-95,"Dlk1",9.03418600671819e-95,"Down"
2.03205848893285e-98,4.3257144251995,0.516,0.052,3.57073317675281e-94,"Ftl1-ps1",3.57073317675281e-94,"Up"
3.10209120351875e-97,-1.75621535279593,0.864,0.945,5.45099466282315e-93,"Col3a1",5.45099466282315e-93,"Down"
4.58019738419486e-97,-1.8517162529909,0.311,0.795,8.04832284350721e-93,"Maged1",8.04832284350721e-93,"Down"
1.17099713323475e-95,-2.21321124261077,0.518,0.875,2.05767616252011e-91,"Postn",2.05767616252011e-91,"Down"
1.59113136253362e-89,-1.53779379094411,0.428,0.854,2.79593603024407e-85,"Hdlbp",2.79593603024407e-85,"Down"
4.08652198737026e-87,-1.57168558575215,0.503,0.859,7.18083643620703e-83,"Igf2r",7.18083643620703e-83,"Down"
2.53021060866949e-86,-1.41065441894803,0.428,0.867,4.44608608155402e-82,"Prrc2c",4.44608608155402e-82,"Down"
1.04921341946927e-85,-1.41439144237942,0.522,0.885,1.84367782069141e-81,"Cald1",1.84367782069141e-81,"Down"
1.58263665267889e-85,-1.48247690307108,0.576,0.877,2.78100912608735e-81,"Col5a1",2.78100912608735e-81,"Down"
4.03360703550911e-85,-2.50301510436499,0.343,0.713,7.08785428279662e-81,"Lum",7.08785428279662e-81,"Down"
5.27691505673604e-85,-1.97147835281749,0.231,0.706,9.27259513769656e-81,"Anxa2",9.27259513769656e-81,"Down"
2.80852396915919e-84,1.75440824446168,0.818,0.573,4.93513831860652e-80,"Hnrnpab",4.93513831860652e-80,"Up"
1.09704133341446e-82,-1.41803480535676,0.69,0.909,1.92772103107589e-78,"Col5a2",1.92772103107589e-78,"Down"
1.87230689139934e-82,-1.72400387597392,0.273,0.745,3.29001766956692e-78,"Sptbn1",3.29001766956692e-78,"Down"
1.2602265876861e-81,-1.73645439588693,0.355,0.768,2.21447015988202e-77,"Rbms3",2.21447015988202e-77,"Down"
3.29844756947649e-80,3.39747448716248,0.554,0.144,5.7960320690841e-76,"Cntnap5b",5.7960320690841e-76,"Up"
3.37589746332982e-79,-1.99292461654769,0.267,0.699,5.93212702256317e-75,"Myh10",5.93212702256317e-75,"Down"
1.84948013071353e-74,-1.23514506770147,0.516,0.874,3.24990648568981e-70,"App",3.24990648568981e-70,"Down"
4.65019859018372e-74,-1.73607596545943,0.266,0.703,8.17132896267083e-70,"Lpp",8.17132896267083e-70,"Down"
4.51991056183079e-73,4.18383554902815,0.422,0.048,7.94238683924906e-69,"Gpx1",7.94238683924906e-69,"Up"
1.12077582713891e-72,2.20168550029284,0.72,0.368,1.96942728344849e-68,"Fth1",1.96942728344849e-68,"Up"
3.04081197250169e-72,-2.23207699016307,0.152,0.578,5.34331479807996e-68,"Zim1",5.34331479807996e-68,"Down"
1.60994641595323e-71,-2.30559952559667,0.21,0.618,2.82899784211302e-67,"Ptn",2.82899784211302e-67,"Down"
7.78185814367781e-71,-1.45818274465388,0.525,0.829,1.36742811300707e-66,"Gpc3",1.36742811300707e-66,"Down"
1.66301118807311e-70,2.56390788196114,0.545,0.15,2.92224325968207e-66,"Otx2os1",2.92224325968207e-66,"Up"
4.01349994946626e-69,-2.0599489236731,0.325,0.691,7.05252211120212e-65,"Cd44",7.05252211120212e-65,"Down"
1.03061906231936e-67,-1.19421077741742,0.484,0.847,1.81100381630758e-63,"Nedd4",1.81100381630758e-63,"Down"
7.98656604314193e-67,-2.52533690565554,0.117,0.509,1.4033993851009e-62,"Ghr",1.4033993851009e-62,"Down"
1.30627765870422e-66,-2.06930282066314,0.193,0.595,2.29539110187506e-62,"Pcdh7",2.29539110187506e-62,"Down"
6.95465360227422e-66,-2.00532684791106,0.196,0.604,1.22207173099163e-61,"Fbn2",1.22207173099163e-61,"Down"
2.80739280083838e-65,-2.17452994138932,0.137,0.535,4.9331506296332e-61,"Cdh11",4.9331506296332e-61,"Down"
8.12710291483341e-65,1.81389559828268,0.732,0.433,1.42809452419453e-60,"Set",1.42809452419453e-60,"Up"
1.56397534816552e-64,-1.30667234310359,0.352,0.777,2.74821748179646e-60,"Ddx5",2.74821748179646e-60,"Down"
1.26869306018931e-62,-2.23168630520904,0.353,0.661,2.22934744536466e-58,"Dcn",2.22934744536466e-58,"Down"
