"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
3.37649242891558e-91,-4.06141830326921,0.154,0.818,5.93317249609045e-87,"Hnrnpab",5.93317249609045e-87,"Down"
4.7315041649833e-86,3.68860214399659,0.634,0.088,8.31419911870865e-82,"Bgn",8.31419911870865e-82,"Up"
6.59297122682681e-86,5.4628128639116,0.5,0.023,1.15851690397801e-81,"Col5a3",1.15851690397801e-81,"Up"
1.36328425454887e-85,4.93814431350227,0.493,0.019,2.39556309209328e-81,"Cav1",2.39556309209328e-81,"Up"
7.14953154870397e-83,4.26007240838963,0.536,0.042,1.25631568373826e-78,"Dpysl3",1.25631568373826e-78,"Up"
8.58044613995299e-83,3.83519106286847,0.712,0.18,1.50775599571254e-78,"Lox",1.50775599571254e-78,"Up"
1.5477589538222e-80,4.42602580930203,0.709,0.172,2.71972203365636e-76,"Tmtc2",2.71972203365636e-76,"Up"
1.25295488101071e-79,4.99380688129283,0.467,0.02,2.20169231691202e-75,"Cd34",2.20169231691202e-75,"Up"
5.32157563806924e-78,4.32455046916401,0.729,0.215,9.35107271121527e-74,"D130009I18Rik",9.35107271121527e-74,"Up"
1.28280283940887e-75,-4.21092338922662,0.101,0.732,2.25414114940927e-71,"Set",2.25414114940927e-71,"Down"
9.32299020657782e-74,5.6567457015326,0.425,0.015,1.63823583909985e-69,"Hsd11b1",1.63823583909985e-69,"Up"
1.99508845890491e-73,3.97659174784343,0.627,0.135,3.50576943998772e-69,"Gfpt2",3.50576943998772e-69,"Up"
7.61307107359546e-73,4.90079700399882,0.438,0.02,1.33776884905219e-68,"Tnxb",1.33776884905219e-68,"Up"
1.53402020851994e-71,3.39870023076968,0.719,0.243,2.69558031041124e-67,"Fbn1",2.69558031041124e-67,"Up"
8.86175571153505e-71,3.56604630246742,0.611,0.121,1.55718771363094e-66,"Mcc",1.55718771363094e-66,"Up"
1.10031755522666e-69,4.36363683362561,0.778,0.332,1.93347800804429e-65,"Jarid2",1.93347800804429e-65,"Up"
2.44446208000684e-69,3.0228736003305,0.624,0.125,4.29540876698801e-65,"Serpine1",4.29540876698801e-65,"Up"
2.81692276272614e-69,3.48866719883947,0.725,0.288,4.94989667866237e-65,"Col6a2",4.94989667866237e-65,"Up"
5.58540729676959e-69,3.53732971404697,0.608,0.117,9.81467770188353e-65,"Ghr",9.81467770188353e-65,"Up"
4.09593142825769e-68,3.33821668356059,0.699,0.258,7.19737070573441e-64,"Col6a1",7.19737070573441e-64,"Up"
1.44228760707345e-67,-1.78656808007961,0.68,0.915,2.53438778314947e-63,"Tpt1",2.53438778314947e-63,"Down"
5.844246114834e-67,3.05314748368222,0.523,0.064,1.02695092729863e-62,"Lama4",1.02695092729863e-62,"Up"
9.13228121710783e-66,2.9271842038607,0.631,0.152,1.60472445547019e-61,"Zim1",1.60472445547019e-61,"Up"
2.57079386749089e-65,3.19534790258078,0.66,0.196,4.51739898395499e-61,"Fbn2",4.51739898395499e-61,"Up"
2.75461956162465e-64,2.83588186687984,0.745,0.325,4.84041749368684e-60,"Cd44",4.84041749368684e-60,"Up"
3.76503249612853e-64,2.39197832847435,0.729,0.231,6.61591510219706e-60,"Anxa2",6.61591510219706e-60,"Up"
4.87622535756041e-64,2.66188561144961,0.67,0.188,8.56850319830515e-60,"Tns1",8.56850319830515e-60,"Up"
1.20606215518829e-62,-1.50177839403365,0.791,0.971,2.11929241909686e-58,"Serpinh1",2.11929241909686e-58,"Down"
1.28598663474128e-62,2.60619102532809,0.706,0.25,2.25973571456737e-58,"Emp1",2.25973571456737e-58,"Up"
6.90872270257938e-62,3.13502606529202,0.546,0.098,1.21400075329725e-57,"Abi1",1.21400075329725e-57,"Up"
7.75353413904068e-62,3.43812011011907,0.513,0.079,1.36245101891223e-57,"Nckap5",1.36245101891223e-57,"Up"
3.21910410586395e-61,3.03025664372796,0.605,0.145,5.65660973482414e-57,"Sox5",5.65660973482414e-57,"Up"
3.66532543453003e-61,2.97256238868493,0.536,0.09,6.44070985355617e-57,"Ehd2",6.44070985355617e-57,"Up"
1.1594561536342e-60,3.30958996153786,0.513,0.081,2.03739635316602e-56,"Adarb1",2.03739635316602e-56,"Up"
2.92886887058916e-60,4.51073067792715,0.448,0.051,5.14660837939927e-56,"Il31ra",5.14660837939927e-56,"Up"
1.17682139397372e-58,3.07178320081144,0.627,0.193,2.06791055349062e-54,"Pcdh7",2.06791055349062e-54,"Up"
1.71462149537576e-58,3.0175034553474,0.539,0.104,3.01293289167429e-54,"Ugdh",3.01293289167429e-54,"Up"
2.98844695437335e-57,5.1529089134406,0.33,0.009,5.25129898822486e-53,"Aspn",5.25129898822486e-53,"Up"
5.85334031403787e-57,3.50449313203843,0.471,0.067,1.02854895998274e-52,"Arhgap6",1.02854895998274e-52,"Up"
5.85648462756169e-57,5.02871447891956,0.343,0.014,1.02910147875514e-52,"Prelp",1.02910147875514e-52,"Up"
1.53549947879793e-56,2.52939013315875,0.601,0.156,2.69817968414372e-52,"Col4a5",2.69817968414372e-52,"Up"
5.28031708410294e-56,2.74232536523601,0.562,0.125,9.27857318018569e-52,"Apbb2",9.27857318018569e-52,"Up"
5.9506825937661e-56,3.51755457761348,0.451,0.061,1.04565394537658e-51,"Grk5",1.04565394537658e-51,"Up"
8.37025875481063e-56,2.64061297401781,0.784,0.498,1.47082186839532e-51,"Fstl1",1.47082186839532e-51,"Up"
1.06088877546699e-55,3.35263621570895,0.477,0.075,1.86419375625059e-51,"Ust",1.86419375625059e-51,"Up"
1.61823489525682e-54,2.85587199409495,0.5,0.086,2.84356235794528e-50,"Adamts2",2.84356235794528e-50,"Up"
3.23063771391485e-54,3.16617508230639,0.729,0.353,5.67687659089118e-50,"Dcn",5.67687659089118e-50,"Up"
7.64535688062688e-54,2.98961465923062,0.516,0.1,1.34344211106376e-49,"Pdzrn3",1.34344211106376e-49,"Up"
9.21495737302937e-54,2.45064986160625,0.657,0.24,1.61925230958872e-49,"Loxl2",1.61925230958872e-49,"Up"
5.31784271801867e-53,3.21892257141612,0.48,0.08,9.34451322410241e-49,"Igfbp7",9.34451322410241e-49,"Up"
2.80701029487953e-52,2.99726315980029,0.507,0.103,4.9324784901623e-48,"Nfkb1",4.9324784901623e-48,"Up"
2.90070209684466e-52,2.42812344306655,0.556,0.123,5.09711372457543e-48,"Chd9",5.09711372457543e-48,"Up"
3.07860550506238e-52,3.0244157651389,0.627,0.235,5.40972559349561e-48,"Itm2a",5.40972559349561e-48,"Up"
8.92898114860772e-52,3.11974716632529,0.48,0.086,1.56900056743335e-47,"Mast4",1.56900056743335e-47,"Up"
9.53960815216243e-52,3.01522241105628,0.624,0.21,1.67629994449798e-47,"Ptn",1.67629994449798e-47,"Up"
1.56287431934145e-50,3.34587884953364,0.503,0.114,2.7462827539468e-46,"Sdk1",2.7462827539468e-46,"Up"
3.29273034936447e-50,2.86872291254479,0.546,0.14,5.78598576990324e-46,"Ldlrad4",5.78598576990324e-46,"Up"
3.52409915325863e-50,2.60675756570092,0.493,0.094,6.19254703210606e-46,"Axl",6.19254703210606e-46,"Up"
