"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
5.99757530784397e-271,8.14190403548369,0.947,0.037,1.05389393309434e-266,"Zfp791",1.05389393309434e-266,"Up"
1.2438159303777e-243,3.1162473386315,0.999,0.926,2.18563335285969e-239,"Peak1",2.18563335285969e-239,"Up"
5.01821307962895e-236,2.70031326248736,1,0.975,8.81800402352399e-232,"Zc3h7a",8.81800402352399e-232,"Up"
3.77799632257848e-234,5.0555640822129,0.958,0.432,6.63869513803491e-230,"Itga9",6.63869513803491e-230,"Up"
4.11216132306095e-218,4.55589119408997,0.921,0.194,7.2258898768827e-214,"D130009I18Rik",7.2258898768827e-214,"Up"
5.27692430046283e-187,3.88089995351635,0.941,0.433,9.27261138077328e-183,"Jarid2",9.27261138077328e-183,"Up"
2.68108724429231e-166,3.77519832757722,0.803,0.151,4.71120650567045e-162,"Il31ra",4.71120650567045e-162,"Up"
9.54545999977675e-157,3.99857592569239,0.812,0.209,1.67732823116077e-152,"Tmtc2",1.67732823116077e-152,"Up"
6.7217299443049e-135,3.65654711103284,0.696,0.099,1.18114238581326e-130,"Dnah7b",1.18114238581326e-130,"Up"
3.32013260598816e-132,2.61020007652905,0.839,0.302,5.8341370152424e-128,"Camk1d",5.8341370152424e-128,"Up"
7.57245340839197e-130,4.48504962544386,0.615,0.047,1.33063151292264e-125,"Tlcd4",1.33063151292264e-125,"Up"
1.08864039199794e-122,4.95835900324184,0.566,0.027,1.91295889681879e-118,"Mphosph8",1.91295889681879e-118,"Up"
4.08164712638896e-111,-1.42675411603834,0.867,0.983,7.17227033049068e-107,"Serpinh1",7.17227033049068e-107,"Down"
1.74149497050089e-106,2.51080894774339,0.746,0.277,3.06015496216416e-102,"Bgn",3.06015496216416e-102,"Up"
4.87051660482204e-103,2.1647827524378,0.839,0.368,8.55847177799329e-99,"Fth1",8.55847177799329e-99,"Up"
2.08186607212404e-94,-1.79591380140876,0.323,0.795,3.65825506193636e-90,"Maged1",3.65825506193636e-90,"Down"
8.84070377273125e-94,-2.66962229826388,0.166,0.658,1.55348846694433e-89,"Map1b",1.55348846694433e-89,"Down"
1.51635376802333e-93,-1.31448593739625,0.816,0.962,2.66453684117059e-89,"Fn1",2.66453684117059e-89,"Down"
