"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
8.63593045280587e-19,-1.01410661474689,0.971,1,2.53032762267212e-16,"Tal1",2.53032762267212e-16,"Down"
1.99241972935179e-13,2.24293362594933,0.657,0.129,5.83778980700074e-11,"Prdm1",5.83778980700074e-11,"Up"
6.09309987676161e-13,1.52916874167706,1,1,1.78527826389115e-10,"Cebpb",1.78527826389115e-10,"Up"
7.38342100681008e-13,1.07315083346112,1,1,2.16334235499535e-10,"Junb",2.16334235499535e-10,"Up"
1.20601180797679e-12,1.51460396431682,1,1,3.53361459737198e-10,"Plagl1",3.53361459737198e-10,"Up"
1.59418153836371e-12,2.34925177073161,0.829,0.263,4.67095190740568e-10,"Zbtb16",4.67095190740568e-10,"Up"
4.33553583104331e-12,2.66575720207865,0.714,0.207,1.27031199849569e-09,"Nfia",1.27031199849569e-09,"Up"
1.2183851971003e-11,2.28800301237428,0.971,0.392,3.56986862750388e-09,"Creb3l2",3.56986862750388e-09,"Up"
2.54085897021733e-11,1.62889137887537,0.657,0.129,7.44471678273678e-09,"Zkscan6",7.44471678273678e-09,"Up"
6.97698562368348e-11,1.32077616773998,1,1,2.04425678773926e-08,"Nfkb1",2.04425678773926e-08,"Up"
1.01350065208491e-10,1.28643252648551,1,1,2.96955691060877e-08,"Atf3",2.96955691060877e-08,"Up"
1.09651712194332e-10,2.45950128765477,0.743,0.194,3.21279516729394e-08,"Tcf21",3.21279516729394e-08,"Up"
1.1659816307134e-10,1.8076784439404,1,0.995,3.41632617799026e-08,"Rara",3.41632617799026e-08,"Up"
1.28714125120757e-10,1.20946736430704,1,1,3.77132386603817e-08,"Spi1",3.77132386603817e-08,"Up"
2.68329939760599e-10,1.93983858170814,0.686,0.166,7.86206723498556e-08,"Egr2",7.86206723498556e-08,"Up"
3.17482246603289e-10,1.27305100738387,1,1,9.30222982547636e-08,"Rel",9.30222982547636e-08,"Up"
1.70315782226198e-09,1.25051287179998,1,1,4.9902524192276e-07,"Runx1",4.9902524192276e-07,"Up"
