"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
3.05982217081549e-17,-2.07014558835779,0.771,1,2.35159573115854e-12,"Pabpc1-201",2.35159573115854e-12,"Down"
1.28956846161396e-16,-1.93825017208705,0.686,1,9.91084945488792e-12,"Car2-201",9.91084945488792e-12,"Down"
2.36903933597376e-16,-1.78677080534297,0.857,1,1.82070149126928e-11,"Eef1a1-201",1.82070149126928e-11,"Down"
1.92680066646709e-14,-3.88981861465466,0.057,0.866,1.48082338420661e-09,"Gypa-201",1.48082338420661e-09,"Down"
2.59699483563425e-14,1.82755371342235,1,0.982,1.99589441097835e-09,"Tpt1-201",1.99589441097835e-09,"Up"
3.675916335229e-14,1.96920936501214,1,0.991,2.8250887402769e-09,"Hbb-bs-201",2.8250887402769e-09,"Up"
1.96157633463538e-12,-3.88991056121667,0.257,0.922,1.50754987622068e-07,"Prdx2-202",1.50754987622068e-07,"Down"
2.61306057806046e-12,-3.72093634360437,0.257,0.922,2.00824157666259e-07,"Prdx2-208",2.00824157666259e-07,"Down"
3.2321533586066e-12,1.51097696979545,1,0.977,2.48403914222352e-07,"Hba-a1-201",2.48403914222352e-07,"Up"
6.5824698436273e-12,-3.09971120423928,0.143,0.839,5.05889137362132e-07,"Slc39a8-205",5.05889137362132e-07,"Down"
3.38450756445684e-11,-2.84856689227932,0.143,0.816,2.60112944358766e-06,"Slc39a8-202",2.60112944358766e-06,"Down"
3.42822839635371e-11,-1.97794671649505,0.486,0.954,2.63473065173368e-06,"H3f3a-205",2.63473065173368e-06,"Down"
3.99382080605282e-11,-1.50032415031707,0.571,1,3.06941104228383e-06,"Nudt4-201",3.06941104228383e-06,"Down"
5.07353006631952e-11,-2.80997878481672,0.143,0.811,3.8992107971692e-06,"Slc39a8-201",3.8992107971692e-06,"Down"
8.31800174214285e-11,2.69093493956963,0.829,0.622,6.39271705890647e-06,"Lars2-201",6.39271705890647e-06,"Up"
2.66583072194268e-10,-1.58397373589816,0.4,0.922,2.04879754304183e-05,"Cpox-201",2.04879754304183e-05,"Down"
3.83665929243839e-10,-1.43429942138648,0.657,0.991,2.9486261326106e-05,"Ucp2-202",2.9486261326106e-05,"Down"
4.1726989092037e-10,-3.3615776235911,0.143,0.737,3.20688601967941e-05,"Bmp2k-201",3.20688601967941e-05,"Down"
5.73771686881997e-10,-2.10596888338447,0.171,0.82,4.4096649223629e-05,"Slc39a8-206",4.4096649223629e-05,"Down"
5.9519024533671e-10,-1.18690785471108,0.714,0.986,4.57427511151075e-05,"Slc4a1-201",4.57427511151075e-05,"Down"
6.69233540253787e-10,3.71217241277388,0.629,0.212,5.14332745026646e-05,"Fam220a-207",5.14332745026646e-05,"Up"
8.98463667826435e-10,-2.80280006198707,0.057,0.714,6.90505267271328e-05,"Caprin1-201",6.90505267271328e-05,"Down"
9.06796834437949e-10,-2.27110217542136,0.343,0.848,6.96909639138941e-05,"Hemgn-202",6.96909639138941e-05,"Down"
